slug,locale,occupation,category,score,status,notes
agricultural-sciences-teachers-postsecondary,en,"Agricultural Sciences Teachers, Postsecondary",education_counseling,5,ready,
agricultural-technicians,zh-CN,Agricultural Technicians,physical_trade_service,5,ready,
agricultural-technicians,en,Agricultural Technicians,physical_trade_service,5,ready,
agricultural-workers,zh-CN,Agricultural Workers,physical_trade_service,5,ready,
agricultural-workers,en,Agricultural Workers,physical_trade_service,5,ready,
air-crew-members,zh-CN,Air Crew Members,engineering_architecture_validation,4,ready,
air-crew-members,en,Air Crew Members,engineering_architecture_validation,4,ready,
air-crew-officers,zh-CN,Air Crew Officers,engineering_architecture_validation,4,ready,
air-crew-officers,en,Air Crew Officers,engineering_architecture_validation,4,ready,
air-traffic-controllers,zh-CN,Air Traffic Controllers,aviation_transport_safety,3,ready,
air-traffic-controllers,en,Air Traffic Controllers,aviation_transport_safety,3,ready,
aircraft-and-avionics-equipment-mechanics-and-technicians,zh-CN,Aircraft and Avionics Equipment Mechanics and Technicians,aviation_transport_safety,4,ready,
aircraft-and-avionics-equipment-mechanics-and-technicians,en,Aircraft and Avionics Equipment Mechanics and Technicians,aviation_transport_safety,4,ready,
aircraft-cargo-handling-supervisors,zh-CN,Aircraft Cargo Handling Supervisors,aviation_transport_safety,4,ready,
aircraft-cargo-handling-supervisors,en,Aircraft Cargo Handling Supervisors,aviation_transport_safety,4,ready,
aircraft-launch-and-recovery-officers,zh-CN,Aircraft Launch and Recovery Officers,aviation_transport_safety,4,ready,
aircraft-launch-and-recovery-officers,en,Aircraft Launch and Recovery Officers,aviation_transport_safety,4,ready,
aircraft-launch-and-recovery-specialists,zh-CN,Aircraft Launch and Recovery Specialists,aviation_transport_safety,4,ready,
aircraft-launch-and-recovery-specialists,en,Aircraft Launch and Recovery Specialists,aviation_transport_safety,4,ready,
aircraft-mechanics-and-service-technicians,zh-CN,Aircraft Mechanics and Service Technicians,aviation_transport_safety,4,ready,
aircraft-mechanics-and-service-technicians,en,Aircraft Mechanics and Service Technicians,aviation_transport_safety,4,ready,
aircraft-service-attendants,zh-CN,Aircraft Service Attendants,aviation_transport_safety,4,ready,
aircraft-service-attendants,en,Aircraft Service Attendants,aviation_transport_safety,4,ready,
aircraft-structure-surfaces-rigging-and-systems-assemblers,zh-CN,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",aviation_transport_safety,4,ready,
aircraft-structure-surfaces-rigging-and-systems-assemblers,en,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",aviation_transport_safety,4,ready,
airfield-operations-specialists,zh-CN,Airfield Operations Specialists,engineering_architecture_validation,4,ready,
airfield-operations-specialists,en,Airfield Operations Specialists,engineering_architecture_validation,4,ready,
airline-and-commercial-pilots,zh-CN,Airline and Commercial Pilots,aviation_transport_safety,3,ready,
airline-and-commercial-pilots,en,Airline and Commercial Pilots,aviation_transport_safety,3,ready,
airline-pilots-copilots-and-flight-engineers,zh-CN,"Airline Pilots, Copilots, and Flight Engineers",aviation_transport_safety,3,ready,
airline-pilots-copilots-and-flight-engineers,en,"Airline Pilots, Copilots, and Flight Engineers",aviation_transport_safety,3,ready,
allergists-and-immunologists,zh-CN,Allergists and Immunologists,medical_clinical,4,ready,
allergists-and-immunologists,en,Allergists and Immunologists,medical_clinical,4,ready,
ambulance-drivers-and-attendants-except-emergency-medical-technicians,zh-CN,"Ambulance Drivers and Attendants, except Emergency Medical Technicians",medical_clinical,4,ready,
ambulance-drivers-and-attendants-except-emergency-medical-technicians,en,"Ambulance Drivers and Attendants, except Emergency Medical Technicians",medical_clinical,4,ready,
anesthesiologist-assistants,zh-CN,Anesthesiologist Assistants,medical_clinical,4,ready,
anesthesiologist-assistants,en,Anesthesiologist Assistants,medical_clinical,4,ready,
anesthesiologists,zh-CN,Anesthesiologists,medical_clinical,4,ready,
anesthesiologists,en,Anesthesiologists,medical_clinical,4,ready,
animal-breeders,zh-CN,Animal Breeders,physical_trade_service,5,ready,
animal-breeders,en,Animal Breeders,physical_trade_service,5,ready,
animal-care-and-service-workers,zh-CN,Animal Care and Service Workers,physical_trade_service,3,ready,
animal-care-and-service-workers,en,Animal Care and Service Workers,physical_trade_service,3,ready,
animal-caretakers,zh-CN,Animal Caretakers,physical_trade_service,3,ready,
animal-caretakers,en,Animal Caretakers,physical_trade_service,3,ready,
animal-control-workers,zh-CN,Animal Control Workers,physical_trade_service,5,ready,
animal-control-workers,en,Animal Control Workers,physical_trade_service,5,ready,
animal-scientists,zh-CN,Animal Scientists,physical_trade_service,5,ready,
animal-scientists,en,Animal Scientists,physical_trade_service,5,ready,
animal-trainers,zh-CN,Animal Trainers,physical_trade_service,3,ready,
animal-trainers,en,Animal Trainers,physical_trade_service,3,ready,
anthropology-and-archeology-teachers-postsecondary,zh-CN,"Anthropology And Archeology Teachers, Postsecondary",education_counseling,5,ready,
anthropology-and-archeology-teachers-postsecondary,en,"Anthropology And Archeology Teachers, Postsecondary",education_counseling,5,ready,
arbitrators-mediators-and-conciliators,zh-CN,"Arbitrators, Mediators, And Conciliators",legal_regulatory,5,ready,
arbitrators-mediators-and-conciliators,en,"Arbitrators, Mediators, And Conciliators",legal_regulatory,5,ready,
architects,zh-CN,"Architects, Except Landscape and Naval",engineering_architecture_validation,6,ready,
architects,en,"Architects, Except Landscape and Naval",engineering_architecture_validation,6,ready,
architects-except-landscape-and-naval,zh-CN,"Architects, Except Landscape And Naval",engineering_architecture_validation,6,ready,
architects-except-landscape-and-naval,en,"Architects, Except Landscape And Naval",engineering_architecture_validation,6,ready,
architectural-and-civil-drafters,zh-CN,Architectural And Civil Drafters,engineering_architecture_validation,6,ready,
architectural-and-civil-drafters,en,Architectural And Civil Drafters,engineering_architecture_validation,6,ready,
architectural-and-engineering-managers,zh-CN,Architectural and engineering managers,engineering_architecture_validation,5,ready,
architectural-and-engineering-managers,en,Architectural and engineering managers,engineering_architecture_validation,5,ready,
architecture-teachers-postsecondary,zh-CN,"Architecture Teachers, Postsecondary",education_counseling,5,ready,
architecture-teachers-postsecondary,en,"Architecture Teachers, Postsecondary",education_counseling,5,ready,
curators-museum-technicians-and-conservators,zh-CN,Curators,engineering_architecture_validation,6,ready,
curators-museum-technicians-and-conservators,en,Curators,engineering_architecture_validation,6,ready,
area-ethnic-and-cultural-studies-teachers-postsecondary,zh-CN,"Area, Ethnic, And Cultural Studies Teachers, Postsecondary",education_counseling,5,ready,
area-ethnic-and-cultural-studies-teachers-postsecondary,en,"Area, Ethnic, And Cultural Studies Teachers, Postsecondary",education_counseling,5,ready,
armored-assault-vehicle-crew-members,zh-CN,Armored Assault Vehicle Crew Members,military_command,3,ready,
armored-assault-vehicle-crew-members,en,Armored Assault Vehicle Crew Members,military_command,3,ready,
armored-assault-vehicle-officers,zh-CN,Armored Assault Vehicle Officers,military_command,3,ready,
armored-assault-vehicle-officers,en,Armored Assault Vehicle Officers,military_command,3,ready,
art-directors,zh-CN,Art directors,creative_performance,7,ready,
art-directors,en,Art directors,creative_performance,7,ready,
art-therapists,zh-CN,Art Therapists,medical_clinical,4,ready,
art-therapists,en,Art Therapists,medical_clinical,4,ready,
art-drama-and-music-teachers-postsecondary,zh-CN,"Art, Drama, And Music Teachers, Postsecondary",education_counseling,5,ready,
art-drama-and-music-teachers-postsecondary,en,"Art, Drama, And Music Teachers, Postsecondary",education_counseling,5,ready,
artillery-and-missile-crew-members,zh-CN,Artillery And Missile Crew Members,military_command,3,ready,
artillery-and-missile-crew-members,en,Artillery And Missile Crew Members,military_command,3,ready,
artillery-and-missile-officers,zh-CN,Artillery And Missile Officers,military_command,3,ready,
artillery-and-missile-officers,en,Artillery And Missile Officers,military_command,3,ready,
athletes-and-sports-competitors,zh-CN,Athletes And Sports Competitors,creative_performance,3,ready,
athletes-and-sports-competitors,en,Athletes And Sports Competitors,creative_performance,3,ready,
atmospheric-earth-marine-and-space-sciences-teachers-postsecondary,zh-CN,"Atmospheric, Earth, Marine, And Space Sciences Teachers, Postsecondary",aviation_transport_safety,5,ready,
atmospheric-earth-marine-and-space-sciences-teachers-postsecondary,en,"Atmospheric, Earth, Marine, And Space Sciences Teachers, Postsecondary",aviation_transport_safety,5,ready,
audio-and-video-technicians,zh-CN,Audio And Video Technicians,engineering_architecture_validation,5,ready,
audio-and-video-technicians,en,Audio And Video Technicians,engineering_architecture_validation,5,ready,
audiologists,zh-CN,Audiologists,medical_clinical,4,ready,
audiologists,en,Audiologists,medical_clinical,4,ready,
audiovisual-equipment-installers-and-repairers,zh-CN,Audiovisual Equipment Installers And Repairers,physical_trade_service,5,ready,
audiovisual-equipment-installers-and-repairers,en,Audiovisual Equipment Installers And Repairers,physical_trade_service,5,ready,
automotive-and-watercraft-service-attendants,zh-CN,Automotive And Watercraft Service Attendants,physical_trade_service,4,ready,
automotive-and-watercraft-service-attendants,en,Automotive And Watercraft Service Attendants,physical_trade_service,4,ready,
automotive-body-and-glass-repairers,zh-CN,Automotive Body and Related Repairers,physical_trade_service,4,ready,
automotive-body-and-glass-repairers,en,Automotive Body and Related Repairers,physical_trade_service,4,ready,
automotive-engineering-technicians,zh-CN,Automotive Engineering Technicians,physical_trade_service,4,ready,
automotive-engineering-technicians,en,Automotive Engineering Technicians,physical_trade_service,4,ready,
automotive-engineers,zh-CN,Automotive Engineers,physical_trade_service,4,ready,
automotive-engineers,en,Automotive Engineers,physical_trade_service,4,ready,
automotive-glass-installers-and-repairers,zh-CN,Automotive Glass Installers And Repairers,physical_trade_service,4,ready,
automotive-glass-installers-and-repairers,en,Automotive Glass Installers And Repairers,physical_trade_service,4,ready,
automotive-service-technicians-and-mechanics,zh-CN,Automotive Service Technicians And Mechanics,physical_trade_service,4,ready,
automotive-service-technicians-and-mechanics,en,Automotive Service Technicians And Mechanics,physical_trade_service,4,ready,
aviation-inspectors,zh-CN,Aviation Inspectors,aviation_transport_safety,5,ready,
aviation-inspectors,en,Aviation Inspectors,aviation_transport_safety,5,ready,
avionics-technicians,zh-CN,Avionics Technicians,aviation_transport_safety,5,ready,
avionics-technicians,en,Avionics Technicians,aviation_transport_safety,5,ready,
baggage-porters-and-bellhops,zh-CN,Baggage Porters And Bellhops,physical_trade_service,3,ready,
baggage-porters-and-bellhops,en,Baggage Porters And Bellhops,physical_trade_service,3,ready,
bailiffs,zh-CN,Bailiffs,legal_regulatory,3,ready,
bailiffs,en,Bailiffs,legal_regulatory,3,ready,
bakers,zh-CN,Bakers,physical_trade_service,3,ready,
bakers,en,Bakers,physical_trade_service,3,ready,
barbers,zh-CN,Barbers,physical_trade_service,3,ready,
barbers,en,Barbers,physical_trade_service,3,ready,
barbers-hairstylists-and-cosmetologists,zh-CN,"Hairdressers, Hairstylists, And Cosmetologists",physical_trade_service,3,ready,
barbers-hairstylists-and-cosmetologists,en,"Hairdressers, Hairstylists, And Cosmetologists",physical_trade_service,3,ready,
baristas,zh-CN,Baristas,physical_trade_service,3,ready,
baristas,en,Baristas,physical_trade_service,3,ready,
bartenders,zh-CN,Bartenders,physical_trade_service,3,ready,
bartenders,en,Bartenders,physical_trade_service,3,ready,
bicycle-repairers,zh-CN,Bicycle Repairers,physical_trade_service,4,ready,
bicycle-repairers,en,Bicycle Repairers,physical_trade_service,4,ready,
biochemists-and-biophysicists,zh-CN,Biochemists and biophysicists,medical_clinical,6,ready,
biochemists-and-biophysicists,en,Biochemists and biophysicists,medical_clinical,6,ready,
biomedical-engineers,zh-CN,Bioengineers and biomedical engineers,medical_clinical,6,ready,
biomedical-engineers,en,Bioengineers and biomedical engineers,medical_clinical,6,ready,
biofuels-processing-technicians,zh-CN,Biofuels Processing Technicians,engineering_architecture_validation,5,ready,
biofuels-processing-technicians,en,Biofuels Processing Technicians,engineering_architecture_validation,5,ready,
bioinformatics-technicians,zh-CN,Bioinformatics Technicians,engineering_architecture_validation,8,ready,
bioinformatics-technicians,en,Bioinformatics Technicians,engineering_architecture_validation,8,ready,
biological-science-teachers-postsecondary,zh-CN,"Biological Science Teachers, Postsecondary",education_counseling,5,ready,
biological-science-teachers-postsecondary,en,"Biological Science Teachers, Postsecondary",education_counseling,5,ready,
biological-technicians,zh-CN,Biological Technicians,engineering_architecture_validation,5,ready,
biological-technicians,en,Biological Technicians,engineering_architecture_validation,5,ready,
biomass-plant-technicians,zh-CN,Biomass Plant Technicians,engineering_architecture_validation,5,ready,
biomass-plant-technicians,en,Biomass Plant Technicians,engineering_architecture_validation,5,ready,
biostatisticians,zh-CN,Biostatisticians,medical_clinical,8,ready,
biostatisticians,en,Biostatisticians,medical_clinical,8,ready,
blockchain-engineers,zh-CN,Blockchain Engineers,engineering_architecture_validation,8,ready,
blockchain-engineers,en,Blockchain Engineers,engineering_architecture_validation,8,ready,
boilermakers,zh-CN,Boilermakers,physical_trade_service,3,ready,
boilermakers,en,Boilermakers,physical_trade_service,3,ready,
brickmasons-and-blockmasons,zh-CN,Brickmasons And Blockmasons,physical_trade_service,3,ready,
brickmasons-and-blockmasons,en,Brickmasons And Blockmasons,physical_trade_service,3,ready,
broadcast-technicians,zh-CN,Broadcast Technicians,engineering_architecture_validation,6,ready,
broadcast-technicians,en,Broadcast Technicians,engineering_architecture_validation,6,ready,
broadcast-and-sound-engineering-technicians,zh-CN,Audio And Video Technicians,engineering_architecture_validation,6,ready,
broadcast-and-sound-engineering-technicians,en,Audio And Video Technicians,engineering_architecture_validation,6,ready,
bus-and-truck-mechanics-and-diesel-engine-specialists,zh-CN,Bus And Truck Mechanics And Diesel Engine Specialists,education_counseling,4,ready,
bus-and-truck-mechanics-and-diesel-engine-specialists,en,Bus And Truck Mechanics And Diesel Engine Specialists,education_counseling,4,ready,
bus-drivers,zh-CN,"Bus Drivers, Transit And Intercity",education_counseling,4,ready,
bus-drivers,en,"Bus Drivers, Transit And Intercity",education_counseling,4,ready,
bus-drivers-school,zh-CN,"Bus Drivers, School",education_counseling,4,ready,
bus-drivers-school,en,"Bus Drivers, School",education_counseling,4,ready,
bus-drivers-transit-and-intercity,zh-CN,"Bus Drivers, Transit And Intercity",education_counseling,4,ready,
bus-drivers-transit-and-intercity,en,"Bus Drivers, Transit And Intercity",education_counseling,4,ready,
business-teachers-postsecondary,zh-CN,"Business Teachers, Postsecondary",education_counseling,5,ready,
business-teachers-postsecondary,en,"Business Teachers, Postsecondary",education_counseling,5,ready,
butchers-and-meat-cutters,zh-CN,Butchers And Meat Cutters,aviation_transport_safety,3,ready,
butchers-and-meat-cutters,en,Butchers And Meat Cutters,aviation_transport_safety,3,ready,
cabinetmakers-and-bench-carpenters,zh-CN,Cabinetmakers And Bench Carpenters,physical_trade_service,3,ready,
cabinetmakers-and-bench-carpenters,en,Cabinetmakers And Bench Carpenters,physical_trade_service,3,ready,
calibration-technologists-and-technicians,zh-CN,Calibration Technologists And Technicians,physical_trade_service,5,ready,
calibration-technologists-and-technicians,en,Calibration Technologists And Technicians,physical_trade_service,5,ready,
camera-and-photographic-equipment-repairers,zh-CN,Camera And Photographic Equipment Repairers,creative_performance,5,ready,
camera-and-photographic-equipment-repairers,en,Camera And Photographic Equipment Repairers,creative_performance,5,ready,
camera-operators-television-video-and-film,zh-CN,"Camera Operators, Television, Video, And Film",physical_trade_service,6,ready,
camera-operators-television-video-and-film,en,"Camera Operators, Television, Video, And Film",physical_trade_service,6,ready,
captains-mates-and-pilots-of-water-vessels,zh-CN,"Captains, Mates, And Pilots Of Water Vessels",aviation_transport_safety,4,ready,
captains-mates-and-pilots-of-water-vessels,en,"Captains, Mates, And Pilots Of Water Vessels",aviation_transport_safety,4,ready,
cardiovascular-technologists-and-technicians,zh-CN,Cardiovascular technologists and technicians,medical_clinical,5,ready,
cardiovascular-technologists-and-technicians,en,Cardiovascular technologists and technicians,medical_clinical,5,ready,
career-and-technical-education-teachers,zh-CN,"Career/Technical Education Teachers, Secondary School",education_counseling,5,ready,
career-and-technical-education-teachers,en,"Career/Technical Education Teachers, Secondary School",education_counseling,5,ready,
career-technical-education-teachers-middle-school,zh-CN,"Career/Technical Education Teachers, Middle School",education_counseling,5,ready,
career-technical-education-teachers-middle-school,en,"Career/Technical Education Teachers, Middle School",education_counseling,5,ready,
career-technical-education-teachers-postsecondary,zh-CN,"Career/Technical Education Teachers, Postsecondary",education_counseling,5,ready,
career-technical-education-teachers-postsecondary,en,"Career/Technical Education Teachers, Postsecondary",education_counseling,5,ready,
career-technical-education-teachers-secondary-school,zh-CN,"Career/Technical Education Teachers, Secondary School",education_counseling,5,ready,
career-technical-education-teachers-secondary-school,en,"Career/Technical Education Teachers, Secondary School",education_counseling,5,ready,
carpenters,zh-CN,Carpenters,physical_trade_service,3,ready,
carpenters,en,Carpenters,physical_trade_service,3,ready,
carpet-installers,zh-CN,Carpet Installers,physical_trade_service,3,ready,
carpet-installers,en,Carpet Installers,physical_trade_service,3,ready,
cement-masons-and-concrete-finishers,zh-CN,Cement Masons And Concrete Finishers,physical_trade_service,3,ready,
cement-masons-and-concrete-finishers,en,Cement Masons And Concrete Finishers,physical_trade_service,3,ready,
chefs-and-head-cooks,zh-CN,Chefs and head cooks,aviation_transport_safety,3,ready,
chefs-and-head-cooks,en,Chefs and head cooks,aviation_transport_safety,3,ready,
chemical-engineers,zh-CN,Chemical Engineers,engineering_architecture_validation,6,ready,
chemical-engineers,en,Chemical Engineers,engineering_architecture_validation,6,ready,
chemical-equipment-operators-and-tenders,zh-CN,Chemical Equipment Operators And Tenders,physical_trade_service,6,ready,
chemical-equipment-operators-and-tenders,en,Chemical Equipment Operators And Tenders,physical_trade_service,6,ready,
chemical-plant-and-system-operators,zh-CN,Chemical Plant And System Operators,physical_trade_service,5,ready,
chemical-plant-and-system-operators,en,Chemical Plant And System Operators,physical_trade_service,5,ready,
chemical-technicians,zh-CN,Chemical Technicians,engineering_architecture_validation,6,ready,
chemical-technicians,en,Chemical Technicians,engineering_architecture_validation,6,ready,
chemistry-teachers-postsecondary,zh-CN,"Chemistry Teachers, Postsecondary",education_counseling,6,ready,
chemistry-teachers-postsecondary,en,"Chemistry Teachers, Postsecondary",education_counseling,6,ready,
child-family-and-school-social-workers,zh-CN,"Child, Family, And School Social Workers",education_counseling,4,ready,
child-family-and-school-social-workers,en,"Child, Family, And School Social Workers",education_counseling,4,ready,
childcare-workers,zh-CN,Childcare Workers,education_counseling,4,ready,
childcare-workers,en,Childcare Workers,education_counseling,4,ready,
chiropractors,zh-CN,Chiropractors,creative_performance,3,ready,
chiropractors,en,Chiropractors,creative_performance,3,ready,
choreographers,zh-CN,Choreographers,creative_performance,4,ready,
choreographers,en,Choreographers,creative_performance,4,ready,
civil-engineering-technicians,zh-CN,Civil Engineering Technologists And Technicians,engineering_architecture_validation,6,ready,
civil-engineering-technicians,en,Civil Engineering Technologists And Technicians,engineering_architecture_validation,6,ready,
civil-engineers,zh-CN,Civil engineers,engineering_architecture_validation,6,ready,
civil-engineers,en,Civil engineers,engineering_architecture_validation,6,ready,
cleaners-of-vehicles-and-equipment,zh-CN,Cleaners Of Vehicles And Equipment,physical_trade_service,3,ready,
cleaners-of-vehicles-and-equipment,en,Cleaners Of Vehicles And Equipment,physical_trade_service,3,ready,
cleaning-washing-and-metal-pickling-equipment-operators-and-tenders,zh-CN,"Cleaning, Washing, And Metal Pickling Equipment Operators And Tenders",physical_trade_service,5,ready,
cleaning-washing-and-metal-pickling-equipment-operators-and-tenders,en,"Cleaning, Washing, And Metal Pickling Equipment Operators And Tenders",physical_trade_service,5,ready,
clinical-and-counseling-psychologists,zh-CN,Clinical And Counseling Psychologists,medical_clinical,4,ready,
clinical-and-counseling-psychologists,en,Clinical And Counseling Psychologists,medical_clinical,4,ready,
clinical-data-managers,zh-CN,Clinical Data Managers,medical_clinical,7,ready,
clinical-data-managers,en,Clinical Data Managers,medical_clinical,7,ready,
clinical-laboratory-technologists-and-technicians,zh-CN,Medical and Clinical Laboratory Technologists,medical_clinical,7,ready,
clinical-laboratory-technologists-and-technicians,en,Medical and Clinical Laboratory Technologists,medical_clinical,7,ready,
clinical-neuropsychologists,zh-CN,Clinical Neuropsychologists,medical_clinical,4,ready,
clinical-neuropsychologists,en,Clinical Neuropsychologists,medical_clinical,4,ready,
clinical-nurse-specialists,zh-CN,Clinical Nurse Specialists,medical_clinical,4,ready,
clinical-nurse-specialists,en,Clinical Nurse Specialists,medical_clinical,4,ready,
clinical-research-coordinators,zh-CN,Clinical Research Coordinators,medical_clinical,7,ready,
clinical-research-coordinators,en,Clinical Research Coordinators,medical_clinical,7,ready,
coaches-and-scouts,zh-CN,Coaches And Scouts,creative_performance,4,ready,
coaches-and-scouts,en,Coaches And Scouts,creative_performance,4,ready,
coating-painting-and-spraying-machine-setters-operators-and-tenders,zh-CN,"Coating, Painting, And Spraying Machine Setters, Operators, And Tenders",physical_trade_service,5,ready,
coating-painting-and-spraying-machine-setters-operators-and-tenders,en,"Coating, Painting, And Spraying Machine Setters, Operators, And Tenders",physical_trade_service,5,ready,
coil-winders-tapers-and-finishers,zh-CN,"Coil Winders, Tapers, And Finishers",engineering_architecture_validation,5,ready,
coil-winders-tapers-and-finishers,en,"Coil Winders, Tapers, And Finishers",engineering_architecture_validation,5,ready,
coin-vending-and-amusement-machine-servicers-and-repairers,zh-CN,"Coin, Vending, And Amusement Machine Servicers And Repairers",physical_trade_service,3,ready,
coin-vending-and-amusement-machine-servicers-and-repairers,en,"Coin, Vending, And Amusement Machine Servicers And Repairers",physical_trade_service,3,ready,
command-and-control-center-officers,zh-CN,Command And Control Center Officers,military_command,3,ready,
command-and-control-center-officers,en,Command And Control Center Officers,military_command,3,ready,
command-and-control-center-specialists,zh-CN,Command And Control Center Specialists,military_command,3,ready,
command-and-control-center-specialists,en,Command And Control Center Specialists,military_command,3,ready,
commercial-and-industrial-designers,zh-CN,Commercial And Industrial Designers,creative_performance,7,ready,
commercial-and-industrial-designers,en,Commercial And Industrial Designers,creative_performance,7,ready,
commercial-divers,zh-CN,Commercial Divers,aviation_transport_safety,4,ready,
commercial-divers,en,Commercial Divers,aviation_transport_safety,4,ready,
commercial-pilots,zh-CN,Commercial Pilots,aviation_transport_safety,4,ready,
commercial-pilots,en,Commercial Pilots,aviation_transport_safety,4,ready,
communications-teachers-postsecondary,zh-CN,"Communications Teachers, Postsecondary",education_counseling,5,ready,
communications-teachers-postsecondary,en,"Communications Teachers, Postsecondary",education_counseling,5,ready,
community-health-workers,zh-CN,Community health workers,medical_clinical,4,ready,
community-health-workers,en,Community health workers,medical_clinical,4,ready,
compensation-and-benefits-managers,zh-CN,Compensation and benefits managers,legal_regulatory,7,ready,
compensation-and-benefits-managers,en,Compensation and benefits managers,legal_regulatory,7,ready,
compensation-benefits-and-job-analysis-specialists,zh-CN,"Compensation, benefits, and job analysis specialists",legal_regulatory,7,ready,
compensation-benefits-and-job-analysis-specialists,en,"Compensation, benefits, and job analysis specialists",legal_regulatory,7,ready,
compliance-managers,zh-CN,Compliance Managers,legal_regulatory,7,ready,
compliance-managers,en,Compliance Managers,legal_regulatory,7,ready,
compliance-officers,zh-CN,Compliance officers,legal_regulatory,7,ready,
compliance-officers,en,Compliance officers,legal_regulatory,7,ready,
computer-hardware-engineers,zh-CN,Computer hardware engineers,engineering_architecture_validation,8,ready,
computer-hardware-engineers,en,Computer hardware engineers,engineering_architecture_validation,8,ready,
computer-network-architects,zh-CN,Computer Network Architects,engineering_architecture_validation,8,ready,
computer-network-architects,en,Computer Network Architects,engineering_architecture_validation,8,ready,
computer-numerically-controlled-tool-operators,zh-CN,Computer Numerically Controlled Tool Operators,physical_trade_service,6,ready,
computer-numerically-controlled-tool-operators,en,Computer Numerically Controlled Tool Operators,physical_trade_service,6,ready,
computer-science-teachers-postsecondary,zh-CN,"Computer Science Teachers, Postsecondary",education_counseling,8,ready,
computer-science-teachers-postsecondary,en,"Computer Science Teachers, Postsecondary",education_counseling,8,ready,
computer-systems-engineers-architects,zh-CN,Computer Systems Engineers/Architects,engineering_architecture_validation,8,ready,
computer-systems-engineers-architects,en,Computer Systems Engineers/Architects,engineering_architecture_validation,8,ready,
computer-automated-teller-and-office-machine-repairers,zh-CN,"Computer, Automated Teller, And Office Machine Repairers",physical_trade_service,4,ready,
computer-automated-teller-and-office-machine-repairers,en,"Computer, Automated Teller, And Office Machine Repairers",physical_trade_service,4,ready,
construction-and-building-inspectors,zh-CN,Construction and building inspectors,physical_trade_service,6,ready,
construction-and-building-inspectors,en,Construction and building inspectors,physical_trade_service,6,ready,
