slug,locale,seed_ordinal,score,asset_row_hash,approval_status
agricultural-and-food-science-technicians,en,19,5,61a12d5b27bf7c29be2e2eb46a5371054891046d49c193b79f3274eb502456ba,approve
agricultural-and-food-scientists,zh-CN,20,5,f5b586fcfa4d462f6a565faa642e76c925a70283b02654b57c6f6d5b9695280b,approve
agricultural-and-food-scientists,en,20,5,ba9fbf3d8cf347c6071de649b0ce07fec112f91d275eee4c912620d53d277f2f,approve
agricultural-engineers,zh-CN,21,5,69abb59df6986ee2cc4a07167ea5838a3e9071bfcd91f845ddd2d2bf308ce10f,approve
agricultural-engineers,en,21,5,c45d69c30b275bd3d97f135ec489a9025a4f905e84385c18634c94ab5cf497cd,approve
agricultural-equipment-operators,zh-CN,22,5,a1e0aaad72352a2536dbdc4a5e6932e458e7a92057baa8d4f0b26fca29569fb1,approve
agricultural-equipment-operators,en,22,5,506d8445a21157d0e903de0f605861b44e334273345642cc1c1c3d2f66d78f1f,approve
agricultural-inspectors,zh-CN,23,5,bd9d655b741373a16389f341c5fa448abbfbcf44feb1e403cb966f5b79869d2f,approve
agricultural-inspectors,en,23,5,923c80e066ff904847d51535d68122974d755ada0393bbc4114fffcc09a8a9a4,approve
agricultural-sciences-teachers-postsecondary,zh-CN,24,5,e0723cf60ca01593829ed2048da744b6c839c00e916ae8acc2977823975b8f93,approve
agricultural-sciences-teachers-postsecondary,en,24,5,af1d679631b551949a44f64f7a33b762e97841e466e0a647c380676ba9a4d899,approve
agricultural-technicians,zh-CN,25,5,bdda9d800ca1659a426d25841eb513888ccd699db48b2f15d99250383a39e750,approve
agricultural-technicians,en,25,5,d8c9ca30df841356cb82f810566456481bda2f3cbb1291c8e8e84e40250f6b01,approve
agricultural-workers,zh-CN,26,5,bbced3f3dcbc0b67b9619579d141c3713174f3afdd0bc5ac0fde43db2f331508,approve
agricultural-workers,en,26,5,49300d32077215d455c6c7e77c3e093f63476513abb2b773bb8c82367c5578fd,approve
air-crew-members,zh-CN,27,4,30b2766c3368c6de0ebd83c57ab41e529cefe588ceb2b9547c694ae366200fbb,approve
air-crew-members,en,27,4,9659982fcd16af311ea4f2e3dd6b531a25a0b9e4cc6acbbb8eec5f84f0840bf5,approve
air-crew-officers,zh-CN,28,4,6395ecfa5edfccd160b272b8ddfe978abc392d5563b28666a491771ea8d24806,approve
air-crew-officers,en,28,4,0479107c6473eb7bbe7d9f8e0a07c82e4bb7a63804c49d1aa4b852fd1b091778,approve
air-traffic-controllers,zh-CN,29,3,a3547e4f7c7b2105793e851f842a79361b17922e8bfcbb43e94c7ee8ca01af40,approve
air-traffic-controllers,en,29,3,19008da7c7f520f56fb541528f9623ce4a907058f6de513e99ed02be4a572a2b,approve
aircraft-and-avionics-equipment-mechanics-and-technicians,zh-CN,30,4,2805d405c7025164d17551747b975c89a02afb3c89f58bfebd99a63573fba311,approve
aircraft-and-avionics-equipment-mechanics-and-technicians,en,30,4,2bef599c7f57cd2e3d6d0f4b58dd29714e853110df60dc6376a3a06b29334a60,approve
aircraft-cargo-handling-supervisors,zh-CN,31,4,2cae9f0c24d6d471a551acc84efec575763b8e1b69c4e845433c5eb860c3c87f,approve
aircraft-cargo-handling-supervisors,en,31,4,ebbbf406ecfe00977afb5d62eb5a7d933de01f2f2dd6fefec4cb7f1e322c6b8b,approve
aircraft-launch-and-recovery-officers,zh-CN,32,4,02c4faaf02eb37afa6cc3f56af319bfba2f90b757997af1ff4103e098e274798,approve
aircraft-launch-and-recovery-officers,en,32,4,7e2509b09d41be18150fd169fe4a135f5b74c6756f9afc3a4a0fea4d0a597529,approve
aircraft-launch-and-recovery-specialists,zh-CN,33,4,f54c7d16b425a9c33a0384e198397f72ad40d84961de02314f16a801a2c7c3d5,approve
aircraft-launch-and-recovery-specialists,en,33,4,a3a0291384cf13abd1ccd42d3b78637cd59f52885ebc9292f03d37707a295513,approve
aircraft-mechanics-and-service-technicians,zh-CN,34,4,967b309670ee6f76dd0098fcbe7e66ca1600b310c75b13c13267379e3eb9579b,approve
aircraft-mechanics-and-service-technicians,en,34,4,7450518869e380935d8f209bcdc3e0fa9f2e7d2eac7136801494a12b2d4b59f0,approve
aircraft-service-attendants,zh-CN,35,4,cc98c7e2fd219628635f35b06f86eef5d73310d835ae20fa2e23ec6fef99821b,approve
aircraft-service-attendants,en,35,4,67ac66f2e2d05e6004019ca63f4d420df4fde4884d4bc2155a31b30602f5b3c5,approve
aircraft-structure-surfaces-rigging-and-systems-assemblers,zh-CN,36,4,a35765b2f83564821b81d006558b0c9060a592c504681e3d98cd84c492a997d8,approve
aircraft-structure-surfaces-rigging-and-systems-assemblers,en,36,4,97ad7d67a57b2ccc08bdf05583865314f821b0ba8b082cf670101ae5c1dbb8cd,approve
airfield-operations-specialists,zh-CN,37,4,f0a1ace60986d1c8d071c9aa12a3a9b65b5e3202f0b30fe5999548dcc8283a7f,approve
airfield-operations-specialists,en,37,4,6204b1101b1dce51f9e3493db65c209479e378153a7e2f5dc7945fa2d283c57b,approve
airline-and-commercial-pilots,zh-CN,38,3,4d37da1542b209b900297d678915b0e4a0d26fbf014738b4b3b4e3ceb69706ac,approve
airline-and-commercial-pilots,en,38,3,fbd2bc3b3efb1612e13aa3d35b324f2720dd72730655b0928eb3fcf27fe2c8fb,approve
airline-pilots-copilots-and-flight-engineers,zh-CN,39,3,6b5251887a1a9994104eacb207d76bd4c139afe87937ecb39a68a449031479d4,approve
airline-pilots-copilots-and-flight-engineers,en,39,3,33dc647ddeeeb8f4ff3fab40a751525c840006d2f31d1a35dd8146ad18e080b7,approve
allergists-and-immunologists,zh-CN,40,4,00528b55bf6543fbad2beb8f11be37a8b635f866279dc780f423b36c2626af0c,approve
allergists-and-immunologists,en,40,4,5f3dae11988d1fcc0fe1bb1fbcfe191686259d470d8b8784edf5dd4c19b4104d,approve
ambulance-drivers-and-attendants-except-emergency-medical-technicians,zh-CN,41,4,08d61888f12f1a814b083ec6b8af0c227c70d75e1bf7b0a270239285180bc425,approve
ambulance-drivers-and-attendants-except-emergency-medical-technicians,en,41,4,6ce442470e1ed7268911c913f4e14207f01c1b12178fd9b9edacb1457742940a,approve
amusement-and-recreation-attendants,zh-CN,42,4,d1522ef25f062b156f6ab94fa349a18dcfe652b4436d19c22b601e6d159b5b35,approve
amusement-and-recreation-attendants,en,42,4,ee88f1921921ce583d31bc75073452d989204217c28aa5a810ad59cf414026a1,approve
anesthesiologist-assistants,zh-CN,43,4,24ab91093cb597d5335f7dc14ef09148b1ef1e1f51fd7d3c270342b3cd8aac89,approve
anesthesiologist-assistants,en,43,4,9770847e62a98b9252610cb2e19832d93834849d5c0cb53177fa0be6fb1b6e8d,approve
anesthesiologists,zh-CN,44,4,47c8ec32c3b7fd21b0ddf5331c7fbe921b3facd718e93276eb41c92120adf098,approve
anesthesiologists,en,44,4,32edc0e44efe6a0bb01f3e75c3dbc9e85bb73b78840a07771f6269e13d77b2ca,approve
animal-breeders,zh-CN,45,5,dc3cdd3435f4706ba6553c6c7cda581da893d71b69bfa157e85b275f520ff006,approve
animal-breeders,en,45,5,c196d97aed7a8ca4cf11aa9d82178d2d0e34c0629c93f3c67b4df1d1efb7120c,approve
animal-care-and-service-workers,zh-CN,46,3,e8d4d55af27e957f905bf26cbf23ed55e2e657568dd5963e36557b09bc1d82f8,approve
animal-care-and-service-workers,en,46,3,82057fb54091a5edaf2e9adf42d541c6a61ff1513b3d09cc4f5b511d198780a9,approve
animal-caretakers,zh-CN,47,3,3a385f9f435d794978d977691041b714a7f590ca6a532d6ccf4c669d52c25770,approve
animal-caretakers,en,47,3,a753efe35f98510649ac70da065cff28fea537a7e289c0b5b79c31c5ebdea283,approve
animal-control-workers,zh-CN,48,5,6fef9278a6114bc5081c54cec01ac44c57e6eb3ac048a0dea8f1acb8bdf4e638,approve
animal-control-workers,en,48,5,7045f29034d67f2409a6191b70dc17f6d8a39520d42023ef62f3cc75a2312ae4,approve
animal-scientists,zh-CN,49,5,5fbe284220e59c5f55d1bfdb02183f59a2288dbe43dbb74209dd5bdad01b579e,approve
animal-scientists,en,49,5,859d94c07b54fcff2613e75ebd47165cad9c82cb71a51fe5362a77ea90176470,approve
animal-trainers,zh-CN,50,3,7e22e9b4f176fb2081542da36b9893e902b47e1702119546876a927daceaea71,approve
animal-trainers,en,50,3,da7bc8bd7a04df104d7d335b6893a6c221eae9729f23675ea53685943d475512,approve
announcers,zh-CN,51,6,4d7319df6de47f868b2b199fbe87ca1b7f6c9c04162a3ec88bba5cbe05557fce,approve
announcers,en,51,6,b7a252f70f2f796934de292195334549e12d0af0719c9ea37d8691ad7a5685a3,approve
anthropologists-and-archeologists,zh-CN,52,5,c6fea48ea30d27f8c87fa0fd8adca54ef05ca5ae0495144681b95cebfdf2d2fd,approve
anthropologists-and-archeologists,en,52,5,264c435a8b42c7eaf63e6ffb15f3d383e122de9480d464af13729d3edd4354a9,approve
anthropology-and-archeology-teachers-postsecondary,zh-CN,53,5,31db05775ac5914a5d1abfb3ce66305803dd5f689448bc1ad13dfe3e7baa3300,approve
anthropology-and-archeology-teachers-postsecondary,en,53,5,65811cb85541a52b5fc401bab9937e80a92c610db13a527eaeb7076e86aeb3cb,approve
appraisers-of-personal-and-business-property,zh-CN,54,6,c3f57d69bdd9215ca3852f8f50488dadba36ff9068c1eef41bbc58349e81b766,approve
appraisers-of-personal-and-business-property,en,54,6,bbcf28948f36d2ffee46d9c7292e0791a033c2d8111046833a796663d19812ab,approve
arbitrators-mediators-and-conciliators,zh-CN,55,5,8bf3ff1527bde34ef03503667e1230098e4e9770cebd70334cc75208111ff601,approve
arbitrators-mediators-and-conciliators,en,55,5,d52f59f0cbdd80f307a7cc9c58e334a4a10e0d0ab76bd63a3c14d4d83e37c1f4,approve
architects,zh-CN,56,6,5ff069d60ffa1c43f7f5e79cae5afe04689ff86485c94e655261a2e99fd3fa76,approve
architects,en,56,6,037e58b3941e103cd6e2995261c4a67ef6284116c1c35817c8cd81b53a3c5561,approve
architects-except-landscape-and-naval,zh-CN,57,6,d54f47f9f132171b014e48eb6165ee5b0b3f55a2e3aa2cdea51a4704d9c972cc,approve
architects-except-landscape-and-naval,en,57,6,cad78da561b8a361a9208006b0ef974be39c0f4a3bf39829d341911bbf50ec3b,approve
architectural-and-civil-drafters,zh-CN,58,6,b63b22cb15d5ab71d1ac36b10138a37483dcb5aa84159397c53910ea13c3234c,approve
architectural-and-civil-drafters,en,58,6,3d989a7dcb18e77d734dfb4b59274d1f44953b3538cef18cffb9fe96e46bf14c,approve
architectural-and-engineering-managers,zh-CN,59,5,f11013d249959978a8851f159b97c7eb375ad2ce463610c055eb9af6a5253e66,approve
architectural-and-engineering-managers,en,59,5,60b56e81daf9dccea8ffc6bc97b6ee1fbf08c5f1107f56a97b22ed248bab34fa,approve
architecture-teachers-postsecondary,zh-CN,60,5,d7a23ddd061da84242a09aaa221086e56490f56977110d609d41338362be338f,approve
architecture-teachers-postsecondary,en,60,5,c9ec409e19a2afcc6308b9ed0020d46e8d214bd370a19aff0bf02157cd67d142,approve
archivists,zh-CN,61,6,cf605073cae7b94ac6ef7166735e6b67552a4941c772ad05b60e70d1af1f1859,approve
archivists,en,61,6,fa7edc4aa452cfb36174dd218c53badafc8f34341988caf744db59964ebd2145,approve
curators-museum-technicians-and-conservators,zh-CN,62,6,9281b20aaffe70a257102a4d05ea8ff74996156f95e7584b7537999189053b9d,approve
curators-museum-technicians-and-conservators,en,62,6,f041b9a9c33af8d7520ae2a504e0e11cd69bd711c988783be88ffd284fcf263a,approve
area-ethnic-and-cultural-studies-teachers-postsecondary,zh-CN,63,5,c491173993a3ace5cb57a26bb3c2c15b5a84e0cf377f72a2f92fddd87f8db422,approve
area-ethnic-and-cultural-studies-teachers-postsecondary,en,63,5,9c8cceaf25373a590c330a54c6797dfc9ac2f2cfc433456f56b1bed33019ae05,approve
armored-assault-vehicle-crew-members,zh-CN,64,3,c09c405b441c1100c022d3bfc774eea60c790b021ec353697ba0fefe9d5ffd2e,approve
armored-assault-vehicle-crew-members,en,64,3,d9fe50801d97b04757d37b7703d7c29dd546886a2ece140dec236311e1bd6c66,approve
armored-assault-vehicle-officers,zh-CN,65,3,37edf9783c2011166ffe9e9d86c8087f43b7ebf843ba7ffbcfb343e06c14a40a,approve
armored-assault-vehicle-officers,en,65,3,6485d8fd6c69769f7c72fc75064e18295ce179ca91ccc25acf865cecad24f3af,approve
art-directors,zh-CN,66,7,184b929389710ebcea4af40ec71de2e222bfb89f2eb41397ab8ac9429f6cbb4c,approve
art-directors,en,66,7,76a547976c46c9f555001e6c254b736743e220232b0ded5b2bd4dc49c5943b7a,approve
art-therapists,zh-CN,67,4,ae9afde20051245ad193f4e96798478ea8acd076e4702bd0b44fee1c601e1b1d,approve
art-therapists,en,67,4,9d599056092d07ee33606ab8cf11eaf6d5fa24152970c9da721d5ffb1980ee48,approve
art-drama-and-music-teachers-postsecondary,zh-CN,68,5,6d00667fedb21ac3020fe5e3d8d81c5b8927494229a9a76963f718eed74e540c,approve
art-drama-and-music-teachers-postsecondary,en,68,5,23a281781359bffd90f1f0f47c7ff82a37c9eea53e5b1711fcf4f1c3f55ba591,approve
artillery-and-missile-crew-members,zh-CN,69,3,529323f5b6b650c18712e79ef13a62ae8b2ef80fd66f3ca2abd2e796edb78655,approve
artillery-and-missile-crew-members,en,69,3,afb8ab6a9b6abbdacd8fc0c5d68832f76a7712d1aeb8a8f20c9fed7371383559,approve
artillery-and-missile-officers,zh-CN,70,3,68e167cf29c7fed3469602ab6434c1163402ac2408e1a54eb59b2d6b0e17a92d,approve
artillery-and-missile-officers,en,70,3,622825a5ccaea4b45cc8980342ecf3950e7eaaa27cfe8273f7e207367bf0c762,approve
assemblers-and-fabricators,zh-CN,71,4,53048b43575892d34f2c267acb7671896fe99d9ae0f930ce57bb3f155d196492,approve
assemblers-and-fabricators,en,71,4,0b94639004f93875fd7d8ff34299e59b1ae4440e46ba410db2b3b28e0f15cf54,approve
astronomers,zh-CN,72,6,fd02fe7453920bba65885381e470658116b2a49e2667e37cd6af01e83fc940cf,approve
astronomers,en,72,6,1d79ae966fa208053d93b36e7fea1f411b7e0496ae93af5113dbcb0a848e3d10,approve
athletes-and-sports-competitors,zh-CN,73,3,db02191fdf6f20c9f9de25da6305692a2b5d95d65206c17b96d3db676467720f,approve
athletes-and-sports-competitors,en,73,3,52e60cb01770f358ee391114f8652595d9e87df58e2a32fd99b14fed430130dc,approve
athletic-trainers,zh-CN,74,4,d3909a0b3cb74bb223cf1fe9805baf24f05e68117ee4976a952062eb94d06a15,approve
athletic-trainers,en,74,4,6cb1221e461433681696d830aa0b07c10273341649237c21dba233ca9fe36d42,approve
atmospheric-and-space-scientists,zh-CN,75,6,ecfb5c3c3fc83a5641b0a3b85c9a8c154d2f24bab43dbf05ef061b58bbeeaa76,approve
atmospheric-and-space-scientists,en,75,6,0de2c4c046213fafe0a128787ec2ab04207d560c61d78ff430f613e23063c5fa,approve
atmospheric-scientists-including-meteorologists,zh-CN,76,6,896d0b45c0f9ba9786b7caae01f15a4d0e11fb6b4f3a744746009156abe0d1ec,approve
atmospheric-scientists-including-meteorologists,en,76,6,cbea95237ea0854ed2ae5745584bf87d7ad79c154d3a0f732de6810718d17883,approve
atmospheric-earth-marine-and-space-sciences-teachers-postsecondary,zh-CN,77,5,99e20c515accd6471bc49654a2fbbd05cd809dbd6bf4209598a0bffcd7dae52f,approve
atmospheric-earth-marine-and-space-sciences-teachers-postsecondary,en,77,5,07e2f003c5211c530acbef5954ac31c8f821f54bab34afeda8d40ed7d3abb4f1,approve
audio-and-video-technicians,zh-CN,78,5,8ef8405e613503c32621391e8b55a488946d676366043c3c037dadfde7eefb56,approve
audio-and-video-technicians,en,78,5,d4289fa956016dbb2a0ffff69adba6854f71127b63baddc8bbbd0da0c3609d77,approve
audiologists,zh-CN,79,4,243fcb51f393d917837fc65e2664a512553dfc7bb5776cb0a96ea712c771b2e2,approve
audiologists,en,79,4,19d2f65b444a01d13d32043a8ffbc0a9f1d2b9df2aa54bce3c8198e7d5627e3d,approve
audiovisual-equipment-installers-and-repairers,zh-CN,80,5,7886040bb44f7f5f2706687703b85cb70fb25c7c0b20b0ca28131d850f45bc83,approve
audiovisual-equipment-installers-and-repairers,en,80,5,cb332ade7fd836b184055a056a3c28b39a33057d62571b6167f81a6f2c4766d8,approve
automotive-and-watercraft-service-attendants,zh-CN,81,4,476be7b6ec993e61417b2434856c808b6d4bcd018b1bd8d8f256610630ca046d,approve
automotive-and-watercraft-service-attendants,en,81,4,9bfc8557aeaf8c24ad9dfe02281eb2663f31e4ca7e6a5b9eec39459800386e45,approve
automotive-body-and-glass-repairers,zh-CN,82,4,689e4866dd2c59350ebbe6144f933d414cdb0a3a754d956b2b05f52f186c71a9,approve
automotive-body-and-glass-repairers,en,82,4,470677b6638ca23d8b725a69a700f4e01bb19d55036ef971416623d12b886063,approve
automotive-engineering-technicians,zh-CN,83,4,0c7153162a7ca03d7a4ea34fc094b41346908201e9c2d0396f00a739bd6c0447,approve
automotive-engineering-technicians,en,83,4,247e95f09cd9345ee5a83b6b11a468bb5de3cc21bd16f7b217dc953c8b8d54a2,approve
automotive-engineers,zh-CN,84,4,b60cf414c38fc7dd13856eaf6bbee3ca0bfa7b4c111c345370bb8b8daef5c402,approve
automotive-engineers,en,84,4,3a6fe41322f71cd03d1a20036caa387754fe8cfbc5f01d3f68330a50463dcc36,approve
automotive-glass-installers-and-repairers,zh-CN,85,4,7d3eab04a20931a9bb3056d434918827b907514ab16f427794eec35a2ed5df3d,approve
automotive-glass-installers-and-repairers,en,85,4,d4eb12086a7b6144fbf4d738ed93a4f9a679ff2be0831bf069d920c4bc53d778,approve
automotive-service-technicians-and-mechanics,zh-CN,86,4,4c7b47257458f3c5588e7e6e2ff645211521a0ce88e2c3d1eb0c20b81ec1ef8e,approve
automotive-service-technicians-and-mechanics,en,86,4,0093849e351c3483846583cfcbc1e337bdca2629c0911d38e3d36b86ff53f72f,approve
aviation-inspectors,zh-CN,87,5,2c66e80ae4b9d049ca4ca74df5a680b6166295e32bba680f47c8dec0386e81d1,approve
aviation-inspectors,en,87,5,92b0ec0b1f646c9a4ca81c3051b3be6a21c4e76de52dc102d1172d68a0e18ebe,approve
avionics-technicians,zh-CN,88,5,32f32eba43dce09afa4e2a535e6582df8e605c7380c5a5aaef7754dfbbe17d96,approve
avionics-technicians,en,88,5,54f7d3ee4ba0e229e958085f5e66a7ae649a6b3ca6fc0ecf4878ee877f5b5bd9,approve
baggage-porters-and-bellhops,zh-CN,89,3,d8f03cf0956d6ab7e93df0ee9e8c868ed72db5f2edca7852a3342eebe38d61b3,approve
baggage-porters-and-bellhops,en,89,3,913c57f5d649e9e63ed8ec849845f18b375a5d6c48cedb88e376495b60fabf60,approve
bailiffs,zh-CN,90,3,e861237e3c28295c7d3bb7096a2e03e0aaf178d5c9601d407a133a6adde25170,approve
bailiffs,en,90,3,9963d305cdf1eed0358fa75eb9f61cfc8071bed46346dc660b15fa106f31d15a,approve
bakers,zh-CN,91,3,89a7e0ff639082f005f1de541de247e8ed204366d97c292654a580ebda5e7784,approve
bakers,en,91,3,8571c6396ec108aa5756cff19e3e0085ea6e7bfaf420cb2a827170d0f90b969d,approve
barbers,zh-CN,92,3,7e5e0022ab9d1822e18e5536c2408cd19a083ffe6aa9c88dc941a74e6ac3af1a,approve
barbers,en,92,3,0ea19a707560e94cb7d8ed7e81f12987f91bddd0963b83c6312ebcad2ded099f,approve
barbers-hairstylists-and-cosmetologists,zh-CN,93,3,e92ecbf4c128a1e611d9d46d718b305e4ab2a25340e30badd69f4fcfa1686e36,approve
barbers-hairstylists-and-cosmetologists,en,93,3,96a9dc8254dbaa665df0b51d0c8719a7ff1957ba0cdc2283d3a2dc12fb02261c,approve
baristas,zh-CN,94,3,a5bbde6ef12892d9465755270b820c869fbe07060298c891d6c2d6bfbf250a9b,approve
baristas,en,94,3,b1f7b829586c4de543dedd272f0f7b883fc4c39eabdc9e5a92dd2fe9d1196631,approve
bartenders,zh-CN,95,3,5c6225f75d5d8df721ebd7771a6696765c2489898cc589d29c279c666fc9e6a5,approve
bartenders,en,95,3,cbec95cabd825d0bb81b81af017e3bc5989e6c668d2cb918ea37e78a495d5f4d,approve
bicycle-repairers,zh-CN,96,4,facd0e7034d0acafac2b66540668960f0b094d792d99f2264af8d2884c4bbb78,approve
bicycle-repairers,en,96,4,5ca9b92783c9af8a48ae5a3c869dc3dc128ee221f734dde3ad849456488b8281,approve
bill-and-account-collectors,zh-CN,97,7,4930e85dd6b35042324c3ee3c9e6a40b84d71e5f1a54b81330e429c647b06bb1,approve
bill-and-account-collectors,en,97,7,fa29f3b21c83ad7aa7050fe1d4c058f6c69850201bd04247285ac10e347eb865,approve
billing-and-posting-clerks,zh-CN,98,7,6ce0e03bc6f0a7517a14ae1e703cbbe500a216ae558204b65a04f82d6bba89a9,approve
billing-and-posting-clerks,en,98,7,54bac9b10da1307af305119ed865926d0415a411e5b49f322b331dc9f35dd523,approve
biochemists-and-biophysicists,zh-CN,99,6,467f9100ead65035cf26caca2307cee10dec5f7d8df60eb59db5a124e1dc5a06,approve
biochemists-and-biophysicists,en,99,6,3c204bb1e3649a26630f290f2eee9f08c0cb5a80f7a31790e244172e577dc990,approve
biomedical-engineers,zh-CN,100,6,e109beba9bcd1c50f8acabc943818837b06d02c4f9510e777a0847885fc9d65d,approve
biomedical-engineers,en,100,6,dc34e6779ab9a2915f207fbff327afb17c1aa1c07dad7c8aba81d133b7a0bf2c,approve
biofuels-processing-technicians,zh-CN,101,5,b6a690e59f710512b895ef8ddd1ab575765f755623ff02ed718c3004c13638c2,approve
biofuels-processing-technicians,en,101,5,c4cd455f55392f1d51314fbde3a3daa5618ec250bb80e14081b72c9b75b79799,approve
biofuels-production-managers,zh-CN,102,5,e8bc8cfdf6e7d210aaa85acedeb73b712492fd1a4d03a478f60c35b2a8914720,approve
biofuels-production-managers,en,102,5,24376beaed22edb3879ad3fb11ff81d9cbc29a30351af8b730464f61be030358,approve
biofuels-biodiesel-technology-and-product-development-managers,zh-CN,103,6,0bb72a4b3df4bee7e87fdee782803c4cd42f016185fb134d4e386433c0235211,approve
biofuels-biodiesel-technology-and-product-development-managers,en,103,6,58b9945081b420643195efb73fa055e5e2f21fff580c64677278053140cde223,approve
bioinformatics-scientists,zh-CN,104,8,04f4d2df7fb25cf56708f8dc0107fca607770b6d1147ca26712db2dea06c818e,approve
bioinformatics-scientists,en,104,8,62ac8cb48c947c1600143944118c6a67cdd598661571c761ed4ca81d3e437320,approve
