slug,locale,title_en,title_zh,score,confidence
aircraft-mechanics-and-service-technicians,en,Aircraft Mechanics and Service Technicians,飞机机械师和维修技术员,4,medium
aircraft-service-attendants,zh-CN,Aircraft Service Attendants,航空器服务员,4,medium
aircraft-service-attendants,en,Aircraft Service Attendants,航空器服务员,4,medium
aircraft-structure-surfaces-rigging-and-systems-assemblers,zh-CN,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",飞机结构、表面、索具和系统装配工,4,medium
aircraft-structure-surfaces-rigging-and-systems-assemblers,en,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",飞机结构、表面、索具和系统装配工,4,medium
airfield-operations-specialists,zh-CN,Airfield Operations Specialists,机场运行专员,4,medium
airfield-operations-specialists,en,Airfield Operations Specialists,机场运行专员,4,medium
airline-and-commercial-pilots,zh-CN,Airline and Commercial Pilots,航空公司和商业飞行员,3,high
airline-and-commercial-pilots,en,Airline and Commercial Pilots,航空公司和商业飞行员,3,high
airline-pilots-copilots-and-flight-engineers,zh-CN,"Airline Pilots, Copilots, and Flight Engineers",航空公司飞行员、副驾驶和飞行工程师,3,medium
airline-pilots-copilots-and-flight-engineers,en,"Airline Pilots, Copilots, and Flight Engineers",航空公司飞行员、副驾驶和飞行工程师,3,medium
allergists-and-immunologists,zh-CN,Allergists and Immunologists,过敏与免疫科医生,4,high
allergists-and-immunologists,en,Allergists and Immunologists,过敏与免疫科医生,4,high
ambulance-drivers-and-attendants-except-emergency-medical-technicians,zh-CN,"Ambulance Drivers and Attendants, except Emergency Medical Technicians",救护车驾驶员和随车护理员（不含急救医疗技术员）,4,medium
ambulance-drivers-and-attendants-except-emergency-medical-technicians,en,"Ambulance Drivers and Attendants, except Emergency Medical Technicians",救护车驾驶员和随车护理员（不含急救医疗技术员）,4,medium
amusement-and-recreation-attendants,zh-CN,Amusement and Recreation Attendants,游乐和休闲服务员,4,medium
amusement-and-recreation-attendants,en,Amusement and Recreation Attendants,游乐和休闲服务员,4,medium
anesthesiologist-assistants,zh-CN,Anesthesiologist Assistants,麻醉医师助理,4,medium
anesthesiologist-assistants,en,Anesthesiologist Assistants,麻醉医师助理,4,medium
anesthesiologists,zh-CN,Anesthesiologists,麻醉科医生,4,high
anesthesiologists,en,Anesthesiologists,麻醉科医生,4,high
animal-breeders,zh-CN,Animal Breeders,动物育种员,5,medium
animal-breeders,en,Animal Breeders,动物育种员,5,medium
animal-care-and-service-workers,zh-CN,Animal Care and Service Workers,动物照护和服务人员,3,medium
animal-care-and-service-workers,en,Animal Care and Service Workers,动物照护和服务人员,3,medium
animal-caretakers,zh-CN,Animal Caretakers,动物照护员,3,medium
animal-caretakers,en,Animal Caretakers,动物照护员,3,medium
animal-control-workers,zh-CN,Animal Control Workers,动物管控人员,5,medium
animal-control-workers,en,Animal Control Workers,动物管控人员,5,medium
animal-scientists,zh-CN,Animal Scientists,动物科学家,5,medium
animal-scientists,en,Animal Scientists,动物科学家,5,medium
animal-trainers,zh-CN,Animal Trainers,动物训练师,3,high
animal-trainers,en,Animal Trainers,动物训练师,3,high
announcers,zh-CN,Broadcast Announcers And Radio Disc Jockeys,广播主持人和电台 DJ,6,high
announcers,en,Broadcast Announcers And Radio Disc Jockeys,广播主持人和电台 DJ,6,high
anthropologists-and-archeologists,zh-CN,Anthropologists And Archeologists,人类学家和考古学家,5,high
anthropologists-and-archeologists,en,Anthropologists And Archeologists,人类学家和考古学家,5,high
anthropology-and-archeology-teachers-postsecondary,zh-CN,"Anthropology And Archeology Teachers, Postsecondary",高等教育人类学和考古学教师,5,medium
anthropology-and-archeology-teachers-postsecondary,en,"Anthropology And Archeology Teachers, Postsecondary",高等教育人类学和考古学教师,5,medium
appraisers-of-personal-and-business-property,zh-CN,Appraisers Of Personal And Business Property,个人和商业财产评估师,6,medium
appraisers-of-personal-and-business-property,en,Appraisers Of Personal And Business Property,个人和商业财产评估师,6,medium
arbitrators-mediators-and-conciliators,zh-CN,"Arbitrators, Mediators, And Conciliators",仲裁员、调解员和和解员,5,high
arbitrators-mediators-and-conciliators,en,"Arbitrators, Mediators, And Conciliators",仲裁员、调解员和和解员,5,high
architects,zh-CN,"Architects, Except Landscape and Naval",建筑师,6,high
architects,en,"Architects, Except Landscape and Naval",建筑师,6,high
architects-except-landscape-and-naval,zh-CN,"Architects, Except Landscape And Naval",建筑师（不含景观和船舶）,6,medium
architects-except-landscape-and-naval,en,"Architects, Except Landscape And Naval",建筑师（不含景观和船舶）,6,medium
architectural-and-civil-drafters,zh-CN,Architectural And Civil Drafters,建筑和土木制图员,6,medium
architectural-and-civil-drafters,en,Architectural And Civil Drafters,建筑和土木制图员,6,medium
architectural-and-engineering-managers,zh-CN,Architectural and engineering managers,建筑和工程经理,5,high
architectural-and-engineering-managers,en,Architectural and engineering managers,建筑和工程经理,5,high
architecture-teachers-postsecondary,zh-CN,"Architecture Teachers, Postsecondary",高等教育建筑学教师,5,medium
architecture-teachers-postsecondary,en,"Architecture Teachers, Postsecondary",高等教育建筑学教师,5,medium
archivists,zh-CN,Archivists,档案管理员,6,high
archivists,en,Archivists,档案管理员,6,high
curators-museum-technicians-and-conservators,zh-CN,Curators,策展人、博物馆技术员和文物保护员,6,medium
curators-museum-technicians-and-conservators,en,Curators,策展人、博物馆技术员和文物保护员,6,medium
area-ethnic-and-cultural-studies-teachers-postsecondary,zh-CN,"Area, Ethnic, And Cultural Studies Teachers, Postsecondary",高等教育区域、民族和文化研究教师,5,medium
area-ethnic-and-cultural-studies-teachers-postsecondary,en,"Area, Ethnic, And Cultural Studies Teachers, Postsecondary",高等教育区域、民族和文化研究教师,5,medium
armored-assault-vehicle-crew-members,zh-CN,Armored Assault Vehicle Crew Members,装甲突击车辆乘员,3,high
armored-assault-vehicle-crew-members,en,Armored Assault Vehicle Crew Members,装甲突击车辆乘员,3,high
armored-assault-vehicle-officers,zh-CN,Armored Assault Vehicle Officers,装甲突击车辆军官,3,medium
armored-assault-vehicle-officers,en,Armored Assault Vehicle Officers,装甲突击车辆军官,3,medium
art-directors,zh-CN,Art directors,艺术总监,7,medium
art-directors,en,Art directors,艺术总监,7,medium
art-therapists,zh-CN,Art Therapists,艺术治疗师,4,high
art-therapists,en,Art Therapists,艺术治疗师,4,high
art-drama-and-music-teachers-postsecondary,zh-CN,"Art, Drama, And Music Teachers, Postsecondary",高等教育艺术、戏剧和音乐教师,5,medium
art-drama-and-music-teachers-postsecondary,en,"Art, Drama, And Music Teachers, Postsecondary",高等教育艺术、戏剧和音乐教师,5,medium
artillery-and-missile-crew-members,zh-CN,Artillery And Missile Crew Members,火炮和导弹乘员,3,medium
artillery-and-missile-crew-members,en,Artillery And Missile Crew Members,火炮和导弹乘员,3,medium
artillery-and-missile-officers,zh-CN,Artillery And Missile Officers,火炮和导弹军官,3,medium
artillery-and-missile-officers,en,Artillery And Missile Officers,火炮和导弹军官,3,medium
assemblers-and-fabricators,zh-CN,Team Assemblers,装配工和制造工,4,medium
assemblers-and-fabricators,en,Team Assemblers,装配工和制造工,4,medium
astronomers,zh-CN,Astronomers,天文学家,6,high
astronomers,en,Astronomers,天文学家,6,high
athletes-and-sports-competitors,zh-CN,Athletes And Sports Competitors,运动员和体育竞赛选手,3,medium
athletes-and-sports-competitors,en,Athletes And Sports Competitors,运动员和体育竞赛选手,3,medium
athletic-trainers,zh-CN,Athletic Trainers,运动防护师,4,medium
athletic-trainers,en,Athletic Trainers,运动防护师,4,medium
atmospheric-and-space-scientists,zh-CN,Atmospheric And Space Scientists,大气和空间科学家,6,medium
atmospheric-and-space-scientists,en,Atmospheric And Space Scientists,大气和空间科学家,6,medium
atmospheric-scientists-including-meteorologists,zh-CN,"Atmospheric Scientists, Including Meteorologists",大气科学家（含气象学家）,6,medium
atmospheric-scientists-including-meteorologists,en,"Atmospheric Scientists, Including Meteorologists",大气科学家（含气象学家）,6,medium
atmospheric-earth-marine-and-space-sciences-teachers-postsecondary,zh-CN,"Atmospheric, Earth, Marine, And Space Sciences Teachers, Postsecondary",高等教育大气、地球、海洋和空间科学教师,5,medium
atmospheric-earth-marine-and-space-sciences-teachers-postsecondary,en,"Atmospheric, Earth, Marine, And Space Sciences Teachers, Postsecondary",高等教育大气、地球、海洋和空间科学教师,5,medium
audio-and-video-technicians,zh-CN,Audio And Video Technicians,音频和视频技术员,5,medium
audio-and-video-technicians,en,Audio And Video Technicians,音频和视频技术员,5,medium
audiologists,zh-CN,Audiologists,听力学家,4,medium
audiologists,en,Audiologists,听力学家,4,medium
audiovisual-equipment-installers-and-repairers,zh-CN,Audiovisual Equipment Installers And Repairers,视听设备安装和维修工,5,medium
audiovisual-equipment-installers-and-repairers,en,Audiovisual Equipment Installers And Repairers,视听设备安装和维修工,5,medium
automotive-and-watercraft-service-attendants,zh-CN,Automotive And Watercraft Service Attendants,汽车和船艇服务员,4,medium
automotive-and-watercraft-service-attendants,en,Automotive And Watercraft Service Attendants,汽车和船艇服务员,4,medium
automotive-body-and-glass-repairers,zh-CN,Automotive Body and Related Repairers,汽车车身和玻璃维修工,4,medium
automotive-body-and-glass-repairers,en,Automotive Body and Related Repairers,汽车车身和玻璃维修工,4,medium
automotive-engineering-technicians,zh-CN,Automotive Engineering Technicians,汽车工程技术员,4,medium
automotive-engineering-technicians,en,Automotive Engineering Technicians,汽车工程技术员,4,medium
automotive-engineers,zh-CN,Automotive Engineers,汽车工程师,4,medium
automotive-engineers,en,Automotive Engineers,汽车工程师,4,medium
automotive-glass-installers-and-repairers,zh-CN,Automotive Glass Installers And Repairers,汽车玻璃安装和维修工,4,medium
automotive-glass-installers-and-repairers,en,Automotive Glass Installers And Repairers,汽车玻璃安装和维修工,4,medium
automotive-service-technicians-and-mechanics,zh-CN,Automotive Service Technicians And Mechanics,汽车维修技师和机械师,4,medium
automotive-service-technicians-and-mechanics,en,Automotive Service Technicians And Mechanics,汽车维修技师和机械师,4,medium
aviation-inspectors,zh-CN,Aviation Inspectors,航空检查员,5,high
aviation-inspectors,en,Aviation Inspectors,航空检查员,5,high
avionics-technicians,zh-CN,Avionics Technicians,航空电子技术员,5,medium
avionics-technicians,en,Avionics Technicians,航空电子技术员,5,medium
baggage-porters-and-bellhops,zh-CN,Baggage Porters And Bellhops,行李搬运员和门童,3,medium
baggage-porters-and-bellhops,en,Baggage Porters And Bellhops,行李搬运员和门童,3,medium
bailiffs,zh-CN,Bailiffs,法警,3,medium
bailiffs,en,Bailiffs,法警,3,medium
bakers,zh-CN,Bakers,面包师,3,medium
bakers,en,Bakers,面包师,3,medium
barbers,zh-CN,Barbers,理发师,3,medium
barbers,en,Barbers,理发师,3,medium
barbers-hairstylists-and-cosmetologists,zh-CN,"Hairdressers, Hairstylists, And Cosmetologists",理发师、发型师和美容师,3,medium
barbers-hairstylists-and-cosmetologists,en,"Hairdressers, Hairstylists, And Cosmetologists",理发师、发型师和美容师,3,medium
baristas,zh-CN,Baristas,咖啡师,3,medium
baristas,en,Baristas,咖啡师,3,medium
bartenders,zh-CN,Bartenders,调酒师,3,medium
bartenders,en,Bartenders,调酒师,3,medium
bicycle-repairers,zh-CN,Bicycle Repairers,自行车修理工,4,medium
bicycle-repairers,en,Bicycle Repairers,自行车修理工,4,medium
bill-and-account-collectors,zh-CN,Bill and account collectors,账单和账款催收员,7,medium
bill-and-account-collectors,en,Bill and account collectors,账单和账款催收员,7,medium
billing-and-posting-clerks,zh-CN,Billing And Posting Clerks,账单和过账文员,7,medium
billing-and-posting-clerks,en,Billing And Posting Clerks,账单和过账文员,7,medium
biochemists-and-biophysicists,zh-CN,Biochemists and biophysicists,生物化学家和生物物理学家,6,medium
biochemists-and-biophysicists,en,Biochemists and biophysicists,生物化学家和生物物理学家,6,medium
biomedical-engineers,zh-CN,Bioengineers and biomedical engineers,生物工程师和生物医学工程师,6,medium
biomedical-engineers,en,Bioengineers and biomedical engineers,生物工程师和生物医学工程师,6,medium
biofuels-processing-technicians,zh-CN,Biofuels Processing Technicians,生物燃料加工技术员,5,high
biofuels-processing-technicians,en,Biofuels Processing Technicians,生物燃料加工技术员,5,high
biofuels-production-managers,zh-CN,Biofuels Production Managers,生物燃料生产经理,5,medium
biofuels-production-managers,en,Biofuels Production Managers,生物燃料生产经理,5,medium
biofuels-biodiesel-technology-and-product-development-managers,zh-CN,Biofuels/Biodiesel Technology And Product Development Managers,生物燃料/生物柴油技术与产品开发经理,6,medium
biofuels-biodiesel-technology-and-product-development-managers,en,Biofuels/Biodiesel Technology And Product Development Managers,生物燃料/生物柴油技术与产品开发经理,6,medium
bioinformatics-scientists,zh-CN,Bioinformatics Scientists,生物信息学科学家,8,high
bioinformatics-scientists,en,Bioinformatics Scientists,生物信息学科学家,8,high
bioinformatics-technicians,zh-CN,Bioinformatics Technicians,生物信息技术员,8,medium
bioinformatics-technicians,en,Bioinformatics Technicians,生物信息技术员,8,medium
biological-science-teachers-postsecondary,zh-CN,"Biological Science Teachers, Postsecondary",高等教育生物科学教师,5,medium
biological-science-teachers-postsecondary,en,"Biological Science Teachers, Postsecondary",高等教育生物科学教师,5,medium
biological-technicians,zh-CN,Biological Technicians,生物技术员,5,medium
biological-technicians,en,Biological Technicians,生物技术员,5,medium
biologists,zh-CN,Biologists,生物学家,5,medium
biologists,en,Biologists,生物学家,5,medium
biomass-plant-technicians,zh-CN,Biomass Plant Technicians,生物质电厂技术员,5,medium
biomass-plant-technicians,en,Biomass Plant Technicians,生物质电厂技术员,5,medium
biomass-power-plant-managers,zh-CN,Biomass Power Plant Managers,生物质电厂经理,5,medium
biomass-power-plant-managers,en,Biomass Power Plant Managers,生物质电厂经理,5,medium
biostatisticians,zh-CN,Biostatisticians,生物统计学家,8,medium
biostatisticians,en,Biostatisticians,生物统计学家,8,medium
blockchain-engineers,zh-CN,Blockchain Engineers,区块链工程师,8,high
blockchain-engineers,en,Blockchain Engineers,区块链工程师,8,high
boilermakers,zh-CN,Boilermakers,锅炉制造与安装工,3,high
boilermakers,en,Boilermakers,锅炉制造与安装工,3,high
bookkeeping-accounting-and-auditing-clerks,zh-CN,"Bookkeeping, accounting, and auditing clerks",簿记、会计与审计文员,7,high
bookkeeping-accounting-and-auditing-clerks,en,"Bookkeeping, accounting, and auditing clerks",簿记、会计与审计文员,7,high
brickmasons-and-blockmasons,zh-CN,Brickmasons And Blockmasons,砖石与砌块工,3,medium
brickmasons-and-blockmasons,en,Brickmasons And Blockmasons,砖石与砌块工,3,medium
bridge-and-lock-tenders,zh-CN,Bridge And Lock Tenders,桥梁与船闸操作员,4,medium
bridge-and-lock-tenders,en,Bridge And Lock Tenders,桥梁与船闸操作员,4,medium
broadcast-announcers-and-radio-disc-jockeys,zh-CN,Broadcast Announcers And Radio Disc Jockeys,广播主持人和电台 DJ,6,medium
broadcast-announcers-and-radio-disc-jockeys,en,Broadcast Announcers And Radio Disc Jockeys,广播主持人和电台 DJ,6,medium
broadcast-technicians,zh-CN,Broadcast Technicians,广播技术员,6,medium
broadcast-technicians,en,Broadcast Technicians,广播技术员,6,medium
broadcast-and-sound-engineering-technicians,zh-CN,Audio And Video Technicians,音频与视频技术员,6,medium
broadcast-and-sound-engineering-technicians,en,Audio And Video Technicians,音频与视频技术员,6,medium
brokerage-clerks,zh-CN,Brokerage Clerks,经纪文员,7,medium
brokerage-clerks,en,Brokerage Clerks,经纪文员,7,medium
brownfield-redevelopment-specialists-and-site-managers,zh-CN,Brownfield Redevelopment Specialists And Site Managers,棕地再开发专员与场地经理,5,medium
brownfield-redevelopment-specialists-and-site-managers,en,Brownfield Redevelopment Specialists And Site Managers,棕地再开发专员与场地经理,5,medium
budget-analysts,zh-CN,Budget analysts,预算分析师,7,medium
budget-analysts,en,Budget analysts,预算分析师,7,medium
bus-and-truck-mechanics-and-diesel-engine-specialists,zh-CN,Bus And Truck Mechanics And Diesel Engine Specialists,公交、卡车机械师和柴油发动机专员,4,medium
bus-and-truck-mechanics-and-diesel-engine-specialists,en,Bus And Truck Mechanics And Diesel Engine Specialists,公交、卡车机械师和柴油发动机专员,4,medium
bus-drivers,zh-CN,"Bus Drivers, Transit And Intercity",公交与城际巴士司机,4,high
bus-drivers,en,"Bus Drivers, Transit And Intercity",公交与城际巴士司机,4,high
bus-drivers-school,zh-CN,"Bus Drivers, School",校车司机,4,medium
bus-drivers-school,en,"Bus Drivers, School",校车司机,4,medium
bus-drivers-transit-and-intercity,zh-CN,"Bus Drivers, Transit And Intercity",公交与城际巴士司机,4,medium
bus-drivers-transit-and-intercity,en,"Bus Drivers, Transit And Intercity",公交与城际巴士司机,4,medium
business-continuity-planners,zh-CN,Business Continuity Planners,业务连续性规划师,8,high
business-continuity-planners,en,Business Continuity Planners,业务连续性规划师,8,high
business-intelligence-analysts,zh-CN,Business Intelligence Analysts,商业智能分析师,8,medium
business-intelligence-analysts,en,Business Intelligence Analysts,商业智能分析师,8,medium
business-teachers-postsecondary,zh-CN,"Business Teachers, Postsecondary",高等教育商科教师,5,medium
business-teachers-postsecondary,en,"Business Teachers, Postsecondary",高等教育商科教师,5,medium
butchers-and-meat-cutters,zh-CN,Butchers And Meat Cutters,屠宰工和肉类切割工,3,medium
butchers-and-meat-cutters,en,Butchers And Meat Cutters,屠宰工和肉类切割工,3,medium
buyers-and-purchasing-agents-farm-products,zh-CN,"Buyers And Purchasing Agents, Farm Products",农产品采购员和采购代理,6,medium
buyers-and-purchasing-agents-farm-products,en,"Buyers And Purchasing Agents, Farm Products",农产品采购员和采购代理,6,medium
cabinetmakers-and-bench-carpenters,zh-CN,Cabinetmakers And Bench Carpenters,橱柜制造工和台架木工,3,medium
cabinetmakers-and-bench-carpenters,en,Cabinetmakers And Bench Carpenters,橱柜制造工和台架木工,3,medium
calibration-technologists-and-technicians,zh-CN,Calibration Technologists And Technicians,校准技术员,5,medium
calibration-technologists-and-technicians,en,Calibration Technologists And Technicians,校准技术员,5,medium
camera-and-photographic-equipment-repairers,zh-CN,Camera And Photographic Equipment Repairers,相机和摄影设备维修工,5,medium
camera-and-photographic-equipment-repairers,en,Camera And Photographic Equipment Repairers,相机和摄影设备维修工,5,medium
camera-operators-television-video-and-film,zh-CN,"Camera Operators, Television, Video, And Film",电视、视频和电影摄像师,6,medium
camera-operators-television-video-and-film,en,"Camera Operators, Television, Video, And Film",电视、视频和电影摄像师,6,medium
captains-mates-and-pilots-of-water-vessels,zh-CN,"Captains, Mates, And Pilots Of Water Vessels",船长、大副和船舶领航员,4,medium
captains-mates-and-pilots-of-water-vessels,en,"Captains, Mates, And Pilots Of Water Vessels",船长、大副和船舶领航员,4,medium
cardiovascular-technologists-and-technicians,zh-CN,Cardiovascular technologists and technicians,心血管技术员,5,high
cardiovascular-technologists-and-technicians,en,Cardiovascular technologists and technicians,心血管技术员,5,high
career-and-technical-education-teachers,zh-CN,"Career/Technical Education Teachers, Secondary School",中学职业技术教育教师,5,high
career-and-technical-education-teachers,en,"Career/Technical Education Teachers, Secondary School",中学职业技术教育教师,5,high
career-technical-education-teachers-middle-school,zh-CN,"Career/Technical Education Teachers, Middle School",初中职业技术教育教师,5,medium
career-technical-education-teachers-middle-school,en,"Career/Technical Education Teachers, Middle School",初中职业技术教育教师,5,medium
career-technical-education-teachers-postsecondary,zh-CN,"Career/Technical Education Teachers, Postsecondary",高等教育职业技术教师,5,medium
career-technical-education-teachers-postsecondary,en,"Career/Technical Education Teachers, Postsecondary",高等教育职业技术教师,5,medium
career-technical-education-teachers-secondary-school,zh-CN,"Career/Technical Education Teachers, Secondary School",高中职业技术教育教师,5,medium
career-technical-education-teachers-secondary-school,en,"Career/Technical Education Teachers, Secondary School",高中职业技术教育教师,5,medium
cargo-and-freight-agents,zh-CN,Cargo And Freight Agents,货运代理,6,medium
cargo-and-freight-agents,en,Cargo And Freight Agents,货运代理,6,medium
carpenters,zh-CN,Carpenters,木工,3,medium
carpenters,en,Carpenters,木工,3,medium
carpet-installers,zh-CN,Carpet Installers,地毯安装工,3,medium
carpet-installers,en,Carpet Installers,地毯安装工,3,medium
cartographers-and-photogrammetrists,zh-CN,Cartographers And Photogrammetrists,制图师和摄影测量师,7,medium
cartographers-and-photogrammetrists,en,Cartographers And Photogrammetrists,制图师和摄影测量师,7,medium
cashiers,zh-CN,Cashiers,收银员,6,medium
cashiers,en,Cashiers,收银员,6,medium
cement-masons-and-concrete-finishers,zh-CN,Cement Masons And Concrete Finishers,水泥泥瓦工和混凝土修整工,3,medium
cement-masons-and-concrete-finishers,en,Cement Masons And Concrete Finishers,水泥泥瓦工和混凝土修整工,3,medium
chefs-and-head-cooks,zh-CN,Chefs and head cooks,主厨和厨师长,3,medium
chefs-and-head-cooks,en,Chefs and head cooks,主厨和厨师长,3,medium
chemical-engineers,zh-CN,Chemical Engineers,化学工程师,6,high
chemical-engineers,en,Chemical Engineers,化学工程师,6,high
chemical-equipment-operators-and-tenders,zh-CN,Chemical Equipment Operators And Tenders,化工设备操作员和看管员,6,medium
chemical-equipment-operators-and-tenders,en,Chemical Equipment Operators And Tenders,化工设备操作员和看管员,6,medium
chemical-plant-and-system-operators,zh-CN,Chemical Plant And System Operators,化工厂和系统操作员,5,high
chemical-plant-and-system-operators,en,Chemical Plant And System Operators,化工厂和系统操作员,5,high
chemical-technicians,zh-CN,Chemical Technicians,化学技术员,6,medium
chemical-technicians,en,Chemical Technicians,化学技术员,6,medium
