edge_status,source_url,target_url,locale,edge_type,anchor_text_suggestion,priority,reason,safe_public_route,publish_blocker_if_any
"recommended","https://fermatmind.com/en/personality/esfj-t","https://fermatmind.com/en/personality/esfj-a-vs-esfj-t","en","variant_to_comparison","ESFJ-A vs ESFJ-T","P1","Connect variant pages to the dedicated A-vs-T comparison page for the same MBTI code.","true",""
"recommended","https://fermatmind.com/en/personality/esfp-a","https://fermatmind.com/en/personality/esfp-t","en","variant_at_pair","ESFP-T","P2","Connect A/T sibling pages so readers can compare confidence-style variants without leaving the type cluster.","true",""
"recommended","https://fermatmind.com/en/personality/esfp-a","https://fermatmind.com/en/personality/esfp-a-vs-esfp-t","en","variant_to_comparison","ESFP-A vs ESFP-T","P1","Connect variant pages to the dedicated A-vs-T comparison page for the same MBTI code.","true",""
"recommended","https://fermatmind.com/en/personality/esfp-a-vs-esfp-t","https://fermatmind.com/en/personality/esfp-a","en","comparison_to_variant","ESFP-A profile","P1","Return comparison readers to the underlying A/T variant profile pages.","true",""
"recommended","https://fermatmind.com/en/personality/esfp-a-vs-esfp-t","https://fermatmind.com/en/personality/esfp-t","en","comparison_to_variant","ESFP-T profile","P1","Return comparison readers to the underlying A/T variant profile pages.","true",""
"recommended","https://fermatmind.com/en/personality/esfp-t","https://fermatmind.com/en/personality/esfp-a","en","variant_at_pair","ESFP-A","P2","Connect A/T sibling pages so readers can compare confidence-style variants without leaving the type cluster.","true",""
"recommended","https://fermatmind.com/en/personality/esfp-t","https://fermatmind.com/en/personality/esfp-a-vs-esfp-t","en","variant_to_comparison","ESFP-A vs ESFP-T","P1","Connect variant pages to the dedicated A-vs-T comparison page for the same MBTI code.","true",""
"recommended","https://fermatmind.com/en/personality/estj-a","https://fermatmind.com/en/personality/estj-t","en","variant_at_pair","ESTJ-T","P2","Connect A/T sibling pages so readers can compare confidence-style variants without leaving the type cluster.","true",""
"recommended","https://fermatmind.com/en/personality/estj-a","https://fermatmind.com/en/personality/estj-a-vs-estj-t","en","variant_to_comparison","ESTJ-A vs ESTJ-T","P1","Connect variant pages to the dedicated A-vs-T comparison page for the same MBTI code.","true",""
"recommended","https://fermatmind.com/en/personality/estj-a-vs-estj-t","https://fermatmind.com/en/personality/estj-a","en","comparison_to_variant","ESTJ-A profile","P1","Return comparison readers to the underlying A/T variant profile pages.","true",""
"recommended","https://fermatmind.com/en/personality/estj-a-vs-estj-t","https://fermatmind.com/en/personality/estj-t","en","comparison_to_variant","ESTJ-T profile","P1","Return comparison readers to the underlying A/T variant profile pages.","true",""
"recommended","https://fermatmind.com/en/personality/estj-t","https://fermatmind.com/en/personality/estj-a","en","variant_at_pair","ESTJ-A","P2","Connect A/T sibling pages so readers can compare confidence-style variants without leaving the type cluster.","true",""
"recommended","https://fermatmind.com/en/personality/estj-t","https://fermatmind.com/en/personality/estj-a-vs-estj-t","en","variant_to_comparison","ESTJ-A vs ESTJ-T","P1","Connect variant pages to the dedicated A-vs-T comparison page for the same MBTI code.","true",""
"recommended","https://fermatmind.com/en/personality/estp-a","https://fermatmind.com/en/personality/estp-t","en","variant_at_pair","ESTP-T","P2","Connect A/T sibling pages so readers can compare confidence-style variants without leaving the type cluster.","true",""
"recommended","https://fermatmind.com/en/personality/estp-a","https://fermatmind.com/en/personality/estp-a-vs-estp-t","en","variant_to_comparison","ESTP-A vs ESTP-T","P1","Connect variant pages to the dedicated A-vs-T comparison page for the same MBTI code.","true",""
"recommended","https://fermatmind.com/en/personality/estp-a-vs-estp-t","https://fermatmind.com/en/personality/estp-a","en","comparison_to_variant","ESTP-A profile","P1","Return comparison readers to the underlying A/T variant profile pages.","true",""
"recommended","https://fermatmind.com/en/personality/estp-a-vs-estp-t","https://fermatmind.com/en/personality/estp-t","en","comparison_to_variant","ESTP-T profile","P1","Return comparison readers to the underlying A/T variant profile pages.","true",""
"recommended","https://fermatmind.com/en/personality/estp-t","https://fermatmind.com/en/personality/estp-a","en","variant_at_pair","ESTP-A","P2","Connect A/T sibling pages so readers can compare confidence-style variants without leaving the type cluster.","true",""
"recommended","https://fermatmind.com/en/personality/estp-t","https://fermatmind.com/en/personality/estp-a-vs-estp-t","en","variant_to_comparison","ESTP-A vs ESTP-T","P1","Connect variant pages to the dedicated A-vs-T comparison page for the same MBTI code.","true",""
"recommended","https://fermatmind.com/en/personality/infj-a","https://fermatmind.com/en/personality/infj-t","en","variant_at_pair","INFJ-T","P2","Connect A/T sibling pages so readers can compare confidence-style variants without leaving the type cluster.","true",""
"recommended","https://fermatmind.com/en/personality/infj-a","https://fermatmind.com/en/personality/infj-a-vs-infj-t","en","variant_to_comparison","INFJ-A vs INFJ-T","P1","Connect variant pages to the dedicated A-vs-T comparison page for the same MBTI code.","true",""
"recommended","https://fermatmind.com/en/personality/infj-a-vs-infj-t","https://fermatmind.com/en/personality/infj-a","en","comparison_to_variant","INFJ-A profile","P1","Return comparison readers to the underlying A/T variant profile pages.","true",""
"recommended","https://fermatmind.com/en/personality/infj-a-vs-infj-t","https://fermatmind.com/en/personality/infj-t","en","comparison_to_variant","INFJ-T profile","P1","Return comparison readers to the underlying A/T variant profile pages.","true",""
"recommended","https://fermatmind.com/en/personality/infj-t","https://fermatmind.com/en/personality/infj-a","en","variant_at_pair","INFJ-A","P2","Connect A/T sibling pages so readers can compare confidence-style variants without leaving the type cluster.","true",""
"recommended","https://fermatmind.com/en/personality/infj-t","https://fermatmind.com/en/personality/infj-a-vs-infj-t","en","variant_to_comparison","INFJ-A vs INFJ-T","P1","Connect variant pages to the dedicated A-vs-T comparison page for the same MBTI code.","true",""
"recommended","https://fermatmind.com/en/personality/infp-a","https://fermatmind.com/en/personality/infp-t","en","variant_at_pair","INFP-T","P2","Connect A/T sibling pages so readers can compare confidence-style variants without leaving the type cluster.","true",""
"recommended","https://fermatmind.com/en/personality/infp-a","https://fermatmind.com/en/personality/infp-a-vs-infp-t","en","variant_to_comparison","INFP-A vs INFP-T","P1","Connect variant pages to the dedicated A-vs-T comparison page for the same MBTI code.","true",""
"recommended","https://fermatmind.com/en/personality/infp-a-vs-infp-t","https://fermatmind.com/en/personality/infp-a","en","comparison_to_variant","INFP-A profile","P1","Return comparison readers to the underlying A/T variant profile pages.","true",""
"recommended","https://fermatmind.com/en/personality/infp-a-vs-infp-t","https://fermatmind.com/en/personality/infp-t","en","comparison_to_variant","INFP-T profile","P1","Return comparison readers to the underlying A/T variant profile pages.","true",""
"recommended","https://fermatmind.com/en/personality/infp-t","https://fermatmind.com/en/personality/infp-a","en","variant_at_pair","INFP-A","P2","Connect A/T sibling pages so readers can compare confidence-style variants without leaving the type cluster.","true",""
"recommended","https://fermatmind.com/en/personality/infp-t","https://fermatmind.com/en/personality/infp-a-vs-infp-t","en","variant_to_comparison","INFP-A vs INFP-T","P1","Connect variant pages to the dedicated A-vs-T comparison page for the same MBTI code.","true",""
"recommended","https://fermatmind.com/en/personality/intj-a","https://fermatmind.com/en/tests/big-five-personality-test-ocean-model","en","related_test","Compare your type with the Big Five model","P0","Safe public related-test route verified by V2.1 package and URL Truth.","true",""
"recommended","https://fermatmind.com/en/personality/intj-a","https://fermatmind.com/en/tests/holland-career-interest-test-riasec","en","related_test","Explore career interests with the Holland/RIASEC test","P0","Safe public related-test route verified by V2.1 package and URL Truth.","true",""
"recommended","https://fermatmind.com/en/personality/intj-a","https://fermatmind.com/en/personality/intj-t","en","variant_at_pair","INTJ-T","P0","Connect A/T sibling pages so readers can compare confidence-style variants without leaving the type cluster.","true",""
"recommended","https://fermatmind.com/en/personality/intj-a","https://fermatmind.com/en/personality/intj-a-vs-intj-t","en","variant_to_comparison","INTJ-A vs INTJ-T","P0","Connect variant pages to the dedicated A-vs-T comparison page for the same MBTI code.","true",""
"recommended","https://fermatmind.com/en/personality/intj-a-vs-intj-t","https://fermatmind.com/en/personality/intj-a","en","comparison_to_variant","INTJ-A profile","P0","Return comparison readers to the underlying A/T variant profile pages.","true",""
"recommended","https://fermatmind.com/en/personality/intj-a-vs-intj-t","https://fermatmind.com/en/personality/intj-t","en","comparison_to_variant","INTJ-T profile","P0","Return comparison readers to the underlying A/T variant profile pages.","true",""
"recommended","https://fermatmind.com/en/personality/intj-a-vs-intj-t","https://fermatmind.com/en/tests/big-five-personality-test-ocean-model","en","related_test","Compare your type with the Big Five model","P0","Safe public related-test route verified by V2.1 package and URL Truth.","true",""
"recommended","https://fermatmind.com/en/personality/intj-a-vs-intj-t","https://fermatmind.com/en/tests/holland-career-interest-test-riasec","en","related_test","Explore career interests with the Holland/RIASEC test","P0","Safe public related-test route verified by V2.1 package and URL Truth.","true",""
"recommended","https://fermatmind.com/en/personality/intj-t","https://fermatmind.com/en/tests/big-five-personality-test-ocean-model","en","related_test","Compare your type with the Big Five model","P0","Safe public related-test route verified by V2.1 package and URL Truth.","true",""
"recommended","https://fermatmind.com/en/personality/intj-t","https://fermatmind.com/en/tests/holland-career-interest-test-riasec","en","related_test","Explore career interests with the Holland/RIASEC test","P0","Safe public related-test route verified by V2.1 package and URL Truth.","true",""
"recommended","https://fermatmind.com/en/personality/intj-t","https://fermatmind.com/en/personality/intj-a","en","variant_at_pair","INTJ-A","P0","Connect A/T sibling pages so readers can compare confidence-style variants without leaving the type cluster.","true",""
"recommended","https://fermatmind.com/en/personality/intj-t","https://fermatmind.com/en/personality/intj-a-vs-intj-t","en","variant_to_comparison","INTJ-A vs INTJ-T","P0","Connect variant pages to the dedicated A-vs-T comparison page for the same MBTI code.","true",""
"recommended","https://fermatmind.com/en/personality/intp-a","https://fermatmind.com/en/personality/intp-t","en","variant_at_pair","INTP-T","P2","Connect A/T sibling pages so readers can compare confidence-style variants without leaving the type cluster.","true",""
"recommended","https://fermatmind.com/en/personality/intp-a","https://fermatmind.com/en/personality/intp-a-vs-intp-t","en","variant_to_comparison","INTP-A vs INTP-T","P0","Connect variant pages to the dedicated A-vs-T comparison page for the same MBTI code.","true",""
"recommended","https://fermatmind.com/en/personality/intp-a-vs-intp-t","https://fermatmind.com/en/personality/intp-a","en","comparison_to_variant","INTP-A profile","P0","Return comparison readers to the underlying A/T variant profile pages.","true",""
"recommended","https://fermatmind.com/en/personality/intp-a-vs-intp-t","https://fermatmind.com/en/personality/intp-t","en","comparison_to_variant","INTP-T profile","P0","Return comparison readers to the underlying A/T variant profile pages.","true",""
"recommended","https://fermatmind.com/en/personality/intp-a-vs-intp-t","https://fermatmind.com/en/tests/big-five-personality-test-ocean-model","en","related_test","Compare your type with the Big Five model","P0","Safe public related-test route verified by V2.1 package and URL Truth.","true",""
"recommended","https://fermatmind.com/en/personality/intp-a-vs-intp-t","https://fermatmind.com/en/tests/holland-career-interest-test-riasec","en","related_test","Explore career interests with the Holland/RIASEC test","P0","Safe public related-test route verified by V2.1 package and URL Truth.","true",""
"recommended","https://fermatmind.com/en/personality/intp-t","https://fermatmind.com/en/personality/intp-a","en","variant_at_pair","INTP-A","P2","Connect A/T sibling pages so readers can compare confidence-style variants without leaving the type cluster.","true",""
"recommended","https://fermatmind.com/en/personality/intp-t","https://fermatmind.com/en/personality/intp-a-vs-intp-t","en","variant_to_comparison","INTP-A vs INTP-T","P0","Connect variant pages to the dedicated A-vs-T comparison page for the same MBTI code.","true",""
"recommended","https://fermatmind.com/en/personality/isfj-a","https://fermatmind.com/en/personality/isfj-t","en","variant_at_pair","ISFJ-T","P2","Connect A/T sibling pages so readers can compare confidence-style variants without leaving the type cluster.","true",""
"recommended","https://fermatmind.com/en/personality/isfj-a","https://fermatmind.com/en/personality/isfj-a-vs-isfj-t","en","variant_to_comparison","ISFJ-A vs ISFJ-T","P1","Connect variant pages to the dedicated A-vs-T comparison page for the same MBTI code.","true",""
"recommended","https://fermatmind.com/en/personality/isfj-a-vs-isfj-t","https://fermatmind.com/en/personality/isfj-a","en","comparison_to_variant","ISFJ-A profile","P1","Return comparison readers to the underlying A/T variant profile pages.","true",""
"recommended","https://fermatmind.com/en/personality/isfj-a-vs-isfj-t","https://fermatmind.com/en/personality/isfj-t","en","comparison_to_variant","ISFJ-T profile","P1","Return comparison readers to the underlying A/T variant profile pages.","true",""
"recommended","https://fermatmind.com/en/personality/isfj-t","https://fermatmind.com/en/personality/isfj-a","en","variant_at_pair","ISFJ-A","P2","Connect A/T sibling pages so readers can compare confidence-style variants without leaving the type cluster.","true",""
"recommended","https://fermatmind.com/en/personality/isfj-t","https://fermatmind.com/en/personality/isfj-a-vs-isfj-t","en","variant_to_comparison","ISFJ-A vs ISFJ-T","P1","Connect variant pages to the dedicated A-vs-T comparison page for the same MBTI code.","true",""
"recommended","https://fermatmind.com/en/personality/isfp-a","https://fermatmind.com/en/personality/isfp-t","en","variant_at_pair","ISFP-T","P2","Connect A/T sibling pages so readers can compare confidence-style variants without leaving the type cluster.","true",""
"recommended","https://fermatmind.com/en/personality/isfp-a","https://fermatmind.com/en/personality/isfp-a-vs-isfp-t","en","variant_to_comparison","ISFP-A vs ISFP-T","P1","Connect variant pages to the dedicated A-vs-T comparison page for the same MBTI code.","true",""
"recommended","https://fermatmind.com/en/personality/isfp-a-vs-isfp-t","https://fermatmind.com/en/personality/isfp-a","en","comparison_to_variant","ISFP-A profile","P1","Return comparison readers to the underlying A/T variant profile pages.","true",""
"recommended","https://fermatmind.com/en/personality/isfp-a-vs-isfp-t","https://fermatmind.com/en/personality/isfp-t","en","comparison_to_variant","ISFP-T profile","P1","Return comparison readers to the underlying A/T variant profile pages.","true",""
"recommended","https://fermatmind.com/en/personality/isfp-t","https://fermatmind.com/en/personality/isfp-a","en","variant_at_pair","ISFP-A","P2","Connect A/T sibling pages so readers can compare confidence-style variants without leaving the type cluster.","true",""
"recommended","https://fermatmind.com/en/personality/isfp-t","https://fermatmind.com/en/personality/isfp-a-vs-isfp-t","en","variant_to_comparison","ISFP-A vs ISFP-T","P1","Connect variant pages to the dedicated A-vs-T comparison page for the same MBTI code.","true",""
"recommended","https://fermatmind.com/en/personality/istj-a","https://fermatmind.com/en/personality/istj-t","en","variant_at_pair","ISTJ-T","P2","Connect A/T sibling pages so readers can compare confidence-style variants without leaving the type cluster.","true",""
"recommended","https://fermatmind.com/en/personality/istj-a","https://fermatmind.com/en/personality/istj-a-vs-istj-t","en","variant_to_comparison","ISTJ-A vs ISTJ-T","P1","Connect variant pages to the dedicated A-vs-T comparison page for the same MBTI code.","true",""
"recommended","https://fermatmind.com/en/personality/istj-a-vs-istj-t","https://fermatmind.com/en/personality/istj-a","en","comparison_to_variant","ISTJ-A profile","P1","Return comparison readers to the underlying A/T variant profile pages.","true",""
"recommended","https://fermatmind.com/en/personality/istj-a-vs-istj-t","https://fermatmind.com/en/personality/istj-t","en","comparison_to_variant","ISTJ-T profile","P1","Return comparison readers to the underlying A/T variant profile pages.","true",""
"recommended","https://fermatmind.com/en/personality/istj-t","https://fermatmind.com/en/personality/istj-a","en","variant_at_pair","ISTJ-A","P2","Connect A/T sibling pages so readers can compare confidence-style variants without leaving the type cluster.","true",""
"recommended","https://fermatmind.com/en/personality/istj-t","https://fermatmind.com/en/personality/istj-a-vs-istj-t","en","variant_to_comparison","ISTJ-A vs ISTJ-T","P1","Connect variant pages to the dedicated A-vs-T comparison page for the same MBTI code.","true",""
"recommended","https://fermatmind.com/en/personality/istp-a","https://fermatmind.com/en/personality/istp-t","en","variant_at_pair","ISTP-T","P2","Connect A/T sibling pages so readers can compare confidence-style variants without leaving the type cluster.","true",""
"recommended","https://fermatmind.com/en/personality/istp-a","https://fermatmind.com/en/personality/istp-a-vs-istp-t","en","variant_to_comparison","ISTP-A vs ISTP-T","P1","Connect variant pages to the dedicated A-vs-T comparison page for the same MBTI code.","true",""
"recommended","https://fermatmind.com/en/personality/istp-a-vs-istp-t","https://fermatmind.com/en/personality/istp-a","en","comparison_to_variant","ISTP-A profile","P1","Return comparison readers to the underlying A/T variant profile pages.","true",""
"recommended","https://fermatmind.com/en/personality/istp-a-vs-istp-t","https://fermatmind.com/en/personality/istp-t","en","comparison_to_variant","ISTP-T profile","P1","Return comparison readers to the underlying A/T variant profile pages.","true",""
"recommended","https://fermatmind.com/en/personality/istp-t","https://fermatmind.com/en/personality/istp-a","en","variant_at_pair","ISTP-A","P2","Connect A/T sibling pages so readers can compare confidence-style variants without leaving the type cluster.","true",""
"recommended","https://fermatmind.com/en/personality/istp-t","https://fermatmind.com/en/personality/istp-a-vs-istp-t","en","variant_to_comparison","ISTP-A vs ISTP-T","P1","Connect variant pages to the dedicated A-vs-T comparison page for the same MBTI code.","true",""
"recommended","https://fermatmind.com/zh/personality/enfj-a","https://fermatmind.com/zh/personality/enfj-t","zh-CN","variant_at_pair","ENFJ-T","P2","Connect A/T sibling pages so readers can compare confidence-style variants without leaving the type cluster.","true",""
"recommended","https://fermatmind.com/zh/personality/enfj-a","https://fermatmind.com/zh/personality/enfj-a-vs-enfj-t","zh-CN","variant_to_comparison","ENFJ-A 与 ENFJ-T 对比","P1","Connect variant pages to the dedicated A-vs-T comparison page for the same MBTI code.","true",""
"recommended","https://fermatmind.com/zh/personality/enfj-a-vs-enfj-t","https://fermatmind.com/zh/personality/enfj-a","zh-CN","comparison_to_variant","ENFJ-A 人格","P1","Return comparison readers to the underlying A/T variant profile pages.","true",""
"recommended","https://fermatmind.com/zh/personality/enfj-a-vs-enfj-t","https://fermatmind.com/zh/personality/enfj-t","zh-CN","comparison_to_variant","ENFJ-T 人格","P1","Return comparison readers to the underlying A/T variant profile pages.","true",""
"recommended","https://fermatmind.com/zh/personality/enfj-t","https://fermatmind.com/zh/personality/enfj-a","zh-CN","variant_at_pair","ENFJ-A","P2","Connect A/T sibling pages so readers can compare confidence-style variants without leaving the type cluster.","true",""
"recommended","https://fermatmind.com/zh/personality/enfj-t","https://fermatmind.com/zh/personality/enfj-a-vs-enfj-t","zh-CN","variant_to_comparison","ENFJ-A 与 ENFJ-T 对比","P1","Connect variant pages to the dedicated A-vs-T comparison page for the same MBTI code.","true",""
"recommended","https://fermatmind.com/zh/personality/enfp-a","https://fermatmind.com/zh/personality/enfp-t","zh-CN","variant_at_pair","ENFP-T","P2","Connect A/T sibling pages so readers can compare confidence-style variants without leaving the type cluster.","true",""
"recommended","https://fermatmind.com/zh/personality/enfp-a","https://fermatmind.com/zh/personality/enfp-a-vs-enfp-t","zh-CN","variant_to_comparison","ENFP-A 与 ENFP-T 对比","P1","Connect variant pages to the dedicated A-vs-T comparison page for the same MBTI code.","true",""
"recommended","https://fermatmind.com/zh/personality/enfp-a-vs-enfp-t","https://fermatmind.com/zh/personality/enfp-a","zh-CN","comparison_to_variant","ENFP-A 人格","P1","Return comparison readers to the underlying A/T variant profile pages.","true",""
"recommended","https://fermatmind.com/zh/personality/enfp-a-vs-enfp-t","https://fermatmind.com/zh/personality/enfp-t","zh-CN","comparison_to_variant","ENFP-T 人格","P1","Return comparison readers to the underlying A/T variant profile pages.","true",""
"recommended","https://fermatmind.com/zh/personality/enfp-t","https://fermatmind.com/zh/personality/enfp-a","zh-CN","variant_at_pair","ENFP-A","P2","Connect A/T sibling pages so readers can compare confidence-style variants without leaving the type cluster.","true",""
"recommended","https://fermatmind.com/zh/personality/enfp-t","https://fermatmind.com/zh/personality/enfp-a-vs-enfp-t","zh-CN","variant_to_comparison","ENFP-A 与 ENFP-T 对比","P1","Connect variant pages to the dedicated A-vs-T comparison page for the same MBTI code.","true",""
"recommended","https://fermatmind.com/zh/personality/entj-a","https://fermatmind.com/zh/personality/entj-t","zh-CN","variant_at_pair","ENTJ-T","P2","Connect A/T sibling pages so readers can compare confidence-style variants without leaving the type cluster.","true",""
"recommended","https://fermatmind.com/zh/personality/entj-a","https://fermatmind.com/zh/personality/entj-a-vs-entj-t","zh-CN","variant_to_comparison","ENTJ-A 与 ENTJ-T 对比","P1","Connect variant pages to the dedicated A-vs-T comparison page for the same MBTI code.","true",""
"recommended","https://fermatmind.com/zh/personality/entj-a-vs-entj-t","https://fermatmind.com/zh/personality/entj-a","zh-CN","comparison_to_variant","ENTJ-A 人格","P1","Return comparison readers to the underlying A/T variant profile pages.","true",""
"recommended","https://fermatmind.com/zh/personality/entj-a-vs-entj-t","https://fermatmind.com/zh/personality/entj-t","zh-CN","comparison_to_variant","ENTJ-T 人格","P1","Return comparison readers to the underlying A/T variant profile pages.","true",""
"recommended","https://fermatmind.com/zh/personality/entj-t","https://fermatmind.com/zh/personality/entj-a","zh-CN","variant_at_pair","ENTJ-A","P2","Connect A/T sibling pages so readers can compare confidence-style variants without leaving the type cluster.","true",""
"recommended","https://fermatmind.com/zh/personality/entj-t","https://fermatmind.com/zh/personality/entj-a-vs-entj-t","zh-CN","variant_to_comparison","ENTJ-A 与 ENTJ-T 对比","P1","Connect variant pages to the dedicated A-vs-T comparison page for the same MBTI code.","true",""
"recommended","https://fermatmind.com/zh/personality/entp-a","https://fermatmind.com/zh/personality/entp-t","zh-CN","variant_at_pair","ENTP-T","P2","Connect A/T sibling pages so readers can compare confidence-style variants without leaving the type cluster.","true",""
"recommended","https://fermatmind.com/zh/personality/entp-a","https://fermatmind.com/zh/personality/entp-a-vs-entp-t","zh-CN","variant_to_comparison","ENTP-A 与 ENTP-T 对比","P1","Connect variant pages to the dedicated A-vs-T comparison page for the same MBTI code.","true",""
