approval_record_id,target_path,target_url,locale,slug,entity_kind,cms_resource,payload_sha256,manual_review_decision,production_import_authorized
mbti-cms-approval-39:profile:infp-a,/zh/personality/infp-a,https://fermatmind.com/zh/personality/infp-a,zh-CN,infp-a,profile,personality_profile,ceb21f2c62a3085d920ebd32ba7063c756fc7a8cf3e827317cfaec9806127d8e,approved_for_fail_closed_importer_preflight,false
mbti-cms-approval-39:profile:infp-t,/zh/personality/infp-t,https://fermatmind.com/zh/personality/infp-t,zh-CN,infp-t,profile,personality_profile,a615285b052997f08d543422ee6689696aa2f639f0e05891f6e605cf2c55c08b,approved_for_fail_closed_importer_preflight,false
mbti-cms-approval-39:profile:enfj-a,/zh/personality/enfj-a,https://fermatmind.com/zh/personality/enfj-a,zh-CN,enfj-a,profile,personality_profile,59148c22e8482e4c503ee136ee7726ebac51f28d6a2415e1481cf25fdb47965e,approved_for_fail_closed_importer_preflight,false
mbti-cms-approval-39:profile:enfj-t,/zh/personality/enfj-t,https://fermatmind.com/zh/personality/enfj-t,zh-CN,enfj-t,profile,personality_profile,9c77738e5adccc74c9a2887c085cf97b4c4a0139591aac5ca87a06bdc14108c0,approved_for_fail_closed_importer_preflight,false
mbti-cms-approval-39:profile:enfp-a,/zh/personality/enfp-a,https://fermatmind.com/zh/personality/enfp-a,zh-CN,enfp-a,profile,personality_profile,c61afb27b309f61bd6c8ca413a9e17bf9c30321cfcfd1af749c13363228ee707,approved_for_fail_closed_importer_preflight,false
mbti-cms-approval-39:profile:enfp-t,/zh/personality/enfp-t,https://fermatmind.com/zh/personality/enfp-t,zh-CN,enfp-t,profile,personality_profile,506d2de19b729cf14235587940ce71e803418b44738732a6febfd6a89e1a10e9,approved_for_fail_closed_importer_preflight,false
mbti-cms-approval-39:profile:istj-t,/zh/personality/istj-t,https://fermatmind.com/zh/personality/istj-t,zh-CN,istj-t,profile,personality_profile,07f802713c98aa30681cff7ee32b535642261ed26ec7fead6ea54f801baaaa36,approved_for_fail_closed_importer_preflight,false
mbti-cms-approval-39:profile:isfj-a,/zh/personality/isfj-a,https://fermatmind.com/zh/personality/isfj-a,zh-CN,isfj-a,profile,personality_profile,9c16685a83836c5f1c376d16f5c9e7394e79ee71a450909fd1af6142c07a5cb0,approved_for_fail_closed_importer_preflight,false
mbti-cms-approval-39:profile:isfj-t,/zh/personality/isfj-t,https://fermatmind.com/zh/personality/isfj-t,zh-CN,isfj-t,profile,personality_profile,ac172d3fed11b1696cc63e0b0c87e6155c42e8dff7f09598585a2b7945aca66d,approved_for_fail_closed_importer_preflight,false
mbti-cms-approval-39:profile:estj-a,/zh/personality/estj-a,https://fermatmind.com/zh/personality/estj-a,zh-CN,estj-a,profile,personality_profile,959043aed4118724efa2af9f89d13979331718dba9e716812ff25f0b08e9dbee,approved_for_fail_closed_importer_preflight,false
mbti-cms-approval-39:profile:estj-t,/zh/personality/estj-t,https://fermatmind.com/zh/personality/estj-t,zh-CN,estj-t,profile,personality_profile,aa196c597a65f2624554ac7dfd37c760b8a345da2e5b0c7303968b9d9ec3a90f,approved_for_fail_closed_importer_preflight,false
mbti-cms-approval-39:profile:esfj-t,/zh/personality/esfj-t,https://fermatmind.com/zh/personality/esfj-t,zh-CN,esfj-t,profile,personality_profile,e3f1f1a5894129324ac3a3f0b4bab45c78b6175b5b7147563a9d9c8fb2d1fbe3,approved_for_fail_closed_importer_preflight,false
mbti-cms-approval-39:profile:istp-t,/zh/personality/istp-t,https://fermatmind.com/zh/personality/istp-t,zh-CN,istp-t,profile,personality_profile,90bbc8dd38cb568409e747496fda0230a621ed36b0d389579312f6705a095897,approved_for_fail_closed_importer_preflight,false
mbti-cms-approval-39:profile:isfp-t,/zh/personality/isfp-t,https://fermatmind.com/zh/personality/isfp-t,zh-CN,isfp-t,profile,personality_profile,2a8931e5136b474afcf573799a5760b5cf000bfb5079e496da397abe809c789b,approved_for_fail_closed_importer_preflight,false
mbti-cms-approval-39:profile:estp-a,/zh/personality/estp-a,https://fermatmind.com/zh/personality/estp-a,zh-CN,estp-a,profile,personality_profile,1cf0b36f49cfdcfd922d4e6eadc10f3390a5374972426f472d431db0265c6875,approved_for_fail_closed_importer_preflight,false
mbti-cms-approval-39:profile:estp-t,/zh/personality/estp-t,https://fermatmind.com/zh/personality/estp-t,zh-CN,estp-t,profile,personality_profile,32ffce65d374015de588853b12e5ac09f148e4d4189c8de4e84512c1034ab77b,approved_for_fail_closed_importer_preflight,false
mbti-cms-approval-39:profile:esfp-a,/zh/personality/esfp-a,https://fermatmind.com/zh/personality/esfp-a,zh-CN,esfp-a,profile,personality_profile,a87c4c80b8f43d6fd05ed9a270d15e80fdb4eaebe49d21d6e74acd6943b38b38,approved_for_fail_closed_importer_preflight,false
mbti-cms-approval-39:profile:esfp-t,/zh/personality/esfp-t,https://fermatmind.com/zh/personality/esfp-t,zh-CN,esfp-t,profile,personality_profile,a123e64d8c592a4167d05cfc80fe7f8b704204be384d4e3dfd72bfa17c3b0960,approved_for_fail_closed_importer_preflight,false
mbti-cms-approval-39:at_comparison:intj-a-vs-intj-t,/zh/personality/intj-a-vs-intj-t,https://fermatmind.com/zh/personality/intj-a-vs-intj-t,zh-CN,intj-a-vs-intj-t,at_comparison,personality_comparison,00e02fb3c67aadc6af161f2634469d53aefe7ca316d619308627d49fb9012bab,approved_for_fail_closed_importer_preflight,false
mbti-cms-approval-39:at_comparison:entj-a-vs-entj-t,/zh/personality/entj-a-vs-entj-t,https://fermatmind.com/zh/personality/entj-a-vs-entj-t,zh-CN,entj-a-vs-entj-t,at_comparison,personality_comparison,97d5ed6586f499276e5ed58cbd7eb09319106a3d79ec631378d0bc4dae706f6d,approved_for_fail_closed_importer_preflight,false
mbti-cms-approval-39:at_comparison:entp-a-vs-entp-t,/zh/personality/entp-a-vs-entp-t,https://fermatmind.com/zh/personality/entp-a-vs-entp-t,zh-CN,entp-a-vs-entp-t,at_comparison,personality_comparison,e9fe547dde966ca4bfe6db52a1626f625c7a9cd3164b83ef7eb433574844bdfa,approved_for_fail_closed_importer_preflight,false
mbti-cms-approval-39:at_comparison:infj-a-vs-infj-t,/zh/personality/infj-a-vs-infj-t,https://fermatmind.com/zh/personality/infj-a-vs-infj-t,zh-CN,infj-a-vs-infj-t,at_comparison,personality_comparison,b795b16530f40238334148a8db5439fa5927c429fec8936054934e2e2aef168e,approved_for_fail_closed_importer_preflight,false
mbti-cms-approval-39:at_comparison:infp-a-vs-infp-t,/zh/personality/infp-a-vs-infp-t,https://fermatmind.com/zh/personality/infp-a-vs-infp-t,zh-CN,infp-a-vs-infp-t,at_comparison,personality_comparison,b264bfa6df960c77e1907e74f63dd721216aa37eb3246465ee6bb57b5986cfec,approved_for_fail_closed_importer_preflight,false
mbti-cms-approval-39:at_comparison:enfj-a-vs-enfj-t,/zh/personality/enfj-a-vs-enfj-t,https://fermatmind.com/zh/personality/enfj-a-vs-enfj-t,zh-CN,enfj-a-vs-enfj-t,at_comparison,personality_comparison,d64628608d9026a3b3b3956337d9a3bb8dc6c62fbd787a844a26d5fe5fe17b83,approved_for_fail_closed_importer_preflight,false
mbti-cms-approval-39:at_comparison:enfp-a-vs-enfp-t,/zh/personality/enfp-a-vs-enfp-t,https://fermatmind.com/zh/personality/enfp-a-vs-enfp-t,zh-CN,enfp-a-vs-enfp-t,at_comparison,personality_comparison,bd35274fe4cf88e26190627cad0e8355688ad419e446431bfe03c3893e78b93d,approved_for_fail_closed_importer_preflight,false
mbti-cms-approval-39:at_comparison:istj-a-vs-istj-t,/zh/personality/istj-a-vs-istj-t,https://fermatmind.com/zh/personality/istj-a-vs-istj-t,zh-CN,istj-a-vs-istj-t,at_comparison,personality_comparison,65082954ddbf95a148f3ca1bd448ca9ecea80ce7daf4a12a4e8f10aca31caa08,approved_for_fail_closed_importer_preflight,false
mbti-cms-approval-39:at_comparison:isfj-a-vs-isfj-t,/zh/personality/isfj-a-vs-isfj-t,https://fermatmind.com/zh/personality/isfj-a-vs-isfj-t,zh-CN,isfj-a-vs-isfj-t,at_comparison,personality_comparison,51d8bae63c391c7f8337d0d8e2bc4e25b1c29a229e3a983b73e2fafa8813b636,approved_for_fail_closed_importer_preflight,false
mbti-cms-approval-39:at_comparison:estj-a-vs-estj-t,/zh/personality/estj-a-vs-estj-t,https://fermatmind.com/zh/personality/estj-a-vs-estj-t,zh-CN,estj-a-vs-estj-t,at_comparison,personality_comparison,115f4581ebc3ebaec2e66080188066efc9c6e3086425c884d1b6f6c163865cf1,approved_for_fail_closed_importer_preflight,false
mbti-cms-approval-39:at_comparison:esfj-a-vs-esfj-t,/zh/personality/esfj-a-vs-esfj-t,https://fermatmind.com/zh/personality/esfj-a-vs-esfj-t,zh-CN,esfj-a-vs-esfj-t,at_comparison,personality_comparison,1160b4cb6d557e6b9534ebacaca7ac5bdc7966e5c073f0974831e77a80df3675,approved_for_fail_closed_importer_preflight,false
mbti-cms-approval-39:at_comparison:istp-a-vs-istp-t,/zh/personality/istp-a-vs-istp-t,https://fermatmind.com/zh/personality/istp-a-vs-istp-t,zh-CN,istp-a-vs-istp-t,at_comparison,personality_comparison,db08b160f7a60053fa762fcd9d05cbe7fa439bfff610f749e45bc600b09f09be,approved_for_fail_closed_importer_preflight,false
mbti-cms-approval-39:at_comparison:isfp-a-vs-isfp-t,/zh/personality/isfp-a-vs-isfp-t,https://fermatmind.com/zh/personality/isfp-a-vs-isfp-t,zh-CN,isfp-a-vs-isfp-t,at_comparison,personality_comparison,3e5b7ac466af367fd0516f2cc9221bfe425afa562958acaac2e3e96d592a773c,approved_for_fail_closed_importer_preflight,false
mbti-cms-approval-39:at_comparison:estp-a-vs-estp-t,/zh/personality/estp-a-vs-estp-t,https://fermatmind.com/zh/personality/estp-a-vs-estp-t,zh-CN,estp-a-vs-estp-t,at_comparison,personality_comparison,afca819008f78fa455d7890a91087936a888ce0fc5fed8036f6d309bd5f28815,approved_for_fail_closed_importer_preflight,false
mbti-cms-approval-39:at_comparison:esfp-a-vs-esfp-t,/zh/personality/esfp-a-vs-esfp-t,https://fermatmind.com/zh/personality/esfp-a-vs-esfp-t,zh-CN,esfp-a-vs-esfp-t,at_comparison,personality_comparison,e57045cca70fb6990ca3cb714ca6a027ed4bc542340cd027357001c4d57eaa43,approved_for_fail_closed_importer_preflight,false
