"route","kind","disposition","content_authority","status","failures","expected_content_fingerprint","observed_content_fingerprint","public_api_latency_ms"
"/zh/personality/isfj-a-vs-isfj-t","at_comparison","repair_draft_readback","production_cms_draft_revision","pass","","51d8bae63c391c7f8337d0d8e2bc4e25b1c29a229e3a983b73e2fafa8813b636","51d8bae63c391c7f8337d0d8e2bc4e25b1c29a229e3a983b73e2fafa8813b636","1849"
"/zh/personality/estj-a-vs-estj-t","at_comparison","repair_draft_readback","production_cms_draft_revision","pass","","115f4581ebc3ebaec2e66080188066efc9c6e3086425c884d1b6f6c163865cf1","115f4581ebc3ebaec2e66080188066efc9c6e3086425c884d1b6f6c163865cf1","985"
"/zh/personality/esfj-a-vs-esfj-t","at_comparison","repair_draft_readback","production_cms_draft_revision","pass","","1160b4cb6d557e6b9534ebacaca7ac5bdc7966e5c073f0974831e77a80df3675","1160b4cb6d557e6b9534ebacaca7ac5bdc7966e5c073f0974831e77a80df3675","978"
"/zh/personality/istp-a-vs-istp-t","at_comparison","repair_draft_readback","production_cms_draft_revision","pass","","db08b160f7a60053fa762fcd9d05cbe7fa439bfff610f749e45bc600b09f09be","db08b160f7a60053fa762fcd9d05cbe7fa439bfff610f749e45bc600b09f09be","565"
"/zh/personality/isfp-a-vs-isfp-t","at_comparison","repair_draft_readback","production_cms_draft_revision","pass","","3e5b7ac466af367fd0516f2cc9221bfe425afa562958acaac2e3e96d592a773c","3e5b7ac466af367fd0516f2cc9221bfe425afa562958acaac2e3e96d592a773c","702"
"/zh/personality/estp-a-vs-estp-t","at_comparison","repair_draft_readback","production_cms_draft_revision","pass","","afca819008f78fa455d7890a91087936a888ce0fc5fed8036f6d309bd5f28815","afca819008f78fa455d7890a91087936a888ce0fc5fed8036f6d309bd5f28815","578"
"/zh/personality/esfp-a-vs-esfp-t","at_comparison","repair_draft_readback","production_cms_draft_revision","pass","","e57045cca70fb6990ca3cb714ca6a027ed4bc542340cd027357001c4d57eaa43","e57045cca70fb6990ca3cb714ca6a027ed4bc542340cd027357001c4d57eaa43","679"
"/zh/personality/intj-vs-intp","cross_type_comparison","verify_only_existing_authority","existing_public_api_authority","pass","","","","213"
"/zh/personality/entj-vs-intj","cross_type_comparison","verify_only_existing_authority","existing_public_api_authority","pass","","","","229"
"/zh/personality/infj-vs-infp","cross_type_comparison","verify_only_existing_authority","existing_public_api_authority","pass","","","","199"
"/zh/personality/istj-vs-isfj","cross_type_comparison","verify_only_existing_authority","existing_public_api_authority","pass","","","","206"
