"path","kind","group","expected_section_count","result","public_api","authority","authority_fingerprint","visible_body","section_completeness","faq","jsonld","canonical","robots_indexability","sitemap","llms","llms_full","api_no_timeout","authority_fingerprint_sha256","source_revision_sha256","blockers"
"/zh/personality/infp-a","profile","NF","35","pass","true","true","true","true","true","true","true","true","true","true","true","true","true","36fb21140dfd4b765519dbe6f9bd7c864084b622e8cb8968435f073d9a56a41b","9abf7dcaa79f7345a560804099b939ba8bf83a782f6ed508b76816c761f46e60",""
"/zh/personality/infp-t","profile","NF","35","pass","true","true","true","true","true","true","true","true","true","true","true","true","true","f023b3ef93065cba2a90746c54ca33be3edc198ac183a161da192aff2b8b8dae","9abf7dcaa79f7345a560804099b939ba8bf83a782f6ed508b76816c761f46e60",""
"/zh/personality/enfj-a","profile","NF","35","pass","true","true","true","true","true","true","true","true","true","true","true","true","true","8de25b8e46dbba3ecfb64c00172c0ffdfee7abc56aed4764900aa9cfd7578d63","601c64fe60e02d0cddadbc32c0f8473199c4848bad705fb849803e6946d1c281",""
"/zh/personality/enfj-t","profile","NF","35","pass","true","true","true","true","true","true","true","true","true","true","true","true","true","8c63c9e558264f49394b674cd5fcfa6f5c620b0a28090431dba744aaa9847820","601c64fe60e02d0cddadbc32c0f8473199c4848bad705fb849803e6946d1c281",""
"/zh/personality/enfp-a","profile","NF","35","pass","true","true","true","true","true","true","true","true","true","true","true","true","true","4a2fefd4092639944d1b2dc51ad89e3327ebf897c5b3164b922ea1a9eda6cb8c","a90729577931fbfa67491939c245916ad36af3b294cdfef24a595b89b5f46b87",""
"/zh/personality/enfp-t","profile","NF","35","pass","true","true","true","true","true","true","true","true","true","true","true","true","true","21278ec4510bdd32783ea90b855d15a43cc034e4c8615b2c8c2d80c49461efbb","a90729577931fbfa67491939c245916ad36af3b294cdfef24a595b89b5f46b87",""
"/zh/personality/istj-a","profile","SJ","34","pass","true","true","true","true","true","true","true","true","true","true","true","true","true","e8b9f65121d9d9d2b5c4621bf3d34afe9051d4c6d9e735fda5fdf6ef063d8deb","424847e8697caa13fe4042633da369e450de5839fdcca4c32359b6b5d097708d",""
"/zh/personality/istj-t","profile","SJ","35","pass","true","true","true","true","true","true","true","true","true","true","true","true","true","1d9c82b33dcf2c2a6238c6862bc1825883936fff02ae09008a2d3382423361db","424847e8697caa13fe4042633da369e450de5839fdcca4c32359b6b5d097708d",""
"/zh/personality/isfj-a","profile","SJ","35","pass","true","true","true","true","true","true","true","true","true","true","true","true","true","2beb4a7e1bb4b6590aa4f9a09e17542dd5b156dc41a5d69b86b32be8bf6a8d56","49f0f1eddfb0e4f689715336c03e83fefc0ed469e95ab0f75ad48d3530abaf61",""
"/zh/personality/isfj-t","profile","SJ","35","pass","true","true","true","true","true","true","true","true","true","true","true","true","true","54cc213be1ec0994a4b4014952fb2177cfee1b4b272acad8c823d4f4cb0cb4b8","49f0f1eddfb0e4f689715336c03e83fefc0ed469e95ab0f75ad48d3530abaf61",""
"/zh/personality/estj-a","profile","SJ","35","pass","true","true","true","true","true","true","true","true","true","true","true","true","true","9fef20430b450c4747293de06be36233407a7c83f6907361fd721745bec14c78","6013a7082fc8fe8016610fd711df1e72488230bfd80ca940df35ab444a6ee603",""
"/zh/personality/estj-t","profile","SJ","35","pass","true","true","true","true","true","true","true","true","true","true","true","true","true","1b83024abd526ad93b97d67df4924e7628a0d085467079609f7b3ca3778bfca1","6013a7082fc8fe8016610fd711df1e72488230bfd80ca940df35ab444a6ee603",""
"/zh/personality/esfj-a","profile","SJ","34","pass","true","true","true","true","true","true","true","true","true","true","true","true","true","9897d77e2d6d42bbd1a5e3791695470cb8b23ec0c635e6cae4b6ec1ccf6368b3","c4aeefa81c6bd76697ad1d427b97c60696a3543104df2998b0b19cfa2213cb14",""
"/zh/personality/esfj-t","profile","SJ","35","pass","true","true","true","true","true","true","true","true","true","true","true","true","true","c8fbcbaf7153dd6b6eaad44b120ce9b033adf6034462156d43124d9d6ed5674c","c4aeefa81c6bd76697ad1d427b97c60696a3543104df2998b0b19cfa2213cb14",""
"/zh/personality/istp-a","profile","SP","34","pass","true","true","true","true","true","true","true","true","true","true","true","true","true","7956b642edcac119f0652b0ffde6d9645d69e8118b93523555b895087c3cbfdc","43d5a33f154e9b61be91bbef061d19d7dbec40261a7b72b9f8a96398f3a6f269",""
"/zh/personality/istp-t","profile","SP","35","pass","true","true","true","true","true","true","true","true","true","true","true","true","true","4cb6986524841cc6754a9aa321cdcd6283fc4e8a2749d8caa4adefbee2e843c2","43d5a33f154e9b61be91bbef061d19d7dbec40261a7b72b9f8a96398f3a6f269",""
"/zh/personality/isfp-a","profile","SP","34","pass","true","true","true","true","true","true","true","true","true","true","true","true","true","c251880d3392f0d894dc0d2204e7f25fbb491b4555b2c554852891baba4a51f0","f234ab5b33850e263713dae88dc8d918aee8b6078db3404a62473f3db71cacf8",""
"/zh/personality/isfp-t","profile","SP","35","pass","true","true","true","true","true","true","true","true","true","true","true","true","true","cf331d24b44b464d1d14765d063745c3a812ea5d4c46ec920bec0ffaae76a7db","f234ab5b33850e263713dae88dc8d918aee8b6078db3404a62473f3db71cacf8",""
"/zh/personality/estp-a","profile","SP","35","pass","true","true","true","true","true","true","true","true","true","true","true","true","true","57ee6593888efb8fb52684c1531e1180efcf72cbd64de83deb971cadf9eee9ab","fe79ad32a6ac06c450974a44f46ab55c6c38e2ab3ff5069d7adc214301dfac68",""
"/zh/personality/estp-t","profile","SP","35","pass","true","true","true","true","true","true","true","true","true","true","true","true","true","07850dbc5f844fa8b1efb5450c30968fca46c1286219c7495dc15f696d19c700","fe79ad32a6ac06c450974a44f46ab55c6c38e2ab3ff5069d7adc214301dfac68",""
"/zh/personality/esfp-a","profile","SP","35","pass","true","true","true","true","true","true","true","true","true","true","true","true","true","5d369b45f15cc6c6a7a11ca681af4460d935dc2a776ccb5ff783cdebf6514358","48e238a98751de1139e60cefead8ffbbf745f255333375d2d8275756eb988f0d",""
"/zh/personality/esfp-t","profile","SP","35","pass","true","true","true","true","true","true","true","true","true","true","true","true","true","c6592744b304e414d6b3aecfd4c028f67dbf002fbb7c685c1586b2e5a4c096c0","48e238a98751de1139e60cefead8ffbbf745f255333375d2d8275756eb988f0d",""
"/zh/personality/intj-a-vs-intj-t","at_comparison","NT","9","pass","true","true","true","true","true","true","true","true","true","true","true","true","true","5404a8dcdd57710b94350a252f4a1e9a36b2ffcee0751bdae418e20adaace2cf","390644e16b1b9ffa60015b90ad2277dc8e610b7bf33765e5acc412d241e8cb17",""
"/zh/personality/intp-a-vs-intp-t","at_comparison","NT","9","pass","true","true","true","true","true","true","true","true","true","true","true","true","true","1c69cf741de8f5513e3f5c92ee33896a9418abcd4e7f99c652d0f299c34d2594","3bb0788440622d680be3db4b75936dc8abb4ed749401db0670c724935054e2a7",""
"/zh/personality/entj-a-vs-entj-t","at_comparison","NT","9","pass","true","true","true","true","true","true","true","true","true","true","true","true","true","6aa409502b027cdb12f04699a850bf9e9a0daa5f71b848be49d5e8a20eef7e6c","ae1236d5492fef8de2b2d4a7da931f6ec63866a3ad28664032650f81e7e07ef2",""
"/zh/personality/entp-a-vs-entp-t","at_comparison","NT","9","pass","true","true","true","true","true","true","true","true","true","true","true","true","true","5a75003b1d25ae2374145e5fff5b2f2156aaff5f5fe436efb5c7cbf6af4c391a","d03a733395bcf6b7e33dbe9b152a11c7b13cc32bdea748f8fdc85c81d3aac1cf",""
"/zh/personality/infj-a-vs-infj-t","at_comparison","NF","9","pass","true","true","true","true","true","true","true","true","true","true","true","true","true","f6262be59b11678d5e9329d7880201f74133bf04eaed869521e3785632db3fd3","a63cd3f59a4385641baa8bddf4ba11434ec45b2f67c462916cd5889485d83fb3",""
"/zh/personality/infp-a-vs-infp-t","at_comparison","NF","9","pass","true","true","true","true","true","true","true","true","true","true","true","true","true","6bda7b6ef3795d2bd43d551d04936f90eed231dd1118daaab668db967991106a","d40619160534cc6b66a8af7187ce6944dacf1ef214ad39c10d4dc18c950a1409",""
"/zh/personality/enfj-a-vs-enfj-t","at_comparison","NF","9","pass","true","true","true","true","true","true","true","true","true","true","true","true","true","ec54dcdf1d10bafc3b3ddb38880d8cc8ba52e731b3c462e09bf0f16d85064b30","f2ee169b8cd1b52388ac6922c2aa25eca1e239f7aa7544c0a850368c8358ed8d",""
"/zh/personality/enfp-a-vs-enfp-t","at_comparison","NF","9","pass","true","true","true","true","true","true","true","true","true","true","true","true","true","fb7ac2ee55a8091b6a1cdfac9e8417828707d5e6ab0326a78ac54d1221266f43","4acbbce6934f7464b69952683d83ac34c06ea24419012beea83566be3294a625",""
"/zh/personality/istj-a-vs-istj-t","at_comparison","SJ","9","pass","true","true","true","true","true","true","true","true","true","true","true","true","true","4098031414be47b82ecd52827e5eacf3719b84aec6276f2e8c9fb7558853990a","b823cb709279f9535a9485dc2efb71a7b48481a8cec6640b99c161d7d185901b",""
"/zh/personality/isfj-a-vs-isfj-t","at_comparison","SJ","9","pass","true","true","true","true","true","true","true","true","true","true","true","true","true","22e5387a3e5dc8f8e9b780083b5e372cf15a583ee4a7fe8effa303b25b95c3f3","a8b0e0e2515c4556bda9f3197d82484cf1943e5da9d2e92028b3727b62adb20e",""
"/zh/personality/estj-a-vs-estj-t","at_comparison","SJ","9","pass","true","true","true","true","true","true","true","true","true","true","true","true","true","a0a4252af1f4f23a951db111f6d28f5a6569c7d7f68943e031b0b647b960bf65","0807fec72ffd05aa8d4cfc6cabc15481218759132de0ad3ec6619bf76a2c4eeb",""
"/zh/personality/esfj-a-vs-esfj-t","at_comparison","SJ","9","pass","true","true","true","true","true","true","true","true","true","true","true","true","true","0bbf7cd7cf74c9c1210ee49e5f0199ef468a1c1c38be124af9245dbbdadf84cd","7ead9d834b350f8fa0690543a83c7eace137f2ae1e874b0bb864cb5a46ab79c0",""
"/zh/personality/istp-a-vs-istp-t","at_comparison","SP","9","pass","true","true","true","true","true","true","true","true","true","true","true","true","true","ea5c57bbd67e23b668f50880d1ad356aef1ddfb8e635777bb5b332c0abe5981a","6858016e8f8408e75c302039c511afd01c4ef6a331e4c0ab0481638eaee23676",""
"/zh/personality/isfp-a-vs-isfp-t","at_comparison","SP","9","pass","true","true","true","true","true","true","true","true","true","true","true","true","true","24b1a6b15913942ba8311f9082f1a2129fc821c296a9e37e19fc83c6e77fbb03","dcf7dd9f9f99d538a0587321e012c68f8ec6473e52bbc7dab8df6b1241491e10",""
"/zh/personality/estp-a-vs-estp-t","at_comparison","SP","9","pass","true","true","true","true","true","true","true","true","true","true","true","true","true","b860f26d2722d38c37a392ae59173ecd4162acd7ac9e217206e52c60552a1161","015561efdd1581730854e0f42ddef514968f41dc1b56bf5225912b188aa7edc1",""
"/zh/personality/esfp-a-vs-esfp-t","at_comparison","SP","9","pass","true","true","true","true","true","true","true","true","true","true","true","true","true","97f01c224a6276c4126f21cf3d6738b02ee06d0e525429886ad84f227eb84c65","28f2a46eee30c6eabe00df38a82a7f7671662209328988392550039743098116",""
"/zh/personality/intj-vs-intp","cross_type_comparison","original_cross_type","6","pass","true","true","true","true","true","true","true","true","true","true","true","true","true","d3e98310c43586f929ff0abac3da1ea09c2636cc148764903b3f9a085f7a1c3a","cb8957b361cc3a6f4fc888d621ee2a8264a43cfb350a481010d452be72e72cab",""
"/zh/personality/entj-vs-intj","cross_type_comparison","original_cross_type","6","pass","true","true","true","true","true","true","true","true","true","true","true","true","true","500cf2b55232891ec670cc0781705fe8e6d5277dc98fadd92c0d2dc37aebe1df","cb8957b361cc3a6f4fc888d621ee2a8264a43cfb350a481010d452be72e72cab",""
"/zh/personality/infj-vs-infp","cross_type_comparison","original_cross_type","6","pass","true","true","true","true","true","true","true","true","true","true","true","true","true","f065542beab32630a975648b971884ec815c42de9c381b1ca3bece7d71948331","cb8957b361cc3a6f4fc888d621ee2a8264a43cfb350a481010d452be72e72cab",""
"/zh/personality/istj-vs-isfj","cross_type_comparison","original_cross_type","6","pass","true","true","true","true","true","true","true","true","true","true","true","true","true","255b373d395874d97e16a5f08700a51d88735185c997f3e43defd888b3bda87f","cb8957b361cc3a6f4fc888d621ee2a8264a43cfb350a481010d452be72e72cab",""
"/zh/personality/enfp-vs-entp","cross_type_comparison","released_cross_type","8","pass","true","true","true","true","true","true","true","true","true","true","true","true","true","662d585a31e54305a3cc243a15eaa11c7896937d33eae0e59f68b5d4a78afde4","c05bc3db630a981b58c388409d9d4d27e5869e74791b74c85e26e25eee348b5b",""
"/zh/personality/estj-vs-entj","cross_type_comparison","released_cross_type","8","pass","true","true","true","true","true","true","true","true","true","true","true","true","true","f0e81aef43421fc9f17751fa5caf9ca6eedee205b5d5b4b45ac244e3c44fd9a8","ff76118ed55112d768ff715378ed476ed9d1081ef539dc424b2a5b3667cf8265",""
"/zh/personality/isfp-vs-infp","cross_type_comparison","released_cross_type","8","pass","true","true","true","true","true","true","true","true","true","true","true","true","true","d8e62bdea47147bb42d7a3cb8c57a45b8d9fb7949c29afd104262808866378e9","6a6c8b97745651d96231437127ff495bc1c91754142b7754715a67f3d82ed397",""
