evidence_status,date,not_indexed,indexed,displayed,limitation
VERIFIED_GSC_PAGE_INDEXING_DAILY,2026-05-31,,,58,Blank historical cells are preserved as unavailable; category-level export only.
VERIFIED_GSC_PAGE_INDEXING_DAILY,2026-06-21,1851,800,605,Blank historical cells are preserved as unavailable; category-level export only.
VERIFIED_GSC_PAGE_INDEXING_DAILY,2026-06-22,1851,800,1084,Blank historical cells are preserved as unavailable; category-level export only.
VERIFIED_GSC_PAGE_INDEXING_DAILY,2026-06-23,1851,800,2703,Blank historical cells are preserved as unavailable; category-level export only.
VERIFIED_GSC_PAGE_INDEXING_DAILY,2026-06-24,1851,800,907,Blank historical cells are preserved as unavailable; category-level export only.
VERIFIED_GSC_PAGE_INDEXING_DAILY,2026-06-25,1851,800,994,Blank historical cells are preserved as unavailable; category-level export only.
VERIFIED_GSC_PAGE_INDEXING_DAILY,2026-06-26,1851,800,2013,Blank historical cells are preserved as unavailable; category-level export only.
VERIFIED_GSC_PAGE_INDEXING_DAILY,2026-06-27,1851,800,1774,Blank historical cells are preserved as unavailable; category-level export only.
VERIFIED_GSC_PAGE_INDEXING_DAILY,2026-06-28,1851,800,1526,Blank historical cells are preserved as unavailable; category-level export only.
VERIFIED_GSC_PAGE_INDEXING_DAILY,2026-06-29,1851,800,1885,Blank historical cells are preserved as unavailable; category-level export only.
VERIFIED_GSC_PAGE_INDEXING_DAILY,2026-06-30,1851,800,1817,Blank historical cells are preserved as unavailable; category-level export only.
VERIFIED_GSC_PAGE_INDEXING_DAILY,2026-07-01,1995,822,1337,Blank historical cells are preserved as unavailable; category-level export only.
VERIFIED_GSC_PAGE_INDEXING_DAILY,2026-07-02,1995,822,2990,Blank historical cells are preserved as unavailable; category-level export only.
VERIFIED_GSC_PAGE_INDEXING_DAILY,2026-07-03,1995,822,1321,Blank historical cells are preserved as unavailable; category-level export only.
VERIFIED_GSC_PAGE_INDEXING_DAILY,2026-07-04,1995,822,1145,Blank historical cells are preserved as unavailable; category-level export only.
VERIFIED_GSC_PAGE_INDEXING_DAILY,2026-07-05,1995,822,1268,Blank historical cells are preserved as unavailable; category-level export only.
VERIFIED_GSC_PAGE_INDEXING_DAILY,2026-07-06,1995,822,1139,Blank historical cells are preserved as unavailable; category-level export only.
VERIFIED_GSC_PAGE_INDEXING_DAILY,2026-07-07,1995,822,5653,Blank historical cells are preserved as unavailable; category-level export only.
VERIFIED_GSC_PAGE_INDEXING_DAILY,2026-07-08,1995,822,1048,Blank historical cells are preserved as unavailable; category-level export only.
VERIFIED_GSC_PAGE_INDEXING_DAILY,2026-07-09,1995,822,937,Blank historical cells are preserved as unavailable; category-level export only.
VERIFIED_GSC_PAGE_INDEXING_DAILY,2026-07-10,1995,822,1036,Blank historical cells are preserved as unavailable; category-level export only.
VERIFIED_GSC_PAGE_INDEXING_DAILY,2026-07-11,571,955,785,Blank historical cells are preserved as unavailable; category-level export only.
VERIFIED_GSC_PAGE_INDEXING_DAILY,2026-07-12,571,955,929,Blank historical cells are preserved as unavailable; category-level export only.
VERIFIED_GSC_PAGE_INDEXING_DAILY,2026-07-13,571,955,1124,Blank historical cells are preserved as unavailable; category-level export only.
VERIFIED_GSC_PAGE_INDEXING_DAILY,2026-07-14,571,955,1421,Blank historical cells are preserved as unavailable; category-level export only.
VERIFIED_GSC_PAGE_INDEXING_DAILY,2026-07-15,571,955,1719,Blank historical cells are preserved as unavailable; category-level export only.
VERIFIED_GSC_PAGE_INDEXING_DAILY,2026-07-16,571,955,677,Blank historical cells are preserved as unavailable; category-level export only.
VERIFIED_GSC_PAGE_INDEXING_DAILY,2026-07-17,571,955,656,Blank historical cells are preserved as unavailable; category-level export only.
VERIFIED_GSC_PAGE_INDEXING_DAILY,2026-07-18,571,955,629,Blank historical cells are preserved as unavailable; category-level export only.
VERIFIED_GSC_PAGE_INDEXING_DAILY,2026-07-19,571,955,673,Blank historical cells are preserved as unavailable; category-level export only.
VERIFIED_GSC_PAGE_INDEXING_DAILY,2026-07-20,571,955,870,Blank historical cells are preserved as unavailable; category-level export only.
VERIFIED_GSC_PAGE_INDEXING_DAILY,2026-07-21,571,955,1705,Blank historical cells are preserved as unavailable; category-level export only.
VERIFIED_GSC_PAGE_INDEXING_DAILY,2026-07-22,571,955,2439,Blank historical cells are preserved as unavailable; category-level export only.
VERIFIED_GSC_PAGE_INDEXING_DAILY,2026-07-23,571,955,1031,Blank historical cells are preserved as unavailable; category-level export only.
VERIFIED_GSC_PAGE_INDEXING_DAILY,2026-07-24,571,955,988,Blank historical cells are preserved as unavailable; category-level export only.
VERIFIED_GSC_PAGE_INDEXING_DAILY,2026-07-25,2141,943,1083,Blank historical cells are preserved as unavailable; category-level export only.
VERIFIED_GSC_PAGE_INDEXING_DAILY,2026-07-26,2141,943,1113,Blank historical cells are preserved as unavailable; category-level export only.
VERIFIED_GSC_PAGE_INDEXING_DAILY,2026-07-27,2141,943,1530,Blank historical cells are preserved as unavailable; category-level export only.
VERIFIED_GSC_PAGE_INDEXING_DAILY,2026-07-28,2141,943,830,Blank historical cells are preserved as unavailable; category-level export only.
VERIFIED_GSC_PAGE_INDEXING_DAILY,2026-07-29,2141,943,1023,Blank historical cells are preserved as unavailable; category-level export only.
VERIFIED_GSC_PAGE_INDEXING_DAILY,2026-07-30,2141,943,1054,Blank historical cells are preserved as unavailable; category-level export only.
VERIFIED_GSC_PAGE_INDEXING_DAILY,2026-07-31,2141,943,953,Blank historical cells are preserved as unavailable; category-level export only.
VERIFIED_GSC_PAGE_INDEXING_DAILY,2026-08-01,2141,943,785,Blank historical cells are preserved as unavailable; category-level export only.
VERIFIED_GSC_PAGE_INDEXING_DAILY,2026-08-02,2141,943,924,Blank historical cells are preserved as unavailable; category-level export only.
VERIFIED_GSC_PAGE_INDEXING_DAILY,2026-08-03,2141,943,932,Blank historical cells are preserved as unavailable; category-level export only.
VERIFIED_GSC_PAGE_INDEXING_DAILY,2026-08-04,2141,943,952,Blank historical cells are preserved as unavailable; category-level export only.
VERIFIED_GSC_PAGE_INDEXING_DAILY,2026-08-05,2141,943,1205,Blank historical cells are preserved as unavailable; category-level export only.
VERIFIED_GSC_PAGE_INDEXING_DAILY,2026-08-06,2133,969,1259,Blank historical cells are preserved as unavailable; category-level export only.
VERIFIED_GSC_PAGE_INDEXING_DAILY,2026-08-07,2133,969,1004,Blank historical cells are preserved as unavailable; category-level export only.
