level,slug,locale,code,message
repair_required,agricultural-and-food-scientists,zh-CN,occupation_specificity_score_below_3,None
repair_required,agricultural-and-food-scientists,en,occupation_specificity_score_below_3,None
repair_required,agricultural-engineers,zh-CN,occupation_specificity_score_below_3,None
repair_required,agricultural-engineers,en,occupation_specificity_score_below_3,None
repair_required,agricultural-equipment-operators,zh-CN,occupation_specificity_score_below_3,None
repair_required,agricultural-equipment-operators,en,occupation_specificity_score_below_3,None
repair_required,agricultural-inspectors,zh-CN,occupation_specificity_score_below_3,None
repair_required,agricultural-inspectors,en,occupation_specificity_score_below_3,None
repair_required,agricultural-sciences-teachers-postsecondary,zh-CN,occupation_specificity_score_below_3,None
repair_required,agricultural-sciences-teachers-postsecondary,en,occupation_specificity_score_below_3,None
repair_required,agricultural-technicians,zh-CN,occupation_specificity_score_below_3,None
repair_required,agricultural-technicians,en,occupation_specificity_score_below_3,None
repair_required,agricultural-workers,zh-CN,occupation_specificity_score_below_3,None
repair_required,agricultural-workers,en,occupation_specificity_score_below_3,None
repair_required,air-crew-members,zh-CN,occupation_specificity_score_below_3,None
repair_required,air-crew-members,en,occupation_specificity_score_below_3,None
repair_required,air-crew-officers,zh-CN,occupation_specificity_score_below_3,None
repair_required,air-crew-officers,en,occupation_specificity_score_below_3,None
repair_required,air-traffic-controllers,zh-CN,occupation_specificity_score_below_3,None
repair_required,air-traffic-controllers,en,occupation_specificity_score_below_3,None
repair_required,aircraft-and-avionics-equipment-mechanics-and-technicians,zh-CN,occupation_specificity_score_below_3,None
repair_required,aircraft-and-avionics-equipment-mechanics-and-technicians,en,occupation_specificity_score_below_3,None
repair_required,aircraft-cargo-handling-supervisors,zh-CN,occupation_specificity_score_below_3,None
repair_required,aircraft-cargo-handling-supervisors,en,occupation_specificity_score_below_3,None
repair_required,aircraft-launch-and-recovery-officers,zh-CN,occupation_specificity_score_below_3,None
repair_required,aircraft-launch-and-recovery-officers,en,occupation_specificity_score_below_3,None
repair_required,aircraft-launch-and-recovery-specialists,zh-CN,occupation_specificity_score_below_3,None
repair_required,aircraft-launch-and-recovery-specialists,en,occupation_specificity_score_below_3,None
repair_required,aircraft-mechanics-and-service-technicians,zh-CN,occupation_specificity_score_below_3,None
repair_required,aircraft-mechanics-and-service-technicians,en,occupation_specificity_score_below_3,None
repair_required,aircraft-service-attendants,zh-CN,occupation_specificity_score_below_3,None
repair_required,aircraft-service-attendants,en,occupation_specificity_score_below_3,None
repair_required,aircraft-structure-surfaces-rigging-and-systems-assemblers,zh-CN,occupation_specificity_score_below_3,None
repair_required,aircraft-structure-surfaces-rigging-and-systems-assemblers,en,occupation_specificity_score_below_3,None
repair_required,airfield-operations-specialists,zh-CN,occupation_specificity_score_below_3,None
repair_required,airfield-operations-specialists,en,occupation_specificity_score_below_3,None
repair_required,airline-and-commercial-pilots,zh-CN,occupation_specificity_score_below_3,None
repair_required,airline-and-commercial-pilots,en,occupation_specificity_score_below_3,None
repair_required,airline-pilots-copilots-and-flight-engineers,zh-CN,occupation_specificity_score_below_3,None
repair_required,airline-pilots-copilots-and-flight-engineers,en,occupation_specificity_score_below_3,None
repair_required,allergists-and-immunologists,zh-CN,occupation_specificity_score_below_3,None
repair_required,allergists-and-immunologists,en,occupation_specificity_score_below_3,None
repair_required,ambulance-drivers-and-attendants-except-emergency-medical-technicians,zh-CN,occupation_specificity_score_below_3,None
repair_required,ambulance-drivers-and-attendants-except-emergency-medical-technicians,en,occupation_specificity_score_below_3,None
repair_required,amusement-and-recreation-attendants,zh-CN,occupation_specificity_score_below_3,None
repair_required,amusement-and-recreation-attendants,en,occupation_specificity_score_below_3,None
repair_required,anesthesiologist-assistants,zh-CN,occupation_specificity_score_below_3,None
repair_required,anesthesiologist-assistants,en,occupation_specificity_score_below_3,None
repair_required,anesthesiologists,zh-CN,occupation_specificity_score_below_3,None
repair_required,anesthesiologists,en,occupation_specificity_score_below_3,None
repair_required,animal-breeders,zh-CN,occupation_specificity_score_below_3,None
repair_required,animal-breeders,en,occupation_specificity_score_below_3,None
repair_required,animal-care-and-service-workers,zh-CN,occupation_specificity_score_below_3,None
repair_required,animal-care-and-service-workers,en,occupation_specificity_score_below_3,None
repair_required,animal-caretakers,zh-CN,occupation_specificity_score_below_3,None
repair_required,animal-caretakers,en,occupation_specificity_score_below_3,None
repair_required,animal-control-workers,zh-CN,occupation_specificity_score_below_3,None
repair_required,animal-control-workers,en,occupation_specificity_score_below_3,None
repair_required,animal-scientists,zh-CN,occupation_specificity_score_below_3,None
repair_required,animal-scientists,en,occupation_specificity_score_below_3,None
repair_required,animal-trainers,zh-CN,occupation_specificity_score_below_3,None
repair_required,animal-trainers,en,occupation_specificity_score_below_3,None
