normalized_query,mapping_state,owner_row_id,topic,locale,proposed_primary_owner,current_owner,current28_impressions,non_owner_impressions,non_owner_share,page_count,public_canonical_count,decision,actionable_owner_conflict,evidence_status
mbti 測試,REVIEWED_EXACT_ALIAS,1,MBTI,zh,https://fermatmind.com/zh/tests/mbti-personality-test-16-personality-types,https://fermatmind.com/zh/tests/mbti-personality-test-16-personality-types,240.0,1.0,0.004167,2,2,OBSERVED_MULTI_PAGE_NO_ACTIONABLE_CONFLICT,false,VERIFIED_M01_QUERY_PAGE_SOURCE_LIMITED
mbti 測試 免費,REVIEWED_EXACT_ALIAS,1,MBTI,zh,https://fermatmind.com/zh/tests/mbti-personality-test-16-personality-types,https://fermatmind.com/zh/tests/mbti-personality-test-16-personality-types,59.0,0,0.000000,1,1,OBSERVED_SINGLE_PAGE,false,VERIFIED_M01_QUERY_PAGE_SOURCE_LIMITED
mbti人格测试,REVIEWED_EXACT_ALIAS,1,MBTI,zh,https://fermatmind.com/zh/tests/mbti-personality-test-16-personality-types,https://fermatmind.com/zh/tests/mbti-personality-test-16-personality-types,11.0,0,0.000000,1,1,OBSERVED_SINGLE_PAGE,false,VERIFIED_M01_QUERY_PAGE_SOURCE_LIMITED
mbti免费测试,REVIEWED_EXACT_ALIAS,1,MBTI,zh,https://fermatmind.com/zh/tests/mbti-personality-test-16-personality-types,https://fermatmind.com/zh/tests/mbti-personality-test-16-personality-types,300.0,0,0.000000,1,1,OBSERVED_SINGLE_PAGE,false,VERIFIED_M01_QUERY_PAGE_SOURCE_LIMITED
mbti性格测试,REVIEWED_EXACT_ALIAS,1,MBTI,zh,https://fermatmind.com/zh/tests/mbti-personality-test-16-personality-types,https://fermatmind.com/zh/tests/mbti-personality-test-16-personality-types,11.0,0,0.000000,1,1,OBSERVED_SINGLE_PAGE,false,VERIFIED_M01_QUERY_PAGE_SOURCE_LIMITED
mbti检测,REVIEWED_EXACT_ALIAS,1,MBTI,zh,https://fermatmind.com/zh/tests/mbti-personality-test-16-personality-types,https://fermatmind.com/zh/tests/mbti-personality-test-16-personality-types,13.0,0,0.000000,1,1,OBSERVED_SINGLE_PAGE,false,VERIFIED_M01_QUERY_PAGE_SOURCE_LIMITED
mbti测试,REVIEWED_EXACT_ALIAS,1,MBTI,zh,https://fermatmind.com/zh/tests/mbti-personality-test-16-personality-types,https://fermatmind.com/zh/tests/mbti-personality-test-16-personality-types,404.0,8.0,0.019802,3,3,OBSERVED_MULTI_PAGE_NO_ACTIONABLE_CONFLICT,false,VERIFIED_M01_QUERY_PAGE_SOURCE_LIMITED
mbti测试 免费,REVIEWED_EXACT_ALIAS,1,MBTI,zh,https://fermatmind.com/zh/tests/mbti-personality-test-16-personality-types,https://fermatmind.com/zh/tests/mbti-personality-test-16-personality-types,10.0,0,0.000000,1,1,OBSERVED_SINGLE_PAGE,false,VERIFIED_M01_QUERY_PAGE_SOURCE_LIMITED
mbti测试免费,REVIEWED_EXACT_ALIAS,1,MBTI,zh,https://fermatmind.com/zh/tests/mbti-personality-test-16-personality-types,https://fermatmind.com/zh/tests/mbti-personality-test-16-personality-types,117.0,0,0.000000,1,1,OBSERVED_SINGLE_PAGE,false,VERIFIED_M01_QUERY_PAGE_SOURCE_LIMITED
mbti测试入口,REVIEWED_EXACT_ALIAS,1,MBTI,zh,https://fermatmind.com/zh/tests/mbti-personality-test-16-personality-types,https://fermatmind.com/zh/tests/mbti-personality-test-16-personality-types,11.0,0,0.000000,1,1,OBSERVED_SINGLE_PAGE,false,VERIFIED_M01_QUERY_PAGE_SOURCE_LIMITED
mbti測試,REVIEWED_EXACT_ALIAS,1,MBTI,zh,https://fermatmind.com/zh/tests/mbti-personality-test-16-personality-types,https://fermatmind.com/zh/tests/mbti-personality-test-16-personality-types,107.0,0,0.000000,1,1,OBSERVED_SINGLE_PAGE,false,VERIFIED_M01_QUERY_PAGE_SOURCE_LIMITED
免费mbti,REVIEWED_EXACT_ALIAS,1,MBTI,zh,https://fermatmind.com/zh/tests/mbti-personality-test-16-personality-types,https://fermatmind.com/zh/tests/mbti-personality-test-16-personality-types,20.0,0,0.000000,1,1,OBSERVED_SINGLE_PAGE,false,VERIFIED_M01_QUERY_PAGE_SOURCE_LIMITED
免费mbti测试,REVIEWED_EXACT_ALIAS,1,MBTI,zh,https://fermatmind.com/zh/tests/mbti-personality-test-16-personality-types,https://fermatmind.com/zh/tests/mbti-personality-test-16-personality-types,17.0,0,0.000000,1,1,OBSERVED_SINGLE_PAGE,false,VERIFIED_M01_QUERY_PAGE_SOURCE_LIMITED
十六人格测试,REVIEWED_EXACT_ALIAS,1,MBTI,zh,https://fermatmind.com/zh/tests/mbti-personality-test-16-personality-types,https://fermatmind.com/zh/tests/mbti-personality-test-16-personality-types,43.0,0,0.000000,1,1,OBSERVED_SINGLE_PAGE,false,VERIFIED_M01_QUERY_PAGE_SOURCE_LIMITED
十六型人格测试,REVIEWED_EXACT_ALIAS,1,MBTI,zh,https://fermatmind.com/zh/tests/mbti-personality-test-16-personality-types,https://fermatmind.com/zh/tests/mbti-personality-test-16-personality-types,18.0,1.0,0.055556,2,2,OBSERVED_MULTI_PAGE_NO_ACTIONABLE_CONFLICT,false,VERIFIED_M01_QUERY_PAGE_SOURCE_LIMITED
性格测试mbti,REVIEWED_EXACT_ALIAS,1,MBTI,zh,https://fermatmind.com/zh/tests/mbti-personality-test-16-personality-types,https://fermatmind.com/zh/tests/mbti-personality-test-16-personality-types,23.0,3.0,0.130435,2,2,OBSERVED_MULTI_PAGE_NO_ACTIONABLE_CONFLICT,false,VERIFIED_M01_QUERY_PAGE_SOURCE_LIMITED
测mbti,REVIEWED_EXACT_ALIAS,1,MBTI,zh,https://fermatmind.com/zh/tests/mbti-personality-test-16-personality-types,https://fermatmind.com/zh/tests/mbti-personality-test-16-personality-types,42.0,0,0.000000,1,1,OBSERVED_SINGLE_PAGE,false,VERIFIED_M01_QUERY_PAGE_SOURCE_LIMITED
测试mbti,REVIEWED_EXACT_ALIAS,1,MBTI,zh,https://fermatmind.com/zh/tests/mbti-personality-test-16-personality-types,https://fermatmind.com/zh/tests/mbti-personality-test-16-personality-types,42.0,0,0.000000,1,1,OBSERVED_SINGLE_PAGE,false,VERIFIED_M01_QUERY_PAGE_SOURCE_LIMITED
mbti 人格,REVIEWED_EXACT_ALIAS,2,MBTI,zh,https://fermatmind.com/zh/articles/mbti-basics,https://fermatmind.com/zh/articles/mbti-basics,18.0,1.0,0.055556,2,2,OBSERVED_MULTI_PAGE_NO_ACTIONABLE_CONFLICT,false,VERIFIED_M01_QUERY_PAGE_SOURCE_LIMITED
mbti 性格,REVIEWED_EXACT_ALIAS,2,MBTI,zh,https://fermatmind.com/zh/articles/mbti-basics,https://fermatmind.com/zh/articles/mbti-basics,10.0,1.0,0.100000,2,2,OBSERVED_MULTI_PAGE_NO_ACTIONABLE_CONFLICT,false,VERIFIED_M01_QUERY_PAGE_SOURCE_LIMITED
mbti 意思,REVIEWED_EXACT_ALIAS,2,MBTI,zh,https://fermatmind.com/zh/articles/mbti-basics,https://fermatmind.com/zh/articles/mbti-basics,16.0,0,0.000000,1,1,OBSERVED_SINGLE_PAGE,false,VERIFIED_M01_QUERY_PAGE_SOURCE_LIMITED
mbti 是什么,REVIEWED_EXACT_ALIAS,2,MBTI,zh,https://fermatmind.com/zh/articles/mbti-basics,https://fermatmind.com/zh/articles/mbti-basics,4.0,0,0.000000,1,1,LOW_VOLUME_OBSERVED,false,VERIFIED_M01_QUERY_PAGE_SOURCE_LIMITED
mbti人格,REVIEWED_EXACT_ALIAS,2,MBTI,zh,https://fermatmind.com/zh/articles/mbti-basics,https://fermatmind.com/zh/articles/mbti-basics,13.0,1.0,0.076923,2,2,OBSERVED_MULTI_PAGE_NO_ACTIONABLE_CONFLICT,false,VERIFIED_M01_QUERY_PAGE_SOURCE_LIMITED
mbti意思,REVIEWED_EXACT_ALIAS,2,MBTI,zh,https://fermatmind.com/zh/articles/mbti-basics,https://fermatmind.com/zh/articles/mbti-basics,6.0,0,0.000000,1,1,LOW_VOLUME_OBSERVED,false,VERIFIED_M01_QUERY_PAGE_SOURCE_LIMITED
mbti是什么,REVIEWED_EXACT_ALIAS,2,MBTI,zh,https://fermatmind.com/zh/articles/mbti-basics,https://fermatmind.com/zh/articles/mbti-basics,29.0,0,0.000000,1,1,OBSERVED_SINGLE_PAGE,false,VERIFIED_M01_QUERY_PAGE_SOURCE_LIMITED
mbti是什么意思,REVIEWED_EXACT_ALIAS,2,MBTI,zh,https://fermatmind.com/zh/articles/mbti-basics,https://fermatmind.com/zh/articles/mbti-basics,8.0,0,0.000000,1,1,LOW_VOLUME_OBSERVED,false,VERIFIED_M01_QUERY_PAGE_SOURCE_LIMITED
infj和infp的区别,REVIEWED_EXACT_ALIAS,3,MBTI,zh,https://fermatmind.com/zh/personality,Unknown,0,0,0.000000,1,0,LOW_VOLUME_OBSERVED,false,VERIFIED_M01_QUERY_PAGE_SOURCE_LIMITED
infp和infj的区别,REVIEWED_EXACT_ALIAS,3,MBTI,zh,https://fermatmind.com/zh/personality,Unknown,0,0,0.000000,1,0,LOW_VOLUME_OBSERVED,false,VERIFIED_M01_QUERY_PAGE_SOURCE_LIMITED
intj和intp的区别,REVIEWED_EXACT_ALIAS,3,MBTI,zh,https://fermatmind.com/zh/personality,Unknown,0,0,0.000000,1,0,LOW_VOLUME_OBSERVED,false,VERIFIED_M01_QUERY_PAGE_SOURCE_LIMITED
intp 和 intj 的 区别,REVIEWED_EXACT_ALIAS,3,MBTI,zh,https://fermatmind.com/zh/personality,Unknown,0,0,0.000000,1,0,LOW_VOLUME_OBSERVED,false,VERIFIED_M01_QUERY_PAGE_SOURCE_LIMITED
intp和intj的区别,REVIEWED_EXACT_ALIAS,3,MBTI,zh,https://fermatmind.com/zh/personality,Unknown,0,0,0.000000,1,0,LOW_VOLUME_OBSERVED,false,VERIFIED_M01_QUERY_PAGE_SOURCE_LIMITED
mbti test,REVIEWED_EXACT_ALIAS,4,MBTI,en,https://fermatmind.com/en/tests/mbti-personality-test-16-personality-types,Unknown,0,0,0.000000,2,0,LOW_VOLUME_OBSERVED,false,VERIFIED_M01_QUERY_PAGE_SOURCE_LIMITED
big five 测试,REVIEWED_EXACT_ALIAS,5,Big Five,zh,https://fermatmind.com/zh/tests/big-five-personality-test-ocean-model,https://fermatmind.com/zh/tests/big-five-personality-test-ocean-model,4.0,1.0,0.250000,2,2,LOW_VOLUME_OBSERVED,false,VERIFIED_M01_QUERY_PAGE_SOURCE_LIMITED
五大人格测试,REVIEWED_EXACT_ALIAS,5,Big Five,zh,https://fermatmind.com/zh/tests/big-five-personality-test-ocean-model,https://fermatmind.com/zh/articles/big-five-tool-guide,4.0,2.0,0.500000,2,2,LOW_VOLUME_OBSERVED,false,VERIFIED_M01_QUERY_PAGE_SOURCE_LIMITED
大五人格测试,REVIEWED_EXACT_ALIAS,5,Big Five,zh,https://fermatmind.com/zh/tests/big-five-personality-test-ocean-model,https://fermatmind.com/zh/articles/big-five-tool-guide,32.0,25.0,0.781250,2,2,ACTIONABLE_OWNER_CONFLICT,true,VERIFIED_M01_QUERY_PAGE_SOURCE_LIMITED
大五人格测试免费,REVIEWED_EXACT_ALIAS,5,Big Five,zh,https://fermatmind.com/zh/tests/big-five-personality-test-ocean-model,https://fermatmind.com/zh/articles/big-five-tool-guide,4.0,3.0,0.750000,2,2,LOW_VOLUME_OBSERVED,false,VERIFIED_M01_QUERY_PAGE_SOURCE_LIMITED
大五,REVIEWED_EXACT_ALIAS,6,Big Five,zh,https://fermatmind.com/zh/articles/big-five-tool-guide,https://fermatmind.com/zh/articles/big-five-tool-guide,5.0,0,0.000000,1,1,LOW_VOLUME_OBSERVED,false,VERIFIED_M01_QUERY_PAGE_SOURCE_LIMITED
大五人格,REVIEWED_EXACT_ALIAS,6,Big Five,zh,https://fermatmind.com/zh/articles/big-five-tool-guide,https://fermatmind.com/zh/articles/big-five-tool-guide,40.0,0,0.000000,1,1,OBSERVED_SINGLE_PAGE,false,VERIFIED_M01_QUERY_PAGE_SOURCE_LIMITED
大五人格是什么,REVIEWED_EXACT_ALIAS,6,Big Five,zh,https://fermatmind.com/zh/articles/big-five-tool-guide,https://fermatmind.com/zh/articles/big-five-tool-guide,5.0,0,0.000000,1,1,LOW_VOLUME_OBSERVED,false,VERIFIED_M01_QUERY_PAGE_SOURCE_LIMITED
big 5 ocean test,REVIEWED_EXACT_ALIAS,8,Big Five,en,https://fermatmind.com/en/tests/big-five-personality-test-ocean-model,https://fermatmind.com/en/tests/big-five-personality-test-ocean-model,3.0,0,0.000000,1,1,LOW_VOLUME_OBSERVED,false,VERIFIED_M01_QUERY_PAGE_SOURCE_LIMITED
big five ocean personality test,REVIEWED_EXACT_ALIAS,8,Big Five,en,https://fermatmind.com/en/tests/big-five-personality-test-ocean-model,https://fermatmind.com/en/tests/big-five-personality-test-ocean-model,4.0,0,0.000000,1,1,LOW_VOLUME_OBSERVED,false,VERIFIED_M01_QUERY_PAGE_SOURCE_LIMITED
ocean test,REVIEWED_EXACT_ALIAS,8,Big Five,en,https://fermatmind.com/en/tests/big-five-personality-test-ocean-model,https://fermatmind.com/en/tests/big-five-personality-test-ocean-model,3.0,0,0.000000,1,1,LOW_VOLUME_OBSERVED,false,VERIFIED_M01_QUERY_PAGE_SOURCE_LIMITED
the big five personality test,REVIEWED_EXACT_ALIAS,8,Big Five,en,https://fermatmind.com/en/tests/big-five-personality-test-ocean-model,https://fermatmind.com/en/tests/big-five-personality-test-ocean-model,2.0,0,0.000000,1,1,LOW_VOLUME_OBSERVED,false,VERIFIED_M01_QUERY_PAGE_SOURCE_LIMITED
riasec 测试,REVIEWED_EXACT_ALIAS,9,RIASEC,zh,https://fermatmind.com/zh/tests/holland-career-interest-test-riasec,https://fermatmind.com/zh/tests/holland-career-interest-test-riasec,9.0,1.0,0.111111,2,2,LOW_VOLUME_OBSERVED,false,VERIFIED_M01_QUERY_PAGE_SOURCE_LIMITED
霍兰德测试,REVIEWED_EXACT_ALIAS,9,RIASEC,zh,https://fermatmind.com/zh/tests/holland-career-interest-test-riasec,https://fermatmind.com/zh/tests/holland-career-interest-test-riasec,6.0,2.0,0.333333,2,2,LOW_VOLUME_OBSERVED,false,VERIFIED_M01_QUERY_PAGE_SOURCE_LIMITED
霍兰德职业兴趣测试,REVIEWED_EXACT_ALIAS,9,RIASEC,zh,https://fermatmind.com/zh/tests/holland-career-interest-test-riasec,https://fermatmind.com/zh/tests/holland-career-interest-test-riasec,96.0,4.0,0.041667,2,2,OBSERVED_MULTI_PAGE_NO_ACTIONABLE_CONFLICT,false,VERIFIED_M01_QUERY_PAGE_SOURCE_LIMITED
霍兰德职业兴趣测试 免费,REVIEWED_EXACT_ALIAS,9,RIASEC,zh,https://fermatmind.com/zh/tests/holland-career-interest-test-riasec,https://fermatmind.com/zh/tests/holland-career-interest-test-riasec,3.0,0,0.000000,1,1,LOW_VOLUME_OBSERVED,false,VERIFIED_M01_QUERY_PAGE_SOURCE_LIMITED
霍兰德职业兴趣测试免费,REVIEWED_EXACT_ALIAS,9,RIASEC,zh,https://fermatmind.com/zh/tests/holland-career-interest-test-riasec,https://fermatmind.com/zh/tests/holland-career-interest-test-riasec,7.0,0,0.000000,1,1,LOW_VOLUME_OBSERVED,false,VERIFIED_M01_QUERY_PAGE_SOURCE_LIMITED
霍兰德职业测试,REVIEWED_EXACT_ALIAS,9,RIASEC,zh,https://fermatmind.com/zh/tests/holland-career-interest-test-riasec,https://fermatmind.com/zh/tests/holland-career-interest-test-riasec,17.0,2.0,0.117647,2,2,OBSERVED_MULTI_PAGE_NO_ACTIONABLE_CONFLICT,false,VERIFIED_M01_QUERY_PAGE_SOURCE_LIMITED
霍兰德职业测试 免费,REVIEWED_EXACT_ALIAS,9,RIASEC,zh,https://fermatmind.com/zh/tests/holland-career-interest-test-riasec,https://fermatmind.com/zh/tests/holland-career-interest-test-riasec,23.0,0,0.000000,1,1,OBSERVED_SINGLE_PAGE,false,VERIFIED_M01_QUERY_PAGE_SOURCE_LIMITED
霍兰德职业测试免费,REVIEWED_EXACT_ALIAS,9,RIASEC,zh,https://fermatmind.com/zh/tests/holland-career-interest-test-riasec,https://fermatmind.com/zh/tests/holland-career-interest-test-riasec,35.0,0,0.000000,1,1,OBSERVED_SINGLE_PAGE,false,VERIFIED_M01_QUERY_PAGE_SOURCE_LIMITED
holland code riasec,REVIEWED_EXACT_ALIAS,12,RIASEC,en,https://fermatmind.com/en/articles/what-is-riasec-holland-code-career-interest-test,https://fermatmind.com/en/articles/what-is-riasec-holland-code-career-interest-test,20.0,0,0.000000,1,1,OBSERVED_SINGLE_PAGE,false,VERIFIED_M01_QUERY_PAGE_SOURCE_LIMITED
holland riasec,REVIEWED_EXACT_ALIAS,12,RIASEC,en,https://fermatmind.com/en/articles/what-is-riasec-holland-code-career-interest-test,https://fermatmind.com/en/articles/what-is-riasec-holland-code-career-interest-test,11.0,0,0.000000,1,1,OBSERVED_SINGLE_PAGE,false,VERIFIED_M01_QUERY_PAGE_SOURCE_LIMITED
meaning of riasec,REVIEWED_EXACT_ALIAS,12,RIASEC,en,https://fermatmind.com/en/articles/what-is-riasec-holland-code-career-interest-test,https://fermatmind.com/en/articles/what-is-riasec-holland-code-career-interest-test,1.0,0,0.000000,1,1,LOW_VOLUME_OBSERVED,false,VERIFIED_M01_QUERY_PAGE_SOURCE_LIMITED
riasec,REVIEWED_EXACT_ALIAS,12,RIASEC,en,https://fermatmind.com/en/articles/what-is-riasec-holland-code-career-interest-test,https://fermatmind.com/en/articles/what-is-riasec-holland-code-career-interest-test,106.0,1.0,0.009434,2,2,OBSERVED_MULTI_PAGE_NO_ACTIONABLE_CONFLICT,false,VERIFIED_M01_QUERY_PAGE_SOURCE_LIMITED
riasec holland code,REVIEWED_EXACT_ALIAS,12,RIASEC,en,https://fermatmind.com/en/articles/what-is-riasec-holland-code-career-interest-test,https://fermatmind.com/en/articles/what-is-riasec-holland-code-career-interest-test,11.0,0,0.000000,1,1,OBSERVED_SINGLE_PAGE,false,VERIFIED_M01_QUERY_PAGE_SOURCE_LIMITED
riasec meaning,REVIEWED_EXACT_ALIAS,12,RIASEC,en,https://fermatmind.com/en/articles/what-is-riasec-holland-code-career-interest-test,https://fermatmind.com/en/articles/what-is-riasec-holland-code-career-interest-test,11.0,0,0.000000,1,1,OBSERVED_SINGLE_PAGE,false,VERIFIED_M01_QUERY_PAGE_SOURCE_LIMITED
riasec model,REVIEWED_EXACT_ALIAS,12,RIASEC,en,https://fermatmind.com/en/articles/what-is-riasec-holland-code-career-interest-test,https://fermatmind.com/en/articles/what-is-riasec-holland-code-career-interest-test,19.0,0,0.000000,1,1,OBSERVED_SINGLE_PAGE,false,VERIFIED_M01_QUERY_PAGE_SOURCE_LIMITED
what does riasec mean,REVIEWED_EXACT_ALIAS,12,RIASEC,en,https://fermatmind.com/en/articles/what-is-riasec-holland-code-career-interest-test,https://fermatmind.com/en/articles/what-is-riasec-holland-code-career-interest-test,3.0,0,0.000000,1,1,LOW_VOLUME_OBSERVED,false,VERIFIED_M01_QUERY_PAGE_SOURCE_LIMITED
what does riasec stand for,REVIEWED_EXACT_ALIAS,12,RIASEC,en,https://fermatmind.com/en/articles/what-is-riasec-holland-code-career-interest-test,https://fermatmind.com/en/articles/what-is-riasec-holland-code-career-interest-test,2.0,0,0.000000,1,1,LOW_VOLUME_OBSERVED,false,VERIFIED_M01_QUERY_PAGE_SOURCE_LIMITED
what is riasec,REVIEWED_EXACT_ALIAS,12,RIASEC,en,https://fermatmind.com/en/articles/what-is-riasec-holland-code-career-interest-test,https://fermatmind.com/en/articles/what-is-riasec-holland-code-career-interest-test,16.0,0,0.000000,1,1,OBSERVED_SINGLE_PAGE,false,VERIFIED_M01_QUERY_PAGE_SOURCE_LIMITED
what is the riasec model,REVIEWED_EXACT_ALIAS,12,RIASEC,en,https://fermatmind.com/en/articles/what-is-riasec-holland-code-career-interest-test,https://fermatmind.com/en/articles/what-is-riasec-holland-code-career-interest-test,1.0,0,0.000000,1,1,LOW_VOLUME_OBSERVED,false,VERIFIED_M01_QUERY_PAGE_SOURCE_LIMITED
holland career test,REVIEWED_EXACT_ALIAS,13,RIASEC,en,https://fermatmind.com/en/tests/holland-career-interest-test-riasec,https://fermatmind.com/en/articles/what-is-riasec-holland-code-career-interest-test,5.0,5.0,1.000000,1,1,LOW_VOLUME_OBSERVED,false,VERIFIED_M01_QUERY_PAGE_SOURCE_LIMITED
holland code riasec test,REVIEWED_EXACT_ALIAS,13,RIASEC,en,https://fermatmind.com/en/tests/holland-career-interest-test-riasec,https://fermatmind.com/en/articles/what-is-riasec-holland-code-career-interest-test,20.0,20.0,1.000000,1,1,OBSERVED_SINGLE_PAGE,false,VERIFIED_M01_QUERY_PAGE_SOURCE_LIMITED
holland code test,REVIEWED_EXACT_ALIAS,13,RIASEC,en,https://fermatmind.com/en/tests/holland-career-interest-test-riasec,https://fermatmind.com/en/articles/what-is-riasec-holland-code-career-interest-test,2.0,2.0,1.000000,1,1,LOW_VOLUME_OBSERVED,false,VERIFIED_M01_QUERY_PAGE_SOURCE_LIMITED
holland riasec test,REVIEWED_EXACT_ALIAS,13,RIASEC,en,https://fermatmind.com/en/tests/holland-career-interest-test-riasec,https://fermatmind.com/en/articles/what-is-riasec-holland-code-career-interest-test,3.0,3.0,1.000000,1,1,LOW_VOLUME_OBSERVED,false,VERIFIED_M01_QUERY_PAGE_SOURCE_LIMITED
riasec career test,REVIEWED_EXACT_ALIAS,13,RIASEC,en,https://fermatmind.com/en/tests/holland-career-interest-test-riasec,https://fermatmind.com/en/articles/what-is-riasec-holland-code-career-interest-test,4.0,4.0,1.000000,1,1,LOW_VOLUME_OBSERVED,false,VERIFIED_M01_QUERY_PAGE_SOURCE_LIMITED
riasec test,REVIEWED_EXACT_ALIAS,13,RIASEC,en,https://fermatmind.com/en/tests/holland-career-interest-test-riasec,https://fermatmind.com/en/articles/what-is-riasec-holland-code-career-interest-test,73.0,73.0,1.000000,2,1,OBSERVED_LEGACY_OR_NONCANONICAL_MULTIPAGE,false,VERIFIED_M01_QUERY_PAGE_SOURCE_LIMITED
9型人格测试,REVIEWED_EXACT_ALIAS,14,Enneagram,zh,https://fermatmind.com/zh/tests/enneagram-personality-test-nine-types,https://fermatmind.com/zh/tests/enneagram-personality-test-nine-types,16.0,0,0.000000,2,1,OBSERVED_LEGACY_OR_NONCANONICAL_MULTIPAGE,false,VERIFIED_M01_QUERY_PAGE_SOURCE_LIMITED
