market,source_sheet,authority_source,authority_code,source_title_zh,suggested_title_en,translation_status,action,matched_current_slug,matched_current_title_zh,matched_current_title_en,match_score,major_code,major_name_zh,release_year,release_status,marker,marker_meaning,definition,source_url,review_notes,source_title_en,suggested_title_zh
CN,China_2026_Directory,china_occupation_directory_2026,1-04-01-02,共青团负责人,共 青 团 head,machine_assisted_rule_review,create,,,,0.200,1,党的机关、国家机关、群众团体和社会组织、企事业单位负责人,2022,2022_official_base,,,,https://file.m12333.cn/upfile/download/23b1a542-8338-13d3-f826-2719db3f8dcb.pdf,Do not publish final English title without CMS/editorial review.,,共青团负责人
CN,China_2026_Directory,china_occupation_directory_2026,1-04-01-03,妇联负责人,妇 联 head,machine_assisted_rule_review,create,,,,0.222,1,党的机关、国家机关、群众团体和社会组织、企事业单位负责人,2022,2022_official_base,,,,https://file.m12333.cn/upfile/download/23b1a542-8338-13d3-f826-2719db3f8dcb.pdf,Do not publish final English title without CMS/editorial review.,,妇联负责人
CN,China_2026_Directory,china_occupation_directory_2026,1-04-01-04,其他人民团体和群众团体负责人,其 他 人 民 团 体 和 群 众 团 体 head,machine_assisted_rule_review,create,,,,0.231,1,党的机关、国家机关、群众团体和社会组织、企事业单位负责人,2022,2022_official_base,,,,https://file.m12333.cn/upfile/download/23b1a542-8338-13d3-f826-2719db3f8dcb.pdf,Do not publish final English title without CMS/editorial review.,,其他人民团体和群众团体负责人
CN,China_2026_Directory,china_occupation_directory_2026,1-04-02-00,社会团体负责人,社 会 团 体 head,machine_assisted_rule_review,create,,,,0.375,1,党的机关、国家机关、群众团体和社会组织、企事业单位负责人,2022,2022_official_base,,,,https://file.m12333.cn/upfile/download/23b1a542-8338-13d3-f826-2719db3f8dcb.pdf,Do not publish final English title without CMS/editorial review.,,社会团体负责人
CN,China_2026_Directory,china_occupation_directory_2026,1-04-03-00,社会服务机构负责人,社 会 服 务 机 构 head,machine_assisted_rule_review,create,,,,0.444,1,党的机关、国家机关、群众团体和社会组织、企事业单位负责人,2022,2022_official_base,,,,https://file.m12333.cn/upfile/download/23b1a542-8338-13d3-f826-2719db3f8dcb.pdf,Do not publish final English title without CMS/editorial review.,,社会服务机构负责人
CN,China_2026_Directory,china_occupation_directory_2026,1-04-04-00,社会中介组织负责人,社 会 中 介 组 织 head,machine_assisted_rule_review,create,,,,0.333,1,党的机关、国家机关、群众团体和社会组织、企事业单位负责人,2022,2022_official_base,,,,https://file.m12333.cn/upfile/download/23b1a542-8338-13d3-f826-2719db3f8dcb.pdf,Do not publish final English title without CMS/editorial review.,,社会中介组织负责人
CN,China_2026_Directory,china_occupation_directory_2026,1-04-05-00,基金会负责人,基 金 会 head,machine_assisted_rule_review,create,,,,0.267,1,党的机关、国家机关、群众团体和社会组织、企事业单位负责人,2022,2022_official_base,,,,https://file.m12333.cn/upfile/download/23b1a542-8338-13d3-f826-2719db3f8dcb.pdf,Do not publish final English title without CMS/editorial review.,,基金会负责人
CN,China_2026_Directory,china_occupation_directory_2026,1-04-06-00,宗教组织负责人,宗 教 组 织 head,machine_assisted_rule_review,create,,,,0.235,1,党的机关、国家机关、群众团体和社会组织、企事业单位负责人,2022,2022_official_base,,,,https://file.m12333.cn/upfile/download/23b1a542-8338-13d3-f826-2719db3f8dcb.pdf,Do not publish final English title without CMS/editorial review.,,宗教组织负责人
CN,China_2026_Directory,china_occupation_directory_2026,1-05-00-01,居民委员会负责人,居 民 委 worker 会 head,machine_assisted_rule_review,create,,,,0.235,1,党的机关、国家机关、群众团体和社会组织、企事业单位负责人,2022,2022_official_base,,,,https://file.m12333.cn/upfile/download/23b1a542-8338-13d3-f826-2719db3f8dcb.pdf,Do not publish final English title without CMS/editorial review.,,居民委员会负责人
CN,China_2026_Directory,china_occupation_directory_2026,1-05-00-02,村民委员会负责人,村 民 委 worker 会 head,machine_assisted_rule_review,create,,,,0.235,1,党的机关、国家机关、群众团体和社会组织、企事业单位负责人,2022,2022_official_base,,,,https://file.m12333.cn/upfile/download/23b1a542-8338-13d3-f826-2719db3f8dcb.pdf,Do not publish final English title without CMS/editorial review.,,村民委员会负责人
CN,China_2026_Directory,china_occupation_directory_2026,1-06-01-01,企业董事,企 业 董 事,machine_assisted_rule_review,create,,,,0.222,1,党的机关、国家机关、群众团体和社会组织、企事业单位负责人,2022,2022_official_base,,,,https://file.m12333.cn/upfile/download/23b1a542-8338-13d3-f826-2719db3f8dcb.pdf,Do not publish final English title without CMS/editorial review.,,企业董事
CN,China_2026_Directory,china_occupation_directory_2026,1-06-01-02,企业经理,企 业 经 理,machine_assisted_rule_review,create,,,,0.600,1,党的机关、国家机关、群众团体和社会组织、企事业单位负责人,2022,2022_official_base,,,,https://file.m12333.cn/upfile/download/23b1a542-8338-13d3-f826-2719db3f8dcb.pdf,Do not publish final English title without CMS/editorial review.,,企业经理
CN,China_2026_Directory,china_occupation_directory_2026,1-06-01-03,国有企业中国共产党组织负责人,国 有 企 业 Chinese Communist Party 组 织 head,machine_assisted_rule_review,create,,,,0.200,1,党的机关、国家机关、群众团体和社会组织、企事业单位负责人,2022,2022_official_base,,,,https://file.m12333.cn/upfile/download/23b1a542-8338-13d3-f826-2719db3f8dcb.pdf,Do not publish final English title without CMS/editorial review.,,国有企业中国共产党组织负责人
CN,China_2026_Directory,china_occupation_directory_2026,1-06-02-00,事业单位负责人,事 业 单 位 head,machine_assisted_rule_review,create,,,,0.308,1,党的机关、国家机关、群众团体和社会组织、企事业单位负责人,2022,2022_official_base,,,,https://file.m12333.cn/upfile/download/23b1a542-8338-13d3-f826-2719db3f8dcb.pdf,Do not publish final English title without CMS/editorial review.,,事业单位负责人
CN,China_2026_Directory,china_occupation_directory_2026,2-01-01-00,哲学研究人员,哲 学 研 究 人 worker,machine_assisted_rule_review,create,,,,0.545,2,专业技术人员,2022,2022_official_base,,,,https://file.m12333.cn/upfile/download/23b1a542-8338-13d3-f826-2719db3f8dcb.pdf,Do not publish final English title without CMS/editorial review.,,哲学研究人员
CN,China_2026_Directory,china_occupation_directory_2026,2-01-02-00,经济学研究人员,Economics 学 研 究 人 worker,machine_assisted_rule_review,create,,,,0.545,2,专业技术人员,2022,2022_official_base,,,,https://file.m12333.cn/upfile/download/23b1a542-8338-13d3-f826-2719db3f8dcb.pdf,Do not publish final English title without CMS/editorial review.,,经济学研究人员
CN,China_2026_Directory,china_occupation_directory_2026,2-01-03-00,法学研究人员,法 学 研 究 人 worker,machine_assisted_rule_review,create,,,,0.545,2,专业技术人员,2022,2022_official_base,,,,https://file.m12333.cn/upfile/download/23b1a542-8338-13d3-f826-2719db3f8dcb.pdf,Do not publish final English title without CMS/editorial review.,,法学研究人员
CN,China_2026_Directory,china_occupation_directory_2026,2-01-04-01,教育学研究人员,教 育 学 研 究 人 worker,machine_assisted_rule_review,create,,,,0.500,2,专业技术人员,2022,2022_official_base,,,,https://file.m12333.cn/upfile/download/23b1a542-8338-13d3-f826-2719db3f8dcb.pdf,Do not publish final English title without CMS/editorial review.,,教育学研究人员
CN,China_2026_Directory,china_occupation_directory_2026,2-01-04-02,心理学研究人员,心 理 学 研 究 人 worker,machine_assisted_rule_review,create,,,,0.545,2,专业技术人员,2022,2022_official_base,,,,https://file.m12333.cn/upfile/download/23b1a542-8338-13d3-f826-2719db3f8dcb.pdf,Do not publish final English title without CMS/editorial review.,,心理学研究人员
CN,China_2026_Directory,china_occupation_directory_2026,2-01-04-03,体育学研究人员,Sports 学 研 究 人 worker,machine_assisted_rule_review,create,,,,0.500,2,专业技术人员,2022,2022_official_base,,,,https://file.m12333.cn/upfile/download/23b1a542-8338-13d3-f826-2719db3f8dcb.pdf,Do not publish final English title without CMS/editorial review.,,体育学研究人员
CN,China_2026_Directory,china_occupation_directory_2026,2-01-05-00,历史学研究人员,历 史 学 研 究 人 worker,machine_assisted_rule_review,create,,,,0.545,2,专业技术人员,2022,2022_official_base,,,,https://file.m12333.cn/upfile/download/23b1a542-8338-13d3-f826-2719db3f8dcb.pdf,Do not publish final English title without CMS/editorial review.,,历史学研究人员
CN,China_2026_Directory,china_occupation_directory_2026,2-01-06-01,数学研究人员,数 学 研 究 人 worker,machine_assisted_rule_review,create,,,,0.545,2,专业技术人员,2022,2022_official_base,,,,https://file.m12333.cn/upfile/download/23b1a542-8338-13d3-f826-2719db3f8dcb.pdf,Do not publish final English title without CMS/editorial review.,,数学研究人员
CN,China_2026_Directory,china_occupation_directory_2026,2-01-06-02,物理学研究人员,物 理 学 研 究 人 worker,machine_assisted_rule_review,create,,,,0.500,2,专业技术人员,2022,2022_official_base,,,,https://file.m12333.cn/upfile/download/23b1a542-8338-13d3-f826-2719db3f8dcb.pdf,Do not publish final English title without CMS/editorial review.,,物理学研究人员
CN,China_2026_Directory,china_occupation_directory_2026,2-01-06-03,化学研究人员,化 学 研 究 人 worker,machine_assisted_rule_review,create,,,,0.545,2,专业技术人员,2022,2022_official_base,,,,https://file.m12333.cn/upfile/download/23b1a542-8338-13d3-f826-2719db3f8dcb.pdf,Do not publish final English title without CMS/editorial review.,,化学研究人员
CN,China_2026_Directory,china_occupation_directory_2026,2-01-06-04,天文学研究人员,天 文 学 研 究 人 worker,machine_assisted_rule_review,create,,,,0.500,2,专业技术人员,2022,2022_official_base,,,,https://file.m12333.cn/upfile/download/23b1a542-8338-13d3-f826-2719db3f8dcb.pdf,Do not publish final English title without CMS/editorial review.,,天文学研究人员
CN,China_2026_Directory,china_occupation_directory_2026,2-01-06-05,生物学研究人员,生 物 学 研 究 人 worker,machine_assisted_rule_review,create,,,,0.500,2,专业技术人员,2022,2022_official_base,,,,https://file.m12333.cn/upfile/download/23b1a542-8338-13d3-f826-2719db3f8dcb.pdf,Do not publish final English title without CMS/editorial review.,,生物学研究人员
CN,China_2026_Directory,china_occupation_directory_2026,2-01-06-06,地球科学研究人员,地 球 scientific research 人 worker,machine_assisted_rule_review,create,,,,0.615,2,专业技术人员,2022,2022_official_base,,,,https://file.m12333.cn/upfile/download/23b1a542-8338-13d3-f826-2719db3f8dcb.pdf,Do not publish final English title without CMS/editorial review.,,地球科学研究人员
CN,China_2026_Directory,china_occupation_directory_2026,2-01-07-00,农业科学研究人员,Agriculture scientific research 人 worker,machine_assisted_rule_review,create,,,,0.571,2,专业技术人员,2022,2022_official_base,,,,https://file.m12333.cn/upfile/download/23b1a542-8338-13d3-f826-2719db3f8dcb.pdf,Do not publish final English title without CMS/editorial review.,,农业科学研究人员
CN,China_2026_Directory,china_occupation_directory_2026,2-01-08-00,医学研究人员,医 学 研 究 人 worker,machine_assisted_rule_review,create,,,,0.545,2,专业技术人员,2022,2022_official_base,,,,https://file.m12333.cn/upfile/download/23b1a542-8338-13d3-f826-2719db3f8dcb.pdf,Do not publish final English title without CMS/editorial review.,,医学研究人员
CN,China_2026_Directory,china_occupation_directory_2026,2-01-09-00,管理学研究人员,管 理 学 研 究 人 worker,machine_assisted_rule_review,create,,,,0.500,2,专业技术人员,2022,2022_official_base,,,,https://file.m12333.cn/upfile/download/23b1a542-8338-13d3-f826-2719db3f8dcb.pdf,Do not publish final English title without CMS/editorial review.,,管理学研究人员
CN,China_2026_Directory,china_occupation_directory_2026,2-01-10-00,文学、艺术学研究人员,文 学 、 艺 术 学 研 究 人 worker,machine_assisted_rule_review,create,,,,0.429,2,专业技术人员,2022,2022_official_base,,,,https://file.m12333.cn/upfile/download/23b1a542-8338-13d3-f826-2719db3f8dcb.pdf,Do not publish final English title without CMS/editorial review.,,文学、艺术学研究人员
CN,China_2026_Directory,china_occupation_directory_2026,2-01-11-00,军事学研究人员,军 事 学 研 究 人 worker,machine_assisted_rule_review,create,,,,0.500,2,专业技术人员,2022,2022_official_base,,,,https://file.m12333.cn/upfile/download/23b1a542-8338-13d3-f826-2719db3f8dcb.pdf,Do not publish final English title without CMS/editorial review.,,军事学研究人员
CN,China_2026_Directory,china_occupation_directory_2026,2-02-01-01,地质实验测试工程技术人员,地 质 实 验 测 试 engineering technician,machine_assisted_rule_review,create,,,,0.500,2,专业技术人员,2022,2022_official_base,,,,https://file.m12333.cn/upfile/download/23b1a542-8338-13d3-f826-2719db3f8dcb.pdf,Do not publish final English title without CMS/editorial review.,,地质实验测试工程技术人员
CN,China_2026_Directory,china_occupation_directory_2026,2-02-01-02,地球物理地球化学与遥感勘查工程技术人员,地 球 物 理 地 球 化 学 与 遥 感 勘 查 engineering technician,machine_assisted_rule_review,create,,,,0.417,2,专业技术人员,2022,2022_official_base,L/S,绿色+数字职业,,https://file.m12333.cn/upfile/download/23b1a542-8338-13d3-f826-2719db3f8dcb.pdf,Do not publish final English title without CMS/editorial review.,,地球物理地球化学与遥感勘查工程技术人员
CN,China_2026_Directory,china_occupation_directory_2026,2-02-01-03,水工环地质工程技术人员,水 工 环 地 质 engineering technician,machine_assisted_rule_review,create,,,,0.571,2,专业技术人员,2022,2022_official_base,L,绿色职业,,https://file.m12333.cn/upfile/download/23b1a542-8338-13d3-f826-2719db3f8dcb.pdf,Do not publish final English title without CMS/editorial review.,,水工环地质工程技术人员
CN,China_2026_Directory,china_occupation_directory_2026,2-02-01-04,地质矿产调查工程技术人员,地 质 矿 产 调 查 engineering technician,machine_assisted_rule_review,create,,,,0.500,2,专业技术人员,2022,2022_official_base,,,,https://file.m12333.cn/upfile/download/23b1a542-8338-13d3-f826-2719db3f8dcb.pdf,Do not publish final English title without CMS/editorial review.,,地质矿产调查工程技术人员
CN,China_2026_Directory,china_occupation_directory_2026,2-02-01-05,钻探工程技术人员,钻 探 engineering technician,machine_assisted_rule_review,create,,,,0.556,2,专业技术人员,2022,2022_official_base,,,,https://file.m12333.cn/upfile/download/23b1a542-8338-13d3-f826-2719db3f8dcb.pdf,Do not publish final English title without CMS/editorial review.,,钻探工程技术人员
CN,China_2026_Directory,china_occupation_directory_2026,2-02-02-01,大地测量工程技术人员,大 地 测 量 engineering technician,machine_assisted_rule_review,create,,,,0.556,2,专业技术人员,2022,2022_official_base,L/S,绿色+数字职业,,https://file.m12333.cn/upfile/download/23b1a542-8338-13d3-f826-2719db3f8dcb.pdf,Do not publish final English title without CMS/editorial review.,,大地测量工程技术人员
CN,China_2026_Directory,china_occupation_directory_2026,2-02-02-02,工程测量工程技术人员,工 程 测 量 engineering technician,machine_assisted_rule_review,create,,,,0.600,2,专业技术人员,2022,2022_official_base,S,数字职业,,https://file.m12333.cn/upfile/download/23b1a542-8338-13d3-f826-2719db3f8dcb.pdf,Do not publish final English title without CMS/editorial review.,,工程测量工程技术人员
CN,China_2026_Directory,china_occupation_directory_2026,2-02-02-03,摄影测量与遥感工程技术人员,摄 影 测 量 与 遥 感 engineering technician,machine_assisted_rule_review,create,,,,0.571,2,专业技术人员,2022,2022_official_base,L/S,绿色+数字职业,,https://file.m12333.cn/upfile/download/23b1a542-8338-13d3-f826-2719db3f8dcb.pdf,Do not publish final English title without CMS/editorial review.,,摄影测量与遥感工程技术人员
CN,China_2026_Directory,china_occupation_directory_2026,2-02-02-04,地图制图工程技术人员,地 图 制 图 engineering technician,machine_assisted_rule_review,create,,,,0.556,2,专业技术人员,2022,2022_official_base,S,数字职业,,https://file.m12333.cn/upfile/download/23b1a542-8338-13d3-f826-2719db3f8dcb.pdf,Do not publish final English title without CMS/editorial review.,,地图制图工程技术人员
CN,China_2026_Directory,china_occupation_directory_2026,2-02-02-05,海洋测绘工程技术人员,海 洋 测 绘 engineering technician,machine_assisted_rule_review,create,,,,0.500,2,专业技术人员,2022,2022_official_base,L/S,绿色+数字职业,,https://file.m12333.cn/upfile/download/23b1a542-8338-13d3-f826-2719db3f8dcb.pdf,Do not publish final English title without CMS/editorial review.,,海洋测绘工程技术人员
CN,China_2026_Directory,china_occupation_directory_2026,2-02-02-06,地理国情监测工程技术人员,地 理 国 情 监 测 engineering technician,machine_assisted_rule_review,create,,,,0.455,2,专业技术人员,2022,2022_official_base,L/S,绿色+数字职业,,https://file.m12333.cn/upfile/download/23b1a542-8338-13d3-f826-2719db3f8dcb.pdf,Do not publish final English title without CMS/editorial review.,,地理国情监测工程技术人员
CN,China_2026_Directory,china_occupation_directory_2026,2-02-02-07,地理信息系统工程技术人员,地 理 信 息 系 统 engineering technician,machine_assisted_rule_review,create,,,,0.471,2,专业技术人员,2022,2022_official_base,L/S,绿色+数字职业,,https://file.m12333.cn/upfile/download/23b1a542-8338-13d3-f826-2719db3f8dcb.pdf,Do not publish final English title without CMS/editorial review.,,地理信息系统工程技术人员
CN,China_2026_Directory,china_occupation_directory_2026,2-02-02-08,导航与位置服务工程技术人员,导 航 与 位 置 服 务 engineering technician,machine_assisted_rule_review,create,,,,0.480,2,专业技术人员,2022,2022_official_base,L/S,绿色+数字职业,,https://file.m12333.cn/upfile/download/23b1a542-8338-13d3-f826-2719db3f8dcb.pdf,Do not publish final English title without CMS/editorial review.,,导航与位置服务工程技术人员
CN,China_2026_Directory,china_occupation_directory_2026,2-02-02-09,地质测绘工程技术人员,地 质 测 绘 engineering technician,machine_assisted_rule_review,create,,,,0.556,2,专业技术人员,2022,2022_official_base,L/S,绿色+数字职业,,https://file.m12333.cn/upfile/download/23b1a542-8338-13d3-f826-2719db3f8dcb.pdf,Do not publish final English title without CMS/editorial review.,,地质测绘工程技术人员
CN,China_2026_Directory,china_occupation_directory_2026,2-02-03-01,矿井建设工程技术人员,矿 井 建 设 engineering technician,machine_assisted_rule_review,create,,,,0.500,2,专业技术人员,2022,2022_official_base,,,,https://file.m12333.cn/upfile/download/23b1a542-8338-13d3-f826-2719db3f8dcb.pdf,Do not publish final English title without CMS/editorial review.,,矿井建设工程技术人员
CN,China_2026_Directory,china_occupation_directory_2026,2-02-03-02,采矿工程技术人员,采 矿 engineering technician,machine_assisted_rule_review,create,,,,0.556,2,专业技术人员,2022,2022_official_base,,,,https://file.m12333.cn/upfile/download/23b1a542-8338-13d3-f826-2719db3f8dcb.pdf,Do not publish final English title without CMS/editorial review.,,采矿工程技术人员
CN,China_2026_Directory,china_occupation_directory_2026,2-02-03-03,矿山通风工程技术人员,矿 山 通 风 engineering technician,machine_assisted_rule_review,create,,,,0.500,2,专业技术人员,2022,2022_official_base,,,,https://file.m12333.cn/upfile/download/23b1a542-8338-13d3-f826-2719db3f8dcb.pdf,Do not publish final English title without CMS/editorial review.,,矿山通风工程技术人员
CN,China_2026_Directory,china_occupation_directory_2026,2-02-03-04,选矿与矿物加工工程技术人员,选 矿 与 矿 物 加 工 engineering technician,machine_assisted_rule_review,create,,,,0.522,2,专业技术人员,2022,2022_official_base,,,,https://file.m12333.cn/upfile/download/23b1a542-8338-13d3-f826-2719db3f8dcb.pdf,Do not publish final English title without CMS/editorial review.,,选矿与矿物加工工程技术人员
CN,China_2026_Directory,china_occupation_directory_2026,2-02-03-05,矿山环保复垦工程技术人员,矿 山 环 保 复 垦 engineering technician,machine_assisted_rule_review,create,,,,0.545,2,专业技术人员,2022,2022_official_base,L,绿色职业,,https://file.m12333.cn/upfile/download/23b1a542-8338-13d3-f826-2719db3f8dcb.pdf,Do not publish final English title without CMS/editorial review.,,矿山环保复垦工程技术人员
CN,China_2026_Directory,china_occupation_directory_2026,2-02-04-01,石油天然气开采工程技术人员,石 油 天 然 气 开 采 engineering technician,machine_assisted_rule_review,create,,,,0.480,2,专业技术人员,2022,2022_official_base,,,,https://file.m12333.cn/upfile/download/23b1a542-8338-13d3-f826-2719db3f8dcb.pdf,Do not publish final English title without CMS/editorial review.,,石油天然气开采工程技术人员
CN,China_2026_Directory,china_occupation_directory_2026,2-02-04-02,石油天然气储运工程技术人员,石 油 天 然 气 储 运 engineering technician,machine_assisted_rule_review,create,,,,0.480,2,专业技术人员,2022,2022_official_base,,,,https://file.m12333.cn/upfile/download/23b1a542-8338-13d3-f826-2719db3f8dcb.pdf,Do not publish final English title without CMS/editorial review.,,石油天然气储运工程技术人员
CN,China_2026_Directory,china_occupation_directory_2026,2-02-05-01,冶炼工程技术人员,冶 炼 engineering technician,machine_assisted_rule_review,create,,,,0.556,2,专业技术人员,2022,2022_official_base,,,,https://file.m12333.cn/upfile/download/23b1a542-8338-13d3-f826-2719db3f8dcb.pdf,Do not publish final English title without CMS/editorial review.,,冶炼工程技术人员
CN,China_2026_Directory,china_occupation_directory_2026,2-02-05-02,轧制工程技术人员,轧 制 engineering technician,machine_assisted_rule_review,create,,,,0.556,2,专业技术人员,2022,2022_official_base,,,,https://file.m12333.cn/upfile/download/23b1a542-8338-13d3-f826-2719db3f8dcb.pdf,Do not publish final English title without CMS/editorial review.,,轧制工程技术人员
CN,China_2026_Directory,china_occupation_directory_2026,2-02-05-03,焦化工程技术人员,焦 chemical engineering 程 technician,machine_assisted_rule_review,create,,,,0.615,2,专业技术人员,2022,2022_official_base,,,,https://file.m12333.cn/upfile/download/23b1a542-8338-13d3-f826-2719db3f8dcb.pdf,Do not publish final English title without CMS/editorial review.,,焦化工程技术人员
CN,China_2026_Directory,china_occupation_directory_2026,2-02-05-04,金属材料工程技术人员,金 属 材 料 engineering technician,machine_assisted_rule_review,create,,,,0.533,2,专业技术人员,2022,2022_official_base,,,,https://file.m12333.cn/upfile/download/23b1a542-8338-13d3-f826-2719db3f8dcb.pdf,Do not publish final English title without CMS/editorial review.,,金属材料工程技术人员
CN,China_2026_Directory,china_occupation_directory_2026,2-02-05-05,耐火材料工程技术人员,耐 火 材 料 engineering technician,machine_assisted_rule_review,create,,,,0.533,2,专业技术人员,2022,2022_official_base,,,,https://file.m12333.cn/upfile/download/23b1a542-8338-13d3-f826-2719db3f8dcb.pdf,Do not publish final English title without CMS/editorial review.,,耐火材料工程技术人员
CN,China_2026_Directory,china_occupation_directory_2026,2-02-05-06,炭素材料工程技术人员,炭 素 材 料 engineering technician,machine_assisted_rule_review,create,,,,0.533,2,专业技术人员,2022,2022_official_base,,,,https://file.m12333.cn/upfile/download/23b1a542-8338-13d3-f826-2719db3f8dcb.pdf,Do not publish final English title without CMS/editorial review.,,炭素材料工程技术人员
CN,China_2026_Directory,china_occupation_directory_2026,2-02-05-07,冶金热能工程技术人员,冶 金 热 能 engineering technician,machine_assisted_rule_review,create,,,,0.500,2,专业技术人员,2022,2022_official_base,L,绿色职业,,https://file.m12333.cn/upfile/download/23b1a542-8338-13d3-f826-2719db3f8dcb.pdf,Do not publish final English title without CMS/editorial review.,,冶金热能工程技术人员
CN,China_2026_Directory,china_occupation_directory_2026,2-02-05-08,铸管工程技术人员,铸 管 engineering technician,machine_assisted_rule_review,create,,,,0.571,2,专业技术人员,2022,2022_official_base,,,,https://file.m12333.cn/upfile/download/23b1a542-8338-13d3-f826-2719db3f8dcb.pdf,Do not publish final English title without CMS/editorial review.,,铸管工程技术人员
CN,China_2026_Directory,china_occupation_directory_2026,2-02-05-09,稀土工程技术人员,稀 土 engineering technician,machine_assisted_rule_review,create,,,,0.667,2,专业技术人员,2022,2022_official_base,,,,https://file.m12333.cn/upfile/download/23b1a542-8338-13d3-f826-2719db3f8dcb.pdf,Do not publish final English title without CMS/editorial review.,,稀土工程技术人员
