slug,locale,url,status,ok,has_preview_block,internal_leakage,raw_enum,unsafe_outcome,en_contains_cjk,snippet
athletes-and-sports-competitors,zh-CN,https://staging.fermatmind.com/zh/career/jobs/athletes-and-sports-competitors,200,true,true,false,false,false,false,"st"" class=""mt-5 inline-flex min-h-11 items-center justify-center rounded-lg border border-slate-300 bg-white px-4 py-2 text-sm font-semibold text-slate-950 hover:bg-slate-100"">查看准备清单 风险与变化 AI 影响 3 /10 AI 任务暴露 辅助增强 中等置信 F"
athletes-and-sports-competitors,en,https://staging.fermatmind.com/en/career/jobs/athletes-and-sports-competitors,200,true,true,false,false,false,false,"enter justify-center rounded-lg border border-slate-300 bg-white px-4 py-2 text-sm font-semibold text-slate-950 hover:bg-slate-100"">Review preparation checklist Risks and change AI Impact 3 /10 AI task exposure augmentat"
acute-care-nurses,zh-CN,https://staging.fermatmind.com/zh/career/jobs/acute-care-nurses,200,true,true,false,false,false,false,"st"" class=""mt-5 inline-flex min-h-11 items-center justify-center rounded-lg border border-slate-300 bg-white px-4 py-2 text-sm font-semibold text-slate-950 hover:bg-slate-100"">查看准备清单 风险与变化 AI 影响 4 /10 AI 任务暴露 辅助增强 高置信 Fe"
acute-care-nurses,en,https://staging.fermatmind.com/en/career/jobs/acute-care-nurses,200,true,true,false,false,false,false,"enter justify-center rounded-lg border border-slate-300 bg-white px-4 py-2 text-sm font-semibold text-slate-950 hover:bg-slate-100"">Review preparation checklist Risks and change AI Impact 4 /10 AI task exposure augmentat"
emergency-medicine-physicians,zh-CN,https://staging.fermatmind.com/zh/career/jobs/emergency-medicine-physicians,200,true,true,false,false,false,false,"st"" class=""mt-5 inline-flex min-h-11 items-center justify-center rounded-lg border border-slate-300 bg-white px-4 py-2 text-sm font-semibold text-slate-950 hover:bg-slate-100"">查看准备清单 风险与变化 AI 影响 5 /10 AI 任务暴露 辅助增强 高置信 Fe"
emergency-medicine-physicians,en,https://staging.fermatmind.com/en/career/jobs/emergency-medicine-physicians,200,true,true,false,false,false,false,"enter justify-center rounded-lg border border-slate-300 bg-white px-4 py-2 text-sm font-semibold text-slate-950 hover:bg-slate-100"">Review preparation checklist Risks and change AI Impact 5 /10 AI task exposure augmentat"
nurse-anesthetists,zh-CN,https://staging.fermatmind.com/zh/career/jobs/nurse-anesthetists,200,true,true,false,false,false,false,"st"" class=""mt-5 inline-flex min-h-11 items-center justify-center rounded-lg border border-slate-300 bg-white px-4 py-2 text-sm font-semibold text-slate-950 hover:bg-slate-100"">查看准备清单 风险与变化 AI 影响 6 /10 AI 任务暴露 辅助增强 高置信 Fe"
nurse-anesthetists,en,https://staging.fermatmind.com/en/career/jobs/nurse-anesthetists,200,true,true,false,false,false,false,"enter justify-center rounded-lg border border-slate-300 bg-white px-4 py-2 text-sm font-semibold text-slate-950 hover:bg-slate-100"">Review preparation checklist Risks and change AI Impact 6 /10 AI task exposure augmentat"
pharmacists,zh-CN,https://staging.fermatmind.com/zh/career/jobs/pharmacists,200,true,true,false,false,false,false,"st"" class=""mt-5 inline-flex min-h-11 items-center justify-center rounded-lg border border-slate-300 bg-white px-4 py-2 text-sm font-semibold text-slate-950 hover:bg-slate-100"">查看准备清单 风险与变化 AI 影响 7 /10 AI 任务暴露 混合暴露 高置信 Fe"
pharmacists,en,https://staging.fermatmind.com/en/career/jobs/pharmacists,200,true,true,false,false,false,false,"enter justify-center rounded-lg border border-slate-300 bg-white px-4 py-2 text-sm font-semibold text-slate-950 hover:bg-slate-100"">Review preparation checklist Risks and change AI Impact 7 /10 AI task exposure mixed hig"
diagnostic-medical-sonographers,zh-CN,https://staging.fermatmind.com/zh/career/jobs/diagnostic-medical-sonographers,200,true,true,false,false,false,false,"st"" class=""mt-5 inline-flex min-h-11 items-center justify-center rounded-lg border border-slate-300 bg-white px-4 py-2 text-sm font-semibold text-slate-950 hover:bg-slate-100"">查看准备清单 风险与变化 AI 影响 4 /10 AI 任务暴露 辅助增强 高置信 Fe"
diagnostic-medical-sonographers,en,https://staging.fermatmind.com/en/career/jobs/diagnostic-medical-sonographers,200,true,true,false,false,false,false,"enter justify-center rounded-lg border border-slate-300 bg-white px-4 py-2 text-sm font-semibold text-slate-950 hover:bg-slate-100"">Review preparation checklist Risks and change AI Impact 4 /10 AI task exposure augmentat"
medical-and-clinical-laboratory-technologists,zh-CN,https://staging.fermatmind.com/zh/career/jobs/medical-and-clinical-laboratory-technologists,200,true,true,false,false,false,false,"st"" class=""mt-5 inline-flex min-h-11 items-center justify-center rounded-lg border border-slate-300 bg-white px-4 py-2 text-sm font-semibold text-slate-950 hover:bg-slate-100"">查看准备清单 风险与变化 AI 影响 7 /10 AI 任务暴露 混合暴露 高置信 Fe"
medical-and-clinical-laboratory-technologists,en,https://staging.fermatmind.com/en/career/jobs/medical-and-clinical-laboratory-technologists,200,true,true,false,false,false,false,"enter justify-center rounded-lg border border-slate-300 bg-white px-4 py-2 text-sm font-semibold text-slate-950 hover:bg-slate-100"">Review preparation checklist Risks and change AI Impact 7 /10 AI task exposure mixed hig"
genetic-counselors,zh-CN,https://staging.fermatmind.com/zh/career/jobs/genetic-counselors,200,true,true,false,false,false,false,"st"" class=""mt-5 inline-flex min-h-11 items-center justify-center rounded-lg border border-slate-300 bg-white px-4 py-2 text-sm font-semibold text-slate-950 hover:bg-slate-100"">查看准备清单 风险与变化 AI 影响 6 /10 AI 任务暴露 辅助增强 高置信 Fe"
genetic-counselors,en,https://staging.fermatmind.com/en/career/jobs/genetic-counselors,200,true,true,false,false,false,false,"enter justify-center rounded-lg border border-slate-300 bg-white px-4 py-2 text-sm font-semibold text-slate-950 hover:bg-slate-100"">Review preparation checklist Risks and change AI Impact 6 /10 AI task exposure augmentat"
physicians-and-surgeons,zh-CN,https://staging.fermatmind.com/zh/career/jobs/physicians-and-surgeons,200,true,true,false,false,false,false,"st"" class=""mt-5 inline-flex min-h-11 items-center justify-center rounded-lg border border-slate-300 bg-white px-4 py-2 text-sm font-semibold text-slate-950 hover:bg-slate-100"">查看准备清单 风险与变化 AI 影响 6 /10 AI 任务暴露 辅助增强 中等置信 F"
physicians-and-surgeons,en,https://staging.fermatmind.com/en/career/jobs/physicians-and-surgeons,200,true,true,false,false,false,false,"enter justify-center rounded-lg border border-slate-300 bg-white px-4 py-2 text-sm font-semibold text-slate-950 hover:bg-slate-100"">Review preparation checklist Risks and change AI Impact 6 /10 AI task exposure augmentat"
airline-pilots-copilots-and-flight-engineers,zh-CN,https://staging.fermatmind.com/zh/career/jobs/airline-pilots-copilots-and-flight-engineers,200,true,true,false,false,false,false,"st"" class=""mt-5 inline-flex min-h-11 items-center justify-center rounded-lg border border-slate-300 bg-white px-4 py-2 text-sm font-semibold text-slate-950 hover:bg-slate-100"">查看准备清单 风险与变化 AI 影响 3 /10 AI 任务暴露 辅助增强 中等置信 F"
airline-pilots-copilots-and-flight-engineers,en,https://staging.fermatmind.com/en/career/jobs/airline-pilots-copilots-and-flight-engineers,200,true,true,false,false,false,false,"enter justify-center rounded-lg border border-slate-300 bg-white px-4 py-2 text-sm font-semibold text-slate-950 hover:bg-slate-100"">Review preparation checklist Risks and change AI Impact 3 /10 AI task exposure augmentat"
aviation-inspectors,zh-CN,https://staging.fermatmind.com/zh/career/jobs/aviation-inspectors,200,true,true,false,false,false,false,"st"" class=""mt-5 inline-flex min-h-11 items-center justify-center rounded-lg border border-slate-300 bg-white px-4 py-2 text-sm font-semibold text-slate-950 hover:bg-slate-100"">查看准备清单 风险与变化 AI 影响 5 /10 AI 任务暴露 辅助增强 高置信 Fe"
aviation-inspectors,en,https://staging.fermatmind.com/en/career/jobs/aviation-inspectors,200,true,true,false,false,false,false,"enter justify-center rounded-lg border border-slate-300 bg-white px-4 py-2 text-sm font-semibold text-slate-950 hover:bg-slate-100"">Review preparation checklist Risks and change AI Impact 5 /10 AI task exposure augmentat"
aircraft-and-avionics-equipment-mechanics-and-technicians,zh-CN,https://staging.fermatmind.com/zh/career/jobs/aircraft-and-avionics-equipment-mechanics-and-technicians,200,true,true,false,false,false,false,"st"" class=""mt-5 inline-flex min-h-11 items-center justify-center rounded-lg border border-slate-300 bg-white px-4 py-2 text-sm font-semibold text-slate-950 hover:bg-slate-100"">查看准备清单 风险与变化 AI 影响 4 /10 AI 任务暴露 辅助增强 中等置信 F"
aircraft-and-avionics-equipment-mechanics-and-technicians,en,https://staging.fermatmind.com/en/career/jobs/aircraft-and-avionics-equipment-mechanics-and-technicians,200,true,true,false,false,false,false,"enter justify-center rounded-lg border border-slate-300 bg-white px-4 py-2 text-sm font-semibold text-slate-950 hover:bg-slate-100"">Review preparation checklist Risks and change AI Impact 4 /10 AI task exposure augmentat"
commercial-pilots,zh-CN,https://staging.fermatmind.com/zh/career/jobs/commercial-pilots,200,true,true,false,false,false,false,"st"" class=""mt-5 inline-flex min-h-11 items-center justify-center rounded-lg border border-slate-300 bg-white px-4 py-2 text-sm font-semibold text-slate-950 hover:bg-slate-100"">查看准备清单 风险与变化 AI 影响 4 /10 AI 任务暴露 辅助增强 高置信 Fe"
commercial-pilots,en,https://staging.fermatmind.com/en/career/jobs/commercial-pilots,200,true,true,false,false,false,false,"enter justify-center rounded-lg border border-slate-300 bg-white px-4 py-2 text-sm font-semibold text-slate-950 hover:bg-slate-100"">Review preparation checklist Risks and change AI Impact 4 /10 AI task exposure augmentat"
administrative-law-judges-adjudicators-and-hearing-officers,zh-CN,https://staging.fermatmind.com/zh/career/jobs/administrative-law-judges-adjudicators-and-hearing-officers,200,true,true,false,false,false,false,"st"" class=""mt-5 inline-flex min-h-11 items-center justify-center rounded-lg border border-slate-300 bg-white px-4 py-2 text-sm font-semibold text-slate-950 hover:bg-slate-100"">查看准备清单 风险与变化 AI 影响 5 /10 AI 任务暴露 辅助增强 高置信 Fe"
administrative-law-judges-adjudicators-and-hearing-officers,en,https://staging.fermatmind.com/en/career/jobs/administrative-law-judges-adjudicators-and-hearing-officers,200,true,true,false,false,false,false,"enter justify-center rounded-lg border border-slate-300 bg-white px-4 py-2 text-sm font-semibold text-slate-950 hover:bg-slate-100"">Review preparation checklist Risks and change AI Impact 5 /10 AI task exposure augmentat"
judges-magistrate-judges-and-magistrates,zh-CN,https://staging.fermatmind.com/zh/career/jobs/judges-magistrate-judges-and-magistrates,200,true,true,false,false,false,false,"st"" class=""mt-5 inline-flex min-h-11 items-center justify-center rounded-lg border border-slate-300 bg-white px-4 py-2 text-sm font-semibold text-slate-950 hover:bg-slate-100"">查看准备清单 风险与变化 AI 影响 7 /10 AI 任务暴露 混合暴露 高置信 Fe"
judges-magistrate-judges-and-magistrates,en,https://staging.fermatmind.com/en/career/jobs/judges-magistrate-judges-and-magistrates,200,true,true,false,false,false,false,"enter justify-center rounded-lg border border-slate-300 bg-white px-4 py-2 text-sm font-semibold text-slate-950 hover:bg-slate-100"">Review preparation checklist Risks and change AI Impact 7 /10 AI task exposure mixed hig"
lawyers,zh-CN,https://staging.fermatmind.com/zh/career/jobs/lawyers,200,true,true,false,false,false,false,"st"" class=""mt-5 inline-flex min-h-11 items-center justify-center rounded-lg border border-slate-300 bg-white px-4 py-2 text-sm font-semibold text-slate-950 hover:bg-slate-100"">查看准备清单 风险与变化 AI 影响 7 /10 AI 任务暴露 混合暴露 高置信 Fe"
lawyers,en,https://staging.fermatmind.com/en/career/jobs/lawyers,200,true,true,false,false,false,false,"enter justify-center rounded-lg border border-slate-300 bg-white px-4 py-2 text-sm font-semibold text-slate-950 hover:bg-slate-100"">Review preparation checklist Risks and change AI Impact 7 /10 AI task exposure mixed hig"
judicial-law-clerks,zh-CN,https://staging.fermatmind.com/zh/career/jobs/judicial-law-clerks,200,true,true,false,false,false,false,"st"" class=""mt-5 inline-flex min-h-11 items-center justify-center rounded-lg border border-slate-300 bg-white px-4 py-2 text-sm font-semibold text-slate-950 hover:bg-slate-100"">查看准备清单 风险与变化 AI 影响 7 /10 AI 任务暴露 混合暴露 中等置信 F"
judicial-law-clerks,en,https://staging.fermatmind.com/en/career/jobs/judicial-law-clerks,200,true,true,false,false,false,false,"enter justify-center rounded-lg border border-slate-300 bg-white px-4 py-2 text-sm font-semibold text-slate-950 hover:bg-slate-100"">Review preparation checklist Risks and change AI Impact 7 /10 AI task exposure mixed med"
military-careers,zh-CN,https://staging.fermatmind.com/zh/career/jobs/military-careers,200,true,true,false,false,false,false,"st"" class=""mt-5 inline-flex min-h-11 items-center justify-center rounded-lg border border-slate-300 bg-white px-4 py-2 text-sm font-semibold text-slate-950 hover:bg-slate-100"">查看准备清单 风险与变化 AI 影响 3 /10 AI 任务暴露 辅助增强 高置信 Fe"
military-careers,en,https://staging.fermatmind.com/en/career/jobs/military-careers,200,true,true,false,false,false,false,"enter justify-center rounded-lg border border-slate-300 bg-white px-4 py-2 text-sm font-semibold text-slate-950 hover:bg-slate-100"">Review preparation checklist Risks and change AI Impact 3 /10 AI task exposure augmentat"
first-line-supervisors-of-air-crew-members,zh-CN,https://staging.fermatmind.com/zh/career/jobs/first-line-supervisors-of-air-crew-members,200,true,true,false,false,false,false,"st"" class=""mt-5 inline-flex min-h-11 items-center justify-center rounded-lg border border-slate-300 bg-white px-4 py-2 text-sm font-semibold text-slate-950 hover:bg-slate-100"">查看准备清单 风险与变化 AI 影响 5 /10 AI 任务暴露 辅助增强 中等置信 F"
first-line-supervisors-of-air-crew-members,en,https://staging.fermatmind.com/en/career/jobs/first-line-supervisors-of-air-crew-members,200,true,true,false,false,false,false,"enter justify-center rounded-lg border border-slate-300 bg-white px-4 py-2 text-sm font-semibold text-slate-950 hover:bg-slate-100"">Review preparation checklist Risks and change AI Impact 5 /10 AI task exposure augmentat"
first-line-supervisors-of-weapons-specialists-crew-members,zh-CN,https://staging.fermatmind.com/zh/career/jobs/first-line-supervisors-of-weapons-specialists-crew-members,200,true,true,false,false,false,false,"st"" class=""mt-5 inline-flex min-h-11 items-center justify-center rounded-lg border border-slate-300 bg-white px-4 py-2 text-sm font-semibold text-slate-950 hover:bg-slate-100"">查看准备清单 风险与变化 AI 影响 5 /10 AI 任务暴露 辅助增强 高置信 Fe"
first-line-supervisors-of-weapons-specialists-crew-members,en,https://staging.fermatmind.com/en/career/jobs/first-line-supervisors-of-weapons-specialists-crew-members,200,true,true,false,false,false,false,"enter justify-center rounded-lg border border-slate-300 bg-white px-4 py-2 text-sm font-semibold text-slate-950 hover:bg-slate-100"">Review preparation checklist Risks and change AI Impact 5 /10 AI task exposure augmentat"
command-and-control-center-officers,zh-CN,https://staging.fermatmind.com/zh/career/jobs/command-and-control-center-officers,200,true,true,false,false,false,false,"st"" class=""mt-5 inline-flex min-h-11 items-center justify-center rounded-lg border border-slate-300 bg-white px-4 py-2 text-sm font-semibold text-slate-950 hover:bg-slate-100"">查看准备清单 风险与变化 AI 影响 3 /10 AI 任务暴露 辅助增强 高置信 Fe"
command-and-control-center-officers,en,https://staging.fermatmind.com/en/career/jobs/command-and-control-center-officers,200,true,true,false,false,false,false,"enter justify-center rounded-lg border border-slate-300 bg-white px-4 py-2 text-sm font-semibold text-slate-950 hover:bg-slate-100"">Review preparation checklist Risks and change AI Impact 3 /10 AI task exposure augmentat"
elementary-school-teachers-except-special-education,zh-CN,https://staging.fermatmind.com/zh/career/jobs/elementary-school-teachers-except-special-education,200,true,true,false,false,false,false,"st"" class=""mt-5 inline-flex min-h-11 items-center justify-center rounded-lg border border-slate-300 bg-white px-4 py-2 text-sm font-semibold text-slate-950 hover:bg-slate-100"">查看准备清单 风险与变化 AI 影响 5 /10 AI 任务暴露 辅助增强 高置信 Fe"
elementary-school-teachers-except-special-education,en,https://staging.fermatmind.com/en/career/jobs/elementary-school-teachers-except-special-education,200,true,true,false,false,false,false,"enter justify-center rounded-lg border border-slate-300 bg-white px-4 py-2 text-sm font-semibold text-slate-950 hover:bg-slate-100"">Review preparation checklist Risks and change AI Impact 5 /10 AI task exposure augmentat"
school-and-career-counselors,zh-CN,https://staging.fermatmind.com/zh/career/jobs/school-and-career-counselors,200,true,true,false,false,false,false,"st"" class=""mt-5 inline-flex min-h-11 items-center justify-center rounded-lg border border-slate-300 bg-white px-4 py-2 text-sm font-semibold text-slate-950 hover:bg-slate-100"">查看准备清单 风险与变化 AI 影响 5 /10 AI 任务暴露 辅助增强 中等置信 F"
school-and-career-counselors,en,https://staging.fermatmind.com/en/career/jobs/school-and-career-counselors,200,true,true,false,false,false,false,"enter justify-center rounded-lg border border-slate-300 bg-white px-4 py-2 text-sm font-semibold text-slate-950 hover:bg-slate-100"">Review preparation checklist Risks and change AI Impact 5 /10 AI task exposure augmentat"
adult-literacy-and-ged-teachers,zh-CN,https://staging.fermatmind.com/zh/career/jobs/adult-literacy-and-ged-teachers,200,true,true,false,false,false,false,"st"" class=""mt-5 inline-flex min-h-11 items-center justify-center rounded-lg border border-slate-300 bg-white px-4 py-2 text-sm font-semibold text-slate-950 hover:bg-slate-100"">查看准备清单 风险与变化 AI 影响 4 /10 AI 任务暴露 辅助增强 中等置信 F"
adult-literacy-and-ged-teachers,en,https://staging.fermatmind.com/en/career/jobs/adult-literacy-and-ged-teachers,200,true,true,false,false,false,false,"enter justify-center rounded-lg border border-slate-300 bg-white px-4 py-2 text-sm font-semibold text-slate-950 hover:bg-slate-100"">Review preparation checklist Risks and change AI Impact 4 /10 AI task exposure augmentat"
special-education-teachers-elementary-school,zh-CN,https://staging.fermatmind.com/zh/career/jobs/special-education-teachers-elementary-school,200,true,true,false,false,false,false,"st"" class=""mt-5 inline-flex min-h-11 items-center justify-center rounded-lg border border-slate-300 bg-white px-4 py-2 text-sm font-semibold text-slate-950 hover:bg-slate-100"">查看准备清单 风险与变化 AI 影响 5 /10 AI 任务暴露 辅助增强 中等置信 F"
special-education-teachers-elementary-school,en,https://staging.fermatmind.com/en/career/jobs/special-education-teachers-elementary-school,200,true,true,false,false,false,false,"enter justify-center rounded-lg border border-slate-300 bg-white px-4 py-2 text-sm font-semibold text-slate-950 hover:bg-slate-100"">Review preparation checklist Risks and change AI Impact 5 /10 AI task exposure augmentat"
actors,zh-CN,https://staging.fermatmind.com/zh/career/jobs/actors,200,true,true,false,false,false,false,"st"" class=""mt-5 inline-flex min-h-11 items-center justify-center rounded-lg border border-slate-300 bg-white px-4 py-2 text-sm font-semibold text-slate-950 hover:bg-slate-100"">查看准备清单 风险与变化 AI 影响 3 /10 AI 任务暴露 辅助增强 中等置信 F"
actors,en,https://staging.fermatmind.com/en/career/jobs/actors,200,true,true,false,false,false,false,"enter justify-center rounded-lg border border-slate-300 bg-white px-4 py-2 text-sm font-semibold text-slate-950 hover:bg-slate-100"">Review preparation checklist Risks and change AI Impact 3 /10 AI task exposure augmentat"
poets-lyricists-and-creative-writers,zh-CN,https://staging.fermatmind.com/zh/career/jobs/poets-lyricists-and-creative-writers,200,true,true,false,false,false,false,"st"" class=""mt-5 inline-flex min-h-11 items-center justify-center rounded-lg border border-slate-300 bg-white px-4 py-2 text-sm font-semibold text-slate-950 hover:bg-slate-100"">查看准备清单 风险与变化 AI 影响 8 /10 AI 任务暴露 混合暴露 中等置信 F"
poets-lyricists-and-creative-writers,en,https://staging.fermatmind.com/en/career/jobs/poets-lyricists-and-creative-writers,200,true,true,false,false,false,false,"enter justify-center rounded-lg border border-slate-300 bg-white px-4 py-2 text-sm font-semibold text-slate-950 hover:bg-slate-100"">Review preparation checklist Risks and change AI Impact 8 /10 AI task exposure mixed med"
multimedia-artists-and-animators,zh-CN,https://staging.fermatmind.com/zh/career/jobs/multimedia-artists-and-animators,200,true,true,false,false,false,false,"st"" class=""mt-5 inline-flex min-h-11 items-center justify-center rounded-lg border border-slate-300 bg-white px-4 py-2 text-sm font-semibold text-slate-950 hover:bg-slate-100"">查看准备清单 风险与变化 AI 影响 7 /10 AI 任务暴露 混合暴露 中等置信 F"
multimedia-artists-and-animators,en,https://staging.fermatmind.com/en/career/jobs/multimedia-artists-and-animators,200,true,true,false,false,false,false,"enter justify-center rounded-lg border border-slate-300 bg-white px-4 py-2 text-sm font-semibold text-slate-950 hover:bg-slate-100"">Review preparation checklist Risks and change AI Impact 7 /10 AI task exposure mixed med"
dancers-and-choreographers,zh-CN,https://staging.fermatmind.com/zh/career/jobs/dancers-and-choreographers,200,true,true,false,false,false,false,"st"" class=""mt-5 inline-flex min-h-11 items-center justify-center rounded-lg border border-slate-300 bg-white px-4 py-2 text-sm font-semibold text-slate-950 hover:bg-slate-100"">查看准备清单 风险与变化 AI 影响 5 /10 AI 任务暴露 辅助增强 中等置信 F"
dancers-and-choreographers,en,https://staging.fermatmind.com/en/career/jobs/dancers-and-choreographers,200,true,true,false,false,false,false,"enter justify-center rounded-lg border border-slate-300 bg-white px-4 py-2 text-sm font-semibold text-slate-950 hover:bg-slate-100"">Review preparation checklist Risks and change AI Impact 5 /10 AI task exposure augmentat"
electricians,zh-CN,https://staging.fermatmind.com/zh/career/jobs/electricians,200,true,true,false,false,false,false,"st"" class=""mt-5 inline-flex min-h-11 items-center justify-center rounded-lg border border-slate-300 bg-white px-4 py-2 text-sm font-semibold text-slate-950 hover:bg-slate-100"">查看准备清单 风险与变化 AI 影响 4 /10 AI 任务暴露 辅助增强 中等置信 F"
