eu_status_default,forbidden,slug,source_target
macro_context_only,EU-wide occupation median salary without occupation-specific source,advertising-and-promotions-managers,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,advertising-promotions-and-marketing-managers,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,aerospace-engineering-and-operations-technicians,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,agents-and-business-managers-of-artists-performers-and-athletes,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,agricultural-and-food-science-technicians,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,agricultural-and-food-scientists,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,agricultural-equipment-operators,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,agricultural-inspectors,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,agricultural-sciences-teachers-postsecondary,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,agricultural-technicians,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,air-crew-members,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,air-crew-officers,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,aircraft-and-avionics-equipment-mechanics-and-technicians,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,aircraft-cargo-handling-supervisors,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,aircraft-launch-and-recovery-officers,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,aircraft-launch-and-recovery-specialists,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,aircraft-service-attendants,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,aircraft-structure-surfaces-rigging-and-systems-assemblers,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,airfield-operations-specialists,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,airline-and-commercial-pilots,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,allergists-and-immunologists,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,ambulance-drivers-and-attendants-except-emergency-medical-technicians,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,amusement-and-recreation-attendants,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,anesthesiologist-assistants,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,animal-breeders,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,animal-care-and-service-workers,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,animal-control-workers,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,animal-scientists,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,animal-trainers,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,announcers,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,anthropologists-and-archeologists,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,anthropology-and-archeology-teachers-postsecondary,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,appraisers-of-personal-and-business-property,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,arbitrators-mediators-and-conciliators,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,architects,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,architectural-and-civil-drafters,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,architectural-and-engineering-managers,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,architecture-teachers-postsecondary,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,archivists,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,curators-museum-technicians-and-conservators,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,area-ethnic-and-cultural-studies-teachers-postsecondary,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,armored-assault-vehicle-crew-members,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,armored-assault-vehicle-officers,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,art-therapists,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,art-drama-and-music-teachers-postsecondary,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,artillery-and-missile-crew-members,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,artillery-and-missile-officers,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,assemblers-and-fabricators,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,astronomers,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,athletes-and-sports-competitors,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,athletic-trainers,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,atmospheric-and-space-scientists,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,atmospheric-scientists-including-meteorologists,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,atmospheric-earth-marine-and-space-sciences-teachers-postsecondary,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,audio-and-video-technicians,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,audiologists,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,audiovisual-equipment-installers-and-repairers,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,automotive-and-watercraft-service-attendants,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,automotive-body-and-glass-repairers,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,automotive-engineering-technicians,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,automotive-engineers,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,automotive-glass-installers-and-repairers,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,automotive-service-technicians-and-mechanics,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,aviation-inspectors,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,avionics-technicians,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,baggage-porters-and-bellhops,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,bailiffs,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,bakers,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,barbers,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,barbers-hairstylists-and-cosmetologists,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,baristas,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,bartenders,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,bicycle-repairers,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,bill-and-account-collectors,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,billing-and-posting-clerks,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,biochemists-and-biophysicists,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,biomedical-engineers,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,biofuels-processing-technicians,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,biofuels-production-managers,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,biofuels-biodiesel-technology-and-product-development-managers,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,bioinformatics-scientists,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,bioinformatics-technicians,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,biological-science-teachers-postsecondary,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,biological-technicians,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,biologists,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,biomass-plant-technicians,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,biomass-power-plant-managers,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,biostatisticians,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,blockchain-engineers,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,boilermakers,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,bookkeeping-accounting-and-auditing-clerks,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,brickmasons-and-blockmasons,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,bridge-and-lock-tenders,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,broadcast-announcers-and-radio-disc-jockeys,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,broadcast-technicians,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,broadcast-and-sound-engineering-technicians,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,brokerage-clerks,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,brownfield-redevelopment-specialists-and-site-managers,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,budget-analysts,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,bus-and-truck-mechanics-and-diesel-engine-specialists,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,bus-drivers,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,bus-drivers-school,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,bus-drivers-transit-and-intercity,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,business-continuity-planners,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,business-intelligence-analysts,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,business-teachers-postsecondary,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,butchers-and-meat-cutters,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,buyers-and-purchasing-agents-farm-products,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,cabinetmakers-and-bench-carpenters,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,calibration-technologists-and-technicians,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,camera-and-photographic-equipment-repairers,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,camera-operators-television-video-and-film,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,captains-mates-and-pilots-of-water-vessels,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,cardiovascular-technologists-and-technicians,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,career-and-technical-education-teachers,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,career-technical-education-teachers-middle-school,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,career-technical-education-teachers-postsecondary,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,career-technical-education-teachers-secondary-school,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,cargo-and-freight-agents,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,carpenters,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,carpet-installers,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,cartographers-and-photogrammetrists,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,cement-masons-and-concrete-finishers,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,chemical-engineers,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,chemical-equipment-operators-and-tenders,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,chemical-plant-and-system-operators,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,chemical-technicians,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,chemistry-teachers-postsecondary,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,chemists,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,chemists-and-materials-scientists,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,chief-executives,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,chief-sustainability-officers,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,child-family-and-school-social-workers,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,childcare-workers,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,chiropractors,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,choreographers,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,civil-engineering-technicians,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,claims-adjusters-appraisers-examiners-and-investigators,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,cleaners-of-vehicles-and-equipment,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,cleaning-washing-and-metal-pickling-equipment-operators-and-tenders,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,clergy,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,climate-change-policy-analysts,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,clinical-and-counseling-psychologists,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,clinical-data-managers,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,clinical-laboratory-technologists-and-technicians,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,clinical-neuropsychologists,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,clinical-nurse-specialists,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,clinical-research-coordinators,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,coaches-and-scouts,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,coating-painting-and-spraying-machine-setters-operators-and-tenders,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,coil-winders-tapers-and-finishers,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,coin-vending-and-amusement-machine-servicers-and-repairers,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,command-and-control-center-officers,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,command-and-control-center-specialists,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,commercial-and-industrial-designers,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,commercial-divers,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,commercial-pilots,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,communications-teachers-postsecondary,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,community-health-workers,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,compensation-and-benefits-managers,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,compensation-benefits-and-job-analysis-specialists,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,compliance-managers,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,compliance-officers,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,computer-and-information-research-scientists,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,computer-and-information-systems-managers,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,computer-hardware-engineers,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,computer-network-architects,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,computer-network-support-specialists,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,computer-numerically-controlled-tool-operators,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,computer-numerically-controlled-tool-programmers,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,computer-science-teachers-postsecondary,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,computer-support-specialists,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,computer-systems-analysts,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,computer-systems-engineers-architects,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,computer-automated-teller-and-office-machine-repairers,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,concierges,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,conservation-scientists,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,construction-and-building-inspectors,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,construction-equipment-operators,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,construction-laborers,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,construction-laborers-and-helpers,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,construction-managers,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,continuous-mining-machine-operators,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,control-and-valve-installers-and-repairers-except-mechanical-door,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,conveyor-operators-and-tenders,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,cooks,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,cooks-fast-food,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,cooks-institution-and-cafeteria,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,cooks-private-household,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,cooks-restaurant,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,cooks-short-order,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,cooling-and-freezing-equipment-operators-and-tenders,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,coroners,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,correctional-officers,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,correspondence-clerks,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,cost-estimators,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,costume-attendants,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,counter-and-rental-clerks,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,couriers-and-messengers,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,court-reporters,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,court-municipal-and-license-clerks,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,craft-and-fine-artists,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,craft-artists,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,crane-and-tower-operators,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,credit-analysts,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,credit-authorizers-checkers-and-clerks,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,credit-counselors,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,crematory-operators,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,criminal-justice-and-law-enforcement-teachers-postsecondary,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,critical-care-nurses,Eurostat labour-market earnings macro context
macro_context_only,EU-wide occupation median salary without occupation-specific source,crossing-guards-and-flaggers,Eurostat labour-market earnings macro context
