slug,locale,candidate_index,anchor_candidate,candidate_only,runtime_approved
adult-basic-education-adult-secondary-education-and-english-as-a-second-language-instructors,en,2,"Adult Basic Education, Adult Secondary Education, And English As A Second Language Instructors skills and entry path",true,false
adult-basic-education-adult-secondary-education-and-english-as-a-second-language-instructors,en,3,"Adult Basic Education, Adult Secondary Education, And English As A Second Language Instructors AI impact and fit",true,false
advanced-practice-psychiatric-nurses,zh-CN,1,精神科护士职业介绍,true,false
advanced-practice-psychiatric-nurses,zh-CN,2,精神科护士技能与入行路径,true,false
advanced-practice-psychiatric-nurses,zh-CN,3,精神科护士AI 影响与职业匹配,true,false
advanced-practice-psychiatric-nurses,en,1,Advanced Practice Psychiatric Nurses career overview,true,false
advanced-practice-psychiatric-nurses,en,2,Advanced Practice Psychiatric Nurses skills and entry path,true,false
advanced-practice-psychiatric-nurses,en,3,Advanced Practice Psychiatric Nurses AI impact and fit,true,false
advertising-and-promotions-managers,zh-CN,1,广告与促销经理职业介绍,true,false
advertising-and-promotions-managers,zh-CN,2,广告与促销经理技能与入行路径,true,false
advertising-and-promotions-managers,zh-CN,3,广告与促销经理AI 影响与职业匹配,true,false
advertising-and-promotions-managers,en,1,Advertising And Promotions Managers career overview,true,false
advertising-and-promotions-managers,en,2,Advertising And Promotions Managers skills and entry path,true,false
advertising-and-promotions-managers,en,3,Advertising And Promotions Managers AI impact and fit,true,false
advertising-sales-agents,zh-CN,1,广告销售代表适合谁？职业介绍,true,false
advertising-sales-agents,zh-CN,2,广告销售代表适合谁？技能与入行路径,true,false
advertising-sales-agents,zh-CN,3,广告销售代表适合谁？AI 影响与职业匹配,true,false
advertising-sales-agents,en,1,Advertising Sales Agents career overview,true,false
advertising-sales-agents,en,2,Advertising Sales Agents skills and entry path,true,false
advertising-sales-agents,en,3,Advertising Sales Agents AI impact and fit,true,false
advertising-promotions-and-marketing-managers,zh-CN,1,广告、促销与市场经理适合谁？职业介绍,true,false
advertising-promotions-and-marketing-managers,zh-CN,2,广告、促销与市场经理适合谁？技能与入行路径,true,false
advertising-promotions-and-marketing-managers,zh-CN,3,广告、促销与市场经理适合谁？AI 影响与职业匹配,true,false
advertising-promotions-and-marketing-managers,en,1,"Advertising, Promotions, and Marketing Managers career overview",true,false
advertising-promotions-and-marketing-managers,en,2,"Advertising, Promotions, and Marketing Managers skills and entry path",true,false
advertising-promotions-and-marketing-managers,en,3,"Advertising, Promotions, and Marketing Managers AI impact and fit",true,false
aerospace-engineering-and-operations-technicians,zh-CN,1,航空航天工程与运营技术员适合谁？职业介绍,true,false
aerospace-engineering-and-operations-technicians,zh-CN,2,航空航天工程与运营技术员适合谁？技能与入行路径,true,false
aerospace-engineering-and-operations-technicians,zh-CN,3,航空航天工程与运营技术员适合谁？AI 影响与职业匹配,true,false
aerospace-engineering-and-operations-technicians,en,1,Aerospace Engineering and Operations Technologists and Technicians career overview,true,false
aerospace-engineering-and-operations-technicians,en,2,Aerospace Engineering and Operations Technologists and Technicians skills and entry path,true,false
aerospace-engineering-and-operations-technicians,en,3,Aerospace Engineering and Operations Technologists and Technicians AI impact and fit,true,false
aerospace-engineers,zh-CN,1,航空航天工程师职业介绍,true,false
aerospace-engineers,zh-CN,2,航空航天工程师技能与入行路径,true,false
aerospace-engineers,zh-CN,3,航空航天工程师AI 影响与职业匹配,true,false
aerospace-engineers,en,1,Aerospace Engineers career overview,true,false
aerospace-engineers,en,2,Aerospace Engineers skills and entry path,true,false
aerospace-engineers,en,3,Aerospace Engineers AI impact and fit,true,false
agents-and-business-managers-of-artists-performers-and-athletes,zh-CN,1,经理商业职业介绍,true,false
agents-and-business-managers-of-artists-performers-and-athletes,zh-CN,2,经理商业技能与入行路径,true,false
agents-and-business-managers-of-artists-performers-and-athletes,zh-CN,3,经理商业AI 影响与职业匹配,true,false
agents-and-business-managers-of-artists-performers-and-athletes,en,1,"Agents And Business Managers Of Artists, Performers, And Athletes career overview",true,false
agents-and-business-managers-of-artists-performers-and-athletes,en,2,"Agents And Business Managers Of Artists, Performers, And Athletes skills and entry path",true,false
agents-and-business-managers-of-artists-performers-and-athletes,en,3,"Agents And Business Managers Of Artists, Performers, And Athletes AI impact and fit",true,false
agricultural-and-food-science-technicians,zh-CN,1,农业与食品科学技术员适合谁？职业介绍,true,false
agricultural-and-food-science-technicians,zh-CN,2,农业与食品科学技术员适合谁？技能与入行路径,true,false
agricultural-and-food-science-technicians,zh-CN,3,农业与食品科学技术员适合谁？AI 影响与职业匹配,true,false
agricultural-and-food-science-technicians,en,1,Agricultural and Food Science Technicians career overview,true,false
agricultural-and-food-science-technicians,en,2,Agricultural and Food Science Technicians skills and entry path,true,false
agricultural-and-food-science-technicians,en,3,Agricultural and Food Science Technicians AI impact and fit,true,false
agricultural-and-food-scientists,zh-CN,1,农业与食品科学家职业介绍,true,false
agricultural-and-food-scientists,zh-CN,2,农业与食品科学家技能与入行路径,true,false
agricultural-and-food-scientists,zh-CN,3,农业与食品科学家AI 影响与职业匹配,true,false
agricultural-and-food-scientists,en,1,Agricultural And Food Scientists career overview,true,false
agricultural-and-food-scientists,en,2,Agricultural And Food Scientists skills and entry path,true,false
agricultural-and-food-scientists,en,3,Agricultural And Food Scientists AI impact and fit,true,false
agricultural-engineers,zh-CN,1,农业工程师适合谁？职业介绍,true,false
agricultural-engineers,zh-CN,2,农业工程师适合谁？技能与入行路径,true,false
agricultural-engineers,zh-CN,3,农业工程师适合谁？AI 影响与职业匹配,true,false
agricultural-engineers,en,1,Agricultural Engineers career overview,true,false
agricultural-engineers,en,2,Agricultural Engineers skills and entry path,true,false
agricultural-engineers,en,3,Agricultural Engineers AI impact and fit,true,false
agricultural-equipment-operators,zh-CN,1,农业操作员职业介绍,true,false
agricultural-equipment-operators,zh-CN,2,农业操作员技能与入行路径,true,false
agricultural-equipment-operators,zh-CN,3,农业操作员AI 影响与职业匹配,true,false
agricultural-equipment-operators,en,1,Agricultural Equipment Operators career overview,true,false
agricultural-equipment-operators,en,2,Agricultural Equipment Operators skills and entry path,true,false
agricultural-equipment-operators,en,3,Agricultural Equipment Operators AI impact and fit,true,false
agricultural-inspectors,zh-CN,1,农业检查员职业介绍,true,false
agricultural-inspectors,zh-CN,2,农业检查员技能与入行路径,true,false
agricultural-inspectors,zh-CN,3,农业检查员AI 影响与职业匹配,true,false
agricultural-inspectors,en,1,Agricultural Inspectors career overview,true,false
agricultural-inspectors,en,2,Agricultural Inspectors skills and entry path,true,false
agricultural-inspectors,en,3,Agricultural Inspectors AI impact and fit,true,false
agricultural-sciences-teachers-postsecondary,zh-CN,1,农业教师职业介绍,true,false
agricultural-sciences-teachers-postsecondary,zh-CN,2,农业教师技能与入行路径,true,false
agricultural-sciences-teachers-postsecondary,zh-CN,3,农业教师AI 影响与职业匹配,true,false
agricultural-sciences-teachers-postsecondary,en,1,"Agricultural Sciences Teachers, Postsecondary career overview",true,false
agricultural-sciences-teachers-postsecondary,en,2,"Agricultural Sciences Teachers, Postsecondary skills and entry path",true,false
agricultural-sciences-teachers-postsecondary,en,3,"Agricultural Sciences Teachers, Postsecondary AI impact and fit",true,false
agricultural-technicians,zh-CN,1,农业技术员职业介绍,true,false
agricultural-technicians,zh-CN,2,农业技术员技能与入行路径,true,false
agricultural-technicians,zh-CN,3,农业技术员AI 影响与职业匹配,true,false
agricultural-technicians,en,1,Agricultural Technicians career overview,true,false
agricultural-technicians,en,2,Agricultural Technicians skills and entry path,true,false
agricultural-technicians,en,3,Agricultural Technicians AI impact and fit,true,false
agricultural-workers,zh-CN,1,农业从业人员职业介绍,true,false
agricultural-workers,zh-CN,2,农业从业人员技能与入行路径,true,false
agricultural-workers,zh-CN,3,农业从业人员AI 影响与职业匹配,true,false
agricultural-workers,en,1,Agricultural Workers career overview,true,false
agricultural-workers,en,2,Agricultural Workers skills and entry path,true,false
agricultural-workers,en,3,Agricultural Workers AI impact and fit,true,false
air-crew-members,zh-CN,1,机组成员职业介绍,true,false
air-crew-members,zh-CN,2,机组成员技能与入行路径,true,false
air-crew-members,zh-CN,3,机组成员AI 影响与职业匹配,true,false
air-crew-members,en,1,Air Crew Members career overview,true,false
air-crew-members,en,2,Air Crew Members skills and entry path,true,false
air-crew-members,en,3,Air Crew Members AI impact and fit,true,false
air-crew-officers,zh-CN,1,空勤军官职业介绍,true,false
air-crew-officers,zh-CN,2,空勤军官技能与入行路径,true,false
air-crew-officers,zh-CN,3,空勤军官AI 影响与职业匹配,true,false
air-crew-officers,en,1,Air Crew Officers career overview,true,false
air-crew-officers,en,2,Air Crew Officers skills and entry path,true,false
air-crew-officers,en,3,Air Crew Officers AI impact and fit,true,false
air-traffic-controllers,zh-CN,1,空中交通管制员职业诊断职业介绍,true,false
air-traffic-controllers,zh-CN,2,空中交通管制员职业诊断技能与入行路径,true,false
air-traffic-controllers,zh-CN,3,空中交通管制员职业诊断AI 影响与职业匹配,true,false
air-traffic-controllers,en,1,Air Traffic Controllers career overview,true,false
air-traffic-controllers,en,2,Air Traffic Controllers skills and entry path,true,false
air-traffic-controllers,en,3,Air Traffic Controllers AI impact and fit,true,false
aircraft-and-avionics-equipment-mechanics-and-technicians,zh-CN,1,飞机与航空电子设备维修技师适合谁？职业介绍,true,false
aircraft-and-avionics-equipment-mechanics-and-technicians,zh-CN,2,飞机与航空电子设备维修技师适合谁？技能与入行路径,true,false
aircraft-and-avionics-equipment-mechanics-and-technicians,zh-CN,3,飞机与航空电子设备维修技师适合谁？AI 影响与职业匹配,true,false
aircraft-and-avionics-equipment-mechanics-and-technicians,en,1,Aircraft and Avionics Equipment Mechanics and Technicians career overview,true,false
aircraft-and-avionics-equipment-mechanics-and-technicians,en,2,Aircraft and Avionics Equipment Mechanics and Technicians skills and entry path,true,false
aircraft-and-avionics-equipment-mechanics-and-technicians,en,3,Aircraft and Avionics Equipment Mechanics and Technicians AI impact and fit,true,false
aircraft-cargo-handling-supervisors,zh-CN,1,飞机货物装卸主管职业介绍,true,false
aircraft-cargo-handling-supervisors,zh-CN,2,飞机货物装卸主管技能与入行路径,true,false
aircraft-cargo-handling-supervisors,zh-CN,3,飞机货物装卸主管AI 影响与职业匹配,true,false
aircraft-cargo-handling-supervisors,en,1,Aircraft Cargo Handling Supervisors career overview,true,false
aircraft-cargo-handling-supervisors,en,2,Aircraft Cargo Handling Supervisors skills and entry path,true,false
aircraft-cargo-handling-supervisors,en,3,Aircraft Cargo Handling Supervisors AI impact and fit,true,false
aircraft-launch-and-recovery-officers,zh-CN,1,飞机官职业介绍,true,false
aircraft-launch-and-recovery-officers,zh-CN,2,飞机官技能与入行路径,true,false
aircraft-launch-and-recovery-officers,zh-CN,3,飞机官AI 影响与职业匹配,true,false
aircraft-launch-and-recovery-officers,en,1,Aircraft Launch And Recovery Officers career overview,true,false
aircraft-launch-and-recovery-officers,en,2,Aircraft Launch And Recovery Officers skills and entry path,true,false
aircraft-launch-and-recovery-officers,en,3,Aircraft Launch And Recovery Officers AI impact and fit,true,false
aircraft-launch-and-recovery-specialists,zh-CN,1,飞机专员职业介绍,true,false
aircraft-launch-and-recovery-specialists,zh-CN,2,飞机专员技能与入行路径,true,false
aircraft-launch-and-recovery-specialists,zh-CN,3,飞机专员AI 影响与职业匹配,true,false
aircraft-launch-and-recovery-specialists,en,1,Aircraft Launch And Recovery Specialists career overview,true,false
aircraft-launch-and-recovery-specialists,en,2,Aircraft Launch And Recovery Specialists skills and entry path,true,false
aircraft-launch-and-recovery-specialists,en,3,Aircraft Launch And Recovery Specialists AI impact and fit,true,false
aircraft-mechanics-and-service-technicians,zh-CN,1,飞机机械师技术员职业介绍,true,false
aircraft-mechanics-and-service-technicians,zh-CN,2,飞机机械师技术员技能与入行路径,true,false
aircraft-mechanics-and-service-technicians,zh-CN,3,飞机机械师技术员AI 影响与职业匹配,true,false
aircraft-mechanics-and-service-technicians,en,1,Aircraft Mechanics And Service Technicians career overview,true,false
aircraft-mechanics-and-service-technicians,en,2,Aircraft Mechanics And Service Technicians skills and entry path,true,false
aircraft-mechanics-and-service-technicians,en,3,Aircraft Mechanics And Service Technicians AI impact and fit,true,false
aircraft-service-attendants,zh-CN,1,飞机服务服务员职业介绍,true,false
aircraft-service-attendants,zh-CN,2,飞机服务服务员技能与入行路径,true,false
aircraft-service-attendants,zh-CN,3,飞机服务服务员AI 影响与职业匹配,true,false
aircraft-service-attendants,en,1,Aircraft Service Attendants career overview,true,false
aircraft-service-attendants,en,2,Aircraft Service Attendants skills and entry path,true,false
aircraft-service-attendants,en,3,Aircraft Service Attendants AI impact and fit,true,false
aircraft-structure-surfaces-rigging-and-systems-assemblers,zh-CN,1,飞机结构、表面、索具、系统装配工职业介绍,true,false
aircraft-structure-surfaces-rigging-and-systems-assemblers,zh-CN,2,飞机结构、表面、索具、系统装配工技能与入行路径,true,false
aircraft-structure-surfaces-rigging-and-systems-assemblers,zh-CN,3,飞机结构、表面、索具、系统装配工AI 影响与职业匹配,true,false
aircraft-structure-surfaces-rigging-and-systems-assemblers,en,1,"Aircraft Structure, Surfaces, Rigging, And Systems Assemblers career overview",true,false
aircraft-structure-surfaces-rigging-and-systems-assemblers,en,2,"Aircraft Structure, Surfaces, Rigging, And Systems Assemblers skills and entry path",true,false
aircraft-structure-surfaces-rigging-and-systems-assemblers,en,3,"Aircraft Structure, Surfaces, Rigging, And Systems Assemblers AI impact and fit",true,false
airfield-operations-specialists,zh-CN,1,机场运行专员职业介绍,true,false
airfield-operations-specialists,zh-CN,2,机场运行专员技能与入行路径,true,false
airfield-operations-specialists,zh-CN,3,机场运行专员AI 影响与职业匹配,true,false
airfield-operations-specialists,en,1,Airfield Operations Specialists career overview,true,false
airfield-operations-specialists,en,2,Airfield Operations Specialists skills and entry path,true,false
airfield-operations-specialists,en,3,Airfield Operations Specialists AI impact and fit,true,false
airline-and-commercial-pilots,zh-CN,1,航空公司与商业飞行员职业诊断职业介绍,true,false
airline-and-commercial-pilots,zh-CN,2,航空公司与商业飞行员职业诊断技能与入行路径,true,false
airline-and-commercial-pilots,zh-CN,3,航空公司与商业飞行员职业诊断AI 影响与职业匹配,true,false
airline-and-commercial-pilots,en,1,Airline and Commercial Pilots career overview,true,false
airline-and-commercial-pilots,en,2,Airline and Commercial Pilots skills and entry path,true,false
airline-and-commercial-pilots,en,3,Airline and Commercial Pilots AI impact and fit,true,false
airline-pilots-copilots-and-flight-engineers,zh-CN,1,工程师职业介绍,true,false
airline-pilots-copilots-and-flight-engineers,zh-CN,2,工程师技能与入行路径,true,false
airline-pilots-copilots-and-flight-engineers,zh-CN,3,工程师AI 影响与职业匹配,true,false
airline-pilots-copilots-and-flight-engineers,en,1,"Airline Pilots, Copilots, And Flight Engineers career overview",true,false
airline-pilots-copilots-and-flight-engineers,en,2,"Airline Pilots, Copilots, And Flight Engineers skills and entry path",true,false
airline-pilots-copilots-and-flight-engineers,en,3,"Airline Pilots, Copilots, And Flight Engineers AI impact and fit",true,false
allergists-and-immunologists,zh-CN,1,过敏专科医师免疫学医师职业介绍,true,false
allergists-and-immunologists,zh-CN,2,过敏专科医师免疫学医师技能与入行路径,true,false
allergists-and-immunologists,zh-CN,3,过敏专科医师免疫学医师AI 影响与职业匹配,true,false
allergists-and-immunologists,en,1,Allergists And Immunologists career overview,true,false
allergists-and-immunologists,en,2,Allergists And Immunologists skills and entry path,true,false
allergists-and-immunologists,en,3,Allergists And Immunologists AI impact and fit,true,false
ambulance-drivers-and-attendants-except-emergency-medical-technicians,zh-CN,1,救护车司机服务员、急诊医疗技术员职业介绍,true,false
ambulance-drivers-and-attendants-except-emergency-medical-technicians,zh-CN,2,救护车司机服务员、急诊医疗技术员技能与入行路径,true,false
ambulance-drivers-and-attendants-except-emergency-medical-technicians,zh-CN,3,救护车司机服务员、急诊医疗技术员AI 影响与职业匹配,true,false
ambulance-drivers-and-attendants-except-emergency-medical-technicians,en,1,"Ambulance Drivers And Attendants, Except Emergency Medical Technicians career overview",true,false
ambulance-drivers-and-attendants-except-emergency-medical-technicians,en,2,"Ambulance Drivers And Attendants, Except Emergency Medical Technicians skills and entry path",true,false
ambulance-drivers-and-attendants-except-emergency-medical-technicians,en,3,"Ambulance Drivers And Attendants, Except Emergency Medical Technicians AI impact and fit",true,false
amusement-and-recreation-attendants,zh-CN,1,娱乐与休闲服务员职业介绍,true,false
amusement-and-recreation-attendants,zh-CN,2,娱乐与休闲服务员技能与入行路径,true,false
amusement-and-recreation-attendants,zh-CN,3,娱乐与休闲服务员AI 影响与职业匹配,true,false
amusement-and-recreation-attendants,en,1,Amusement And Recreation Attendants career overview,true,false
amusement-and-recreation-attendants,en,2,Amusement And Recreation Attendants skills and entry path,true,false
amusement-and-recreation-attendants,en,3,Amusement And Recreation Attendants AI impact and fit,true,false
anesthesiologist-assistants,zh-CN,1,麻醉医师助理职业介绍,true,false
anesthesiologist-assistants,zh-CN,2,麻醉医师助理技能与入行路径,true,false
anesthesiologist-assistants,zh-CN,3,麻醉医师助理AI 影响与职业匹配,true,false
anesthesiologist-assistants,en,1,Anesthesiologist Assistants career overview,true,false
anesthesiologist-assistants,en,2,Anesthesiologist Assistants skills and entry path,true,false
anesthesiologist-assistants,en,3,Anesthesiologist Assistants AI impact and fit,true,false
anesthesiologists,zh-CN,1,麻醉医师职业介绍,true,false
anesthesiologists,zh-CN,2,麻醉医师技能与入行路径,true,false
anesthesiologists,zh-CN,3,麻醉医师AI 影响与职业匹配,true,false
anesthesiologists,en,1,Anesthesiologists career overview,true,false
anesthesiologists,en,2,Anesthesiologists skills and entry path,true,false
anesthesiologists,en,3,Anesthesiologists AI impact and fit,true,false
animal-breeders,zh-CN,1,动物饲养员职业介绍,true,false
animal-breeders,zh-CN,2,动物饲养员技能与入行路径,true,false
animal-breeders,zh-CN,3,动物饲养员AI 影响与职业匹配,true,false
animal-breeders,en,1,Animal Breeders career overview,true,false
animal-breeders,en,2,Animal Breeders skills and entry path,true,false
animal-breeders,en,3,Animal Breeders AI impact and fit,true,false
animal-care-and-service-workers,zh-CN,1,动物照护与服务人员适合谁？职业介绍,true,false
animal-care-and-service-workers,zh-CN,2,动物照护与服务人员适合谁？技能与入行路径,true,false
animal-care-and-service-workers,zh-CN,3,动物照护与服务人员适合谁？AI 影响与职业匹配,true,false
animal-care-and-service-workers,en,1,Animal Care and Service Workers career overview,true,false
animal-care-and-service-workers,en,2,Animal Care and Service Workers skills and entry path,true,false
animal-care-and-service-workers,en,3,Animal Care and Service Workers AI impact and fit,true,false
animal-caretakers,zh-CN,1,动物照护员职业介绍,true,false
animal-caretakers,zh-CN,2,动物照护员技能与入行路径,true,false
animal-caretakers,zh-CN,3,动物照护员AI 影响与职业匹配,true,false
animal-caretakers,en,1,Animal Caretakers career overview,true,false
animal-caretakers,en,2,Animal Caretakers skills and entry path,true,false
animal-caretakers,en,3,Animal Caretakers AI impact and fit,true,false
animal-control-workers,zh-CN,1,动物工人职业介绍,true,false
animal-control-workers,zh-CN,2,动物工人技能与入行路径,true,false
animal-control-workers,zh-CN,3,动物工人AI 影响与职业匹配,true,false
animal-control-workers,en,1,Animal Control Workers career overview,true,false
animal-control-workers,en,2,Animal Control Workers skills and entry path,true,false
animal-control-workers,en,3,Animal Control Workers AI impact and fit,true,false
animal-scientists,zh-CN,1,动物科学家职业介绍,true,false
animal-scientists,zh-CN,2,动物科学家技能与入行路径,true,false
animal-scientists,zh-CN,3,动物科学家AI 影响与职业匹配,true,false
animal-scientists,en,1,Animal Scientists career overview,true,false
animal-scientists,en,2,Animal Scientists skills and entry path,true,false
animal-scientists,en,3,Animal Scientists AI impact and fit,true,false
animal-trainers,zh-CN,1,动物训练师职业介绍,true,false
animal-trainers,zh-CN,2,动物训练师技能与入行路径,true,false
animal-trainers,zh-CN,3,动物训练师AI 影响与职业匹配,true,false
animal-trainers,en,1,Animal Trainers career overview,true,false
animal-trainers,en,2,Animal Trainers skills and entry path,true,false
animal-trainers,en,3,Animal Trainers AI impact and fit,true,false
announcers,zh-CN,1,广播主持人与电台DJ职业介绍,true,false
announcers,zh-CN,2,广播主持人与电台DJ技能与入行路径,true,false
announcers,zh-CN,3,广播主持人与电台DJAI 影响与职业匹配,true,false
announcers,en,1,Broadcast Announcers And Radio Disc Jockeys career overview,true,false
announcers,en,2,Broadcast Announcers And Radio Disc Jockeys skills and entry path,true,false
announcers,en,3,Broadcast Announcers And Radio Disc Jockeys AI impact and fit,true,false
anthropologists-and-archeologists,zh-CN,1,人类学家与考古学家职业介绍,true,false
anthropologists-and-archeologists,zh-CN,2,人类学家与考古学家技能与入行路径,true,false
anthropologists-and-archeologists,zh-CN,3,人类学家与考古学家AI 影响与职业匹配,true,false
anthropologists-and-archeologists,en,1,Anthropologists And Archeologists career overview,true,false
anthropologists-and-archeologists,en,2,Anthropologists And Archeologists skills and entry path,true,false
anthropologists-and-archeologists,en,3,Anthropologists And Archeologists AI impact and fit,true,false
anthropology-and-archeology-teachers-postsecondary,zh-CN,1,教师、高等教育职业介绍,true,false
anthropology-and-archeology-teachers-postsecondary,zh-CN,2,教师、高等教育技能与入行路径,true,false
anthropology-and-archeology-teachers-postsecondary,zh-CN,3,教师、高等教育AI 影响与职业匹配,true,false
anthropology-and-archeology-teachers-postsecondary,en,1,"Anthropology And Archeology Teachers, Postsecondary career overview",true,false
anthropology-and-archeology-teachers-postsecondary,en,2,"Anthropology And Archeology Teachers, Postsecondary skills and entry path",true,false
anthropology-and-archeology-teachers-postsecondary,en,3,"Anthropology And Archeology Teachers, Postsecondary AI impact and fit",true,false
appraisers-of-personal-and-business-property,zh-CN,1,个人与商业财产评估师职业介绍,true,false
appraisers-of-personal-and-business-property,zh-CN,2,个人与商业财产评估师技能与入行路径,true,false
appraisers-of-personal-and-business-property,zh-CN,3,个人与商业财产评估师AI 影响与职业匹配,true,false
appraisers-of-personal-and-business-property,en,1,Appraisers Of Personal And Business Property career overview,true,false
appraisers-of-personal-and-business-property,en,2,Appraisers Of Personal And Business Property skills and entry path,true,false
appraisers-of-personal-and-business-property,en,3,Appraisers Of Personal And Business Property AI impact and fit,true,false
arbitrators-mediators-and-conciliators,zh-CN,1,仲裁员、调解员与和解员职业介绍,true,false
arbitrators-mediators-and-conciliators,zh-CN,2,仲裁员、调解员与和解员技能与入行路径,true,false
arbitrators-mediators-and-conciliators,zh-CN,3,仲裁员、调解员与和解员AI 影响与职业匹配,true,false
