block,slug,locale,overall_editorial_score,occupation_specificity_score,workflow_density_score,reader_usefulness_score,template_reuse_score,locale_naturalness_score,conversion_clarity_score,competitive_depth_score,source_backed_claim_density_score,block_relevance_score,reader_safe_boundary_score,status,row_ref,source_baseline_ref,source_traceability_boundary,generated_at
career-page-assembly,adapted-physical-education-specialists,zh-CN,3.65,3.3,2.33,2.95,3.6,2.5,2.8,4.06,5.0,5.0,5.0,editorial_repair_required,generated/career-page-assembly-v1-1046-pass-baseline/career_page_assembly_1046_v1.jsonl#adapted-physical-education-specialists:zh-CN,generated/career-adjacent-comparison-v1-1046-pass-baseline-final;generated/career-fit-v1-1046-pass-baseline-final;generated/career-identity-v1-1046-pass-baseline-final;generated/career-skills-entry-v1-1046-pass-baseline-final;generated/career-work-activities-v1-1046-pass-baseline-final-repaired;mature_registered,Use completed PASS block refs only; do not add new facts in page assembly.,2026-06-21T09:37:25.252464+00:00
career-page-assembly,adapted-physical-education-specialists,en,3.63,3.1,2.33,2.95,3.6,2.5,2.8,3.99,5.0,5.0,5.0,editorial_repair_required,generated/career-page-assembly-v1-1046-pass-baseline/career_page_assembly_1046_v1.jsonl#adapted-physical-education-specialists:en,generated/career-adjacent-comparison-v1-1046-pass-baseline-final;generated/career-fit-v1-1046-pass-baseline-final;generated/career-identity-v1-1046-pass-baseline-final;generated/career-skills-entry-v1-1046-pass-baseline-final;generated/career-work-activities-v1-1046-pass-baseline-final-repaired;mature_registered,Use completed PASS block refs only; do not add new facts in page assembly.,2026-06-21T09:37:25.252464+00:00
career-page-assembly,adhesive-bonding-machine-operators-and-tenders,zh-CN,3.94,4.4,2.89,3.45,3.6,2.5,2.8,4.78,5.0,5.0,5.0,editorial_repair_required,generated/career-page-assembly-v1-1046-pass-baseline/career_page_assembly_1046_v1.jsonl#adhesive-bonding-machine-operators-and-tenders:zh-CN,generated/career-adjacent-comparison-v1-1046-pass-baseline-final;generated/career-fit-v1-1046-pass-baseline-final;generated/career-identity-v1-1046-pass-baseline-final;generated/career-skills-entry-v1-1046-pass-baseline-final;generated/career-work-activities-v1-1046-pass-baseline-final-repaired;mature_registered,Use completed PASS block refs only; do not add new facts in page assembly.,2026-06-21T09:37:25.252464+00:00
career-page-assembly,adhesive-bonding-machine-operators-and-tenders,en,3.92,4.2,2.89,3.45,3.6,2.5,2.8,4.71,5.0,5.0,5.0,editorial_repair_required,generated/career-page-assembly-v1-1046-pass-baseline/career_page_assembly_1046_v1.jsonl#adhesive-bonding-machine-operators-and-tenders:en,generated/career-adjacent-comparison-v1-1046-pass-baseline-final;generated/career-fit-v1-1046-pass-baseline-final;generated/career-identity-v1-1046-pass-baseline-final;generated/career-skills-entry-v1-1046-pass-baseline-final;generated/career-work-activities-v1-1046-pass-baseline-final-repaired;mature_registered,Use completed PASS block refs only; do not add new facts in page assembly.,2026-06-21T09:37:25.252464+00:00
career-page-assembly,administrative-law-judges-adjudicators-and-hearing-officers,zh-CN,3.8,3.9,2.33,2.95,4.3,2.5,2.8,4.26,5.0,5.0,5.0,editorial_repair_required,generated/career-page-assembly-v1-1046-pass-baseline/career_page_assembly_1046_v1.jsonl#administrative-law-judges-adjudicators-and-hearing-officers:zh-CN,generated/career-adjacent-comparison-v1-1046-pass-baseline-final;generated/career-fit-v1-1046-pass-baseline-final;generated/career-identity-v1-1046-pass-baseline-final;generated/career-skills-entry-v1-1046-pass-baseline-final;generated/career-work-activities-v1-1046-pass-baseline-final-repaired;mature_registered,Use completed PASS block refs only; do not add new facts in page assembly.,2026-06-21T09:37:25.252464+00:00
career-page-assembly,administrative-law-judges-adjudicators-and-hearing-officers,en,3.78,3.7,2.33,2.95,4.3,2.5,2.8,4.19,5.0,5.0,5.0,editorial_repair_required,generated/career-page-assembly-v1-1046-pass-baseline/career_page_assembly_1046_v1.jsonl#administrative-law-judges-adjudicators-and-hearing-officers:en,generated/career-adjacent-comparison-v1-1046-pass-baseline-final;generated/career-fit-v1-1046-pass-baseline-final;generated/career-identity-v1-1046-pass-baseline-final;generated/career-skills-entry-v1-1046-pass-baseline-final;generated/career-work-activities-v1-1046-pass-baseline-final-repaired;mature_registered,Use completed PASS block refs only; do not add new facts in page assembly.,2026-06-21T09:37:25.252464+00:00
career-page-assembly,administrative-services-managers,zh-CN,3.63,3.1,2.33,2.95,3.6,2.5,2.8,3.99,5.0,5.0,5.0,editorial_repair_required,generated/career-page-assembly-v1-1046-pass-baseline/career_page_assembly_1046_v1.jsonl#administrative-services-managers:zh-CN,generated/career-adjacent-comparison-v1-1046-pass-baseline-final;generated/career-fit-v1-1046-pass-baseline-final;generated/career-identity-v1-1046-pass-baseline-final;generated/career-skills-entry-v1-1046-pass-baseline-final;generated/career-work-activities-v1-1046-pass-baseline-final-repaired;mature_registered,Use completed PASS block refs only; do not add new facts in page assembly.,2026-06-21T09:37:25.252464+00:00
career-page-assembly,administrative-services-managers,en,3.6,2.9,2.33,2.95,3.6,2.5,2.8,3.93,5.0,5.0,5.0,editorial_repair_required,generated/career-page-assembly-v1-1046-pass-baseline/career_page_assembly_1046_v1.jsonl#administrative-services-managers:en,generated/career-adjacent-comparison-v1-1046-pass-baseline-final;generated/career-fit-v1-1046-pass-baseline-final;generated/career-identity-v1-1046-pass-baseline-final;generated/career-skills-entry-v1-1046-pass-baseline-final;generated/career-work-activities-v1-1046-pass-baseline-final-repaired;mature_registered,Use completed PASS block refs only; do not add new facts in page assembly.,2026-06-21T09:37:25.252464+00:00
career-page-assembly,adult-literacy-and-ged-teachers,zh-CN,3.68,3.5,2.33,2.95,3.6,2.5,2.8,4.13,5.0,5.0,5.0,editorial_repair_required,generated/career-page-assembly-v1-1046-pass-baseline/career_page_assembly_1046_v1.jsonl#adult-literacy-and-ged-teachers:zh-CN,generated/career-adjacent-comparison-v1-1046-pass-baseline-final;generated/career-fit-v1-1046-pass-baseline-final;generated/career-identity-v1-1046-pass-baseline-final;generated/career-skills-entry-v1-1046-pass-baseline-final;generated/career-work-activities-v1-1046-pass-baseline-final-repaired;mature_registered,Use completed PASS block refs only; do not add new facts in page assembly.,2026-06-21T09:37:25.252464+00:00
career-page-assembly,adult-literacy-and-ged-teachers,en,3.71,3.7,2.33,2.95,3.6,2.5,2.8,4.19,5.0,5.0,5.0,editorial_repair_required,generated/career-page-assembly-v1-1046-pass-baseline/career_page_assembly_1046_v1.jsonl#adult-literacy-and-ged-teachers:en,generated/career-adjacent-comparison-v1-1046-pass-baseline-final;generated/career-fit-v1-1046-pass-baseline-final;generated/career-identity-v1-1046-pass-baseline-final;generated/career-skills-entry-v1-1046-pass-baseline-final;generated/career-work-activities-v1-1046-pass-baseline-final-repaired;mature_registered,Use completed PASS block refs only; do not add new facts in page assembly.,2026-06-21T09:37:25.252464+00:00
career-page-assembly,adult-basic-education-adult-secondary-education-and-english-as-a-second-language-instructors,zh-CN,3.86,4.7,2.33,2.95,4.3,2.5,2.8,4.53,5.0,5.0,4.5,editorial_repair_required,generated/career-page-assembly-v1-1046-pass-baseline/career_page_assembly_1046_v1.jsonl#adult-basic-education-adult-secondary-education-and-english-as-a-second-language-instructors:zh-CN,generated/career-adjacent-comparison-v1-1046-pass-baseline-final;generated/career-fit-v1-1046-pass-baseline-final;generated/career-identity-v1-1046-pass-baseline-final;generated/career-skills-entry-v1-1046-pass-baseline-final;generated/career-work-activities-v1-1046-pass-baseline-final-repaired;mature_registered,Use completed PASS block refs only; do not add new facts in page assembly.,2026-06-21T09:37:25.252464+00:00
career-page-assembly,adult-basic-education-adult-secondary-education-and-english-as-a-second-language-instructors,en,3.78,4.1,2.33,2.95,4.3,2.5,2.8,4.33,5.0,5.0,4.5,editorial_repair_required,generated/career-page-assembly-v1-1046-pass-baseline/career_page_assembly_1046_v1.jsonl#adult-basic-education-adult-secondary-education-and-english-as-a-second-language-instructors:en,generated/career-adjacent-comparison-v1-1046-pass-baseline-final;generated/career-fit-v1-1046-pass-baseline-final;generated/career-identity-v1-1046-pass-baseline-final;generated/career-skills-entry-v1-1046-pass-baseline-final;generated/career-work-activities-v1-1046-pass-baseline-final-repaired;mature_registered,Use completed PASS block refs only; do not add new facts in page assembly.,2026-06-21T09:37:25.252464+00:00
career-page-assembly,advanced-practice-psychiatric-nurses,zh-CN,3.65,3.3,2.33,2.95,3.6,2.5,2.8,4.06,5.0,5.0,5.0,editorial_repair_required,generated/career-page-assembly-v1-1046-pass-baseline/career_page_assembly_1046_v1.jsonl#advanced-practice-psychiatric-nurses:zh-CN,generated/career-adjacent-comparison-v1-1046-pass-baseline-final;generated/career-fit-v1-1046-pass-baseline-final;generated/career-identity-v1-1046-pass-baseline-final;generated/career-skills-entry-v1-1046-pass-baseline-final;generated/career-work-activities-v1-1046-pass-baseline-final-repaired;mature_registered,Use completed PASS block refs only; do not add new facts in page assembly.,2026-06-21T09:37:25.252464+00:00
career-page-assembly,advanced-practice-psychiatric-nurses,en,3.63,3.1,2.33,2.95,3.6,2.5,2.8,3.99,5.0,5.0,5.0,editorial_repair_required,generated/career-page-assembly-v1-1046-pass-baseline/career_page_assembly_1046_v1.jsonl#advanced-practice-psychiatric-nurses:en,generated/career-adjacent-comparison-v1-1046-pass-baseline-final;generated/career-fit-v1-1046-pass-baseline-final;generated/career-identity-v1-1046-pass-baseline-final;generated/career-skills-entry-v1-1046-pass-baseline-final;generated/career-work-activities-v1-1046-pass-baseline-final-repaired;mature_registered,Use completed PASS block refs only; do not add new facts in page assembly.,2026-06-21T09:37:25.252464+00:00
career-page-assembly,advertising-and-promotions-managers,zh-CN,3.65,3.3,2.33,2.95,3.6,2.5,2.8,4.06,5.0,5.0,5.0,editorial_repair_required,generated/career-page-assembly-v1-1046-pass-baseline/career_page_assembly_1046_v1.jsonl#advertising-and-promotions-managers:zh-CN,generated/career-adjacent-comparison-v1-1046-pass-baseline-final;generated/career-fit-v1-1046-pass-baseline-final;generated/career-identity-v1-1046-pass-baseline-final;generated/career-skills-entry-v1-1046-pass-baseline-final;generated/career-work-activities-v1-1046-pass-baseline-final-repaired;mature_registered,Use completed PASS block refs only; do not add new facts in page assembly.,2026-06-21T09:37:25.252464+00:00
career-page-assembly,advertising-and-promotions-managers,en,3.63,3.1,2.33,2.95,3.6,2.5,2.8,3.99,5.0,5.0,5.0,editorial_repair_required,generated/career-page-assembly-v1-1046-pass-baseline/career_page_assembly_1046_v1.jsonl#advertising-and-promotions-managers:en,generated/career-adjacent-comparison-v1-1046-pass-baseline-final;generated/career-fit-v1-1046-pass-baseline-final;generated/career-identity-v1-1046-pass-baseline-final;generated/career-skills-entry-v1-1046-pass-baseline-final;generated/career-work-activities-v1-1046-pass-baseline-final-repaired;mature_registered,Use completed PASS block refs only; do not add new facts in page assembly.,2026-06-21T09:37:25.252464+00:00
career-page-assembly,advertising-promotions-and-marketing-managers,zh-CN,3.71,3.7,2.33,2.95,3.6,2.5,2.8,4.19,5.0,5.0,5.0,editorial_repair_required,generated/career-page-assembly-v1-1046-pass-baseline/career_page_assembly_1046_v1.jsonl#advertising-promotions-and-marketing-managers:zh-CN,generated/career-adjacent-comparison-v1-1046-pass-baseline-final;generated/career-fit-v1-1046-pass-baseline-final;generated/career-identity-v1-1046-pass-baseline-final;generated/career-skills-entry-v1-1046-pass-baseline-final;generated/career-work-activities-v1-1046-pass-baseline-final-repaired;mature_registered,Use completed PASS block refs only; do not add new facts in page assembly.,2026-06-21T09:37:25.252464+00:00
career-page-assembly,advertising-promotions-and-marketing-managers,en,3.65,3.3,2.33,2.95,3.6,2.5,2.8,4.06,5.0,5.0,5.0,editorial_repair_required,generated/career-page-assembly-v1-1046-pass-baseline/career_page_assembly_1046_v1.jsonl#advertising-promotions-and-marketing-managers:en,generated/career-adjacent-comparison-v1-1046-pass-baseline-final;generated/career-fit-v1-1046-pass-baseline-final;generated/career-identity-v1-1046-pass-baseline-final;generated/career-skills-entry-v1-1046-pass-baseline-final;generated/career-work-activities-v1-1046-pass-baseline-final-repaired;mature_registered,Use completed PASS block refs only; do not add new facts in page assembly.,2026-06-21T09:37:25.252464+00:00
career-page-assembly,aerospace-engineering-and-operations-technicians,zh-CN,3.68,3.5,2.33,2.95,3.6,2.5,2.8,4.13,5.0,5.0,5.0,editorial_repair_required,generated/career-page-assembly-v1-1046-pass-baseline/career_page_assembly_1046_v1.jsonl#aerospace-engineering-and-operations-technicians:zh-CN,generated/career-adjacent-comparison-v1-1046-pass-baseline-final;generated/career-fit-v1-1046-pass-baseline-final;generated/career-identity-v1-1046-pass-baseline-final;generated/career-skills-entry-v1-1046-pass-baseline-final;generated/career-work-activities-v1-1046-pass-baseline-final-repaired;mature_registered,Use completed PASS block refs only; do not add new facts in page assembly.,2026-06-21T09:37:25.252464+00:00
career-page-assembly,aerospace-engineering-and-operations-technicians,en,3.68,3.5,2.33,2.95,3.6,2.5,2.8,4.13,5.0,5.0,5.0,editorial_repair_required,generated/career-page-assembly-v1-1046-pass-baseline/career_page_assembly_1046_v1.jsonl#aerospace-engineering-and-operations-technicians:en,generated/career-adjacent-comparison-v1-1046-pass-baseline-final;generated/career-fit-v1-1046-pass-baseline-final;generated/career-identity-v1-1046-pass-baseline-final;generated/career-skills-entry-v1-1046-pass-baseline-final;generated/career-work-activities-v1-1046-pass-baseline-final-repaired;mature_registered,Use completed PASS block refs only; do not add new facts in page assembly.,2026-06-21T09:37:25.252464+00:00
career-page-assembly,aerospace-engineers,zh-CN,3.6,2.9,2.33,2.95,3.6,2.5,2.8,3.93,5.0,5.0,5.0,editorial_repair_required,generated/career-page-assembly-v1-1046-pass-baseline/career_page_assembly_1046_v1.jsonl#aerospace-engineers:zh-CN,generated/career-adjacent-comparison-v1-1046-pass-baseline-final;generated/career-fit-v1-1046-pass-baseline-final;generated/career-identity-v1-1046-pass-baseline-final;generated/career-skills-entry-v1-1046-pass-baseline-final;generated/career-work-activities-v1-1046-pass-baseline-final-repaired;mature_registered,Use completed PASS block refs only; do not add new facts in page assembly.,2026-06-21T09:37:25.252464+00:00
career-page-assembly,aerospace-engineers,en,3.57,2.7,2.33,2.95,3.6,2.5,2.8,3.86,5.0,5.0,5.0,editorial_repair_required,generated/career-page-assembly-v1-1046-pass-baseline/career_page_assembly_1046_v1.jsonl#aerospace-engineers:en,generated/career-adjacent-comparison-v1-1046-pass-baseline-final;generated/career-fit-v1-1046-pass-baseline-final;generated/career-identity-v1-1046-pass-baseline-final;generated/career-skills-entry-v1-1046-pass-baseline-final;generated/career-work-activities-v1-1046-pass-baseline-final-repaired;mature_registered,Use completed PASS block refs only; do not add new facts in page assembly.,2026-06-21T09:37:25.252464+00:00
career-page-assembly,agents-and-business-managers-of-artists-performers-and-athletes,zh-CN,3.8,3.9,2.33,2.95,4.3,2.5,2.8,4.26,5.0,5.0,5.0,editorial_repair_required,generated/career-page-assembly-v1-1046-pass-baseline/career_page_assembly_1046_v1.jsonl#agents-and-business-managers-of-artists-performers-and-athletes:zh-CN,generated/career-adjacent-comparison-v1-1046-pass-baseline-final;generated/career-fit-v1-1046-pass-baseline-final;generated/career-identity-v1-1046-pass-baseline-final;generated/career-skills-entry-v1-1046-pass-baseline-final;generated/career-work-activities-v1-1046-pass-baseline-final-repaired;mature_registered,Use completed PASS block refs only; do not add new facts in page assembly.,2026-06-21T09:37:25.252464+00:00
career-page-assembly,agents-and-business-managers-of-artists-performers-and-athletes,en,3.78,3.7,2.33,2.95,4.3,2.5,2.8,4.19,5.0,5.0,5.0,editorial_repair_required,generated/career-page-assembly-v1-1046-pass-baseline/career_page_assembly_1046_v1.jsonl#agents-and-business-managers-of-artists-performers-and-athletes:en,generated/career-adjacent-comparison-v1-1046-pass-baseline-final;generated/career-fit-v1-1046-pass-baseline-final;generated/career-identity-v1-1046-pass-baseline-final;generated/career-skills-entry-v1-1046-pass-baseline-final;generated/career-work-activities-v1-1046-pass-baseline-final-repaired;mature_registered,Use completed PASS block refs only; do not add new facts in page assembly.,2026-06-21T09:37:25.252464+00:00
career-page-assembly,agricultural-equipment-operators,zh-CN,3.75,3.45,2.61,3.2,3.6,2.5,2.8,4.29,5.0,5.0,5.0,editorial_repair_required,generated/career-page-assembly-v1-1046-pass-baseline/career_page_assembly_1046_v1.jsonl#agricultural-equipment-operators:zh-CN,generated/career-adjacent-comparison-v1-1046-pass-baseline-final;generated/career-fit-v1-1046-pass-baseline-final;generated/career-identity-v1-1046-pass-baseline-final;generated/career-skills-entry-v1-1046-pass-baseline-final;generated/career-work-activities-v1-1046-pass-baseline-final-repaired;mature_registered,Use completed PASS block refs only; do not add new facts in page assembly.,2026-06-21T09:37:25.252464+00:00
career-page-assembly,agricultural-equipment-operators,en,3.72,3.25,2.61,3.2,3.6,2.5,2.8,4.22,5.0,5.0,5.0,editorial_repair_required,generated/career-page-assembly-v1-1046-pass-baseline/career_page_assembly_1046_v1.jsonl#agricultural-equipment-operators:en,generated/career-adjacent-comparison-v1-1046-pass-baseline-final;generated/career-fit-v1-1046-pass-baseline-final;generated/career-identity-v1-1046-pass-baseline-final;generated/career-skills-entry-v1-1046-pass-baseline-final;generated/career-work-activities-v1-1046-pass-baseline-final-repaired;mature_registered,Use completed PASS block refs only; do not add new facts in page assembly.,2026-06-21T09:37:25.252464+00:00
career-page-assembly,agricultural-sciences-teachers-postsecondary,zh-CN,3.65,3.3,2.33,2.95,3.6,2.5,2.8,4.06,5.0,5.0,5.0,editorial_repair_required,generated/career-page-assembly-v1-1046-pass-baseline/career_page_assembly_1046_v1.jsonl#agricultural-sciences-teachers-postsecondary:zh-CN,generated/career-adjacent-comparison-v1-1046-pass-baseline-final;generated/career-fit-v1-1046-pass-baseline-final;generated/career-identity-v1-1046-pass-baseline-final;generated/career-skills-entry-v1-1046-pass-baseline-final;generated/career-work-activities-v1-1046-pass-baseline-final-repaired;mature_registered,Use completed PASS block refs only; do not add new facts in page assembly.,2026-06-21T09:37:25.252464+00:00
career-page-assembly,agricultural-sciences-teachers-postsecondary,en,3.63,3.1,2.33,2.95,3.6,2.5,2.8,3.99,5.0,5.0,5.0,editorial_repair_required,generated/career-page-assembly-v1-1046-pass-baseline/career_page_assembly_1046_v1.jsonl#agricultural-sciences-teachers-postsecondary:en,generated/career-adjacent-comparison-v1-1046-pass-baseline-final;generated/career-fit-v1-1046-pass-baseline-final;generated/career-identity-v1-1046-pass-baseline-final;generated/career-skills-entry-v1-1046-pass-baseline-final;generated/career-work-activities-v1-1046-pass-baseline-final-repaired;mature_registered,Use completed PASS block refs only; do not add new facts in page assembly.,2026-06-21T09:37:25.252464+00:00
career-page-assembly,agricultural-workers,zh-CN,3.6,2.9,2.33,2.95,3.6,2.5,2.8,3.93,5.0,5.0,5.0,editorial_repair_required,generated/career-page-assembly-v1-1046-pass-baseline/career_page_assembly_1046_v1.jsonl#agricultural-workers:zh-CN,generated/career-adjacent-comparison-v1-1046-pass-baseline-final;generated/career-fit-v1-1046-pass-baseline-final;generated/career-identity-v1-1046-pass-baseline-final;generated/career-skills-entry-v1-1046-pass-baseline-final;generated/career-work-activities-v1-1046-pass-baseline-final-repaired;mature_registered,Use completed PASS block refs only; do not add new facts in page assembly.,2026-06-21T09:37:25.252464+00:00
career-page-assembly,agricultural-workers,en,3.57,2.7,2.33,2.95,3.6,2.5,2.8,3.86,5.0,5.0,5.0,editorial_repair_required,generated/career-page-assembly-v1-1046-pass-baseline/career_page_assembly_1046_v1.jsonl#agricultural-workers:en,generated/career-adjacent-comparison-v1-1046-pass-baseline-final;generated/career-fit-v1-1046-pass-baseline-final;generated/career-identity-v1-1046-pass-baseline-final;generated/career-skills-entry-v1-1046-pass-baseline-final;generated/career-work-activities-v1-1046-pass-baseline-final-repaired;mature_registered,Use completed PASS block refs only; do not add new facts in page assembly.,2026-06-21T09:37:25.252464+00:00
career-page-assembly,air-crew-members,zh-CN,3.63,3.1,2.33,2.95,3.6,2.5,2.8,3.99,5.0,5.0,5.0,editorial_repair_required,generated/career-page-assembly-v1-1046-pass-baseline/career_page_assembly_1046_v1.jsonl#air-crew-members:zh-CN,generated/career-adjacent-comparison-v1-1046-pass-baseline-final;generated/career-fit-v1-1046-pass-baseline-final;generated/career-identity-v1-1046-pass-baseline-final;generated/career-skills-entry-v1-1046-pass-baseline-final;generated/career-work-activities-v1-1046-pass-baseline-final-repaired;mature_registered,Use completed PASS block refs only; do not add new facts in page assembly.,2026-06-21T09:37:25.252464+00:00
career-page-assembly,air-crew-members,en,3.6,2.9,2.33,2.95,3.6,2.5,2.8,3.93,5.0,5.0,5.0,editorial_repair_required,generated/career-page-assembly-v1-1046-pass-baseline/career_page_assembly_1046_v1.jsonl#air-crew-members:en,generated/career-adjacent-comparison-v1-1046-pass-baseline-final;generated/career-fit-v1-1046-pass-baseline-final;generated/career-identity-v1-1046-pass-baseline-final;generated/career-skills-entry-v1-1046-pass-baseline-final;generated/career-work-activities-v1-1046-pass-baseline-final-repaired;mature_registered,Use completed PASS block refs only; do not add new facts in page assembly.,2026-06-21T09:37:25.252464+00:00
