fix_required,reasons,slug,status
,,cement-masons-and-concrete-finishers,CONTROL_UNCHANGED
,,chemical-engineers,CONTROL_UNCHANGED
,,chemical-equipment-operators-and-tenders,CONTROL_UNCHANGED
,,chemical-plant-and-system-operators,CONTROL_UNCHANGED
,,chemical-technicians,CONTROL_UNCHANGED
,,chemistry-teachers-postsecondary,CONTROL_UNCHANGED
,,chemists,CONTROL_UNCHANGED
,,chemists-and-materials-scientists,CONTROL_UNCHANGED
,,chief-executives,CONTROL_UNCHANGED
,,chief-sustainability-officers,CONTROL_UNCHANGED
,,child-family-and-school-social-workers,CONTROL_UNCHANGED
,,childcare-workers,CONTROL_UNCHANGED
,,chiropractors,CONTROL_UNCHANGED
,,choreographers,CONTROL_UNCHANGED
,,civil-engineering-technicians,CONTROL_UNCHANGED
,,claims-adjusters-appraisers-examiners-and-investigators,CONTROL_UNCHANGED
,,cleaners-of-vehicles-and-equipment,CONTROL_UNCHANGED
,,cleaning-washing-and-metal-pickling-equipment-operators-and-tenders,CONTROL_UNCHANGED
,,clergy,CONTROL_UNCHANGED
,,climate-change-policy-analysts,CONTROL_UNCHANGED
,,clinical-and-counseling-psychologists,CONTROL_UNCHANGED
,,clinical-data-managers,CONTROL_UNCHANGED
,,clinical-laboratory-technologists-and-technicians,CONTROL_UNCHANGED
,,clinical-neuropsychologists,CONTROL_UNCHANGED
,,clinical-nurse-specialists,CONTROL_UNCHANGED
,,clinical-research-coordinators,CONTROL_UNCHANGED
,,coaches-and-scouts,CONTROL_UNCHANGED
,,coating-painting-and-spraying-machine-setters-operators-and-tenders,CONTROL_UNCHANGED
,,coil-winders-tapers-and-finishers,CONTROL_UNCHANGED
,,coin-vending-and-amusement-machine-servicers-and-repairers,CONTROL_UNCHANGED
,,command-and-control-center-officers,CONTROL_UNCHANGED
,,command-and-control-center-specialists,CONTROL_UNCHANGED
,,commercial-and-industrial-designers,CONTROL_UNCHANGED
,,commercial-divers,CONTROL_UNCHANGED
,,commercial-pilots,CONTROL_UNCHANGED
,,communications-teachers-postsecondary,CONTROL_UNCHANGED
,,community-health-workers,CONTROL_UNCHANGED
,,compensation-and-benefits-managers,CONTROL_UNCHANGED
,,compensation-benefits-and-job-analysis-specialists,CONTROL_UNCHANGED
,,compliance-managers,READY
,,compliance-officers,READY
,,computer-and-information-research-scientists,READY
,,computer-and-information-systems-managers,READY
,,computer-hardware-engineers,READY
,,computer-network-architects,READY
,,computer-network-support-specialists,READY
,,computer-numerically-controlled-tool-operators,READY
,,computer-numerically-controlled-tool-programmers,READY
,,computer-science-teachers-postsecondary,READY
,,computer-support-specialists,READY
,,computer-systems-analysts,READY
,,computer-systems-engineers-architects,READY
,,computer-automated-teller-and-office-machine-repairers,READY
,,concierges,READY
,,conservation-scientists,READY
,,construction-and-building-inspectors,READY
,,construction-equipment-operators,READY
,,construction-laborers,READY
,,construction-laborers-and-helpers,READY
,,construction-managers,READY
,,continuous-mining-machine-operators,READY
,,control-and-valve-installers-and-repairers-except-mechanical-door,READY
,,conveyor-operators-and-tenders,READY
,,cooks,READY
,,cooks-fast-food,READY
,,cooks-institution-and-cafeteria,READY
,,cooks-private-household,READY
,,cooks-restaurant,READY
,,cooks-short-order,READY
,,cooling-and-freezing-equipment-operators-and-tenders,READY
,,coroners,READY
,,correctional-officers,READY
,,correspondence-clerks,READY
,,cost-estimators,READY
,,costume-attendants,READY
,,counter-and-rental-clerks,READY
,,couriers-and-messengers,READY
,,court-reporters,READY
,,court-municipal-and-license-clerks,READY
repair evidence only with source-captured facts; do not compute estimates or generate assets,cn_no_included_evidence | uk_unavailable | us_no_wage_source,craft-and-fine-artists,BLOCKED
repair evidence only with source-captured facts; do not compute estimates or generate assets,cn_no_included_evidence | uk_unavailable | us_no_wage_source,craft-artists,BLOCKED
repair evidence only with source-captured facts; do not compute estimates or generate assets,cn_no_included_evidence | uk_unavailable | us_no_wage_source,crane-and-tower-operators,BLOCKED
repair evidence only with source-captured facts; do not compute estimates or generate assets,cn_no_included_evidence | uk_unavailable | us_no_wage_source,credit-analysts,BLOCKED
repair evidence only with source-captured facts; do not compute estimates or generate assets,cn_no_included_evidence | uk_unavailable | us_no_wage_source,credit-authorizers-checkers-and-clerks,BLOCKED
repair evidence only with source-captured facts; do not compute estimates or generate assets,cn_no_included_evidence | uk_unavailable | us_no_wage_source,credit-counselors,BLOCKED
repair evidence only with source-captured facts; do not compute estimates or generate assets,cn_no_included_evidence | uk_unavailable | us_no_wage_source,crematory-operators,BLOCKED
repair evidence only with source-captured facts; do not compute estimates or generate assets,cn_no_included_evidence | uk_unavailable | us_no_wage_source,criminal-justice-and-law-enforcement-teachers-postsecondary,BLOCKED
repair evidence only with source-captured facts; do not compute estimates or generate assets,cn_no_included_evidence | uk_unavailable | us_no_wage_source,critical-care-nurses,BLOCKED
repair evidence only with source-captured facts; do not compute estimates or generate assets,cn_no_included_evidence | uk_unavailable | us_no_wage_source,crossing-guards-and-flaggers,BLOCKED
