slug,locale,url,status,canonical,noindex,salary_block_rendered,jsonld_types,passed,issue_count,issues
athletes-and-sports-competitors,zh,https://fermatmind.com/zh/career/jobs/athletes-and-sports-competitors,200,https://fermatmind.com/zh/career/jobs/athletes-and-sports-competitors,false,true,Answer|BreadcrumbList|FAQPage|ListItem|Question,true,0,
athletes-and-sports-competitors,en,https://fermatmind.com/en/career/jobs/athletes-and-sports-competitors,200,https://fermatmind.com/en/career/jobs/athletes-and-sports-competitors,false,true,Answer|BreadcrumbList|FAQPage|ListItem|Question,true,0,
command-and-control-center-officers,zh,https://fermatmind.com/zh/career/jobs/command-and-control-center-officers,200,https://fermatmind.com/zh/career/jobs/command-and-control-center-officers,false,true,Answer|BreadcrumbList|FAQPage|ListItem|Question,true,0,
command-and-control-center-officers,en,https://fermatmind.com/en/career/jobs/command-and-control-center-officers,200,https://fermatmind.com/en/career/jobs/command-and-control-center-officers,false,true,Answer|BreadcrumbList|FAQPage|ListItem|Question,true,0,
registered-nurses,zh,https://fermatmind.com/zh/career/jobs/registered-nurses,200,https://fermatmind.com/zh/career/jobs/registered-nurses,false,true,Answer|BreadcrumbList|FAQPage|ListItem|Question,true,0,
registered-nurses,en,https://fermatmind.com/en/career/jobs/registered-nurses,200,https://fermatmind.com/en/career/jobs/registered-nurses,false,true,Answer|BreadcrumbList|FAQPage|ListItem|Question,true,0,
elementary-school-teachers-except-special-education,zh,https://fermatmind.com/zh/career/jobs/elementary-school-teachers-except-special-education,200,https://fermatmind.com/zh/career/jobs/elementary-school-teachers-except-special-education,false,true,Answer|BreadcrumbList|FAQPage|ListItem|Question,true,0,
elementary-school-teachers-except-special-education,en,https://fermatmind.com/en/career/jobs/elementary-school-teachers-except-special-education,200,https://fermatmind.com/en/career/jobs/elementary-school-teachers-except-special-education,false,true,Answer|BreadcrumbList|FAQPage|ListItem|Question,true,0,
commercial-pilots,zh,https://fermatmind.com/zh/career/jobs/commercial-pilots,200,https://fermatmind.com/zh/career/jobs/commercial-pilots,false,true,Answer|BreadcrumbList|FAQPage|ListItem|Question,true,0,
commercial-pilots,en,https://fermatmind.com/en/career/jobs/commercial-pilots,200,https://fermatmind.com/en/career/jobs/commercial-pilots,false,true,Answer|BreadcrumbList|FAQPage|ListItem|Question,true,0,
