slug,locale,missing_intent,priority
advertising-sales-agents,en,adjacent,low
advertising-sales-agents,en,education,low
advertising-sales-agents,en,certification,low
advertising-promotions-and-marketing-managers,zh-CN,education,low
advertising-promotions-and-marketing-managers,en,what-is,high
advertising-promotions-and-marketing-managers,en,salary,low
advertising-promotions-and-marketing-managers,en,career-path,medium
advertising-promotions-and-marketing-managers,en,skills,medium
advertising-promotions-and-marketing-managers,en,AI-impact,low
advertising-promotions-and-marketing-managers,en,fit,low
advertising-promotions-and-marketing-managers,en,adjacent,low
advertising-promotions-and-marketing-managers,en,education,low
advertising-promotions-and-marketing-managers,en,certification,low
aerospace-engineering-and-operations-technicians,zh-CN,what-is,high
aerospace-engineering-and-operations-technicians,zh-CN,salary,low
aerospace-engineering-and-operations-technicians,zh-CN,career-path,medium
aerospace-engineering-and-operations-technicians,zh-CN,skills,medium
aerospace-engineering-and-operations-technicians,zh-CN,AI-impact,low
aerospace-engineering-and-operations-technicians,zh-CN,fit,low
aerospace-engineering-and-operations-technicians,zh-CN,adjacent,low
aerospace-engineering-and-operations-technicians,zh-CN,education,low
aerospace-engineering-and-operations-technicians,zh-CN,certification,low
aerospace-engineers,zh-CN,education,low
aerospace-engineers,en,what-is,high
aerospace-engineers,en,salary,low
aerospace-engineers,en,career-path,medium
aerospace-engineers,en,skills,medium
aerospace-engineers,en,AI-impact,low
aerospace-engineers,en,fit,low
aerospace-engineers,en,adjacent,low
aerospace-engineers,en,education,low
aerospace-engineers,en,certification,low
agents-and-business-managers-of-artists-performers-and-athletes,zh-CN,what-is,high
agents-and-business-managers-of-artists-performers-and-athletes,zh-CN,salary,low
agents-and-business-managers-of-artists-performers-and-athletes,zh-CN,career-path,medium
agents-and-business-managers-of-artists-performers-and-athletes,zh-CN,skills,medium
agents-and-business-managers-of-artists-performers-and-athletes,zh-CN,AI-impact,low
agents-and-business-managers-of-artists-performers-and-athletes,zh-CN,fit,low
agents-and-business-managers-of-artists-performers-and-athletes,zh-CN,adjacent,low
agents-and-business-managers-of-artists-performers-and-athletes,zh-CN,education,low
agents-and-business-managers-of-artists-performers-and-athletes,zh-CN,certification,low
agricultural-and-food-science-technicians,zh-CN,what-is,high
agricultural-and-food-science-technicians,zh-CN,salary,low
agricultural-and-food-science-technicians,zh-CN,career-path,medium
agricultural-and-food-science-technicians,zh-CN,skills,medium
agricultural-and-food-science-technicians,zh-CN,AI-impact,low
agricultural-and-food-science-technicians,zh-CN,fit,low
agricultural-and-food-science-technicians,zh-CN,adjacent,low
agricultural-and-food-science-technicians,zh-CN,education,low
agricultural-and-food-science-technicians,zh-CN,certification,low
agricultural-and-food-scientists,zh-CN,what-is,high
agricultural-and-food-scientists,zh-CN,salary,low
agricultural-and-food-scientists,zh-CN,career-path,medium
agricultural-and-food-scientists,zh-CN,skills,medium
agricultural-and-food-scientists,zh-CN,AI-impact,low
agricultural-and-food-scientists,zh-CN,fit,low
agricultural-and-food-scientists,zh-CN,adjacent,low
agricultural-and-food-scientists,zh-CN,education,low
agricultural-and-food-scientists,zh-CN,certification,low
agricultural-engineers,zh-CN,education,low
agricultural-equipment-operators,zh-CN,what-is,high
agricultural-equipment-operators,zh-CN,salary,low
agricultural-equipment-operators,zh-CN,career-path,medium
agricultural-equipment-operators,zh-CN,skills,medium
agricultural-equipment-operators,zh-CN,AI-impact,low
agricultural-equipment-operators,zh-CN,fit,low
agricultural-equipment-operators,zh-CN,adjacent,low
agricultural-equipment-operators,zh-CN,education,low
agricultural-equipment-operators,zh-CN,certification,low
agricultural-equipment-operators,en,what-is,high
agricultural-equipment-operators,en,salary,low
agricultural-equipment-operators,en,career-path,medium
agricultural-equipment-operators,en,skills,medium
agricultural-equipment-operators,en,AI-impact,low
agricultural-equipment-operators,en,fit,low
agricultural-equipment-operators,en,adjacent,low
agricultural-equipment-operators,en,education,low
agricultural-equipment-operators,en,certification,low
agricultural-inspectors,zh-CN,what-is,high
agricultural-inspectors,zh-CN,salary,low
agricultural-inspectors,zh-CN,career-path,medium
agricultural-inspectors,zh-CN,skills,medium
agricultural-inspectors,zh-CN,AI-impact,low
agricultural-inspectors,zh-CN,fit,low
agricultural-inspectors,zh-CN,adjacent,low
agricultural-inspectors,zh-CN,education,low
agricultural-inspectors,zh-CN,certification,low
agricultural-inspectors,en,what-is,high
agricultural-inspectors,en,salary,low
agricultural-inspectors,en,career-path,medium
agricultural-inspectors,en,skills,medium
agricultural-inspectors,en,AI-impact,low
agricultural-inspectors,en,fit,low
agricultural-inspectors,en,adjacent,low
agricultural-inspectors,en,education,low
agricultural-inspectors,en,certification,low
agricultural-sciences-teachers-postsecondary,zh-CN,what-is,high
agricultural-sciences-teachers-postsecondary,zh-CN,salary,low
agricultural-sciences-teachers-postsecondary,zh-CN,career-path,medium
agricultural-sciences-teachers-postsecondary,zh-CN,skills,medium
agricultural-sciences-teachers-postsecondary,zh-CN,AI-impact,low
agricultural-sciences-teachers-postsecondary,zh-CN,fit,low
agricultural-sciences-teachers-postsecondary,zh-CN,adjacent,low
agricultural-sciences-teachers-postsecondary,zh-CN,education,low
agricultural-sciences-teachers-postsecondary,zh-CN,certification,low
agricultural-sciences-teachers-postsecondary,en,what-is,high
agricultural-sciences-teachers-postsecondary,en,salary,low
agricultural-sciences-teachers-postsecondary,en,career-path,medium
agricultural-sciences-teachers-postsecondary,en,skills,medium
agricultural-sciences-teachers-postsecondary,en,AI-impact,low
agricultural-sciences-teachers-postsecondary,en,fit,low
agricultural-sciences-teachers-postsecondary,en,adjacent,low
agricultural-sciences-teachers-postsecondary,en,education,low
agricultural-sciences-teachers-postsecondary,en,certification,low
agricultural-technicians,zh-CN,what-is,high
agricultural-technicians,zh-CN,salary,low
agricultural-technicians,zh-CN,career-path,medium
agricultural-technicians,zh-CN,skills,medium
agricultural-technicians,zh-CN,AI-impact,low
agricultural-technicians,zh-CN,fit,low
agricultural-technicians,zh-CN,adjacent,low
agricultural-technicians,zh-CN,education,low
agricultural-technicians,zh-CN,certification,low
agricultural-technicians,en,what-is,high
agricultural-technicians,en,salary,low
agricultural-technicians,en,career-path,medium
agricultural-technicians,en,skills,medium
agricultural-technicians,en,AI-impact,low
agricultural-technicians,en,fit,low
agricultural-technicians,en,adjacent,low
agricultural-technicians,en,education,low
agricultural-technicians,en,certification,low
agricultural-workers,zh-CN,what-is,high
agricultural-workers,zh-CN,salary,low
agricultural-workers,zh-CN,career-path,medium
agricultural-workers,zh-CN,skills,medium
agricultural-workers,zh-CN,AI-impact,low
agricultural-workers,zh-CN,fit,low
agricultural-workers,zh-CN,adjacent,low
agricultural-workers,zh-CN,education,low
agricultural-workers,zh-CN,certification,low
agricultural-workers,en,what-is,high
agricultural-workers,en,salary,low
agricultural-workers,en,career-path,medium
agricultural-workers,en,skills,medium
agricultural-workers,en,AI-impact,low
agricultural-workers,en,fit,low
agricultural-workers,en,adjacent,low
agricultural-workers,en,education,low
agricultural-workers,en,certification,low
air-crew-members,zh-CN,what-is,high
air-crew-members,zh-CN,salary,low
air-crew-members,zh-CN,career-path,medium
air-crew-members,zh-CN,skills,medium
air-crew-members,zh-CN,AI-impact,low
air-crew-members,zh-CN,fit,low
air-crew-members,zh-CN,adjacent,low
air-crew-members,zh-CN,education,low
air-crew-members,zh-CN,certification,low
air-crew-members,en,what-is,high
air-crew-members,en,salary,low
air-crew-members,en,career-path,medium
air-crew-members,en,skills,medium
air-crew-members,en,AI-impact,low
air-crew-members,en,fit,low
air-crew-members,en,adjacent,low
air-crew-members,en,education,low
air-crew-members,en,certification,low
air-crew-officers,zh-CN,what-is,high
air-crew-officers,zh-CN,salary,low
air-crew-officers,zh-CN,career-path,medium
air-crew-officers,zh-CN,skills,medium
air-crew-officers,zh-CN,AI-impact,low
air-crew-officers,zh-CN,fit,low
air-crew-officers,zh-CN,adjacent,low
air-crew-officers,zh-CN,education,low
air-crew-officers,zh-CN,certification,low
air-crew-officers,en,what-is,high
air-crew-officers,en,salary,low
air-crew-officers,en,career-path,medium
air-crew-officers,en,skills,medium
air-crew-officers,en,AI-impact,low
air-crew-officers,en,fit,low
air-crew-officers,en,adjacent,low
air-crew-officers,en,education,low
air-crew-officers,en,certification,low
air-traffic-controllers,zh-CN,what-is,high
air-traffic-controllers,zh-CN,salary,low
air-traffic-controllers,zh-CN,career-path,medium
air-traffic-controllers,zh-CN,skills,medium
air-traffic-controllers,zh-CN,AI-impact,low
air-traffic-controllers,zh-CN,fit,low
air-traffic-controllers,zh-CN,adjacent,low
air-traffic-controllers,zh-CN,education,low
air-traffic-controllers,zh-CN,certification,low
aircraft-and-avionics-equipment-mechanics-and-technicians,zh-CN,what-is,high
aircraft-and-avionics-equipment-mechanics-and-technicians,zh-CN,salary,low
aircraft-and-avionics-equipment-mechanics-and-technicians,zh-CN,career-path,medium
aircraft-and-avionics-equipment-mechanics-and-technicians,zh-CN,skills,medium
aircraft-and-avionics-equipment-mechanics-and-technicians,zh-CN,AI-impact,low
aircraft-and-avionics-equipment-mechanics-and-technicians,zh-CN,fit,low
aircraft-and-avionics-equipment-mechanics-and-technicians,zh-CN,adjacent,low
aircraft-and-avionics-equipment-mechanics-and-technicians,zh-CN,education,low
aircraft-and-avionics-equipment-mechanics-and-technicians,zh-CN,certification,low
aircraft-cargo-handling-supervisors,zh-CN,what-is,high
aircraft-cargo-handling-supervisors,zh-CN,salary,low
aircraft-cargo-handling-supervisors,zh-CN,career-path,medium
aircraft-cargo-handling-supervisors,zh-CN,skills,medium
aircraft-cargo-handling-supervisors,zh-CN,AI-impact,low
aircraft-cargo-handling-supervisors,zh-CN,fit,low
aircraft-cargo-handling-supervisors,zh-CN,adjacent,low
aircraft-cargo-handling-supervisors,zh-CN,education,low
aircraft-cargo-handling-supervisors,zh-CN,certification,low
aircraft-cargo-handling-supervisors,en,what-is,high
aircraft-cargo-handling-supervisors,en,salary,low
aircraft-cargo-handling-supervisors,en,career-path,medium
aircraft-cargo-handling-supervisors,en,skills,medium
aircraft-cargo-handling-supervisors,en,AI-impact,low
aircraft-cargo-handling-supervisors,en,fit,low
aircraft-cargo-handling-supervisors,en,adjacent,low
aircraft-cargo-handling-supervisors,en,education,low
aircraft-cargo-handling-supervisors,en,certification,low
aircraft-launch-and-recovery-officers,zh-CN,what-is,high
aircraft-launch-and-recovery-officers,zh-CN,salary,low
aircraft-launch-and-recovery-officers,zh-CN,career-path,medium
aircraft-launch-and-recovery-officers,zh-CN,skills,medium
aircraft-launch-and-recovery-officers,zh-CN,AI-impact,low
aircraft-launch-and-recovery-officers,zh-CN,fit,low
aircraft-launch-and-recovery-officers,zh-CN,adjacent,low
aircraft-launch-and-recovery-officers,zh-CN,education,low
aircraft-launch-and-recovery-officers,zh-CN,certification,low
aircraft-launch-and-recovery-officers,en,what-is,high
aircraft-launch-and-recovery-officers,en,salary,low
aircraft-launch-and-recovery-officers,en,career-path,medium
aircraft-launch-and-recovery-officers,en,skills,medium
aircraft-launch-and-recovery-officers,en,AI-impact,low
aircraft-launch-and-recovery-officers,en,fit,low
aircraft-launch-and-recovery-officers,en,adjacent,low
aircraft-launch-and-recovery-officers,en,education,low
aircraft-launch-and-recovery-officers,en,certification,low
aircraft-launch-and-recovery-specialists,zh-CN,education,low
aircraft-mechanics-and-service-technicians,zh-CN,education,low
aircraft-service-attendants,zh-CN,what-is,high
aircraft-service-attendants,zh-CN,salary,low
aircraft-service-attendants,zh-CN,career-path,medium
aircraft-service-attendants,zh-CN,skills,medium
aircraft-service-attendants,zh-CN,AI-impact,low
aircraft-service-attendants,zh-CN,fit,low
aircraft-service-attendants,zh-CN,adjacent,low
aircraft-service-attendants,zh-CN,education,low
aircraft-service-attendants,zh-CN,certification,low
aircraft-service-attendants,en,what-is,high
aircraft-service-attendants,en,salary,low
aircraft-service-attendants,en,career-path,medium
aircraft-service-attendants,en,skills,medium
aircraft-service-attendants,en,AI-impact,low
aircraft-service-attendants,en,fit,low
aircraft-service-attendants,en,adjacent,low
aircraft-service-attendants,en,education,low
aircraft-service-attendants,en,certification,low
aircraft-structure-surfaces-rigging-and-systems-assemblers,zh-CN,what-is,high
aircraft-structure-surfaces-rigging-and-systems-assemblers,zh-CN,salary,low
aircraft-structure-surfaces-rigging-and-systems-assemblers,zh-CN,career-path,medium
aircraft-structure-surfaces-rigging-and-systems-assemblers,zh-CN,skills,medium
aircraft-structure-surfaces-rigging-and-systems-assemblers,zh-CN,AI-impact,low
aircraft-structure-surfaces-rigging-and-systems-assemblers,zh-CN,fit,low
aircraft-structure-surfaces-rigging-and-systems-assemblers,zh-CN,adjacent,low
aircraft-structure-surfaces-rigging-and-systems-assemblers,zh-CN,education,low
aircraft-structure-surfaces-rigging-and-systems-assemblers,zh-CN,certification,low
airfield-operations-specialists,zh-CN,education,low
airline-and-commercial-pilots,zh-CN,what-is,high
airline-and-commercial-pilots,zh-CN,salary,low
airline-and-commercial-pilots,zh-CN,career-path,medium
airline-and-commercial-pilots,zh-CN,skills,medium
airline-and-commercial-pilots,zh-CN,AI-impact,low
airline-and-commercial-pilots,zh-CN,fit,low
airline-and-commercial-pilots,zh-CN,adjacent,low
airline-and-commercial-pilots,zh-CN,education,low
airline-and-commercial-pilots,zh-CN,certification,low
airline-and-commercial-pilots,en,what-is,high
airline-and-commercial-pilots,en,salary,low
airline-and-commercial-pilots,en,career-path,medium
airline-and-commercial-pilots,en,skills,medium
airline-and-commercial-pilots,en,AI-impact,low
airline-and-commercial-pilots,en,fit,low
airline-and-commercial-pilots,en,adjacent,low
airline-and-commercial-pilots,en,education,low
airline-and-commercial-pilots,en,certification,low
airline-pilots-copilots-and-flight-engineers,zh-CN,education,low
allergists-and-immunologists,zh-CN,what-is,high
allergists-and-immunologists,zh-CN,salary,low
allergists-and-immunologists,zh-CN,career-path,medium
allergists-and-immunologists,zh-CN,skills,medium
allergists-and-immunologists,zh-CN,AI-impact,low
allergists-and-immunologists,zh-CN,fit,low
allergists-and-immunologists,zh-CN,adjacent,low
allergists-and-immunologists,zh-CN,education,low
allergists-and-immunologists,zh-CN,certification,low
allergists-and-immunologists,en,what-is,high
allergists-and-immunologists,en,salary,low
allergists-and-immunologists,en,career-path,medium
allergists-and-immunologists,en,skills,medium
allergists-and-immunologists,en,AI-impact,low
allergists-and-immunologists,en,fit,low
allergists-and-immunologists,en,adjacent,low
allergists-and-immunologists,en,education,low
allergists-and-immunologists,en,certification,low
ambulance-drivers-and-attendants-except-emergency-medical-technicians,zh-CN,education,low
amusement-and-recreation-attendants,zh-CN,education,low
anesthesiologist-assistants,zh-CN,education,low
anesthesiologists,zh-CN,education,low
animal-breeders,zh-CN,education,low
animal-care-and-service-workers,zh-CN,education,low
animal-caretakers,zh-CN,what-is,high
animal-caretakers,zh-CN,salary,low
animal-caretakers,zh-CN,career-path,medium
animal-caretakers,zh-CN,skills,medium
animal-caretakers,zh-CN,AI-impact,low
animal-caretakers,zh-CN,fit,low
animal-caretakers,zh-CN,adjacent,low
animal-caretakers,zh-CN,education,low
animal-caretakers,zh-CN,certification,low
animal-control-workers,zh-CN,education,low
animal-scientists,zh-CN,what-is,high
animal-scientists,zh-CN,salary,low
animal-scientists,zh-CN,career-path,medium
animal-scientists,zh-CN,skills,medium
animal-scientists,zh-CN,AI-impact,low
animal-scientists,zh-CN,fit,low
animal-scientists,zh-CN,adjacent,low
animal-scientists,zh-CN,education,low
animal-scientists,zh-CN,certification,low
animal-trainers,zh-CN,what-is,high
animal-trainers,zh-CN,salary,low
animal-trainers,zh-CN,career-path,medium
animal-trainers,zh-CN,skills,medium
animal-trainers,zh-CN,AI-impact,low
animal-trainers,zh-CN,fit,low
animal-trainers,zh-CN,adjacent,low
animal-trainers,zh-CN,education,low
animal-trainers,zh-CN,certification,low
animal-trainers,en,what-is,high
animal-trainers,en,salary,low
animal-trainers,en,career-path,medium
animal-trainers,en,skills,medium
animal-trainers,en,AI-impact,low
animal-trainers,en,fit,low
animal-trainers,en,adjacent,low
animal-trainers,en,education,low
animal-trainers,en,certification,low
announcers,zh-CN,education,low
announcers,zh-CN,certification,low
announcers,en,education,low
anthropologists-and-archeologists,zh-CN,skills,medium
anthropologists-and-archeologists,zh-CN,education,low
anthropologists-and-archeologists,zh-CN,certification,low
anthropology-and-archeology-teachers-postsecondary,zh-CN,certification,low
appraisers-of-personal-and-business-property,zh-CN,what-is,high
appraisers-of-personal-and-business-property,zh-CN,salary,low
appraisers-of-personal-and-business-property,zh-CN,career-path,medium
appraisers-of-personal-and-business-property,zh-CN,skills,medium
appraisers-of-personal-and-business-property,zh-CN,AI-impact,low
appraisers-of-personal-and-business-property,zh-CN,fit,low
appraisers-of-personal-and-business-property,zh-CN,adjacent,low
appraisers-of-personal-and-business-property,zh-CN,education,low
appraisers-of-personal-and-business-property,zh-CN,certification,low
arbitrators-mediators-and-conciliators,zh-CN,education,low
arbitrators-mediators-and-conciliators,zh-CN,certification,low
arbitrators-mediators-and-conciliators,en,what-is,high
arbitrators-mediators-and-conciliators,en,salary,low
arbitrators-mediators-and-conciliators,en,career-path,medium
arbitrators-mediators-and-conciliators,en,skills,medium
arbitrators-mediators-and-conciliators,en,AI-impact,low
arbitrators-mediators-and-conciliators,en,fit,low
arbitrators-mediators-and-conciliators,en,adjacent,low
arbitrators-mediators-and-conciliators,en,education,low
arbitrators-mediators-and-conciliators,en,certification,low
architects,zh-CN,education,low
architects,zh-CN,certification,low
architects,en,what-is,high
architects,en,salary,low
architects,en,career-path,medium
architects,en,skills,medium
architects,en,AI-impact,low
architects,en,fit,low
architects,en,adjacent,low
architects,en,education,low
architects,en,certification,low
architects-except-landscape-and-naval,zh-CN,education,low
architects-except-landscape-and-naval,zh-CN,certification,low
architectural-and-civil-drafters,zh-CN,what-is,high
architectural-and-civil-drafters,zh-CN,salary,low
architectural-and-civil-drafters,zh-CN,career-path,medium
architectural-and-civil-drafters,zh-CN,skills,medium
architectural-and-civil-drafters,zh-CN,AI-impact,low
architectural-and-civil-drafters,zh-CN,fit,low
architectural-and-civil-drafters,zh-CN,adjacent,low
architectural-and-civil-drafters,zh-CN,education,low
architectural-and-civil-drafters,zh-CN,certification,low
architectural-and-civil-drafters,en,what-is,high
architectural-and-civil-drafters,en,salary,low
architectural-and-civil-drafters,en,career-path,medium
architectural-and-civil-drafters,en,skills,medium
architectural-and-civil-drafters,en,AI-impact,low
architectural-and-civil-drafters,en,fit,low
architectural-and-civil-drafters,en,adjacent,low
architectural-and-civil-drafters,en,education,low
architectural-and-civil-drafters,en,certification,low
architectural-and-engineering-managers,zh-CN,skills,medium
architectural-and-engineering-managers,zh-CN,education,low
architectural-and-engineering-managers,zh-CN,certification,low
architectural-and-engineering-managers,en,what-is,high
architectural-and-engineering-managers,en,salary,low
architectural-and-engineering-managers,en,career-path,medium
architectural-and-engineering-managers,en,skills,medium
architectural-and-engineering-managers,en,AI-impact,low
architectural-and-engineering-managers,en,fit,low
architectural-and-engineering-managers,en,adjacent,low
architectural-and-engineering-managers,en,education,low
architectural-and-engineering-managers,en,certification,low
architecture-teachers-postsecondary,zh-CN,certification,low
curators-museum-technicians-and-conservators,zh-CN,certification,low
curators-museum-technicians-and-conservators,en,education,low
area-ethnic-and-cultural-studies-teachers-postsecondary,zh-CN,certification,low
area-ethnic-and-cultural-studies-teachers-postsecondary,en,what-is,high
area-ethnic-and-cultural-studies-teachers-postsecondary,en,salary,low
area-ethnic-and-cultural-studies-teachers-postsecondary,en,career-path,medium
area-ethnic-and-cultural-studies-teachers-postsecondary,en,skills,medium
area-ethnic-and-cultural-studies-teachers-postsecondary,en,AI-impact,low
area-ethnic-and-cultural-studies-teachers-postsecondary,en,fit,low
area-ethnic-and-cultural-studies-teachers-postsecondary,en,adjacent,low
area-ethnic-and-cultural-studies-teachers-postsecondary,en,education,low
area-ethnic-and-cultural-studies-teachers-postsecondary,en,certification,low
armored-assault-vehicle-crew-members,zh-CN,skills,medium
armored-assault-vehicle-crew-members,zh-CN,education,low
armored-assault-vehicle-crew-members,zh-CN,certification,low
armored-assault-vehicle-crew-members,en,what-is,high
armored-assault-vehicle-crew-members,en,salary,low
armored-assault-vehicle-crew-members,en,career-path,medium
armored-assault-vehicle-crew-members,en,skills,medium
armored-assault-vehicle-crew-members,en,AI-impact,low
armored-assault-vehicle-crew-members,en,fit,low
armored-assault-vehicle-crew-members,en,adjacent,low
armored-assault-vehicle-crew-members,en,education,low
armored-assault-vehicle-crew-members,en,certification,low
armored-assault-vehicle-officers,zh-CN,what-is,high
armored-assault-vehicle-officers,zh-CN,salary,low
armored-assault-vehicle-officers,zh-CN,career-path,medium
armored-assault-vehicle-officers,zh-CN,skills,medium
armored-assault-vehicle-officers,zh-CN,AI-impact,low
armored-assault-vehicle-officers,zh-CN,fit,low
armored-assault-vehicle-officers,zh-CN,adjacent,low
armored-assault-vehicle-officers,zh-CN,education,low
armored-assault-vehicle-officers,zh-CN,certification,low
art-directors,zh-CN,what-is,high
art-directors,zh-CN,salary,low
art-directors,zh-CN,career-path,medium
art-directors,zh-CN,skills,medium
art-directors,zh-CN,AI-impact,low
art-directors,zh-CN,fit,low
art-directors,zh-CN,adjacent,low
art-directors,zh-CN,education,low
art-directors,zh-CN,certification,low
art-therapists,zh-CN,skills,medium
art-therapists,zh-CN,education,low
art-therapists,zh-CN,certification,low
art-drama-and-music-teachers-postsecondary,zh-CN,certification,low
artillery-and-missile-crew-members,zh-CN,what-is,high
artillery-and-missile-crew-members,zh-CN,salary,low
artillery-and-missile-crew-members,zh-CN,career-path,medium
artillery-and-missile-crew-members,zh-CN,skills,medium
artillery-and-missile-crew-members,zh-CN,AI-impact,low
artillery-and-missile-crew-members,zh-CN,fit,low
artillery-and-missile-crew-members,zh-CN,adjacent,low
artillery-and-missile-crew-members,zh-CN,education,low
artillery-and-missile-crew-members,zh-CN,certification,low
artillery-and-missile-crew-members,en,what-is,high
artillery-and-missile-crew-members,en,salary,low
artillery-and-missile-crew-members,en,career-path,medium
artillery-and-missile-crew-members,en,skills,medium
artillery-and-missile-crew-members,en,AI-impact,low
artillery-and-missile-crew-members,en,fit,low
artillery-and-missile-crew-members,en,adjacent,low
artillery-and-missile-crew-members,en,education,low
artillery-and-missile-crew-members,en,certification,low
artillery-and-missile-officers,zh-CN,what-is,high
artillery-and-missile-officers,zh-CN,salary,low
artillery-and-missile-officers,zh-CN,career-path,medium
artillery-and-missile-officers,zh-CN,skills,medium
artillery-and-missile-officers,zh-CN,AI-impact,low
artillery-and-missile-officers,zh-CN,fit,low
artillery-and-missile-officers,zh-CN,adjacent,low
artillery-and-missile-officers,zh-CN,education,low
artillery-and-missile-officers,zh-CN,certification,low
assemblers-and-fabricators,zh-CN,education,low
