seed_ordinal,slug,locale,title_en,title_zh,primary_detected_intent,secondary_detected_intents,what-is,salary,career-path,skills,AI-impact,fit,adjacent,education,certification,page_status,api_status,h1,title,description_present,faq_signal_count,source_signal_count
21,agricultural-engineers,zh-CN,Agricultural Engineers,农业工程师适合谁？,what-is,salary|career-path|skills|AI-impact|fit|adjacent|certification,true,true,true,true,true,true,true,false,true,200,0,农业工程师,农业工程师适合谁？ | FermatMind,true,12,6
21,agricultural-engineers,en,Agricultural Engineers,农业工程师适合谁？,what-is,salary|career-path|skills|AI-impact|fit|adjacent|education|certification,true,true,true,true,true,true,true,true,true,200,0,Agricultural Engineers,Agricultural Engineers | FermatMind,true,12,8
22,agricultural-equipment-operators,zh-CN,Agricultural Equipment Operators,农业操作员,what-is,,false,false,false,false,false,false,false,false,false,0,0,,,false,0,0
22,agricultural-equipment-operators,en,Agricultural Equipment Operators,农业操作员,what-is,,false,false,false,false,false,false,false,false,false,0,0,,,false,0,0
23,agricultural-inspectors,zh-CN,Agricultural Inspectors,农业检查员,what-is,,false,false,false,false,false,false,false,false,false,0,0,,,false,0,0
23,agricultural-inspectors,en,Agricultural Inspectors,农业检查员,what-is,,false,false,false,false,false,false,false,false,false,0,0,,,false,0,0
24,agricultural-sciences-teachers-postsecondary,zh-CN,"Agricultural Sciences Teachers, Postsecondary",农业教师,what-is,,false,false,false,false,false,false,false,false,false,0,0,,,false,0,0
24,agricultural-sciences-teachers-postsecondary,en,"Agricultural Sciences Teachers, Postsecondary",农业教师,what-is,,false,false,false,false,false,false,false,false,false,0,0,,,false,0,0
25,agricultural-technicians,zh-CN,Agricultural Technicians,农业技术员,what-is,,false,false,false,false,false,false,false,false,false,0,0,,,false,0,0
25,agricultural-technicians,en,Agricultural Technicians,农业技术员,what-is,,false,false,false,false,false,false,false,false,false,0,0,,,false,0,0
26,agricultural-workers,zh-CN,Agricultural Workers,农业从业人员,what-is,,false,false,false,false,false,false,false,false,false,0,0,,,false,0,0
26,agricultural-workers,en,Agricultural Workers,农业从业人员,what-is,,false,false,false,false,false,false,false,false,false,0,0,,,false,0,0
27,air-crew-members,zh-CN,Air Crew Members,机组成员,what-is,,false,false,false,false,false,false,false,false,false,0,0,,,false,0,0
27,air-crew-members,en,Air Crew Members,机组成员,what-is,,false,false,false,false,false,false,false,false,false,0,0,,,false,0,0
28,air-crew-officers,zh-CN,Air Crew Officers,空勤军官,what-is,,false,false,false,false,false,false,false,false,false,0,0,,,false,0,0
28,air-crew-officers,en,Air Crew Officers,空勤军官,what-is,,false,false,false,false,false,false,false,false,false,0,0,,,false,0,0
29,air-traffic-controllers,zh-CN,Air Traffic Controllers,空中交通管制员职业诊断,what-is,,false,false,false,false,false,false,false,false,false,0,0,,,false,0,0
29,air-traffic-controllers,en,Air Traffic Controllers,空中交通管制员职业诊断,what-is,salary|career-path|skills|AI-impact|fit|adjacent|education|certification,true,true,true,true,true,true,true,true,true,200,0,Air Traffic Controllers,Air Traffic Controllers | FermatMind,true,12,8
30,aircraft-and-avionics-equipment-mechanics-and-technicians,zh-CN,Aircraft and Avionics Equipment Mechanics and Technicians,飞机与航空电子设备维修技师适合谁？,what-is,,false,false,false,false,false,false,false,false,false,0,0,,,false,0,0
30,aircraft-and-avionics-equipment-mechanics-and-technicians,en,Aircraft and Avionics Equipment Mechanics and Technicians,飞机与航空电子设备维修技师适合谁？,what-is,salary|career-path|skills|AI-impact|fit|adjacent|education|certification,true,true,true,true,true,true,true,true,true,200,0,Aircraft and Avionics Equipment Mechanics and Technicians,Aircraft and Avionics Equipment Mechanics and Technicians | FermatMind,true,12,8
31,aircraft-cargo-handling-supervisors,zh-CN,Aircraft Cargo Handling Supervisors,飞机货物装卸主管,what-is,,false,false,false,false,false,false,false,false,false,0,0,,,false,0,0
31,aircraft-cargo-handling-supervisors,en,Aircraft Cargo Handling Supervisors,飞机货物装卸主管,what-is,,false,false,false,false,false,false,false,false,false,0,0,,,false,0,0
32,aircraft-launch-and-recovery-officers,zh-CN,Aircraft Launch And Recovery Officers,飞机官,what-is,,false,false,false,false,false,false,false,false,false,0,0,,,false,0,0
32,aircraft-launch-and-recovery-officers,en,Aircraft Launch And Recovery Officers,飞机官,what-is,,false,false,false,false,false,false,false,false,false,0,0,,,false,0,0
33,aircraft-launch-and-recovery-specialists,zh-CN,Aircraft Launch And Recovery Specialists,飞机专员,what-is,salary|career-path|skills|AI-impact|fit|adjacent|certification,true,true,true,true,true,true,true,false,true,200,200,飞机发射与回收专员,飞机专员 | FermatMind,true,12,8
33,aircraft-launch-and-recovery-specialists,en,Aircraft Launch And Recovery Specialists,飞机专员,what-is,salary|career-path|skills|AI-impact|fit|adjacent|education|certification,true,true,true,true,true,true,true,true,true,200,0,Aircraft Launch and Recovery Specialists,Aircraft Launch And Recovery Specialists | FermatMind,true,12,8
34,aircraft-mechanics-and-service-technicians,zh-CN,Aircraft Mechanics And Service Technicians,飞机机械师技术员,what-is,salary|career-path|skills|AI-impact|fit|adjacent|certification,true,true,true,true,true,true,true,false,true,200,0,飞机机械师与维修技术员,飞机机械师技术员 | FermatMind,true,12,6
34,aircraft-mechanics-and-service-technicians,en,Aircraft Mechanics And Service Technicians,飞机机械师技术员,what-is,salary|career-path|skills|AI-impact|fit|adjacent|education|certification,true,true,true,true,true,true,true,true,true,200,0,Aircraft Mechanics and Service Technicians,Aircraft Mechanics And Service Technicians | FermatMind,true,12,8
35,aircraft-service-attendants,zh-CN,Aircraft Service Attendants,飞机服务服务员,what-is,,false,false,false,false,false,false,false,false,false,0,0,,,false,0,0
35,aircraft-service-attendants,en,Aircraft Service Attendants,飞机服务服务员,what-is,,false,false,false,false,false,false,false,false,false,0,0,,,false,0,0
36,aircraft-structure-surfaces-rigging-and-systems-assemblers,zh-CN,"Aircraft Structure, Surfaces, Rigging, And Systems Assemblers",飞机结构、表面、索具、系统装配工,what-is,,false,false,false,false,false,false,false,false,false,0,0,,,false,0,0
36,aircraft-structure-surfaces-rigging-and-systems-assemblers,en,"Aircraft Structure, Surfaces, Rigging, And Systems Assemblers",飞机结构、表面、索具、系统装配工,what-is,salary|career-path|skills|AI-impact|fit|adjacent|education|certification,true,true,true,true,true,true,true,true,true,200,0,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers","Aircraft Structure, Surfaces, Rigging, And Systems Assemblers | FermatMind",true,12,8
37,airfield-operations-specialists,zh-CN,Airfield Operations Specialists,机场运行专员,what-is,salary|career-path|skills|AI-impact|fit|adjacent|certification,true,true,true,true,true,true,true,false,true,200,0,机场运行专员,机场运行专员 | FermatMind,true,12,6
37,airfield-operations-specialists,en,Airfield Operations Specialists,机场运行专员,what-is,salary|career-path|skills|AI-impact|fit|adjacent|education|certification,true,true,true,true,true,true,true,true,true,200,0,Airfield Operations Specialists,Airfield Operations Specialists | FermatMind,true,12,8
38,airline-and-commercial-pilots,zh-CN,Airline and Commercial Pilots,航空公司与商业飞行员职业诊断,what-is,,false,false,false,false,false,false,false,false,false,0,0,,,false,0,0
38,airline-and-commercial-pilots,en,Airline and Commercial Pilots,航空公司与商业飞行员职业诊断,what-is,,false,false,false,false,false,false,false,false,false,0,0,,,false,0,0
39,airline-pilots-copilots-and-flight-engineers,zh-CN,"Airline Pilots, Copilots, And Flight Engineers",工程师,what-is,salary|career-path|skills|AI-impact|fit|adjacent|certification,true,true,true,true,true,true,true,false,true,200,0,航空公司飞行员、副驾驶与飞行工程师,工程师 | FermatMind,true,12,6
39,airline-pilots-copilots-and-flight-engineers,en,"Airline Pilots, Copilots, And Flight Engineers",工程师,what-is,salary|career-path|skills|AI-impact|fit|adjacent|education|certification,true,true,true,true,true,true,true,true,true,200,0,"Airline Pilots, Copilots, and Flight Engineers","Airline Pilots, Copilots, And Flight Engineers | FermatMind",true,12,8
40,allergists-and-immunologists,zh-CN,Allergists And Immunologists,过敏专科医师免疫学医师,what-is,,false,false,false,false,false,false,false,false,false,0,0,,,false,0,0
40,allergists-and-immunologists,en,Allergists And Immunologists,过敏专科医师免疫学医师,what-is,,false,false,false,false,false,false,false,false,false,0,0,,,false,0,0
41,ambulance-drivers-and-attendants-except-emergency-medical-technicians,zh-CN,"Ambulance Drivers And Attendants, Except Emergency Medical Technicians",救护车司机服务员、急诊医疗技术员,what-is,salary|career-path|skills|AI-impact|fit|adjacent|certification,true,true,true,true,true,true,true,false,true,200,0,救护车司机与随车服务员（不含急救医疗技术员）,救护车司机服务员、急诊医疗技术员 | FermatMind,true,12,6
41,ambulance-drivers-and-attendants-except-emergency-medical-technicians,en,"Ambulance Drivers And Attendants, Except Emergency Medical Technicians",救护车司机服务员、急诊医疗技术员,what-is,salary|career-path|skills|AI-impact|fit|adjacent|education|certification,true,true,true,true,true,true,true,true,true,200,0,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians","Ambulance Drivers And Attendants, Except Emergency Medical Technicians | FermatMind",true,12,8
42,amusement-and-recreation-attendants,zh-CN,Amusement And Recreation Attendants,娱乐与休闲服务员,what-is,salary|career-path|skills|AI-impact|fit|adjacent|certification,true,true,true,true,true,true,true,false,true,200,0,娱乐与休闲服务员,娱乐与休闲服务员 | FermatMind,true,12,6
42,amusement-and-recreation-attendants,en,Amusement And Recreation Attendants,娱乐与休闲服务员,what-is,salary|career-path|skills|AI-impact|fit|adjacent|education|certification,true,true,true,true,true,true,true,true,true,200,0,Amusement and Recreation Attendants,Amusement And Recreation Attendants | FermatMind,true,7,8
43,anesthesiologist-assistants,zh-CN,Anesthesiologist Assistants,麻醉医师助理,what-is,salary|career-path|skills|AI-impact|fit|adjacent|certification,true,true,true,true,true,true,true,false,true,200,0,麻醉医师助理,麻醉医师助理 | FermatMind,true,12,6
43,anesthesiologist-assistants,en,Anesthesiologist Assistants,麻醉医师助理,what-is,salary|career-path|skills|AI-impact|fit|adjacent|education|certification,true,true,true,true,true,true,true,true,true,200,0,Anesthesiologist Assistants,Anesthesiologist Assistants | FermatMind,true,12,8
44,anesthesiologists,zh-CN,Anesthesiologists,麻醉医师,what-is,salary|career-path|skills|AI-impact|fit|adjacent|certification,true,true,true,true,true,true,true,false,true,200,0,麻醉医师,麻醉医师 | FermatMind,true,12,6
44,anesthesiologists,en,Anesthesiologists,麻醉医师,what-is,salary|career-path|skills|AI-impact|fit|adjacent|education|certification,true,true,true,true,true,true,true,true,true,200,0,Anesthesiologists,Anesthesiologists | FermatMind,true,12,8
45,animal-breeders,zh-CN,Animal Breeders,动物饲养员,what-is,salary|career-path|skills|AI-impact|fit|adjacent|certification,true,true,true,true,true,true,true,false,true,200,0,动物育种员,动物饲养员 | FermatMind,true,12,6
45,animal-breeders,en,Animal Breeders,动物饲养员,what-is,salary|career-path|skills|AI-impact|fit|adjacent|education|certification,true,true,true,true,true,true,true,true,true,200,0,Animal Breeders,Animal Breeders | FermatMind,true,12,8
46,animal-care-and-service-workers,zh-CN,Animal Care and Service Workers,动物照护与服务人员适合谁？,what-is,salary|career-path|skills|AI-impact|fit|adjacent|certification,true,true,true,true,true,true,true,false,true,200,0,动物照护与服务人员,动物照护与服务人员适合谁？ | FermatMind,true,9,6
46,animal-care-and-service-workers,en,Animal Care and Service Workers,动物照护与服务人员适合谁？,what-is,salary|career-path|skills|AI-impact|fit|adjacent|education|certification,true,true,true,true,true,true,true,true,true,200,0,Animal Care and Service Workers,Animal Care and Service Workers | FermatMind,true,7,8
47,animal-caretakers,zh-CN,Animal Caretakers,动物照护员,what-is,,false,false,false,false,false,false,false,false,false,0,0,,,false,0,0
47,animal-caretakers,en,Animal Caretakers,动物照护员,what-is,salary|career-path|skills|AI-impact|fit|adjacent|education|certification,true,true,true,true,true,true,true,true,true,200,0,Animal Caretakers,Animal Caretakers | FermatMind,true,12,8
48,animal-control-workers,zh-CN,Animal Control Workers,动物工人,what-is,salary|career-path|skills|AI-impact|fit|adjacent|certification,true,true,true,true,true,true,true,false,true,200,0,动物管制员,动物工人 | FermatMind,true,12,6
48,animal-control-workers,en,Animal Control Workers,动物工人,what-is,salary|career-path|skills|AI-impact|fit|adjacent|education|certification,true,true,true,true,true,true,true,true,true,200,0,Animal Control Workers,Animal Control Workers | FermatMind,true,12,8
49,animal-scientists,zh-CN,Animal Scientists,动物科学家,what-is,,false,false,false,false,false,false,false,false,false,0,0,,,false,0,0
49,animal-scientists,en,Animal Scientists,动物科学家,what-is,salary|career-path|skills|AI-impact|fit|adjacent|education|certification,true,true,true,true,true,true,true,true,true,200,0,Animal Scientists,Animal Scientists | FermatMind,true,9,7
50,animal-trainers,zh-CN,Animal Trainers,动物训练师,what-is,,false,false,false,false,false,false,false,false,false,0,0,,,false,0,0
50,animal-trainers,en,Animal Trainers,动物训练师,what-is,,false,false,false,false,false,false,false,false,false,0,0,,,false,0,0
51,announcers,zh-CN,Broadcast Announcers And Radio Disc Jockeys,广播主持人与电台DJ,what-is,salary|career-path|skills|AI-impact|fit|adjacent,true,true,true,true,true,true,true,false,false,200,0,广播主持人与电台DJ,广播主持人与电台DJ | FermatMind,true,12,6
51,announcers,en,Broadcast Announcers And Radio Disc Jockeys,广播主持人与电台DJ,what-is,salary|career-path|skills|AI-impact|fit|adjacent|certification,true,true,true,true,true,true,true,false,true,200,0,Broadcast Announcers and Radio Disc Jockeys,Broadcast Announcers And Radio Disc Jockeys | FermatMind,true,12,7
52,anthropologists-and-archeologists,zh-CN,Anthropologists And Archeologists,人类学家与考古学家,what-is,salary|career-path|AI-impact|fit|adjacent,true,true,true,false,true,true,true,false,false,200,0,人类学家与考古学家,人类学家与考古学家 | FermatMind,true,11,6
52,anthropologists-and-archeologists,en,Anthropologists And Archeologists,人类学家与考古学家,what-is,salary|career-path|skills|AI-impact|fit|adjacent|education|certification,true,true,true,true,true,true,true,true,true,200,0,Anthropologists and archeologists,Anthropologists And Archeologists | FermatMind,true,9,7
53,anthropology-and-archeology-teachers-postsecondary,zh-CN,"Anthropology And Archeology Teachers, Postsecondary",教师、高等教育,what-is,salary|career-path|skills|AI-impact|fit|adjacent|education,true,true,true,true,true,true,true,true,false,200,0,高校人类学与考古学教师,教师、高等教育 | FermatMind,true,11,6
53,anthropology-and-archeology-teachers-postsecondary,en,"Anthropology And Archeology Teachers, Postsecondary",教师、高等教育,what-is,salary|career-path|skills|AI-impact|fit|adjacent|education|certification,true,true,true,true,true,true,true,true,true,200,0,"Anthropology And Archeology Teachers, Postsecondary","Anthropology And Archeology Teachers, Postsecondary | FermatMind",true,9,7
54,appraisers-of-personal-and-business-property,zh-CN,Appraisers Of Personal And Business Property,个人与商业财产评估师,what-is,,false,false,false,false,false,false,false,false,false,0,0,,,false,0,0
54,appraisers-of-personal-and-business-property,en,Appraisers Of Personal And Business Property,个人与商业财产评估师,what-is,salary|career-path|skills|AI-impact|fit|adjacent|education|certification,true,true,true,true,true,true,true,true,true,200,0,Appraisers Of Personal And Business Property,Appraisers Of Personal And Business Property | FermatMind,true,9,7
55,arbitrators-mediators-and-conciliators,zh-CN,"Arbitrators, Mediators, And Conciliators",仲裁员、调解员与和解员,what-is,salary|career-path|skills|AI-impact|fit|adjacent,true,true,true,true,true,true,true,false,false,200,0,仲裁员、调解员与和解员,仲裁员、调解员与和解员 | FermatMind,true,11,6
55,arbitrators-mediators-and-conciliators,en,"Arbitrators, Mediators, And Conciliators",仲裁员、调解员与和解员,what-is,,false,false,false,false,false,false,false,false,false,0,0,,,false,0,0
56,architects,zh-CN,"Architects, Except Landscape and Naval",建筑师（不含景观与船舶）职业诊断,what-is,salary|career-path|skills|AI-impact|fit|adjacent,true,true,true,true,true,true,true,false,false,200,0,建筑师（不含景观与船舶）,建筑师（不含景观与船舶）职业诊断 | FermatMind,true,12,6
56,architects,en,"Architects, Except Landscape and Naval",建筑师（不含景观与船舶）职业诊断,what-is,,false,false,false,false,false,false,false,false,false,0,0,,,false,0,0
57,architects-except-landscape-and-naval,zh-CN,"Architects, Except Landscape And Naval",建筑师、景观船舶,what-is,salary|career-path|skills|AI-impact|fit|adjacent,true,true,true,true,true,true,true,false,false,200,0,建筑师（不含景观与船舶）,建筑师、景观船舶 | FermatMind,true,11,6
57,architects-except-landscape-and-naval,en,"Architects, Except Landscape And Naval",建筑师、景观船舶,what-is,salary|career-path|skills|AI-impact|fit|adjacent|education|certification,true,true,true,true,true,true,true,true,true,200,0,"Architects, Except Landscape And Naval","Architects, Except Landscape And Naval | FermatMind",true,9,7
58,architectural-and-civil-drafters,zh-CN,Architectural And Civil Drafters,建筑土木制图员,what-is,,false,false,false,false,false,false,false,false,false,0,0,,,false,0,0
58,architectural-and-civil-drafters,en,Architectural And Civil Drafters,建筑土木制图员,what-is,,false,false,false,false,false,false,false,false,false,0,0,,,false,0,0
59,architectural-and-engineering-managers,zh-CN,Architectural and engineering managers,建筑与工程经理职业诊断,what-is,salary|career-path|AI-impact|fit|adjacent,true,true,true,false,true,true,true,false,false,200,0,建筑与工程经理,建筑与工程经理职业诊断 | FermatMind,true,11,6
59,architectural-and-engineering-managers,en,Architectural and engineering managers,建筑与工程经理职业诊断,what-is,,false,false,false,false,false,false,false,false,false,0,0,,,false,0,0
60,architecture-teachers-postsecondary,zh-CN,"Architecture Teachers, Postsecondary",建筑教师,what-is,salary|career-path|skills|AI-impact|fit|adjacent|education,true,true,true,true,true,true,true,true,false,200,0,高校建筑学教师,建筑教师 | FermatMind,true,11,6
60,architecture-teachers-postsecondary,en,"Architecture Teachers, Postsecondary",建筑教师,what-is,salary|career-path|skills|AI-impact|fit|adjacent|education|certification,true,true,true,true,true,true,true,true,true,200,0,"Architecture Teachers, Postsecondary","Architecture Teachers, Postsecondary | FermatMind",true,9,7
61,archivists,zh-CN,Archivists,档案管理员,what-is,salary|career-path|skills|AI-impact|fit|adjacent|education|certification,true,true,true,true,true,true,true,true,true,200,0,档案管理员,档案管理员 | FermatMind,true,11,6
61,archivists,en,Archivists,档案管理员,what-is,salary|career-path|skills|AI-impact|fit|adjacent|education|certification,true,true,true,true,true,true,true,true,true,200,0,Archivists,Archivists | FermatMind,true,9,7
62,curators-museum-technicians-and-conservators,zh-CN,Curators,策展人,what-is,salary|career-path|skills|AI-impact|fit|adjacent|education,true,true,true,true,true,true,true,true,false,200,0,策展人,策展人 | FermatMind,true,12,6
62,curators-museum-technicians-and-conservators,en,Curators,策展人,what-is,salary|career-path|skills|AI-impact|fit|adjacent|certification,true,true,true,true,true,true,true,false,true,200,0,Curators,Curators | FermatMind,true,12,7
