slug,locale,page_status,api_status,h1_present,title_present,description_present,faq_signal_count,source_signals,canonical_ok,noindex
aircraft-and-avionics-equipment-mechanics-and-technicians,en,200,0,true,true,true,12,O*NET|SOC|BLS|Bureau of Labor Statistics|FermatMind|RIASEC|Big Five|MBTI,true,false
aircraft-cargo-handling-supervisors,zh-CN,0,0,false,false,false,0,,false,false
aircraft-cargo-handling-supervisors,en,0,0,false,false,false,0,,false,false
aircraft-launch-and-recovery-officers,zh-CN,0,0,false,false,false,0,,false,false
aircraft-launch-and-recovery-officers,en,0,0,false,false,false,0,,false,false
aircraft-launch-and-recovery-specialists,zh-CN,200,200,true,true,true,12,O*NET|SOC|BLS|FermatMind|RIASEC|MBTI|api:sources|api:source,true,false
aircraft-launch-and-recovery-specialists,en,200,0,true,true,true,12,O*NET|SOC|BLS|Bureau of Labor Statistics|FermatMind|RIASEC|Big Five|MBTI,true,false
aircraft-mechanics-and-service-technicians,zh-CN,200,0,true,true,true,12,O*NET|SOC|BLS|FermatMind|RIASEC|MBTI,true,false
aircraft-mechanics-and-service-technicians,en,200,0,true,true,true,12,O*NET|SOC|BLS|Bureau of Labor Statistics|FermatMind|RIASEC|Big Five|MBTI,true,false
aircraft-service-attendants,zh-CN,0,0,false,false,false,0,,false,false
aircraft-service-attendants,en,0,0,false,false,false,0,,false,false
aircraft-structure-surfaces-rigging-and-systems-assemblers,zh-CN,0,0,false,false,false,0,,false,false
aircraft-structure-surfaces-rigging-and-systems-assemblers,en,200,0,true,true,true,12,O*NET|SOC|BLS|Bureau of Labor Statistics|FermatMind|RIASEC|Big Five|MBTI,true,false
airfield-operations-specialists,zh-CN,200,0,true,true,true,12,O*NET|SOC|BLS|FermatMind|RIASEC|MBTI,true,false
airfield-operations-specialists,en,200,0,true,true,true,12,O*NET|SOC|BLS|Bureau of Labor Statistics|FermatMind|RIASEC|Big Five|MBTI,true,false
airline-and-commercial-pilots,zh-CN,0,0,false,false,false,0,,false,false
airline-and-commercial-pilots,en,0,0,false,false,false,0,,false,false
airline-pilots-copilots-and-flight-engineers,zh-CN,200,0,true,true,true,12,O*NET|SOC|BLS|FermatMind|RIASEC|MBTI,true,false
airline-pilots-copilots-and-flight-engineers,en,200,0,true,true,true,12,O*NET|SOC|BLS|Bureau of Labor Statistics|FermatMind|RIASEC|Big Five|MBTI,true,false
allergists-and-immunologists,zh-CN,0,0,false,false,false,0,,false,false
allergists-and-immunologists,en,0,0,false,false,false,0,,false,false
ambulance-drivers-and-attendants-except-emergency-medical-technicians,zh-CN,200,0,true,true,true,12,O*NET|SOC|BLS|FermatMind|RIASEC|MBTI,true,false
ambulance-drivers-and-attendants-except-emergency-medical-technicians,en,200,0,true,true,true,12,O*NET|SOC|BLS|Bureau of Labor Statistics|FermatMind|RIASEC|Big Five|MBTI,true,false
amusement-and-recreation-attendants,zh-CN,200,0,true,true,true,12,O*NET|SOC|BLS|FermatMind|RIASEC|MBTI,true,false
amusement-and-recreation-attendants,en,200,0,true,true,true,7,O*NET|SOC|BLS|Bureau of Labor Statistics|FermatMind|RIASEC|Big Five|MBTI,true,false
anesthesiologist-assistants,zh-CN,200,0,true,true,true,12,O*NET|SOC|BLS|FermatMind|RIASEC|MBTI,true,false
anesthesiologist-assistants,en,200,0,true,true,true,12,O*NET|SOC|BLS|Bureau of Labor Statistics|FermatMind|RIASEC|Big Five|MBTI,true,false
anesthesiologists,zh-CN,200,0,true,true,true,12,O*NET|SOC|BLS|FermatMind|RIASEC|MBTI,true,false
anesthesiologists,en,200,0,true,true,true,12,O*NET|SOC|BLS|Bureau of Labor Statistics|FermatMind|RIASEC|Big Five|MBTI,true,false
animal-breeders,zh-CN,200,0,true,true,true,12,O*NET|SOC|BLS|FermatMind|RIASEC|MBTI,true,false
animal-breeders,en,200,0,true,true,true,12,O*NET|SOC|BLS|Bureau of Labor Statistics|FermatMind|RIASEC|Big Five|MBTI,true,false
animal-care-and-service-workers,zh-CN,200,0,true,true,true,9,O*NET|SOC|BLS|FermatMind|RIASEC|MBTI,true,false
animal-care-and-service-workers,en,200,0,true,true,true,7,O*NET|SOC|BLS|Bureau of Labor Statistics|FermatMind|RIASEC|Big Five|MBTI,true,false
animal-caretakers,zh-CN,0,0,false,false,false,0,,false,false
animal-caretakers,en,200,0,true,true,true,12,O*NET|SOC|BLS|Bureau of Labor Statistics|FermatMind|RIASEC|Big Five|MBTI,true,false
animal-control-workers,zh-CN,200,0,true,true,true,12,O*NET|SOC|BLS|FermatMind|RIASEC|MBTI,true,false
animal-control-workers,en,200,0,true,true,true,12,O*NET|SOC|BLS|Bureau of Labor Statistics|FermatMind|RIASEC|Big Five|MBTI,true,false
animal-scientists,zh-CN,0,0,false,false,false,0,,false,false
animal-scientists,en,200,0,true,true,true,9,O*NET|SOC|BLS|FermatMind|RIASEC|Big Five|MBTI,true,false
animal-trainers,zh-CN,0,0,false,false,false,0,,false,false
animal-trainers,en,0,0,false,false,false,0,,false,false
announcers,zh-CN,200,0,true,true,true,12,O*NET|SOC|BLS|FermatMind|RIASEC|MBTI,true,false
announcers,en,200,0,true,true,true,12,O*NET|SOC|BLS|FermatMind|RIASEC|Big Five|MBTI,true,false
anthropologists-and-archeologists,zh-CN,200,0,true,true,true,11,O*NET|SOC|BLS|FermatMind|RIASEC|MBTI,true,false
anthropologists-and-archeologists,en,200,0,true,true,true,9,O*NET|SOC|BLS|FermatMind|RIASEC|Big Five|MBTI,true,false
anthropology-and-archeology-teachers-postsecondary,zh-CN,200,0,true,true,true,11,O*NET|SOC|BLS|FermatMind|RIASEC|MBTI,true,false
anthropology-and-archeology-teachers-postsecondary,en,200,0,true,true,true,9,O*NET|SOC|BLS|FermatMind|RIASEC|Big Five|MBTI,true,false
appraisers-of-personal-and-business-property,zh-CN,0,0,false,false,false,0,,false,false
appraisers-of-personal-and-business-property,en,200,0,true,true,true,9,O*NET|SOC|BLS|FermatMind|RIASEC|Big Five|MBTI,true,false
arbitrators-mediators-and-conciliators,zh-CN,200,0,true,true,true,11,O*NET|SOC|BLS|FermatMind|RIASEC|MBTI,true,false
arbitrators-mediators-and-conciliators,en,0,0,false,false,false,0,,false,false
architects,zh-CN,200,0,true,true,true,12,O*NET|SOC|BLS|FermatMind|RIASEC|MBTI,true,false
architects,en,0,0,false,false,false,0,,false,false
architects-except-landscape-and-naval,zh-CN,200,0,true,true,true,11,O*NET|SOC|BLS|FermatMind|RIASEC|MBTI,true,false
architects-except-landscape-and-naval,en,200,0,true,true,true,9,O*NET|SOC|BLS|FermatMind|RIASEC|Big Five|MBTI,true,false
architectural-and-civil-drafters,zh-CN,0,0,false,false,false,0,,false,false
architectural-and-civil-drafters,en,0,0,false,false,false,0,,false,false
architectural-and-engineering-managers,zh-CN,200,0,true,true,true,11,O*NET|SOC|BLS|FermatMind|RIASEC|MBTI,true,false
architectural-and-engineering-managers,en,0,0,false,false,false,0,,false,false
architecture-teachers-postsecondary,zh-CN,200,0,true,true,true,11,O*NET|SOC|BLS|FermatMind|RIASEC|MBTI,true,false
architecture-teachers-postsecondary,en,200,0,true,true,true,9,O*NET|SOC|BLS|FermatMind|RIASEC|Big Five|MBTI,true,false
archivists,zh-CN,200,0,true,true,true,11,O*NET|SOC|BLS|FermatMind|RIASEC|MBTI,true,false
archivists,en,200,0,true,true,true,9,O*NET|SOC|BLS|FermatMind|RIASEC|Big Five|MBTI,true,false
curators-museum-technicians-and-conservators,zh-CN,200,0,true,true,true,12,O*NET|SOC|BLS|FermatMind|RIASEC|MBTI,true,false
curators-museum-technicians-and-conservators,en,200,0,true,true,true,12,O*NET|SOC|BLS|FermatMind|RIASEC|Big Five|MBTI,true,false
area-ethnic-and-cultural-studies-teachers-postsecondary,zh-CN,200,0,true,true,true,11,O*NET|SOC|BLS|FermatMind|RIASEC|MBTI,true,false
area-ethnic-and-cultural-studies-teachers-postsecondary,en,0,0,false,false,false,0,,false,false
armored-assault-vehicle-crew-members,zh-CN,200,0,true,true,true,11,O*NET|SOC|BLS|FermatMind|RIASEC|MBTI,true,false
armored-assault-vehicle-crew-members,en,0,0,false,false,false,0,,false,false
armored-assault-vehicle-officers,zh-CN,0,0,false,false,false,0,,false,false
armored-assault-vehicle-officers,en,200,0,true,true,true,9,O*NET|SOC|BLS|FermatMind|RIASEC|Big Five|MBTI,true,false
art-directors,zh-CN,0,0,false,false,false,0,,false,false
art-directors,en,200,0,true,true,true,9,O*NET|SOC|BLS|FermatMind|RIASEC|Big Five|MBTI,true,false
art-therapists,zh-CN,200,0,true,true,true,11,O*NET|SOC|BLS|FermatMind|RIASEC|MBTI,true,false
art-therapists,en,200,0,true,true,true,9,O*NET|SOC|BLS|FermatMind|RIASEC|Big Five|MBTI,true,false
art-drama-and-music-teachers-postsecondary,zh-CN,200,0,true,true,true,11,O*NET|SOC|BLS|FermatMind|RIASEC|MBTI,true,false
art-drama-and-music-teachers-postsecondary,en,200,0,true,true,true,9,O*NET|SOC|BLS|FermatMind|RIASEC|Big Five|MBTI,true,false
artillery-and-missile-crew-members,zh-CN,0,0,false,false,false,0,,false,false
artillery-and-missile-crew-members,en,0,0,false,false,false,0,,false,false
artillery-and-missile-officers,zh-CN,0,0,false,false,false,0,,false,false
artillery-and-missile-officers,en,200,0,true,true,true,9,O*NET|SOC|BLS|FermatMind|RIASEC|Big Five|MBTI,true,false
assemblers-and-fabricators,zh-CN,200,0,true,true,true,12,O*NET|SOC|BLS|FermatMind|RIASEC|MBTI,true,false
assemblers-and-fabricators,en,200,0,true,true,true,12,O*NET|SOC|BLS|FermatMind|RIASEC|Big Five|MBTI,true,false
astronomers,zh-CN,200,0,true,true,true,11,O*NET|SOC|BLS|FermatMind|RIASEC|MBTI,true,false
astronomers,en,0,0,false,false,false,0,,false,false
athletes-and-sports-competitors,zh-CN,200,0,true,true,true,11,O*NET|SOC|BLS|FermatMind|RIASEC|MBTI,true,false
athletes-and-sports-competitors,en,200,0,true,true,true,9,O*NET|SOC|BLS|FermatMind|RIASEC|Big Five|MBTI,true,false
athletic-trainers,zh-CN,200,0,true,true,true,11,O*NET|SOC|BLS|FermatMind|RIASEC|MBTI,true,false
athletic-trainers,en,200,0,true,true,true,9,O*NET|SOC|BLS|FermatMind|RIASEC|Big Five|MBTI,true,false
atmospheric-and-space-scientists,zh-CN,200,0,true,true,true,11,O*NET|SOC|BLS|FermatMind|RIASEC|MBTI,true,false
atmospheric-and-space-scientists,en,200,0,true,true,true,9,O*NET|SOC|BLS|FermatMind|RIASEC|Big Five|MBTI,true,false
atmospheric-scientists-including-meteorologists,zh-CN,200,0,true,true,true,11,O*NET|SOC|BLS|FermatMind|RIASEC|MBTI,true,false
atmospheric-scientists-including-meteorologists,en,200,0,true,true,true,9,O*NET|SOC|BLS|FermatMind|RIASEC|Big Five|MBTI,true,false
atmospheric-earth-marine-and-space-sciences-teachers-postsecondary,zh-CN,200,0,true,true,true,11,O*NET|SOC|BLS|FermatMind|RIASEC|MBTI,true,false
atmospheric-earth-marine-and-space-sciences-teachers-postsecondary,en,200,0,true,true,true,9,O*NET|SOC|BLS|FermatMind|RIASEC|Big Five|MBTI,true,false
audio-and-video-technicians,zh-CN,0,0,false,false,false,0,,false,false
audio-and-video-technicians,en,0,0,false,false,false,0,,false,false
audiologists,zh-CN,200,0,true,true,true,11,O*NET|SOC|BLS|FermatMind|RIASEC|MBTI,true,false
audiologists,en,200,0,true,true,true,9,O*NET|SOC|BLS|FermatMind|RIASEC|Big Five|MBTI,true,false
audiovisual-equipment-installers-and-repairers,zh-CN,200,0,true,true,true,11,O*NET|SOC|BLS|FermatMind|RIASEC|MBTI,true,false
audiovisual-equipment-installers-and-repairers,en,0,0,false,false,false,0,,false,false
automotive-and-watercraft-service-attendants,zh-CN,200,0,true,true,true,11,O*NET|SOC|BLS|FermatMind|RIASEC|MBTI,true,false
automotive-and-watercraft-service-attendants,en,200,0,true,true,true,9,O*NET|SOC|BLS|FermatMind|RIASEC|Big Five|MBTI,true,false
automotive-body-and-glass-repairers,zh-CN,200,0,true,true,true,12,O*NET|SOC|BLS|FermatMind|RIASEC|MBTI,true,false
automotive-body-and-glass-repairers,en,200,0,true,true,true,12,O*NET|SOC|BLS|FermatMind|RIASEC|Big Five|MBTI,true,false
automotive-engineering-technicians,zh-CN,200,0,true,true,true,11,O*NET|SOC|BLS|FermatMind|RIASEC|MBTI,true,false
automotive-engineering-technicians,en,0,0,false,false,false,0,,false,false
automotive-engineers,zh-CN,200,0,true,true,true,11,O*NET|SOC|BLS|FermatMind|RIASEC|MBTI,true,false
automotive-engineers,en,200,0,true,true,true,9,O*NET|SOC|BLS|FermatMind|RIASEC|Big Five|MBTI,true,false
automotive-glass-installers-and-repairers,zh-CN,200,0,true,true,true,11,O*NET|SOC|BLS|FermatMind|RIASEC|MBTI,true,false
automotive-glass-installers-and-repairers,en,0,0,false,false,false,0,,false,false
automotive-service-technicians-and-mechanics,zh-CN,200,0,true,true,true,11,O*NET|SOC|BLS|FermatMind|RIASEC|MBTI,true,false
automotive-service-technicians-and-mechanics,en,200,0,true,true,true,9,O*NET|SOC|BLS|FermatMind|RIASEC|Big Five|MBTI,true,false
aviation-inspectors,zh-CN,200,0,true,true,true,11,O*NET|SOC|BLS|FermatMind|RIASEC|MBTI,true,false
aviation-inspectors,en,200,0,true,true,true,9,O*NET|SOC|BLS|FermatMind|RIASEC|Big Five|MBTI,true,false
avionics-technicians,zh-CN,200,0,true,true,true,11,O*NET|SOC|BLS|FermatMind|RIASEC|MBTI,true,false
avionics-technicians,en,200,0,true,true,true,9,O*NET|SOC|BLS|FermatMind|RIASEC|Big Five|MBTI,true,false
baggage-porters-and-bellhops,zh-CN,200,0,true,true,true,11,O*NET|SOC|BLS|FermatMind|RIASEC|MBTI,true,false
baggage-porters-and-bellhops,en,200,0,true,true,true,9,O*NET|SOC|BLS|FermatMind|RIASEC|Big Five|MBTI,true,false
bailiffs,zh-CN,200,0,true,true,true,11,O*NET|SOC|BLS|FermatMind|RIASEC|MBTI,true,false
bailiffs,en,200,0,true,true,true,9,O*NET|SOC|BLS|FermatMind|RIASEC|Big Five|MBTI,true,false
bakers,zh-CN,200,0,true,true,true,11,O*NET|SOC|BLS|FermatMind|RIASEC|MBTI,true,false
bakers,en,0,0,false,false,false,0,,false,false
barbers,zh-CN,0,0,false,false,false,0,,false,false
barbers,en,200,0,true,true,true,9,O*NET|SOC|BLS|FermatMind|RIASEC|Big Five|MBTI,true,false
barbers-hairstylists-and-cosmetologists,zh-CN,200,0,true,true,true,12,O*NET|SOC|BLS|FermatMind|RIASEC|MBTI,true,false
barbers-hairstylists-and-cosmetologists,en,200,0,true,true,true,12,O*NET|SOC|BLS|FermatMind|RIASEC|Big Five|MBTI,true,false
baristas,zh-CN,200,0,true,true,true,11,O*NET|SOC|BLS|FermatMind|RIASEC|MBTI,true,false
baristas,en,200,0,true,true,true,9,O*NET|SOC|BLS|FermatMind|RIASEC|Big Five|MBTI,true,false
bartenders,zh-CN,200,0,true,true,true,11,O*NET|SOC|BLS|FermatMind|RIASEC|MBTI,true,false
bartenders,en,200,0,true,true,true,9,O*NET|SOC|BLS|FermatMind|RIASEC|Big Five|MBTI,true,false
bicycle-repairers,zh-CN,200,0,true,true,true,11,O*NET|SOC|BLS|FermatMind|RIASEC|MBTI,true,false
bicycle-repairers,en,0,0,false,false,false,0,,false,false
bill-and-account-collectors,zh-CN,200,0,true,true,true,11,O*NET|SOC|BLS|FermatMind|RIASEC|MBTI,true,false
bill-and-account-collectors,en,200,0,true,true,true,9,O*NET|SOC|BLS|FermatMind|RIASEC|Big Five|MBTI,true,false
billing-and-posting-clerks,zh-CN,200,0,true,true,true,11,O*NET|SOC|BLS|FermatMind|RIASEC|MBTI,true,false
billing-and-posting-clerks,en,0,0,false,false,false,0,,false,false
biochemists-and-biophysicists,zh-CN,200,0,true,true,true,11,O*NET|SOC|BLS|FermatMind|RIASEC|MBTI,true,false
biochemists-and-biophysicists,en,200,0,true,true,true,9,O*NET|SOC|BLS|FermatMind|RIASEC|Big Five|MBTI,true,false
biomedical-engineers,zh-CN,200,0,true,true,true,11,O*NET|SOC|BLS|FermatMind|RIASEC|MBTI,true,false
biomedical-engineers,en,200,0,true,true,true,9,O*NET|SOC|BLS|FermatMind|RIASEC|Big Five|MBTI,true,false
biofuels-processing-technicians,zh-CN,0,0,false,false,false,0,,false,false
biofuels-processing-technicians,en,200,0,true,true,true,9,O*NET|SOC|BLS|FermatMind|RIASEC|Big Five|MBTI,true,false
biofuels-production-managers,zh-CN,200,0,true,true,true,11,O*NET|SOC|BLS|FermatMind|RIASEC|MBTI,true,false
biofuels-production-managers,en,200,0,true,true,true,9,O*NET|SOC|BLS|FermatMind|RIASEC|Big Five|MBTI,true,false
biofuels-biodiesel-technology-and-product-development-managers,zh-CN,200,0,true,true,true,11,O*NET|SOC|BLS|FermatMind|RIASEC|MBTI,true,false
biofuels-biodiesel-technology-and-product-development-managers,en,200,0,true,true,true,9,O*NET|SOC|BLS|FermatMind|RIASEC|Big Five|MBTI,true,false
bioinformatics-scientists,zh-CN,200,0,true,true,true,11,O*NET|SOC|BLS|FermatMind|RIASEC|MBTI,true,false
bioinformatics-scientists,en,200,0,true,true,true,9,O*NET|SOC|BLS|FermatMind|RIASEC|Big Five|MBTI,true,false
bioinformatics-technicians,zh-CN,200,0,true,true,true,11,O*NET|SOC|BLS|FermatMind|RIASEC|MBTI,true,false
bioinformatics-technicians,en,200,0,true,true,true,9,O*NET|SOC|BLS|FermatMind|RIASEC|Big Five|MBTI,true,false
biological-science-teachers-postsecondary,zh-CN,200,0,true,true,true,11,O*NET|SOC|BLS|FermatMind|RIASEC|MBTI,true,false
biological-science-teachers-postsecondary,en,200,0,true,true,true,9,O*NET|SOC|BLS|FermatMind|RIASEC|Big Five|MBTI,true,false
biological-technicians,zh-CN,0,0,false,false,false,0,,false,false
biological-technicians,en,200,0,true,true,true,9,O*NET|SOC|BLS|FermatMind|RIASEC|Big Five|MBTI,true,false
biologists,zh-CN,200,0,true,true,true,11,O*NET|SOC|BLS|FermatMind|RIASEC|MBTI,true,false
biologists,en,200,0,true,true,true,9,O*NET|SOC|BLS|FermatMind|RIASEC|Big Five|MBTI,true,false
biomass-plant-technicians,zh-CN,200,0,true,true,true,11,O*NET|SOC|BLS|FermatMind|RIASEC|MBTI,true,false
biomass-plant-technicians,en,200,0,true,true,true,9,O*NET|SOC|BLS|FermatMind|RIASEC|Big Five|MBTI,true,false
biomass-power-plant-managers,zh-CN,200,0,true,true,true,11,O*NET|SOC|BLS|FermatMind|RIASEC|MBTI,true,false
biomass-power-plant-managers,en,200,0,true,true,true,9,O*NET|SOC|BLS|FermatMind|RIASEC|Big Five|MBTI,true,false
biostatisticians,zh-CN,200,0,true,true,true,11,O*NET|SOC|BLS|FermatMind|RIASEC|MBTI,true,false
biostatisticians,en,200,0,true,true,true,9,O*NET|SOC|BLS|FermatMind|RIASEC|Big Five|MBTI,true,false
blockchain-engineers,zh-CN,200,0,true,true,true,11,O*NET|SOC|BLS|FermatMind|RIASEC|MBTI,true,false
blockchain-engineers,en,200,0,true,true,true,9,O*NET|SOC|BLS|FermatMind|RIASEC|Big Five|MBTI,true,false
boilermakers,zh-CN,0,0,false,false,false,0,,false,false
boilermakers,en,200,0,true,true,true,9,O*NET|SOC|BLS|FermatMind|RIASEC|Big Five|MBTI,true,false
bookkeeping-accounting-and-auditing-clerks,zh-CN,0,0,false,false,false,0,,false,false
bookkeeping-accounting-and-auditing-clerks,en,200,0,true,true,true,9,O*NET|SOC|BLS|FermatMind|RIASEC|Big Five|MBTI,true,false
brickmasons-and-blockmasons,zh-CN,0,0,false,false,false,0,,false,false
brickmasons-and-blockmasons,en,200,0,true,true,true,9,O*NET|SOC|BLS|FermatMind|RIASEC|Big Five|MBTI,true,false
bridge-and-lock-tenders,zh-CN,200,0,true,true,true,11,O*NET|SOC|BLS|FermatMind|RIASEC|MBTI,true,false
bridge-and-lock-tenders,en,0,0,false,false,false,0,,false,false
broadcast-announcers-and-radio-disc-jockeys,zh-CN,200,0,true,true,true,11,O*NET|SOC|BLS|FermatMind|RIASEC|MBTI,true,false
broadcast-announcers-and-radio-disc-jockeys,en,200,0,true,true,true,9,O*NET|SOC|BLS|FermatMind|RIASEC|Big Five|MBTI,true,false
broadcast-technicians,zh-CN,200,0,true,true,true,11,O*NET|SOC|BLS|FermatMind|RIASEC|MBTI,true,false
broadcast-technicians,en,0,0,false,false,false,0,,false,false
broadcast-and-sound-engineering-technicians,zh-CN,200,0,true,true,true,12,O*NET|SOC|BLS|FermatMind|RIASEC|MBTI,true,false
broadcast-and-sound-engineering-technicians,en,200,0,true,true,true,12,O*NET|SOC|BLS|FermatMind|RIASEC|Big Five|MBTI,true,false
brokerage-clerks,zh-CN,200,0,true,true,true,11,O*NET|SOC|BLS|FermatMind|RIASEC|MBTI,true,false
brokerage-clerks,en,0,0,false,false,false,0,,false,false
brownfield-redevelopment-specialists-and-site-managers,zh-CN,200,0,true,true,true,11,O*NET|SOC|BLS|FermatMind|RIASEC|MBTI,true,false
brownfield-redevelopment-specialists-and-site-managers,en,0,0,false,false,false,0,,false,false
budget-analysts,zh-CN,200,0,true,true,true,11,O*NET|SOC|BLS|FermatMind|RIASEC|MBTI,true,false
budget-analysts,en,200,0,true,true,true,9,O*NET|SOC|BLS|FermatMind|RIASEC|Big Five|MBTI,true,false
