"slug","english","current_zh","has_detail","index","release","reason","suggested_zh","decision","status"
"nanosystems-engineers","Nanosystems Engineers","工程师","false","noindex","directory_draft_pending_detail","too_short_generic_zh;bare_generic_role","纳米系统工程师","edit","edit"
"non-destructive-testing-specialists","Non Destructive Testing Specialists","专员","false","noindex","directory_draft_pending_detail","too_short_generic_zh;bare_generic_role","无损检测专员","edit","edit"
"nuclear-monitoring-technicians","Nuclear Monitoring Technicians","技术员","false","noindex","directory_draft_pending_detail","too_short_generic_zh;bare_generic_role","核监测技术员","edit","edit"
"nurse-anesthetists","Nurse Anesthetists","护士","false","noindex","directory_draft_pending_detail","too_short_generic_zh;bare_generic_role","麻醉护士","edit","edit"
"ophthalmic-laboratory-technicians","Ophthalmic Laboratory Technicians","技术员","false","noindex","directory_draft_pending_detail","too_short_generic_zh;bare_generic_role","眼科技工室技术员","edit","edit"
"orderlies","Orderlies","护工","false","noindex","directory_draft_pending_detail","too_short_generic_zh","","manual_review","accept_or_manual_review"
"paperhangers","Paperhangers","裱糊工","false","noindex","directory_draft_pending_detail","too_short_generic_zh","","manual_review","accept_or_manual_review"
"photonics-engineers","Photonics Engineers","工程师","false","noindex","directory_draft_pending_detail","too_short_generic_zh;bare_generic_role","光子学工程师","edit","edit"
"photonics-technicians","Photonics Technicians","技术员","false","noindex","directory_draft_pending_detail","too_short_generic_zh;bare_generic_role","光子学技术员","edit","edit"
"physical-scientists-all-other","Physical Scientists, All Other","科学家","false","noindex","directory_draft_pending_detail","too_short_generic_zh;bare_generic_role","其他物理科学家","edit","edit"
"physical-therapist-assistants","Physical Therapist Assistants","助理","false","noindex","directory_draft_pending_detail","too_short_generic_zh;bare_generic_role","物理治疗师助理","edit","edit"
"physics-teachers-postsecondary","Physics Teachers, Postsecondary","教师、高等教育","false","noindex","directory_draft_pending_detail","postsecondary_literal_style","高校物理教师","edit","edit"
"pile-driver-operators","Pile Driver Operators","操作员","false","noindex","directory_draft_pending_detail","too_short_generic_zh;bare_generic_role","打桩机操作员","edit","edit"
"political-science-teachers-postsecondary","Political Science Teachers, Postsecondary","科学教师、高等教育","false","noindex","directory_draft_pending_detail","postsecondary_literal_style","高校政治学教师","edit","edit"
"postsecondary-education-administrators","Postsecondary education administrators","高等教育行政管理人员","true","indexable","public_detail_indexable","postsecondary_literal_style","","manual_review","accept_or_manual_review"
"postsecondary-teachers","Postsecondary teachers","高等教育教师","true","indexable","public_detail_indexable","postsecondary_literal_style","","manual_review","accept_or_manual_review"
"postsecondary-teachers-all-other","Postsecondary Teachers, All Other","高等教育教师、其他","false","noindex","directory_draft_pending_detail","postsecondary_literal_style","其他高校教师","edit","edit"
"potters-manufacturing","Potters, Manufacturing","制造","false","noindex","directory_draft_pending_detail","too_short_generic_zh","陶器制造工","edit","edit"
"precision-agriculture-technicians","Precision Agriculture Technicians","技术员","false","noindex","directory_draft_pending_detail","too_short_generic_zh;bare_generic_role","精准农业技术员","edit","edit"
"printing-press-operators","Printing Press Operators","操作员","false","noindex","directory_draft_pending_detail","too_short_generic_zh;bare_generic_role","印刷机操作员","edit","edit"
"project-management-specialists","Project management specialists","","true","indexable","public_detail_indexable","zh_missing_or_english_fallback","项目管理专员","edit","fix_backend_empty_zh"
"psychology-teachers-postsecondary","Psychology Teachers, Postsecondary","教师、高等教育","false","noindex","directory_draft_pending_detail","postsecondary_literal_style","高校心理学教师","edit","edit"
"quality-control-analysts","Quality Control Analysts","分析师","false","noindex","directory_draft_pending_detail","too_short_generic_zh;bare_generic_role","质量控制分析师","edit","edit"
"radiologic-technologists","Radiologic and MRI technologists","放射与MRI技师","true","indexable","public_detail_indexable","contains_english_in_zh","","manual_review","accept_or_manual_review"
"range-managers","Range Managers","经理","false","noindex","directory_draft_pending_detail","too_short_generic_zh;bare_generic_role","牧场资源经理","edit","edit"
"recreation-and-fitness-studies-teachers-postsecondary","Recreation And Fitness Studies Teachers, Postsecondary","休闲和健身教师、高等教育","false","noindex","directory_draft_pending_detail","postsecondary_literal_style","高校休闲与健身研究教师","edit","edit"
"recreational-vehicle-service-technicians","Recreational Vehicle Service Technicians","技术员","false","noindex","directory_draft_pending_detail","too_short_generic_zh;bare_generic_role","休闲车辆服务技术员","edit","edit"
"registered-nurses","Registered nurses","","true","indexable","public_detail_indexable","zh_missing_or_english_fallback","注册护士","edit","fix_backend_empty_zh"
"regulatory-affairs-managers","Regulatory Affairs Managers","经理","false","noindex","directory_draft_pending_detail","too_short_generic_zh;bare_generic_role","法规事务经理","edit","edit"
"regulatory-affairs-specialists","Regulatory Affairs Specialists","专员","false","noindex","directory_draft_pending_detail","too_short_generic_zh;bare_generic_role","法规事务专员","edit","edit"
"remote-sensing-scientists-and-technologists","Remote Sensing Scientists And Technologists","科学家","false","noindex","directory_draft_pending_detail","too_short_generic_zh;bare_generic_role","遥感科学家与遥感技术专家","edit","edit"
"remote-sensing-technicians","Remote Sensing Technicians","技术员","false","noindex","directory_draft_pending_detail","too_short_generic_zh;bare_generic_role","遥感技术员","edit","edit"
"riggers","Riggers","索具工","false","noindex","directory_draft_pending_detail","too_short_generic_zh","","manual_review","accept_or_manual_review"
"robotics-engineers","Robotics Engineers","工程师","false","noindex","directory_draft_pending_detail","too_short_generic_zh;bare_generic_role","机器人工程师","edit","edit"
"robotics-technicians","Robotics Technicians","技术员","false","noindex","directory_draft_pending_detail","too_short_generic_zh;bare_generic_role","机器人技术员","edit","edit"
"roofers","Roofers","屋面工","true","indexable","public_detail_indexable","too_short_generic_zh","","manual_review","accept_or_manual_review"
"search-marketing-strategists","Search Marketing Strategists","营销","false","noindex","directory_draft_pending_detail","too_short_generic_zh","搜索营销策略师","edit","edit"
"self-enrichment-teachers","Self Enrichment Teachers","教师","false","noindex","directory_draft_pending_detail","too_short_generic_zh;bare_generic_role","自我提升课程教师","edit","edit"
"shampooers","Shampooers","洗发师","false","noindex","directory_draft_pending_detail","too_short_generic_zh","","manual_review","accept_or_manual_review"
"sheet-metal-workers","Sheet metal workers","钣金工","true","indexable","public_detail_indexable","too_short_generic_zh","","manual_review","accept_or_manual_review"
"ship-engineers","Ship Engineers","工程师","false","noindex","directory_draft_pending_detail","too_short_generic_zh;bare_generic_role","船舶工程师","edit","edit"
"social-sciences-teachers-postsecondary-all-other","Social Sciences Teachers, Postsecondary, All Other","教师、高等教育、其他","false","noindex","directory_draft_pending_detail","postsecondary_literal_style","其他高校社会科学教师","edit","edit"
"social-work-teachers-postsecondary","Social Work Teachers, Postsecondary","教师、高等教育","false","noindex","directory_draft_pending_detail","postsecondary_literal_style","高校社会工作教师","edit","edit"
"sociology-teachers-postsecondary","Sociology Teachers, Postsecondary","教师、高等教育","false","noindex","directory_draft_pending_detail","postsecondary_literal_style","高校社会学教师","edit","edit"
"soil-and-plant-scientists","Soil And Plant Scientists","科学家","false","noindex","directory_draft_pending_detail","too_short_generic_zh;bare_generic_role","土壤与植物科学家","edit","edit"
"solar-energy-systems-engineers","Solar Energy Systems Engineers","工程师","false","noindex","directory_draft_pending_detail","too_short_generic_zh;bare_generic_role","太阳能系统工程师","edit","edit"
"spa-managers","Spa Managers","经理","false","noindex","directory_draft_pending_detail","too_short_generic_zh;bare_generic_role","水疗中心经理","edit","edit"
"special-forces-officers","Special Forces Officers","官","false","noindex","directory_draft_pending_detail","too_short_generic_zh;bare_generic_role","特种部队军官","edit","edit"
"statistical-assistants","Statistical Assistants","助理","false","noindex","directory_draft_pending_detail","too_short_generic_zh;bare_generic_role","统计助理","edit","edit"
"stonemasons","Stonemasons","石匠","false","noindex","directory_draft_pending_detail","too_short_generic_zh","","manual_review","accept_or_manual_review"
"supply-chain-managers","Supply Chain Managers","经理","false","noindex","directory_draft_pending_detail","too_short_generic_zh;bare_generic_role","供应链经理","edit","edit"
"surgical-assistants","Surgical Assistants","助理","false","noindex","directory_draft_pending_detail","too_short_generic_zh;bare_generic_role","手术助理","edit","edit"
"surveyors","Surveyors","测量师","true","indexable","public_detail_indexable","too_short_generic_zh","","manual_review","accept_or_manual_review"
"switchboard-operators-including-answering-service","Switchboard Operators, Including Answering Service","操作员","false","noindex","directory_draft_pending_detail","too_short_generic_zh;bare_generic_role","总机接线员（含应答服务）","edit","edit"
"tapers","Tapers","包扎工","false","noindex","directory_draft_pending_detail","too_short_generic_zh","","manual_review","accept_or_manual_review"
