index,slug,english,chinese,display_zh,entity_level,reviewer_status,index_state,canonical_path,issue_level,issue_reasons,suggested_zh
"15","advanced-practice-psychiatric-nurses","Advanced Practice Psychiatric Nurses","精神科护士","精神科护士","dataset_candidate","directory_draft_pending_detail","noindex","/career/jobs","needs_manual_bilingual_review","directory_draft_machine_translation_not_strictly_verified",""
"16","advertising-and-promotions-managers","Advertising And Promotions Managers","和经理","和经理","dataset_candidate","directory_draft_pending_detail","noindex","/career/jobs","certain_error","starts_with_and_in_chinese; known_manual_correction_needed","广告与促销经理"
"17","cn-4-08-08-08","Advertising Designers","广告设计师","广告设计师","dataset_candidate","directory_draft_pending_detail","noindex","/career/jobs","needs_manual_bilingual_review","directory_draft_machine_translation_not_strictly_verified",""
"18","advertising-sales-agents","Advertising sales agents","广告销售代表","广告销售代表","career_job_detail","docx_baseline_imported","indexable","/career/jobs/advertising-sales-agents","no_obvious_issue_in_title_audit","",""
"19","advertising-promotions-and-marketing-managers","Advertising, promotions, and marketing managers","广告、促销与市场经理","广告、促销与市场经理","career_job_detail","docx_baseline_imported","indexable","/career/jobs/advertising-promotions-and-marketing-managers","no_obvious_issue_in_title_audit","",""
"20","aerospace-engineering-and-operations-technicians","Aerospace engineering and operations technologists and technicians","航空航天工程与运营技术员","航空航天工程与运营技术员","career_job_detail","docx_baseline_imported","indexable","/career/jobs/aerospace-engineering-and-operations-technicians","no_obvious_issue_in_title_audit","",""
"21","aerospace-engineers","Aerospace engineers","航空航天工程师","航空航天工程师","career_job_detail","docx_baseline_imported","indexable","/career/jobs/aerospace-engineers","no_obvious_issue_in_title_audit","",""
"22","agents-and-business-managers-of-artists-performers-and-athletes","Agents And Business Managers Of Artists, Performers, And Athletes","经理商业","经理商业","dataset_candidate","directory_draft_pending_detail","noindex","/career/jobs","certain_error","business_manager_word_order_wrong; business_modifier_word_order_wrong; known_manual_correction_needed","艺人、表演者和运动员经纪人与商务经理"
"23","agricultural-and-food-science-technicians","Agricultural and food science technicians","农业与食品科学技术员","农业与食品科学技术员","career_job_detail","docx_baseline_imported","indexable","/career/jobs/agricultural-and-food-science-technicians","no_obvious_issue_in_title_audit","",""
"24","agricultural-and-food-scientists","Agricultural and food scientists","农业与食品科学家","农业与食品科学家","career_job_detail","docx_baseline_imported","indexable","/career/jobs/agricultural-and-food-scientists","no_obvious_issue_in_title_audit","",""
"25","cn-2-03-09-00","Agricultural Engineering Technicians","农业工程技术人员","农业工程技术人员","dataset_candidate","directory_draft_pending_detail","noindex","/career/jobs","needs_manual_bilingual_review","directory_draft_machine_translation_not_strictly_verified",""
"26","agricultural-engineers","Agricultural engineers","农业工程师","农业工程师","career_job_detail","docx_baseline_imported","indexable","/career/jobs/agricultural-engineers","no_obvious_issue_in_title_audit","",""
"27","agricultural-equipment-operators","Agricultural Equipment Operators","农业操作员","农业操作员","dataset_candidate","directory_draft_pending_detail","noindex","/career/jobs","needs_manual_bilingual_review","directory_draft_machine_translation_not_strictly_verified",""
"28","agricultural-inspectors","Agricultural Inspectors","检查员","检查员","dataset_candidate","directory_draft_pending_detail","noindex","/career/jobs","certain_error","too_generic_missing_modifier",""
"29","agricultural-sciences-teachers-postsecondary","Agricultural Sciences Teachers, Postsecondary","农业教师","农业教师","dataset_candidate","directory_draft_pending_detail","noindex","/career/jobs","needs_manual_bilingual_review","directory_draft_machine_translation_not_strictly_verified",""
"30","cn-4-07-04-06","Agricultural Service Workers","休闲农业服务员","休闲农业服务员","dataset_candidate","directory_draft_pending_detail","noindex","/career/jobs","needs_manual_bilingual_review","directory_draft_machine_translation_not_strictly_verified",""
"31","cn-2-03-02-00","Agricultural Technical Workers","农业技术指导人员","农业技术指导人员","dataset_candidate","directory_draft_pending_detail","noindex","/career/jobs","needs_manual_bilingual_review","directory_draft_machine_translation_not_strictly_verified",""
"32","cn-5-05-01-01","Agricultural Technical Workers","农业技术员","农业技术员","dataset_candidate","directory_draft_pending_detail","noindex","/career/jobs","needs_manual_bilingual_review","directory_draft_machine_translation_not_strictly_verified",""
"33","cn-5-05-01-03","Agricultural Technical Workers","农业数字化技术员","农业数字化技术员","dataset_candidate","directory_draft_pending_detail","noindex","/career/jobs","needs_manual_bilingual_review","directory_draft_machine_translation_not_strictly_verified",""
"34","agricultural-technicians","Agricultural Technicians","农业技术员","农业技术员","dataset_candidate","directory_draft_pending_detail","noindex","/career/jobs","needs_manual_bilingual_review","directory_draft_machine_translation_not_strictly_verified",""
"35","agricultural-workers","Agricultural workers","农业从业人员","农业从业人员","career_job_detail","docx_baseline_imported","indexable","/career/jobs/agricultural-workers","no_obvious_issue_in_title_audit","",""
"36","cn-2-01-07-00","Agricultural Workers","农业科学研究人员","农业科学研究人员","dataset_candidate","directory_draft_pending_detail","noindex","/career/jobs","needs_manual_bilingual_review","directory_draft_machine_translation_not_strictly_verified",""
"37","cn-5-05-01-02","Agricultural Workers","农业经理人","农业经理人","dataset_candidate","directory_draft_pending_detail","noindex","/career/jobs","needs_manual_bilingual_review","directory_draft_machine_translation_not_strictly_verified",""
"38","agricultural-workers-all-other","Agricultural Workers, All Other","农业工人","农业工人","dataset_candidate","directory_draft_pending_detail","noindex","/career/jobs","needs_manual_bilingual_review","directory_draft_machine_translation_not_strictly_verified",""
"39","air-crew-members","Air Crew Members","机组成员","机组成员","dataset_candidate","directory_draft_pending_detail","noindex","/career/jobs","needs_manual_bilingual_review","directory_draft_machine_translation_not_strictly_verified",""
"40","air-crew-officers","Air Crew Officers","机组官","机组官","dataset_candidate","directory_draft_pending_detail","noindex","/career/jobs","needs_manual_bilingual_review","directory_draft_machine_translation_not_strictly_verified",""
"41","air-traffic-controllers","Air traffic controllers","空中交通管制员","空中交通管制员","career_job_detail","docx_baseline_imported","indexable","/career/jobs/air-traffic-controllers","no_obvious_issue_in_title_audit","",""
"42","aircraft-and-avionics-equipment-mechanics-and-technicians","Aircraft and avionics equipment mechanics and technicians","飞机与航空电子设备维修技师","飞机与航空电子设备维修技师","career_job_detail","docx_baseline_imported","indexable","/career/jobs/aircraft-and-avionics-equipment-mechanics-and-technicians","no_obvious_issue_in_title_audit","",""
"43","aircraft-cargo-handling-supervisors","Aircraft Cargo Handling Supervisors","飞机货物装卸主管","飞机货物装卸主管","dataset_candidate","directory_draft_pending_detail","noindex","/career/jobs","needs_manual_bilingual_review","directory_draft_machine_translation_not_strictly_verified",""
"44","aircraft-launch-and-recovery-officers","Aircraft Launch And Recovery Officers","飞机和官","飞机和官","dataset_candidate","directory_draft_pending_detail","noindex","/career/jobs","needs_manual_bilingual_review","directory_draft_machine_translation_not_strictly_verified",""
"45","aircraft-launch-and-recovery-specialists","Aircraft Launch And Recovery Specialists","飞机和专员","飞机和专员","dataset_candidate","directory_draft_pending_detail","noindex","/career/jobs","needs_manual_bilingual_review","directory_draft_machine_translation_not_strictly_verified",""
"46","aircraft-mechanics-and-service-technicians","Aircraft Mechanics And Service Technicians","飞机机械师和技术员","飞机机械师和技术员","dataset_candidate","directory_draft_pending_detail","noindex","/career/jobs","needs_manual_bilingual_review","directory_draft_machine_translation_not_strictly_verified",""
"47","aircraft-service-attendants","Aircraft Service Attendants","飞机服务服务员","飞机服务服务员","dataset_candidate","directory_draft_pending_detail","noindex","/career/jobs","needs_manual_bilingual_review","directory_draft_machine_translation_not_strictly_verified",""
"48","aircraft-structure-surfaces-rigging-and-systems-assemblers","Aircraft Structure, Surfaces, Rigging, And Systems Assemblers","飞机结构、表面、索具、和系统装配工","飞机结构、表面、索具、和系统装配工","dataset_candidate","directory_draft_pending_detail","noindex","/career/jobs","needs_manual_bilingual_review","directory_draft_machine_translation_not_strictly_verified",""
"49","airfield-operations-specialists","Airfield Operations Specialists","专员","专员","dataset_candidate","directory_draft_pending_detail","noindex","/career/jobs","certain_error","too_generic_missing_modifier",""
"50","airline-and-commercial-pilots","Airline and commercial pilots","航空公司与商业飞行员","航空公司与商业飞行员","career_job_detail","docx_baseline_imported","indexable","/career/jobs/airline-and-commercial-pilots","no_obvious_issue_in_title_audit","",""
"51","airline-pilots-copilots-and-flight-engineers","Airline Pilots, Copilots, And Flight Engineers","工程师","工程师","dataset_candidate","directory_draft_pending_detail","noindex","/career/jobs","certain_error","too_generic_missing_modifier",""
"52","allergists-and-immunologists","Allergists And Immunologists","过敏专科医师和免疫学医师","过敏专科医师和免疫学医师","dataset_candidate","directory_draft_pending_detail","noindex","/career/jobs","needs_manual_bilingual_review","directory_draft_machine_translation_not_strictly_verified",""
"53","ambulance-drivers-and-attendants-except-emergency-medical-technicians","Ambulance Drivers And Attendants, Except Emergency Medical Technicians","救护车司机和服务员、急诊医疗技术员","救护车司机和服务员、急诊医疗技术员","dataset_candidate","directory_draft_pending_detail","noindex","/career/jobs","needs_manual_bilingual_review","directory_draft_machine_translation_not_strictly_verified",""
"54","amusement-and-recreation-attendants","Amusement And Recreation Attendants","和休闲服务员","和休闲服务员","dataset_candidate","directory_draft_pending_detail","noindex","/career/jobs","certain_error","starts_with_and_in_chinese; known_manual_correction_needed","娱乐与休闲服务员"
"55","anesthesiologist-assistants","Anesthesiologist Assistants","助理","助理","dataset_candidate","directory_draft_pending_detail","noindex","/career/jobs","certain_error","too_generic_missing_modifier",""
"56","anesthesiologists","Anesthesiologists","麻醉医师","麻醉医师","dataset_candidate","directory_draft_pending_detail","noindex","/career/jobs","needs_manual_bilingual_review","directory_draft_machine_translation_not_strictly_verified",""
"57","animal-breeders","Animal Breeders","动物饲养员","动物饲养员","dataset_candidate","directory_draft_pending_detail","noindex","/career/jobs","needs_manual_bilingual_review","directory_draft_machine_translation_not_strictly_verified",""
"58","animal-care-and-service-workers","Animal care and service workers","动物照护与服务人员","动物照护与服务人员","career_job_detail","docx_baseline_imported","indexable","/career/jobs/animal-care-and-service-workers","no_obvious_issue_in_title_audit","",""
"59","animal-caretakers","Animal Caretakers","动物照护员","动物照护员","dataset_candidate","directory_draft_pending_detail","noindex","/career/jobs","needs_manual_bilingual_review","directory_draft_machine_translation_not_strictly_verified",""
"60","animal-control-workers","Animal Control Workers","动物工人","动物工人","dataset_candidate","directory_draft_pending_detail","noindex","/career/jobs","needs_manual_bilingual_review","directory_draft_machine_translation_not_strictly_verified",""
"61","cn-2-03-07-01","Animal Husbandry Technicians","畜牧技术人员","畜牧技术人员","dataset_candidate","directory_draft_pending_detail","noindex","/career/jobs","needs_manual_bilingual_review","directory_draft_machine_translation_not_strictly_verified",""
"62","animal-scientists","Animal Scientists","科学家","科学家","dataset_candidate","directory_draft_pending_detail","noindex","/career/jobs","certain_error","too_generic_missing_modifier",""
"63","animal-trainers","Animal Trainers","动物训练师","动物训练师","dataset_candidate","directory_draft_pending_detail","noindex","/career/jobs","needs_manual_bilingual_review","directory_draft_machine_translation_not_strictly_verified",""
"64","announcers","Announcers and DJs","播音员与DJ","播音员与DJ","career_job_detail","docx_baseline_imported","indexable","/career/jobs/announcers","no_obvious_issue_in_title_audit","",""
"65","anthropologists-and-archeologists","Anthropologists and archeologists","人类学家与考古学家","人类学家与考古学家","career_job_detail","docx_baseline_imported","indexable","/career/jobs/anthropologists-and-archeologists","no_obvious_issue_in_title_audit","",""
"66","anthropology-and-archeology-teachers-postsecondary","Anthropology And Archeology Teachers, Postsecondary","和教师、高等教育","和教师、高等教育","dataset_candidate","directory_draft_pending_detail","noindex","/career/jobs","certain_error","starts_with_and_in_chinese",""
"67","appraisers-of-personal-and-business-property","Appraisers Of Personal And Business Property","评估师和商业财产","评估师和商业财产","dataset_candidate","directory_draft_pending_detail","noindex","/career/jobs","needs_manual_bilingual_review","directory_draft_machine_translation_not_strictly_verified",""
"68","arbitrators-mediators-and-conciliators","Arbitrators, mediators, and conciliators","仲裁员、调解员与和解员","仲裁员、调解员与和解员","career_job_detail","docx_baseline_imported","indexable","/career/jobs/arbitrators-mediators-and-conciliators","no_obvious_issue_in_title_audit","",""
"69","architects","Architects","建筑师","建筑师","career_job_detail","docx_baseline_imported","indexable","/career/jobs/architects","no_obvious_issue_in_title_audit","",""
"70","architects-except-landscape-and-naval","Architects, Except Landscape And Naval","建筑师、景观和船舶","建筑师、景观和船舶","dataset_candidate","directory_draft_pending_detail","noindex","/career/jobs","needs_manual_bilingual_review","directory_draft_machine_translation_not_strictly_verified",""
"71","architectural-and-civil-drafters","Architectural And Civil Drafters","建筑和土木制图员","建筑和土木制图员","dataset_candidate","directory_draft_pending_detail","noindex","/career/jobs","needs_manual_bilingual_review","directory_draft_machine_translation_not_strictly_verified",""
"72","architectural-and-engineering-managers","Architectural and engineering managers","建筑与工程经理","建筑与工程经理","career_job_detail","docx_baseline_imported","indexable","/career/jobs/architectural-and-engineering-managers","no_obvious_issue_in_title_audit","",""
"73","architecture-teachers-postsecondary","Architecture Teachers, Postsecondary","建筑教师","建筑教师","dataset_candidate","directory_draft_pending_detail","noindex","/career/jobs","needs_manual_bilingual_review","directory_draft_machine_translation_not_strictly_verified",""
"74","archivists","Archivists","档案管理员","档案管理员","dataset_candidate","directory_draft_pending_detail","noindex","/career/jobs","needs_manual_bilingual_review","directory_draft_machine_translation_not_strictly_verified",""
"75","curators-museum-technicians-and-conservators","Archivists, curators, and museum workers","档案管理员、策展人与博物馆工作者","档案管理员、策展人与博物馆工作者","career_job_detail","docx_baseline_imported","indexable","/career/jobs/curators-museum-technicians-and-conservators","no_obvious_issue_in_title_audit","",""
"76","area-ethnic-and-cultural-studies-teachers-postsecondary","Area, Ethnic, And Cultural Studies Teachers, Postsecondary","和教师、高等教育","和教师、高等教育","dataset_candidate","directory_draft_pending_detail","noindex","/career/jobs","certain_error","starts_with_and_in_chinese",""
"77","armored-assault-vehicle-crew-members","Armored Assault Vehicle Crew Members","装甲突击车辆成员","装甲突击车辆成员","dataset_candidate","directory_draft_pending_detail","noindex","/career/jobs","needs_manual_bilingual_review","directory_draft_machine_translation_not_strictly_verified",""
"78","armored-assault-vehicle-officers","Armored Assault Vehicle Officers","装甲突击车辆官","装甲突击车辆官","dataset_candidate","directory_draft_pending_detail","noindex","/career/jobs","needs_manual_bilingual_review","directory_draft_machine_translation_not_strictly_verified",""
"79","cn-2-09-06-05","Art Design Workers","染织艺术设计人员","染织艺术设计人员","dataset_candidate","directory_draft_pending_detail","noindex","/career/jobs","needs_manual_bilingual_review","directory_draft_machine_translation_not_strictly_verified",""
"80","cn-4-08-08-14","Art Designers","彩灯艺术设计师","彩灯艺术设计师","dataset_candidate","directory_draft_pending_detail","noindex","/career/jobs","needs_manual_bilingual_review","directory_draft_machine_translation_not_strictly_verified",""
"81","art-directors","Art directors","艺术总监","艺术总监","career_job_detail","docx_baseline_imported","indexable","/career/jobs/art-directors","no_obvious_issue_in_title_audit","",""
"82","cn-2-09-06-08","Art Professional Workers","公共艺术专业人员","公共艺术专业人员","dataset_candidate","directory_draft_pending_detail","noindex","/career/jobs","needs_manual_bilingual_review","directory_draft_machine_translation_not_strictly_verified",""
"83","art-therapists","Art Therapists","治疗师","治疗师","dataset_candidate","directory_draft_pending_detail","noindex","/career/jobs","certain_error","too_generic_missing_modifier",""
"84","cn-2-01-10-00","Art Workers","文学、艺术学研究人员","文学、艺术学研究人员","dataset_candidate","directory_draft_pending_detail","noindex","/career/jobs","needs_manual_bilingual_review","directory_draft_machine_translation_not_strictly_verified",""
"85","art-drama-and-music-teachers-postsecondary","Art, Drama, And Music Teachers, Postsecondary","和教师、高等教育","和教师、高等教育","dataset_candidate","directory_draft_pending_detail","noindex","/career/jobs","certain_error","starts_with_and_in_chinese",""
"86","cn-2-02-38-01","Artificial Intelligence Engineering Technicians","人工智能工程技术人员","人工智能工程技术人员","dataset_candidate","directory_draft_pending_detail","noindex","/career/jobs","needs_manual_bilingual_review","directory_draft_machine_translation_not_strictly_verified",""
"87","cn-4-04-05-05","Artificial Intelligence Specialists","人工智能训练师","人工智能训练师","dataset_candidate","directory_draft_pending_detail","noindex","/career/jobs","needs_manual_bilingual_review","directory_draft_machine_translation_not_strictly_verified",""
"88","cn-4-04-05-13","Artificial Intelligence Systems Workers","生成式人工智能系统应用员","生成式人工智能系统应用员","dataset_candidate","directory_draft_pending_detail","noindex","/career/jobs","needs_manual_bilingual_review","directory_draft_machine_translation_not_strictly_verified",""
"89","artillery-and-missile-crew-members","Artillery And Missile Crew Members","火炮和导弹成员","火炮和导弹成员","dataset_candidate","directory_draft_pending_detail","noindex","/career/jobs","needs_manual_bilingual_review","directory_draft_machine_translation_not_strictly_verified",""
"90","artillery-and-missile-officers","Artillery And Missile Officers","火炮和导弹官","火炮和导弹官","dataset_candidate","directory_draft_pending_detail","noindex","/career/jobs","needs_manual_bilingual_review","directory_draft_machine_translation_not_strictly_verified",""
"91","artists-and-related-workers-all-other","Artists And Related Workers, All Other","艺术家和工人、其他","艺术家和工人、其他","dataset_candidate","directory_draft_pending_detail","noindex","/career/jobs","needs_manual_bilingual_review","directory_draft_machine_translation_not_strictly_verified",""
"92","assemblers-and-fabricators","Assemblers and fabricators","装配工与制造工","装配工与制造工","career_job_detail","docx_baseline_imported","indexable","/career/jobs/assemblers-and-fabricators","no_obvious_issue_in_title_audit","",""
"93","assemblers-and-fabricators-all-other","Assemblers And Fabricators, All Other","装配工和制造工、其他","装配工和制造工、其他","dataset_candidate","directory_draft_pending_detail","noindex","/career/jobs","needs_manual_bilingual_review","directory_draft_machine_translation_not_strictly_verified",""
"94","cn-6-29-01-06","Assembly Building Workers","装配式建筑施工员","装配式建筑施工员","dataset_candidate","directory_draft_pending_detail","noindex","/career/jobs","needs_manual_bilingual_review","directory_draft_machine_translation_not_strictly_verified",""
"95","cn-6-20-01-01","Assembly Workers","装配钳工","装配钳工","dataset_candidate","directory_draft_pending_detail","noindex","/career/jobs","needs_manual_bilingual_review","directory_draft_machine_translation_not_strictly_verified",""
"96","cn-6-20-01-04","Assembly Workers","减变速机装配调试工","减变速机装配调试工","dataset_candidate","directory_draft_pending_detail","noindex","/career/jobs","needs_manual_bilingual_review","directory_draft_machine_translation_not_strictly_verified",""
"97","cn-6-20-02-02","Assembly Workers","内燃机装配调试工","内燃机装配调试工","dataset_candidate","directory_draft_pending_detail","noindex","/career/jobs","needs_manual_bilingual_review","directory_draft_machine_translation_not_strictly_verified",""
"98","cn-6-20-02-03","Assembly Workers","汽轮机装配调试工","汽轮机装配调试工","dataset_candidate","directory_draft_pending_detail","noindex","/career/jobs","needs_manual_bilingual_review","directory_draft_machine_translation_not_strictly_verified",""
"99","cn-6-20-04-00","Assembly Workers","电梯装配调试工","电梯装配调试工","dataset_candidate","directory_draft_pending_detail","noindex","/career/jobs","needs_manual_bilingual_review","directory_draft_machine_translation_not_strictly_verified",""
"100","cn-6-20-05-01","Assembly Workers","泵装配调试工","泵装配调试工","dataset_candidate","directory_draft_pending_detail","noindex","/career/jobs","needs_manual_bilingual_review","directory_draft_machine_translation_not_strictly_verified",""
"101","cn-6-20-05-03","Assembly Workers","压缩机装配调试工","压缩机装配调试工","dataset_candidate","directory_draft_pending_detail","noindex","/career/jobs","needs_manual_bilingual_review","directory_draft_machine_translation_not_strictly_verified",""
"102","cn-6-20-05-04","Assembly Workers","风机装配调试工","风机装配调试工","dataset_candidate","directory_draft_pending_detail","noindex","/career/jobs","needs_manual_bilingual_review","directory_draft_machine_translation_not_strictly_verified",""
"103","cn-6-20-05-08","Assembly Workers","阀门装配调试工","阀门装配调试工","dataset_candidate","directory_draft_pending_detail","noindex","/career/jobs","needs_manual_bilingual_review","directory_draft_machine_translation_not_strictly_verified",""
"104","cn-6-20-06-05","Assembly Workers","衡器装配调试工","衡器装配调试工","dataset_candidate","directory_draft_pending_detail","noindex","/career/jobs","needs_manual_bilingual_review","directory_draft_machine_translation_not_strictly_verified",""
"105","astronomers","Astronomers","其他职业","其他职业","dataset_candidate","directory_draft_pending_detail","noindex","/career/jobs","certain_error","generic_other_instead_of_specific_role",""
"106","athletes-and-sports-competitors","Athletes and sports competitors","运动员与体育竞赛选手","运动员与体育竞赛选手","career_job_detail","docx_baseline_imported","indexable","/career/jobs/athletes-and-sports-competitors","no_obvious_issue_in_title_audit","",""
"107","athletic-trainers","Athletic trainers","运动训练师","运动训练师","career_job_detail","docx_baseline_imported","indexable","/career/jobs/athletic-trainers","no_obvious_issue_in_title_audit","",""
"108","atmospheric-and-space-scientists","Atmospheric And Space Scientists","科学家","科学家","dataset_candidate","directory_draft_pending_detail","noindex","/career/jobs","certain_error","too_generic_missing_modifier",""
"109","atmospheric-scientists-including-meteorologists","Atmospheric scientists, including meteorologists","大气科学家（含气象学家）","大气科学家（含气象学家）","career_job_detail","docx_baseline_imported","indexable","/career/jobs/atmospheric-scientists-including-meteorologists","no_obvious_issue_in_title_audit","",""
"110","atmospheric-earth-marine-and-space-sciences-teachers-postsecondary","Atmospheric, Earth, Marine, And Space Sciences Teachers, Postsecondary","土方、船舶、和教师、高等教育","土方、船舶、和教师、高等教育","dataset_candidate","directory_draft_pending_detail","noindex","/career/jobs","needs_manual_bilingual_review","directory_draft_machine_translation_not_strictly_verified",""
"111","audio-and-video-technicians","Audio And Video Technicians","音频和视频技术员","音频和视频技术员","dataset_candidate","directory_draft_pending_detail","noindex","/career/jobs","needs_manual_bilingual_review","directory_draft_machine_translation_not_strictly_verified",""
"112","audiologists","Audiologists","听力学家","听力学家","career_job_detail","docx_baseline_imported","indexable","/career/jobs/audiologists","no_obvious_issue_in_title_audit","",""
"113","audiovisual-equipment-installers-and-repairers","Audiovisual Equipment Installers And Repairers","设备安装工和","设备安装工和","dataset_candidate","directory_draft_pending_detail","noindex","/career/jobs","certain_error","ends_with_and_in_chinese",""
"114","cn-2-06-04-00","Audit Professional Workers","审计专业人员","审计专业人员","dataset_candidate","directory_draft_pending_detail","noindex","/career/jobs","needs_manual_bilingual_review","directory_draft_machine_translation_not_strictly_verified",""
"115","automotive-and-watercraft-service-attendants","Automotive And Watercraft Service Attendants","汽车与船艇服务员","汽车与船艇服务员","dataset_candidate","directory_draft_pending_detail","noindex","/career/jobs","needs_manual_bilingual_review","directory_draft_machine_translation_not_strictly_verified",""
"116","automotive-body-and-glass-repairers","Automotive body and glass repairers","汽车车身与玻璃维修工","汽车车身与玻璃维修工","career_job_detail","docx_baseline_imported","indexable","/career/jobs/automotive-body-and-glass-repairers","no_obvious_issue_in_title_audit","",""
"117","cn-4-02-02-02","Automotive Drivers","道路货运汽车驾驶员","道路货运汽车驾驶员","dataset_candidate","directory_draft_pending_detail","noindex","/career/jobs","needs_manual_bilingual_review","directory_draft_machine_translation_not_strictly_verified",""
"118","automotive-engineering-technicians","Automotive Engineering Technicians","技术员工程","技术员工程","dataset_candidate","directory_draft_pending_detail","noindex","/career/jobs","needs_manual_bilingual_review","directory_draft_machine_translation_not_strictly_verified",""
"119","cn-2-02-07-11","Automotive Engineering Technicians","汽车工程技术人员","汽车工程技术人员","dataset_candidate","directory_draft_pending_detail","noindex","/career/jobs","needs_manual_bilingual_review","directory_draft_machine_translation_not_strictly_verified",""
"120","cn-2-02-15-01","Automotive Engineering Technicians","汽车运用工程技术人员","汽车运用工程技术人员","dataset_candidate","directory_draft_pending_detail","noindex","/career/jobs","needs_manual_bilingual_review","directory_draft_machine_translation_not_strictly_verified",""
"121","automotive-engineers","Automotive Engineers","工程师","工程师","dataset_candidate","directory_draft_pending_detail","noindex","/career/jobs","certain_error","too_generic_missing_modifier",""
"122","automotive-glass-installers-and-repairers","Automotive Glass Installers And Repairers","汽车玻璃安装工和","汽车玻璃安装工和","dataset_candidate","directory_draft_pending_detail","noindex","/career/jobs","certain_error","ends_with_and_in_chinese",""
"123","cn-6-22-01-02","Automotive Manufacturing Workers","汽车饰件制造工","汽车饰件制造工","dataset_candidate","directory_draft_pending_detail","noindex","/career/jobs","needs_manual_bilingual_review","directory_draft_machine_translation_not_strictly_verified",""
"124","cn-6-22-01-03","Automotive Manufacturing Workers","汽车零部件再制造工","汽车零部件再制造工","dataset_candidate","directory_draft_pending_detail","noindex","/career/jobs","needs_manual_bilingual_review","directory_draft_machine_translation_not_strictly_verified",""
"125","cn-6-22-01-01","Automotive Production Operators","汽车生产线操作工","汽车生产线操作工","dataset_candidate","directory_draft_pending_detail","noindex","/career/jobs","needs_manual_bilingual_review","directory_draft_machine_translation_not_strictly_verified",""
"126","cn-4-12-01-01","Automotive Repairers","汽车维修工","汽车维修工","dataset_candidate","directory_draft_pending_detail","noindex","/career/jobs","needs_manual_bilingual_review","directory_draft_machine_translation_not_strictly_verified",""
"127","automotive-service-technicians-and-mechanics","Automotive service technicians and mechanics","汽车维修技师与机械师","汽车维修技师与机械师","career_job_detail","docx_baseline_imported","indexable","/career/jobs/automotive-service-technicians-and-mechanics","no_obvious_issue_in_title_audit","",""
