slug,locale,allowed_for_future_review,runtime_approved,allowed_fields_for_future_release_review,release_gate_required
advanced-practice-psychiatric-nurses,en,true,false,primary_query_intent|secondary_query_intents|snippet_candidate|faq_candidates|internal_link_anchor_candidates,separate CMS/API runtime approval PR
advertising-and-promotions-managers,zh-CN,true,false,primary_query_intent|secondary_query_intents|snippet_candidate|faq_candidates|internal_link_anchor_candidates,separate CMS/API runtime approval PR
advertising-and-promotions-managers,en,true,false,primary_query_intent|secondary_query_intents|snippet_candidate|faq_candidates|internal_link_anchor_candidates,separate CMS/API runtime approval PR
advertising-sales-agents,zh-CN,true,false,primary_query_intent|secondary_query_intents|snippet_candidate|faq_candidates|internal_link_anchor_candidates,separate CMS/API runtime approval PR
advertising-sales-agents,en,true,false,primary_query_intent|secondary_query_intents|snippet_candidate|faq_candidates|internal_link_anchor_candidates,separate CMS/API runtime approval PR
advertising-promotions-and-marketing-managers,zh-CN,true,false,primary_query_intent|secondary_query_intents|snippet_candidate|faq_candidates|internal_link_anchor_candidates,separate CMS/API runtime approval PR
advertising-promotions-and-marketing-managers,en,true,false,primary_query_intent|secondary_query_intents|snippet_candidate|faq_candidates|internal_link_anchor_candidates,separate CMS/API runtime approval PR
aerospace-engineering-and-operations-technicians,zh-CN,true,false,primary_query_intent|secondary_query_intents|snippet_candidate|faq_candidates|internal_link_anchor_candidates,separate CMS/API runtime approval PR
aerospace-engineering-and-operations-technicians,en,true,false,primary_query_intent|secondary_query_intents|snippet_candidate|faq_candidates|internal_link_anchor_candidates,separate CMS/API runtime approval PR
aerospace-engineers,zh-CN,true,false,primary_query_intent|secondary_query_intents|snippet_candidate|faq_candidates|internal_link_anchor_candidates,separate CMS/API runtime approval PR
aerospace-engineers,en,true,false,primary_query_intent|secondary_query_intents|snippet_candidate|faq_candidates|internal_link_anchor_candidates,separate CMS/API runtime approval PR
agents-and-business-managers-of-artists-performers-and-athletes,zh-CN,true,false,primary_query_intent|secondary_query_intents|snippet_candidate|faq_candidates|internal_link_anchor_candidates,separate CMS/API runtime approval PR
agents-and-business-managers-of-artists-performers-and-athletes,en,true,false,primary_query_intent|secondary_query_intents|snippet_candidate|faq_candidates|internal_link_anchor_candidates,separate CMS/API runtime approval PR
agricultural-and-food-science-technicians,zh-CN,true,false,primary_query_intent|secondary_query_intents|snippet_candidate|faq_candidates|internal_link_anchor_candidates,separate CMS/API runtime approval PR
agricultural-and-food-science-technicians,en,true,false,primary_query_intent|secondary_query_intents|snippet_candidate|faq_candidates|internal_link_anchor_candidates,separate CMS/API runtime approval PR
agricultural-and-food-scientists,zh-CN,true,false,primary_query_intent|secondary_query_intents|snippet_candidate|faq_candidates|internal_link_anchor_candidates,separate CMS/API runtime approval PR
agricultural-and-food-scientists,en,true,false,primary_query_intent|secondary_query_intents|snippet_candidate|faq_candidates|internal_link_anchor_candidates,separate CMS/API runtime approval PR
agricultural-engineers,zh-CN,true,false,primary_query_intent|secondary_query_intents|snippet_candidate|faq_candidates|internal_link_anchor_candidates,separate CMS/API runtime approval PR
agricultural-engineers,en,true,false,primary_query_intent|secondary_query_intents|snippet_candidate|faq_candidates|internal_link_anchor_candidates,separate CMS/API runtime approval PR
agricultural-equipment-operators,zh-CN,true,false,primary_query_intent|secondary_query_intents|snippet_candidate|faq_candidates|internal_link_anchor_candidates,separate CMS/API runtime approval PR
agricultural-equipment-operators,en,true,false,primary_query_intent|secondary_query_intents|snippet_candidate|faq_candidates|internal_link_anchor_candidates,separate CMS/API runtime approval PR
agricultural-inspectors,zh-CN,true,false,primary_query_intent|secondary_query_intents|snippet_candidate|faq_candidates|internal_link_anchor_candidates,separate CMS/API runtime approval PR
agricultural-inspectors,en,true,false,primary_query_intent|secondary_query_intents|snippet_candidate|faq_candidates|internal_link_anchor_candidates,separate CMS/API runtime approval PR
agricultural-sciences-teachers-postsecondary,zh-CN,true,false,primary_query_intent|secondary_query_intents|snippet_candidate|faq_candidates|internal_link_anchor_candidates,separate CMS/API runtime approval PR
agricultural-sciences-teachers-postsecondary,en,true,false,primary_query_intent|secondary_query_intents|snippet_candidate|faq_candidates|internal_link_anchor_candidates,separate CMS/API runtime approval PR
agricultural-technicians,zh-CN,true,false,primary_query_intent|secondary_query_intents|snippet_candidate|faq_candidates|internal_link_anchor_candidates,separate CMS/API runtime approval PR
agricultural-technicians,en,true,false,primary_query_intent|secondary_query_intents|snippet_candidate|faq_candidates|internal_link_anchor_candidates,separate CMS/API runtime approval PR
agricultural-workers,zh-CN,true,false,primary_query_intent|secondary_query_intents|snippet_candidate|faq_candidates|internal_link_anchor_candidates,separate CMS/API runtime approval PR
agricultural-workers,en,true,false,primary_query_intent|secondary_query_intents|snippet_candidate|faq_candidates|internal_link_anchor_candidates,separate CMS/API runtime approval PR
air-crew-members,zh-CN,true,false,primary_query_intent|secondary_query_intents|snippet_candidate|faq_candidates|internal_link_anchor_candidates,separate CMS/API runtime approval PR
air-crew-members,en,true,false,primary_query_intent|secondary_query_intents|snippet_candidate|faq_candidates|internal_link_anchor_candidates,separate CMS/API runtime approval PR
air-crew-officers,zh-CN,true,false,primary_query_intent|secondary_query_intents|snippet_candidate|faq_candidates|internal_link_anchor_candidates,separate CMS/API runtime approval PR
air-crew-officers,en,true,false,primary_query_intent|secondary_query_intents|snippet_candidate|faq_candidates|internal_link_anchor_candidates,separate CMS/API runtime approval PR
air-traffic-controllers,zh-CN,true,false,primary_query_intent|secondary_query_intents|snippet_candidate|faq_candidates|internal_link_anchor_candidates,separate CMS/API runtime approval PR
air-traffic-controllers,en,true,false,primary_query_intent|secondary_query_intents|snippet_candidate|faq_candidates|internal_link_anchor_candidates,separate CMS/API runtime approval PR
aircraft-and-avionics-equipment-mechanics-and-technicians,zh-CN,true,false,primary_query_intent|secondary_query_intents|snippet_candidate|faq_candidates|internal_link_anchor_candidates,separate CMS/API runtime approval PR
aircraft-and-avionics-equipment-mechanics-and-technicians,en,true,false,primary_query_intent|secondary_query_intents|snippet_candidate|faq_candidates|internal_link_anchor_candidates,separate CMS/API runtime approval PR
aircraft-cargo-handling-supervisors,zh-CN,true,false,primary_query_intent|secondary_query_intents|snippet_candidate|faq_candidates|internal_link_anchor_candidates,separate CMS/API runtime approval PR
aircraft-cargo-handling-supervisors,en,true,false,primary_query_intent|secondary_query_intents|snippet_candidate|faq_candidates|internal_link_anchor_candidates,separate CMS/API runtime approval PR
aircraft-launch-and-recovery-officers,zh-CN,true,false,primary_query_intent|secondary_query_intents|snippet_candidate|faq_candidates|internal_link_anchor_candidates,separate CMS/API runtime approval PR
aircraft-launch-and-recovery-officers,en,true,false,primary_query_intent|secondary_query_intents|snippet_candidate|faq_candidates|internal_link_anchor_candidates,separate CMS/API runtime approval PR
aircraft-launch-and-recovery-specialists,zh-CN,true,false,primary_query_intent|secondary_query_intents|snippet_candidate|faq_candidates|internal_link_anchor_candidates,separate CMS/API runtime approval PR
aircraft-launch-and-recovery-specialists,en,true,false,primary_query_intent|secondary_query_intents|snippet_candidate|faq_candidates|internal_link_anchor_candidates,separate CMS/API runtime approval PR
aircraft-mechanics-and-service-technicians,zh-CN,true,false,primary_query_intent|secondary_query_intents|snippet_candidate|faq_candidates|internal_link_anchor_candidates,separate CMS/API runtime approval PR
aircraft-mechanics-and-service-technicians,en,true,false,primary_query_intent|secondary_query_intents|snippet_candidate|faq_candidates|internal_link_anchor_candidates,separate CMS/API runtime approval PR
aircraft-service-attendants,zh-CN,true,false,primary_query_intent|secondary_query_intents|snippet_candidate|faq_candidates|internal_link_anchor_candidates,separate CMS/API runtime approval PR
aircraft-service-attendants,en,true,false,primary_query_intent|secondary_query_intents|snippet_candidate|faq_candidates|internal_link_anchor_candidates,separate CMS/API runtime approval PR
aircraft-structure-surfaces-rigging-and-systems-assemblers,zh-CN,true,false,primary_query_intent|secondary_query_intents|snippet_candidate|faq_candidates|internal_link_anchor_candidates,separate CMS/API runtime approval PR
aircraft-structure-surfaces-rigging-and-systems-assemblers,en,true,false,primary_query_intent|secondary_query_intents|snippet_candidate|faq_candidates|internal_link_anchor_candidates,separate CMS/API runtime approval PR
airfield-operations-specialists,zh-CN,true,false,primary_query_intent|secondary_query_intents|snippet_candidate|faq_candidates|internal_link_anchor_candidates,separate CMS/API runtime approval PR
airfield-operations-specialists,en,true,false,primary_query_intent|secondary_query_intents|snippet_candidate|faq_candidates|internal_link_anchor_candidates,separate CMS/API runtime approval PR
airline-and-commercial-pilots,zh-CN,true,false,primary_query_intent|secondary_query_intents|snippet_candidate|faq_candidates|internal_link_anchor_candidates,separate CMS/API runtime approval PR
airline-and-commercial-pilots,en,true,false,primary_query_intent|secondary_query_intents|snippet_candidate|faq_candidates|internal_link_anchor_candidates,separate CMS/API runtime approval PR
airline-pilots-copilots-and-flight-engineers,zh-CN,true,false,primary_query_intent|secondary_query_intents|snippet_candidate|faq_candidates|internal_link_anchor_candidates,separate CMS/API runtime approval PR
airline-pilots-copilots-and-flight-engineers,en,true,false,primary_query_intent|secondary_query_intents|snippet_candidate|faq_candidates|internal_link_anchor_candidates,separate CMS/API runtime approval PR
allergists-and-immunologists,zh-CN,true,false,primary_query_intent|secondary_query_intents|snippet_candidate|faq_candidates|internal_link_anchor_candidates,separate CMS/API runtime approval PR
allergists-and-immunologists,en,true,false,primary_query_intent|secondary_query_intents|snippet_candidate|faq_candidates|internal_link_anchor_candidates,separate CMS/API runtime approval PR
ambulance-drivers-and-attendants-except-emergency-medical-technicians,zh-CN,true,false,primary_query_intent|secondary_query_intents|snippet_candidate|faq_candidates|internal_link_anchor_candidates,separate CMS/API runtime approval PR
ambulance-drivers-and-attendants-except-emergency-medical-technicians,en,true,false,primary_query_intent|secondary_query_intents|snippet_candidate|faq_candidates|internal_link_anchor_candidates,separate CMS/API runtime approval PR
amusement-and-recreation-attendants,zh-CN,true,false,primary_query_intent|secondary_query_intents|snippet_candidate|faq_candidates|internal_link_anchor_candidates,separate CMS/API runtime approval PR
amusement-and-recreation-attendants,en,true,false,primary_query_intent|secondary_query_intents|snippet_candidate|faq_candidates|internal_link_anchor_candidates,separate CMS/API runtime approval PR
anesthesiologist-assistants,zh-CN,true,false,primary_query_intent|secondary_query_intents|snippet_candidate|faq_candidates|internal_link_anchor_candidates,separate CMS/API runtime approval PR
anesthesiologist-assistants,en,true,false,primary_query_intent|secondary_query_intents|snippet_candidate|faq_candidates|internal_link_anchor_candidates,separate CMS/API runtime approval PR
anesthesiologists,zh-CN,true,false,primary_query_intent|secondary_query_intents|snippet_candidate|faq_candidates|internal_link_anchor_candidates,separate CMS/API runtime approval PR
anesthesiologists,en,true,false,primary_query_intent|secondary_query_intents|snippet_candidate|faq_candidates|internal_link_anchor_candidates,separate CMS/API runtime approval PR
animal-breeders,zh-CN,true,false,primary_query_intent|secondary_query_intents|snippet_candidate|faq_candidates|internal_link_anchor_candidates,separate CMS/API runtime approval PR
animal-breeders,en,true,false,primary_query_intent|secondary_query_intents|snippet_candidate|faq_candidates|internal_link_anchor_candidates,separate CMS/API runtime approval PR
animal-care-and-service-workers,zh-CN,true,false,primary_query_intent|secondary_query_intents|snippet_candidate|faq_candidates|internal_link_anchor_candidates,separate CMS/API runtime approval PR
animal-care-and-service-workers,en,true,false,primary_query_intent|secondary_query_intents|snippet_candidate|faq_candidates|internal_link_anchor_candidates,separate CMS/API runtime approval PR
animal-caretakers,zh-CN,true,false,primary_query_intent|secondary_query_intents|snippet_candidate|faq_candidates|internal_link_anchor_candidates,separate CMS/API runtime approval PR
animal-caretakers,en,true,false,primary_query_intent|secondary_query_intents|snippet_candidate|faq_candidates|internal_link_anchor_candidates,separate CMS/API runtime approval PR
animal-control-workers,zh-CN,true,false,primary_query_intent|secondary_query_intents|snippet_candidate|faq_candidates|internal_link_anchor_candidates,separate CMS/API runtime approval PR
animal-control-workers,en,true,false,primary_query_intent|secondary_query_intents|snippet_candidate|faq_candidates|internal_link_anchor_candidates,separate CMS/API runtime approval PR
animal-scientists,zh-CN,true,false,primary_query_intent|secondary_query_intents|snippet_candidate|faq_candidates|internal_link_anchor_candidates,separate CMS/API runtime approval PR
animal-scientists,en,true,false,primary_query_intent|secondary_query_intents|snippet_candidate|faq_candidates|internal_link_anchor_candidates,separate CMS/API runtime approval PR
animal-trainers,zh-CN,true,false,primary_query_intent|secondary_query_intents|snippet_candidate|faq_candidates|internal_link_anchor_candidates,separate CMS/API runtime approval PR
animal-trainers,en,true,false,primary_query_intent|secondary_query_intents|snippet_candidate|faq_candidates|internal_link_anchor_candidates,separate CMS/API runtime approval PR
announcers,zh-CN,true,false,primary_query_intent|secondary_query_intents|snippet_candidate|faq_candidates|internal_link_anchor_candidates,separate CMS/API runtime approval PR
announcers,en,true,false,primary_query_intent|secondary_query_intents|snippet_candidate|faq_candidates|internal_link_anchor_candidates,separate CMS/API runtime approval PR
anthropologists-and-archeologists,zh-CN,true,false,primary_query_intent|secondary_query_intents|snippet_candidate|faq_candidates|internal_link_anchor_candidates,separate CMS/API runtime approval PR
anthropologists-and-archeologists,en,true,false,primary_query_intent|secondary_query_intents|snippet_candidate|faq_candidates|internal_link_anchor_candidates,separate CMS/API runtime approval PR
anthropology-and-archeology-teachers-postsecondary,zh-CN,true,false,primary_query_intent|secondary_query_intents|snippet_candidate|faq_candidates|internal_link_anchor_candidates,separate CMS/API runtime approval PR
anthropology-and-archeology-teachers-postsecondary,en,true,false,primary_query_intent|secondary_query_intents|snippet_candidate|faq_candidates|internal_link_anchor_candidates,separate CMS/API runtime approval PR
appraisers-of-personal-and-business-property,zh-CN,true,false,primary_query_intent|secondary_query_intents|snippet_candidate|faq_candidates|internal_link_anchor_candidates,separate CMS/API runtime approval PR
appraisers-of-personal-and-business-property,en,true,false,primary_query_intent|secondary_query_intents|snippet_candidate|faq_candidates|internal_link_anchor_candidates,separate CMS/API runtime approval PR
arbitrators-mediators-and-conciliators,zh-CN,true,false,primary_query_intent|secondary_query_intents|snippet_candidate|faq_candidates|internal_link_anchor_candidates,separate CMS/API runtime approval PR
arbitrators-mediators-and-conciliators,en,true,false,primary_query_intent|secondary_query_intents|snippet_candidate|faq_candidates|internal_link_anchor_candidates,separate CMS/API runtime approval PR
architects,zh-CN,true,false,primary_query_intent|secondary_query_intents|snippet_candidate|faq_candidates|internal_link_anchor_candidates,separate CMS/API runtime approval PR
architects,en,true,false,primary_query_intent|secondary_query_intents|snippet_candidate|faq_candidates|internal_link_anchor_candidates,separate CMS/API runtime approval PR
architects-except-landscape-and-naval,zh-CN,true,false,primary_query_intent|secondary_query_intents|snippet_candidate|faq_candidates|internal_link_anchor_candidates,separate CMS/API runtime approval PR
architects-except-landscape-and-naval,en,true,false,primary_query_intent|secondary_query_intents|snippet_candidate|faq_candidates|internal_link_anchor_candidates,separate CMS/API runtime approval PR
architectural-and-civil-drafters,zh-CN,true,false,primary_query_intent|secondary_query_intents|snippet_candidate|faq_candidates|internal_link_anchor_candidates,separate CMS/API runtime approval PR
architectural-and-civil-drafters,en,true,false,primary_query_intent|secondary_query_intents|snippet_candidate|faq_candidates|internal_link_anchor_candidates,separate CMS/API runtime approval PR
architectural-and-engineering-managers,zh-CN,true,false,primary_query_intent|secondary_query_intents|snippet_candidate|faq_candidates|internal_link_anchor_candidates,separate CMS/API runtime approval PR
architectural-and-engineering-managers,en,true,false,primary_query_intent|secondary_query_intents|snippet_candidate|faq_candidates|internal_link_anchor_candidates,separate CMS/API runtime approval PR
architecture-teachers-postsecondary,zh-CN,true,false,primary_query_intent|secondary_query_intents|snippet_candidate|faq_candidates|internal_link_anchor_candidates,separate CMS/API runtime approval PR
architecture-teachers-postsecondary,en,true,false,primary_query_intent|secondary_query_intents|snippet_candidate|faq_candidates|internal_link_anchor_candidates,separate CMS/API runtime approval PR
archivists,zh-CN,true,false,primary_query_intent|secondary_query_intents|snippet_candidate|faq_candidates|internal_link_anchor_candidates,separate CMS/API runtime approval PR
archivists,en,true,false,primary_query_intent|secondary_query_intents|snippet_candidate|faq_candidates|internal_link_anchor_candidates,separate CMS/API runtime approval PR
curators-museum-technicians-and-conservators,zh-CN,true,false,primary_query_intent|secondary_query_intents|snippet_candidate|faq_candidates|internal_link_anchor_candidates,separate CMS/API runtime approval PR
curators-museum-technicians-and-conservators,en,true,false,primary_query_intent|secondary_query_intents|snippet_candidate|faq_candidates|internal_link_anchor_candidates,separate CMS/API runtime approval PR
area-ethnic-and-cultural-studies-teachers-postsecondary,zh-CN,true,false,primary_query_intent|secondary_query_intents|snippet_candidate|faq_candidates|internal_link_anchor_candidates,separate CMS/API runtime approval PR
area-ethnic-and-cultural-studies-teachers-postsecondary,en,true,false,primary_query_intent|secondary_query_intents|snippet_candidate|faq_candidates|internal_link_anchor_candidates,separate CMS/API runtime approval PR
armored-assault-vehicle-crew-members,zh-CN,true,false,primary_query_intent|secondary_query_intents|snippet_candidate|faq_candidates|internal_link_anchor_candidates,separate CMS/API runtime approval PR
armored-assault-vehicle-crew-members,en,true,false,primary_query_intent|secondary_query_intents|snippet_candidate|faq_candidates|internal_link_anchor_candidates,separate CMS/API runtime approval PR
armored-assault-vehicle-officers,zh-CN,true,false,primary_query_intent|secondary_query_intents|snippet_candidate|faq_candidates|internal_link_anchor_candidates,separate CMS/API runtime approval PR
armored-assault-vehicle-officers,en,true,false,primary_query_intent|secondary_query_intents|snippet_candidate|faq_candidates|internal_link_anchor_candidates,separate CMS/API runtime approval PR
art-directors,zh-CN,true,false,primary_query_intent|secondary_query_intents|snippet_candidate|faq_candidates|internal_link_anchor_candidates,separate CMS/API runtime approval PR
art-directors,en,true,false,primary_query_intent|secondary_query_intents|snippet_candidate|faq_candidates|internal_link_anchor_candidates,separate CMS/API runtime approval PR
art-therapists,zh-CN,true,false,primary_query_intent|secondary_query_intents|snippet_candidate|faq_candidates|internal_link_anchor_candidates,separate CMS/API runtime approval PR
art-therapists,en,true,false,primary_query_intent|secondary_query_intents|snippet_candidate|faq_candidates|internal_link_anchor_candidates,separate CMS/API runtime approval PR
art-drama-and-music-teachers-postsecondary,zh-CN,true,false,primary_query_intent|secondary_query_intents|snippet_candidate|faq_candidates|internal_link_anchor_candidates,separate CMS/API runtime approval PR
art-drama-and-music-teachers-postsecondary,en,true,false,primary_query_intent|secondary_query_intents|snippet_candidate|faq_candidates|internal_link_anchor_candidates,separate CMS/API runtime approval PR
artillery-and-missile-crew-members,zh-CN,true,false,primary_query_intent|secondary_query_intents|snippet_candidate|faq_candidates|internal_link_anchor_candidates,separate CMS/API runtime approval PR
artillery-and-missile-crew-members,en,true,false,primary_query_intent|secondary_query_intents|snippet_candidate|faq_candidates|internal_link_anchor_candidates,separate CMS/API runtime approval PR
artillery-and-missile-officers,zh-CN,true,false,primary_query_intent|secondary_query_intents|snippet_candidate|faq_candidates|internal_link_anchor_candidates,separate CMS/API runtime approval PR
artillery-and-missile-officers,en,true,false,primary_query_intent|secondary_query_intents|snippet_candidate|faq_candidates|internal_link_anchor_candidates,separate CMS/API runtime approval PR
assemblers-and-fabricators,zh-CN,true,false,primary_query_intent|secondary_query_intents|snippet_candidate|faq_candidates|internal_link_anchor_candidates,separate CMS/API runtime approval PR
assemblers-and-fabricators,en,true,false,primary_query_intent|secondary_query_intents|snippet_candidate|faq_candidates|internal_link_anchor_candidates,separate CMS/API runtime approval PR
astronomers,zh-CN,true,false,primary_query_intent|secondary_query_intents|snippet_candidate|faq_candidates|internal_link_anchor_candidates,separate CMS/API runtime approval PR
astronomers,en,true,false,primary_query_intent|secondary_query_intents|snippet_candidate|faq_candidates|internal_link_anchor_candidates,separate CMS/API runtime approval PR
athletes-and-sports-competitors,zh-CN,true,false,primary_query_intent|secondary_query_intents|snippet_candidate|faq_candidates|internal_link_anchor_candidates,separate CMS/API runtime approval PR
athletes-and-sports-competitors,en,true,false,primary_query_intent|secondary_query_intents|snippet_candidate|faq_candidates|internal_link_anchor_candidates,separate CMS/API runtime approval PR
athletic-trainers,zh-CN,true,false,primary_query_intent|secondary_query_intents|snippet_candidate|faq_candidates|internal_link_anchor_candidates,separate CMS/API runtime approval PR
athletic-trainers,en,true,false,primary_query_intent|secondary_query_intents|snippet_candidate|faq_candidates|internal_link_anchor_candidates,separate CMS/API runtime approval PR
atmospheric-and-space-scientists,zh-CN,true,false,primary_query_intent|secondary_query_intents|snippet_candidate|faq_candidates|internal_link_anchor_candidates,separate CMS/API runtime approval PR
atmospheric-and-space-scientists,en,true,false,primary_query_intent|secondary_query_intents|snippet_candidate|faq_candidates|internal_link_anchor_candidates,separate CMS/API runtime approval PR
atmospheric-scientists-including-meteorologists,zh-CN,true,false,primary_query_intent|secondary_query_intents|snippet_candidate|faq_candidates|internal_link_anchor_candidates,separate CMS/API runtime approval PR
atmospheric-scientists-including-meteorologists,en,true,false,primary_query_intent|secondary_query_intents|snippet_candidate|faq_candidates|internal_link_anchor_candidates,separate CMS/API runtime approval PR
atmospheric-earth-marine-and-space-sciences-teachers-postsecondary,zh-CN,true,false,primary_query_intent|secondary_query_intents|snippet_candidate|faq_candidates|internal_link_anchor_candidates,separate CMS/API runtime approval PR
atmospheric-earth-marine-and-space-sciences-teachers-postsecondary,en,true,false,primary_query_intent|secondary_query_intents|snippet_candidate|faq_candidates|internal_link_anchor_candidates,separate CMS/API runtime approval PR
audio-and-video-technicians,zh-CN,true,false,primary_query_intent|secondary_query_intents|snippet_candidate|faq_candidates|internal_link_anchor_candidates,separate CMS/API runtime approval PR
audio-and-video-technicians,en,true,false,primary_query_intent|secondary_query_intents|snippet_candidate|faq_candidates|internal_link_anchor_candidates,separate CMS/API runtime approval PR
audiologists,zh-CN,true,false,primary_query_intent|secondary_query_intents|snippet_candidate|faq_candidates|internal_link_anchor_candidates,separate CMS/API runtime approval PR
audiologists,en,true,false,primary_query_intent|secondary_query_intents|snippet_candidate|faq_candidates|internal_link_anchor_candidates,separate CMS/API runtime approval PR
audiovisual-equipment-installers-and-repairers,zh-CN,true,false,primary_query_intent|secondary_query_intents|snippet_candidate|faq_candidates|internal_link_anchor_candidates,separate CMS/API runtime approval PR
audiovisual-equipment-installers-and-repairers,en,true,false,primary_query_intent|secondary_query_intents|snippet_candidate|faq_candidates|internal_link_anchor_candidates,separate CMS/API runtime approval PR
automotive-and-watercraft-service-attendants,zh-CN,true,false,primary_query_intent|secondary_query_intents|snippet_candidate|faq_candidates|internal_link_anchor_candidates,separate CMS/API runtime approval PR
automotive-and-watercraft-service-attendants,en,true,false,primary_query_intent|secondary_query_intents|snippet_candidate|faq_candidates|internal_link_anchor_candidates,separate CMS/API runtime approval PR
automotive-body-and-glass-repairers,zh-CN,true,false,primary_query_intent|secondary_query_intents|snippet_candidate|faq_candidates|internal_link_anchor_candidates,separate CMS/API runtime approval PR
automotive-body-and-glass-repairers,en,true,false,primary_query_intent|secondary_query_intents|snippet_candidate|faq_candidates|internal_link_anchor_candidates,separate CMS/API runtime approval PR
automotive-engineering-technicians,zh-CN,true,false,primary_query_intent|secondary_query_intents|snippet_candidate|faq_candidates|internal_link_anchor_candidates,separate CMS/API runtime approval PR
automotive-engineering-technicians,en,true,false,primary_query_intent|secondary_query_intents|snippet_candidate|faq_candidates|internal_link_anchor_candidates,separate CMS/API runtime approval PR
automotive-engineers,zh-CN,true,false,primary_query_intent|secondary_query_intents|snippet_candidate|faq_candidates|internal_link_anchor_candidates,separate CMS/API runtime approval PR
automotive-engineers,en,true,false,primary_query_intent|secondary_query_intents|snippet_candidate|faq_candidates|internal_link_anchor_candidates,separate CMS/API runtime approval PR
automotive-glass-installers-and-repairers,zh-CN,true,false,primary_query_intent|secondary_query_intents|snippet_candidate|faq_candidates|internal_link_anchor_candidates,separate CMS/API runtime approval PR
automotive-glass-installers-and-repairers,en,true,false,primary_query_intent|secondary_query_intents|snippet_candidate|faq_candidates|internal_link_anchor_candidates,separate CMS/API runtime approval PR
