locale,slug
en,agricultural-sciences-teachers-postsecondary
zh-CN,agricultural-technicians
en,agricultural-technicians
zh-CN,air-crew-members
en,air-crew-members
zh-CN,air-crew-officers
en,air-crew-officers
zh-CN,aircraft-and-avionics-equipment-mechanics-and-technicians
en,aircraft-and-avionics-equipment-mechanics-and-technicians
zh-CN,aircraft-cargo-handling-supervisors
en,aircraft-cargo-handling-supervisors
zh-CN,aircraft-launch-and-recovery-officers
en,aircraft-launch-and-recovery-officers
zh-CN,aircraft-launch-and-recovery-specialists
en,aircraft-launch-and-recovery-specialists
zh-CN,aircraft-service-attendants
en,aircraft-service-attendants
zh-CN,aircraft-structure-surfaces-rigging-and-systems-assemblers
en,aircraft-structure-surfaces-rigging-and-systems-assemblers
zh-CN,airfield-operations-specialists
en,airfield-operations-specialists
zh-CN,airline-and-commercial-pilots
en,airline-and-commercial-pilots
zh-CN,allergists-and-immunologists
en,allergists-and-immunologists
zh-CN,ambulance-drivers-and-attendants-except-emergency-medical-technicians
en,ambulance-drivers-and-attendants-except-emergency-medical-technicians
zh-CN,amusement-and-recreation-attendants
en,amusement-and-recreation-attendants
zh-CN,anesthesiologist-assistants
en,anesthesiologist-assistants
zh-CN,animal-breeders
en,animal-breeders
zh-CN,animal-care-and-service-workers
en,animal-care-and-service-workers
zh-CN,animal-control-workers
en,animal-control-workers
zh-CN,animal-scientists
en,animal-scientists
zh-CN,animal-trainers
en,animal-trainers
zh-CN,announcers
en,announcers
zh-CN,anthropologists-and-archeologists
en,anthropologists-and-archeologists
zh-CN,anthropology-and-archeology-teachers-postsecondary
en,anthropology-and-archeology-teachers-postsecondary
zh-CN,appraisers-of-personal-and-business-property
en,appraisers-of-personal-and-business-property
zh-CN,arbitrators-mediators-and-conciliators
en,arbitrators-mediators-and-conciliators
zh-CN,architects
en,architects
zh-CN,architectural-and-civil-drafters
en,architectural-and-civil-drafters
zh-CN,architectural-and-engineering-managers
en,architectural-and-engineering-managers
zh-CN,architecture-teachers-postsecondary
en,architecture-teachers-postsecondary
zh-CN,archivists
en,archivists
zh-CN,curators-museum-technicians-and-conservators
en,curators-museum-technicians-and-conservators
zh-CN,area-ethnic-and-cultural-studies-teachers-postsecondary
en,area-ethnic-and-cultural-studies-teachers-postsecondary
zh-CN,armored-assault-vehicle-crew-members
en,armored-assault-vehicle-crew-members
zh-CN,armored-assault-vehicle-officers
en,armored-assault-vehicle-officers
zh-CN,art-therapists
en,art-therapists
zh-CN,art-drama-and-music-teachers-postsecondary
en,art-drama-and-music-teachers-postsecondary
zh-CN,artillery-and-missile-crew-members
en,artillery-and-missile-crew-members
zh-CN,artillery-and-missile-officers
en,artillery-and-missile-officers
zh-CN,assemblers-and-fabricators
en,assemblers-and-fabricators
zh-CN,astronomers
en,astronomers
zh-CN,athletes-and-sports-competitors
en,athletes-and-sports-competitors
zh-CN,athletic-trainers
en,athletic-trainers
zh-CN,atmospheric-and-space-scientists
en,atmospheric-and-space-scientists
zh-CN,atmospheric-scientists-including-meteorologists
en,atmospheric-scientists-including-meteorologists
zh-CN,atmospheric-earth-marine-and-space-sciences-teachers-postsecondary
en,atmospheric-earth-marine-and-space-sciences-teachers-postsecondary
zh-CN,audio-and-video-technicians
en,audio-and-video-technicians
zh-CN,audiologists
en,audiologists
zh-CN,audiovisual-equipment-installers-and-repairers
en,audiovisual-equipment-installers-and-repairers
zh-CN,automotive-and-watercraft-service-attendants
en,automotive-and-watercraft-service-attendants
zh-CN,automotive-body-and-glass-repairers
en,automotive-body-and-glass-repairers
zh-CN,automotive-engineering-technicians
en,automotive-engineering-technicians
zh-CN,automotive-engineers
en,automotive-engineers
zh-CN,automotive-glass-installers-and-repairers
en,automotive-glass-installers-and-repairers
zh-CN,automotive-service-technicians-and-mechanics
en,automotive-service-technicians-and-mechanics
zh-CN,aviation-inspectors
en,aviation-inspectors
zh-CN,avionics-technicians
en,avionics-technicians
zh-CN,baggage-porters-and-bellhops
en,baggage-porters-and-bellhops
zh-CN,bailiffs
en,bailiffs
zh-CN,bakers
en,bakers
zh-CN,barbers
en,barbers
zh-CN,barbers-hairstylists-and-cosmetologists
en,barbers-hairstylists-and-cosmetologists
zh-CN,baristas
en,baristas
zh-CN,bartenders
en,bartenders
zh-CN,bicycle-repairers
en,bicycle-repairers
zh-CN,bill-and-account-collectors
en,bill-and-account-collectors
zh-CN,billing-and-posting-clerks
en,billing-and-posting-clerks
zh-CN,biochemists-and-biophysicists
en,biochemists-and-biophysicists
zh-CN,biomedical-engineers
en,biomedical-engineers
zh-CN,biofuels-processing-technicians
en,biofuels-processing-technicians
zh-CN,biofuels-production-managers
en,biofuels-production-managers
zh-CN,biofuels-biodiesel-technology-and-product-development-managers
en,biofuels-biodiesel-technology-and-product-development-managers
zh-CN,bioinformatics-scientists
en,bioinformatics-scientists
zh-CN,bioinformatics-technicians
en,bioinformatics-technicians
zh-CN,biological-science-teachers-postsecondary
en,biological-science-teachers-postsecondary
zh-CN,biological-technicians
en,biological-technicians
zh-CN,biologists
en,biologists
zh-CN,biomass-plant-technicians
en,biomass-plant-technicians
zh-CN,biomass-power-plant-managers
en,biomass-power-plant-managers
zh-CN,biostatisticians
en,biostatisticians
zh-CN,blockchain-engineers
en,blockchain-engineers
zh-CN,boilermakers
en,boilermakers
zh-CN,bookkeeping-accounting-and-auditing-clerks
en,bookkeeping-accounting-and-auditing-clerks
zh-CN,brickmasons-and-blockmasons
en,brickmasons-and-blockmasons
zh-CN,bridge-and-lock-tenders
en,bridge-and-lock-tenders
zh-CN,broadcast-announcers-and-radio-disc-jockeys
en,broadcast-announcers-and-radio-disc-jockeys
zh-CN,broadcast-technicians
en,broadcast-technicians
zh-CN,broadcast-and-sound-engineering-technicians
en,broadcast-and-sound-engineering-technicians
zh-CN,brokerage-clerks
en,brokerage-clerks
zh-CN,brownfield-redevelopment-specialists-and-site-managers
en,brownfield-redevelopment-specialists-and-site-managers
zh-CN,budget-analysts
en,budget-analysts
zh-CN,bus-and-truck-mechanics-and-diesel-engine-specialists
en,bus-and-truck-mechanics-and-diesel-engine-specialists
zh-CN,bus-drivers
en,bus-drivers
zh-CN,bus-drivers-school
en,bus-drivers-school
zh-CN,bus-drivers-transit-and-intercity
en,bus-drivers-transit-and-intercity
zh-CN,business-continuity-planners
en,business-continuity-planners
zh-CN,business-intelligence-analysts
en,business-intelligence-analysts
zh-CN,business-teachers-postsecondary
en,business-teachers-postsecondary
zh-CN,butchers-and-meat-cutters
en,butchers-and-meat-cutters
zh-CN,buyers-and-purchasing-agents-farm-products
en,buyers-and-purchasing-agents-farm-products
zh-CN,cabinetmakers-and-bench-carpenters
en,cabinetmakers-and-bench-carpenters
zh-CN,calibration-technologists-and-technicians
en,calibration-technologists-and-technicians
zh-CN,camera-and-photographic-equipment-repairers
en,camera-and-photographic-equipment-repairers
zh-CN,camera-operators-television-video-and-film
en,camera-operators-television-video-and-film
zh-CN,captains-mates-and-pilots-of-water-vessels
en,captains-mates-and-pilots-of-water-vessels
zh-CN,cardiovascular-technologists-and-technicians
en,cardiovascular-technologists-and-technicians
zh-CN,career-and-technical-education-teachers
en,career-and-technical-education-teachers
zh-CN,career-technical-education-teachers-middle-school
en,career-technical-education-teachers-middle-school
zh-CN,career-technical-education-teachers-postsecondary
en,career-technical-education-teachers-postsecondary
zh-CN,career-technical-education-teachers-secondary-school
en,career-technical-education-teachers-secondary-school
zh-CN,cargo-and-freight-agents
en,cargo-and-freight-agents
zh-CN,carpenters
en,carpenters
zh-CN,carpet-installers
en,carpet-installers
zh-CN,cartographers-and-photogrammetrists
en,cartographers-and-photogrammetrists
zh-CN,cement-masons-and-concrete-finishers
en,cement-masons-and-concrete-finishers
zh-CN,chemical-engineers
en,chemical-engineers
zh-CN,chemical-equipment-operators-and-tenders
en,chemical-equipment-operators-and-tenders
zh-CN,chemical-plant-and-system-operators
en,chemical-plant-and-system-operators
zh-CN,chemical-technicians
en,chemical-technicians
zh-CN,chemistry-teachers-postsecondary
en,chemistry-teachers-postsecondary
zh-CN,chemists
en,chemists
zh-CN,chemists-and-materials-scientists
en,chemists-and-materials-scientists
zh-CN,chief-executives
en,chief-executives
zh-CN,chief-sustainability-officers
en,chief-sustainability-officers
zh-CN,child-family-and-school-social-workers
en,child-family-and-school-social-workers
zh-CN,childcare-workers
en,childcare-workers
zh-CN,chiropractors
en,chiropractors
zh-CN,choreographers
en,choreographers
zh-CN,civil-engineering-technicians
en,civil-engineering-technicians
zh-CN,claims-adjusters-appraisers-examiners-and-investigators
en,claims-adjusters-appraisers-examiners-and-investigators
zh-CN,cleaners-of-vehicles-and-equipment
en,cleaners-of-vehicles-and-equipment
zh-CN,cleaning-washing-and-metal-pickling-equipment-operators-and-tenders
en,cleaning-washing-and-metal-pickling-equipment-operators-and-tenders
zh-CN,clergy
en,clergy
zh-CN,climate-change-policy-analysts
en,climate-change-policy-analysts
zh-CN,clinical-and-counseling-psychologists
en,clinical-and-counseling-psychologists
zh-CN,clinical-data-managers
en,clinical-data-managers
zh-CN,clinical-laboratory-technologists-and-technicians
en,clinical-laboratory-technologists-and-technicians
zh-CN,clinical-neuropsychologists
en,clinical-neuropsychologists
zh-CN,clinical-nurse-specialists
en,clinical-nurse-specialists
zh-CN,clinical-research-coordinators
en,clinical-research-coordinators
zh-CN,coaches-and-scouts
en,coaches-and-scouts
zh-CN,coating-painting-and-spraying-machine-setters-operators-and-tenders
en,coating-painting-and-spraying-machine-setters-operators-and-tenders
zh-CN,coil-winders-tapers-and-finishers
en,coil-winders-tapers-and-finishers
zh-CN,coin-vending-and-amusement-machine-servicers-and-repairers
en,coin-vending-and-amusement-machine-servicers-and-repairers
zh-CN,command-and-control-center-officers
en,command-and-control-center-officers
zh-CN,command-and-control-center-specialists
en,command-and-control-center-specialists
zh-CN,commercial-and-industrial-designers
en,commercial-and-industrial-designers
zh-CN,commercial-divers
en,commercial-divers
zh-CN,commercial-pilots
en,commercial-pilots
zh-CN,communications-teachers-postsecondary
en,communications-teachers-postsecondary
zh-CN,community-health-workers
en,community-health-workers
zh-CN,compensation-and-benefits-managers
en,compensation-and-benefits-managers
zh-CN,compensation-benefits-and-job-analysis-specialists
en,compensation-benefits-and-job-analysis-specialists
zh-CN,compliance-managers
en,compliance-managers
zh-CN,compliance-officers
en,compliance-officers
zh-CN,computer-and-information-research-scientists
en,computer-and-information-research-scientists
zh-CN,computer-and-information-systems-managers
en,computer-and-information-systems-managers
zh-CN,computer-hardware-engineers
en,computer-hardware-engineers
zh-CN,computer-network-architects
en,computer-network-architects
zh-CN,computer-network-support-specialists
en,computer-network-support-specialists
zh-CN,computer-numerically-controlled-tool-operators
en,computer-numerically-controlled-tool-operators
zh-CN,computer-numerically-controlled-tool-programmers
en,computer-numerically-controlled-tool-programmers
zh-CN,computer-science-teachers-postsecondary
en,computer-science-teachers-postsecondary
zh-CN,computer-support-specialists
en,computer-support-specialists
zh-CN,computer-systems-analysts
en,computer-systems-analysts
zh-CN,computer-systems-engineers-architects
en,computer-systems-engineers-architects
zh-CN,computer-automated-teller-and-office-machine-repairers
en,computer-automated-teller-and-office-machine-repairers
zh-CN,concierges
en,concierges
zh-CN,conservation-scientists
en,conservation-scientists
zh-CN,construction-and-building-inspectors
en,construction-and-building-inspectors
zh-CN,construction-equipment-operators
en,construction-equipment-operators
zh-CN,construction-laborers
en,construction-laborers
zh-CN,construction-laborers-and-helpers
en,construction-laborers-and-helpers
zh-CN,construction-managers
en,construction-managers
zh-CN,continuous-mining-machine-operators
en,continuous-mining-machine-operators
zh-CN,control-and-valve-installers-and-repairers-except-mechanical-door
en,control-and-valve-installers-and-repairers-except-mechanical-door
zh-CN,conveyor-operators-and-tenders
en,conveyor-operators-and-tenders
zh-CN,cooks
en,cooks
zh-CN,cooks-fast-food
en,cooks-fast-food
zh-CN,cooks-institution-and-cafeteria
en,cooks-institution-and-cafeteria
zh-CN,cooks-private-household
en,cooks-private-household
zh-CN,cooks-restaurant
en,cooks-restaurant
zh-CN,cooks-short-order
en,cooks-short-order
zh-CN,cooling-and-freezing-equipment-operators-and-tenders
en,cooling-and-freezing-equipment-operators-and-tenders
zh-CN,coroners
en,coroners
zh-CN,correctional-officers
en,correctional-officers
zh-CN,correspondence-clerks
en,correspondence-clerks
zh-CN,cost-estimators
en,cost-estimators
zh-CN,costume-attendants
en,costume-attendants
zh-CN,counter-and-rental-clerks
en,counter-and-rental-clerks
zh-CN,couriers-and-messengers
en,couriers-and-messengers
zh-CN,court-reporters
en,court-reporters
zh-CN,court-municipal-and-license-clerks
en,court-municipal-and-license-clerks
zh-CN,craft-and-fine-artists
en,craft-and-fine-artists
zh-CN,craft-artists
en,craft-artists
zh-CN,crane-and-tower-operators
en,crane-and-tower-operators
zh-CN,credit-analysts
en,credit-analysts
zh-CN,credit-authorizers-checkers-and-clerks
en,credit-authorizers-checkers-and-clerks
zh-CN,credit-counselors
en,credit-counselors
zh-CN,crematory-operators
en,crematory-operators
zh-CN,criminal-justice-and-law-enforcement-teachers-postsecondary
en,criminal-justice-and-law-enforcement-teachers-postsecondary
zh-CN,critical-care-nurses
en,critical-care-nurses
zh-CN,crossing-guards-and-flaggers
en,crossing-guards-and-flaggers
zh-CN,crushing-grinding-and-polishing-machine-setters-operators-and-tenders
en,crushing-grinding-and-polishing-machine-setters-operators-and-tenders
zh-CN,curators
en,curators
zh-CN,customer-service-representatives
en,customer-service-representatives
zh-CN,customs-and-border-protection-officers
en,customs-and-border-protection-officers
zh-CN,customs-brokers
en,customs-brokers
zh-CN,cutters-and-trimmers-hand
en,cutters-and-trimmers-hand
zh-CN,cutting-and-slicing-machine-setters-operators-and-tenders
en,cutting-and-slicing-machine-setters-operators-and-tenders
zh-CN,cutting-punching-and-press-machine-setters-operators-and-tenders-metal-and-plastic
en,cutting-punching-and-press-machine-setters-operators-and-tenders-metal-and-plastic
zh-CN,cytogenetic-technologists
en,cytogenetic-technologists
zh-CN,cytotechnologists
en,cytotechnologists
zh-CN,dancers
en,dancers
zh-CN,dancers-and-choreographers
en,dancers-and-choreographers
zh-CN,data-entry-keyers
en,data-entry-keyers
zh-CN,data-warehousing-specialists
en,data-warehousing-specialists
zh-CN,database-administrators
en,database-administrators
zh-CN,database-architects
en,database-architects
zh-CN,delivery-truck-drivers-and-driver-sales-workers
en,delivery-truck-drivers-and-driver-sales-workers
zh-CN,demonstrators-and-product-promoters
en,demonstrators-and-product-promoters
zh-CN,dental-and-ophthalmic-laboratory-technicians-and-medical-appliance-technicians
en,dental-and-ophthalmic-laboratory-technicians-and-medical-appliance-technicians
zh-CN,dental-assistants
en,dental-assistants
zh-CN,dental-hygienists
en,dental-hygienists
zh-CN,dental-laboratory-technicians
en,dental-laboratory-technicians
zh-CN,dentists
en,dentists
zh-CN,dentists-all-other-specialists
en,dentists-all-other-specialists
zh-CN,dentists-general
en,dentists-general
zh-CN,dermatologists
en,dermatologists
zh-CN,derrick-operators-oil-and-gas
en,derrick-operators-oil-and-gas
zh-CN,desktop-publishers
en,desktop-publishers
zh-CN,detectives-and-criminal-investigators
en,detectives-and-criminal-investigators
zh-CN,diagnostic-medical-sonographers
en,diagnostic-medical-sonographers
zh-CN,diesel-service-technicians-and-mechanics
en,diesel-service-technicians-and-mechanics
zh-CN,dietetic-technicians
en,dietetic-technicians
zh-CN,dietitians-and-nutritionists
en,dietitians-and-nutritionists
zh-CN,dining-room-and-cafeteria-attendants-and-bartender-helpers
en,dining-room-and-cafeteria-attendants-and-bartender-helpers
zh-CN,directors-religious-activities-and-education
en,directors-religious-activities-and-education
zh-CN,disc-jockeys-except-radio
en,disc-jockeys-except-radio
zh-CN,dishwashers
en,dishwashers
zh-CN,dispatchers-except-police-fire-and-ambulance
en,dispatchers-except-police-fire-and-ambulance
zh-CN,document-management-specialists
en,document-management-specialists
zh-CN,door-to-door-sales-workers-news-and-street-vendors-and-related-workers
en,door-to-door-sales-workers-news-and-street-vendors-and-related-workers
zh-CN,drafters
en,drafters
zh-CN,dredge-operators
en,dredge-operators
zh-CN,drilling-and-boring-machine-tool-setters-operators-and-tenders-metal-and-plastic
en,drilling-and-boring-machine-tool-setters-operators-and-tenders-metal-and-plastic
zh-CN,driver-sales-workers
en,driver-sales-workers
zh-CN,drywall-and-ceiling-tile-installers
en,drywall-and-ceiling-tile-installers
zh-CN,drywall-and-ceiling-tile-installers-and-tapers
en,drywall-and-ceiling-tile-installers-and-tapers
zh-CN,earth-drillers-except-oil-and-gas
en,earth-drillers-except-oil-and-gas
zh-CN,economics-teachers-postsecondary
en,economics-teachers-postsecondary
zh-CN,economists
en,economists
zh-CN,editors
en,editors
